# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               Fe               N2              
  1                1.00000000E-05   1.20413688E+03   8.38675983E-01   6.13983645E-05   1.60249871E-01   5.30508243E-04   2.77022372E-04   6.93137776E-07   5.77259583E-06   6.07808408E-05  
  2                4.12885166E-05   1.45468367E+03   8.37271110E-01   1.42224709E-03   1.60129531E-01   5.30137160E-04   3.75851213E-04   6.67480938E-05   5.55219658E-05   6.07351932E-05  
  3                6.56014631E-05   1.39842395E+03   8.38086222E-01   5.35069261E-04   1.60201057E-01   5.30362813E-04   3.76980482E-04   6.67771212E-05   5.55467398E-05   6.07623145E-05  
  4                9.33361563E-05   1.52986317E+03   8.36412623E-01   2.35629974E-03   1.60054479E-01   5.29900447E-04   3.75178349E-04   6.67143391E-05   5.54957761E-05   6.07067181E-05  
  5                1.24992585E-04   1.46767687E+03   8.37692252E-01   9.63735853E-04   1.60166549E-01   5.30261847E-04   3.76415439E-04   6.67603791E-05   5.55346241E-05   6.07492164E-05  
  6                1.60760038E-04   1.60305926E+03   8.34879376E-01   4.02421695E-03   1.59920506E-01   5.29465928E-04   3.74379497E-04   6.66559816E-05   5.54491305E-05   6.06558937E-05  
  7                1.95555941E-04   1.60978503E+03   8.34978915E-01   3.91587557E-03   1.59929240E-01   5.29495568E-04   3.74463205E-04   6.66586033E-05   5.54520911E-05   6.06592015E-05  
  8                2.36017177E-04   1.64723203E+03   8.33777443E-01   5.22302431E-03   1.59824309E-01   5.29152005E-04   3.73884975E-04   6.66136026E-05   5.54155992E-05   6.06193961E-05  
  9                2.83196875E-04   1.64981565E+03   8.34080237E-01   4.89355234E-03   1.59850791E-01   5.29239924E-04   3.74056538E-04   6.66234860E-05   5.54247051E-05   6.06294349E-05  
  10               3.38342752E-04   1.68474116E+03   8.32796213E-01   6.29047396E-03   1.59738691E-01   5.28871983E-04   3.73504003E-04   6.65752900E-05   5.53857078E-05   6.05869080E-05  
  11               4.02848487E-04   1.68642748E+03   8.33191964E-01   5.85987927E-03   1.59773280E-01   5.28986646E-04   3.73700835E-04   6.65883607E-05   5.53976100E-05   6.06000206E-05  
  12               4.78425004E-04   1.72024257E+03   8.31801800E-01   7.37224416E-03   1.59651944E-01   5.28587726E-04   3.73149452E-04   6.65360513E-05   5.53553855E-05   6.05539878E-05  
  13               5.66972150E-04   1.72174936E+03   8.32265028E-01   6.86824845E-03   1.59692415E-01   5.28721838E-04   3.73359480E-04   6.65513304E-05   5.53693073E-05   6.05693294E-05  
  14               6.70813372E-04   1.75494175E+03   8.30763319E-01   8.50193903E-03   1.59561369E-01   5.28290467E-04   3.72800145E-04   6.64946514E-05   5.53236852E-05   6.05196103E-05  
  15               7.92539808E-04   1.75657312E+03   8.31282034E-01   7.93758677E-03   1.59606674E-01   5.28440588E-04   3.73018844E-04   6.65116470E-05   5.53392585E-05   6.05367832E-05  
  16               9.35311907E-04   1.78936261E+03   8.29668864E-01   9.69251415E-03   1.59465924E-01   5.27976839E-04   3.72446684E-04   6.64505362E-05   5.52902343E-05   6.04833787E-05  
  17               1.10265576E-03   1.79127809E+03   8.30235442E-01   9.07609834E-03   1.59515399E-01   5.28140775E-04   3.72671873E-04   6.64689080E-05   5.53072224E-05   6.05021298E-05  
  18               1.29886233E-03   1.82376621E+03   8.28514498E-01   1.09482512E-02   1.59365265E-01   5.27645747E-04   3.72084057E-04   6.64034260E-05   5.52548997E-05   6.04451602E-05  
  19               1.52870860E-03   1.82608299E+03   8.29121139E-01   1.02882593E-02   1.59418228E-01   5.27821249E-04   3.72313801E-04   6.64228175E-05   5.52730596E-05   6.04652303E-05  
  20               1.79799275E-03   1.85835008E+03   8.27295254E-01   1.22745574E-02   1.59258958E-01   5.27295782E-04   3.71707553E-04   6.63529831E-05   5.52175146E-05   6.04047872E-05  
  21               2.11314658E-03   1.86118910E+03   8.27931294E-01   1.15825890E-02   1.59314479E-01   5.27479774E-04   3.71939096E-04   6.63729218E-05   5.52365154E-05   6.04258222E-05  
  22               2.48196106E-03   1.89330108E+03   8.26001957E-01   1.36814149E-02   1.59146200E-01   5.26924317E-04   3.71311529E-04   6.62986932E-05   5.51777824E-05   6.03619520E-05  
  23               2.91303685E-03   1.89679171E+03   8.26653554E-01   1.29725268E-02   1.59203073E-01   5.27112805E-04   3.71541166E-04   6.63185778E-05   5.51971953E-05   6.03834925E-05  
  24               3.41676518E-03   1.92884718E+03   8.24616106E-01   1.51889485E-02   1.59025377E-01   5.26526029E-04   3.70887693E-04   6.62396759E-05   5.51351208E-05   6.03160377E-05  
  25               4.00455022E-03   1.93315107E+03   8.25264011E-01   1.44840821E-02   1.59081923E-01   5.26713458E-04   3.71109980E-04   6.62586925E-05   5.51543516E-05   6.03374445E-05  
  26               4.69013767E-03   1.96526449E+03   8.23107406E-01   1.68301169E-02   1.58893848E-01   5.26092187E-04   3.70424278E-04   6.61745912E-05   5.50885867E-05   6.02660355E-05  
  27               5.48852065E-03   1.97054579E+03   8.23729302E-01   1.61535483E-02   1.58948121E-01   5.26272113E-04   3.70632768E-04   6.61917984E-05   5.51069461E-05   6.02865676E-05  
  28               6.41773358E-03   2.00283892E+03   8.21436044E-01   1.86482290E-02   1.58748140E-01   5.25611307E-04   3.69906646E-04   6.61017221E-05   5.50369450E-05   6.02106200E-05  
  29               7.49727922E-03   2.00932673E+03   8.21999159E-01   1.80356098E-02   1.58797282E-01   5.25774273E-04   3.70091455E-04   6.61157782E-05   5.50534246E-05   6.02291894E-05  
  30               8.75057053E-03   2.04198527E+03   8.19536644E-01   2.07144040E-02   1.58582552E-01   5.25064528E-04   3.69311948E-04   6.60183849E-05   5.49781814E-05   6.01476171E-05  
