# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              O-3P             Mg               OH              
  1                1.00000000E-05   1.52292170E+03   8.32488872E-01   6.62571095E-03   1.59711113E-01   5.28762842E-04   3.72769230E-04   6.36601211E-10   6.65761188E-05   9.50495893E-08  
  2                1.08742966E-05   1.66014487E+03   8.13467351E-01   2.73181705E-02   1.58052212E-01   5.23285559E-04   3.67490632E-04   1.59600464E-08   6.58845792E-05   5.95127119E-07  
  3                1.18413453E-05   1.63526793E+03   8.19737128E-01   2.04977807E-02   1.58598843E-01   5.25093215E-04   3.69060516E-04   8.36902484E-09   6.61123319E-05   4.15407369E-07  
  4                1.29566531E-05   1.72546304E+03   7.96315262E-01   4.59763168E-02   1.56557057E-01   5.18340216E-04   3.63272279E-04   5.41183817E-08   6.52610458E-05   1.20006313E-06  
  5                1.42550299E-05   1.69040299E+03   8.09269240E-01   3.18848816E-02   1.57686269E-01   5.22076517E-04   3.66454270E-04   2.35055472E-08   6.57316388E-05   7.54936091E-07  
  6                1.57814457E-05   1.77020838E+03   7.82076839E-01   6.14648919E-02   1.55315966E-01   5.14233885E-04   3.59703710E-04   1.09220608E-07   6.47433626E-05   1.80483631E-06  
  7                1.75797383E-05   1.73284884E+03   7.99695854E-01   4.22988539E-02   1.56851764E-01   5.19316663E-04   3.64079012E-04   4.62599150E-08   6.53834092E-05   1.12241688E-06  
  8                1.97081708E-05   1.80757615E+03   7.69676778E-01   7.49536758E-02   1.54235133E-01   5.10657413E-04   3.56502449E-04   1.79285500E-07   6.42924093E-05   2.41840165E-06  
  9                2.22281731E-05   1.76990483E+03   7.90830670E-01   5.19424112E-02   1.56079023E-01   5.16760602E-04   3.61841536E-04   7.66878470E-08   6.50608353E-05   1.51620455E-06  
  10               2.52199596E-05   1.84164692E+03   7.58690502E-01   8.69045394E-02   1.53277533E-01   5.07488607E-04   3.53568731E-04   2.62856446E-07   6.38927310E-05   3.04482307E-06  
  11               2.87703506E-05   1.80448451E+03   7.82540539E-01   6.09604129E-02   1.55356420E-01   5.14370170E-04   3.59697045E-04   1.15044120E-07   6.47590505E-05   1.93815476E-06  
  12               3.29915093E-05   1.87427147E+03   7.48826349E-01   9.76347585E-02   1.52417738E-01   5.04643434E-04   3.50835014E-04   3.59215568E-07   6.35337048E-05   3.68961549E-06  
  13               3.80060549E-05   1.83801671E+03   7.74709815E-01   6.94786652E-02   1.54673867E-01   5.12112111E-04   3.57611847E-04   1.61850338E-07   6.44738257E-05   2.39202585E-06  
  14               4.39715207E-05   1.90641728E+03   7.39847435E-01   1.07402016E-01   1.51635099E-01   5.02053600E-04   3.48244960E-04   4.68400552E-07   6.32066975E-05   4.35950855E-06  
  15               5.10605641E-05   1.87131803E+03   7.67209422E-01   7.76375812E-02   1.54020106E-01   5.09949232E-04   3.55549803E-04   2.18103177E-07   6.42004416E-05   2.88399196E-06  
  16               5.94947329E-05   1.93863114E+03   7.31548608E-01   1.16429479E-01   1.50911731E-01   4.99659928E-04   3.45747678E-04   5.91209576E-07   6.29042257E-05   5.06220922E-06  
  17               6.95162848E-05   1.90489202E+03   7.59904120E-01   8.55842776E-02   1.53383348E-01   5.07842536E-04   3.53472150E-04   2.85392759E-07   6.39339520E-05   3.42230475E-06  
  18               8.14366555E-05   1.97125209E+03   7.23741600E-01   1.24921947E-01   1.50231225E-01   4.97408104E-04   3.43293783E-04   7.29315918E-07   6.26194153E-05   5.80678986E-06  
  19               9.55943782E-05   1.93909296E+03   7.52646556E-01   9.34790474E-02   1.52750747E-01   5.05749514E-04   3.51334739E-04   3.66144900E-07   6.36689652E-05   4.01791529E-06  
  20               1.12426212E-04   2.00455936E+03   7.16215259E-01   1.33109111E-01   1.49575174E-01   4.95237197E-04   3.40823571E-04   8.86022426E-07   6.23445556E-05   6.60653271E-06  
  21               1.32402948E-04   1.97424287E+03   7.45252318E-01   1.01522495E-01   1.52106226E-01   5.03616953E-04   3.49079837E-04   4.64217890E-07   6.33987380E-05   4.68671033E-06  
  22               1.56134404E-04   2.03887294E+03   7.08691638E-01   1.41293323E-01   1.48919349E-01   4.93066996E-04   3.38252142E-04   1.06772280E-06   6.20695033E-05   7.48335652E-06  
  23               1.84270984E-04   2.01075720E+03   7.37439246E-01   1.10021557E-01   1.51425190E-01   5.01363428E-04   3.46616425E-04   5.86422567E-07   6.31129691E-05   5.45522652E-06  
  24               2.17663613E-04   2.07466386E+03   7.00752446E-01   1.49929605E-01   1.48227290E-01   4.90776781E-04   3.35442828E-04   1.28701530E-06   6.17790100E-05   8.47630429E-06  
  25               2.57213279E-04   2.04924208E+03   7.28763703E-01   1.19458826E-01   1.50668965E-01   4.98860905E-04   3.43796084E-04   7.45300266E-07   6.27954842E-05   6.36898202E-06  
  26               3.04094365E-04   2.11275453E+03   6.91679315E-01   1.59799402E-01   1.47436372E-01   4.88159221E-04   3.32147683E-04   1.57035168E-06   6.14469204E-05   9.66095863E-06  
  27               3.59523982E-04   2.09103394E+03   7.18219103E-01   1.30929273E-01   1.49749806E-01   4.95818878E-04   3.40279620E-04   9.70837263E-07   6.24096528E-05   7.53249747E-06  
  28               4.25059954E-04   2.15581192E+03   6.79142955E-01   1.73436538E-01   1.46343546E-01   4.84542043E-04   3.27551837E-04   2.00913051E-06   6.09885615E-05   1.12877316E-05  
  29               5.00779531E-04   2.18110202E+03   6.69605015E-01   1.83811986E-01   1.45512092E-01   4.81789697E-04   3.24056938E-04   2.37621388E-06   6.06404539E-05   1.24863417E-05  
  30               5.90100060E-04   2.20475988E+03   6.61557007E-01   1.92566685E-01   1.44810507E-01   4.79467303E-04   3.20968753E-04   2.72989620E-06   6.03463365E-05   1.35946303E-05  
  31               6.95445462E-04   2.23053541E+03   6.51754307E-01   2.03230165E-01   1.43955948E-01   4.76638416E-04   3.17159255E-04   3.19965038E-06   5.99883432E-05   1.49521957E-05  
  32               8.19654956E-04   2.25460614E+03   6.43616264E-01   2.12082826E-01   1.43246489E-01   4.74289923E-04   3.13832710E-04   3.64388918E-06   5.96906614E-05   1.61908451E-05  
  33               9.66052019E-04   2.28088753E+03   6.33616396E-01   2.22960815E-01   1.42374711E-01   4.71403996E-04   3.09701830E-04   4.23462963E-06   5.93251981E-05   1.77098409E-05  
  34               1.13851333E-03   2.30541206E+03   6.25423931E-01   2.31870795E-01   1.41660298E-01   4.69039076E-04   3.06127613E-04   4.78442156E-06   5.90251260E-05   1.90803060E-05  
  35               1.34029248E-03   2.33215595E+03   6.15249615E-01   2.42929984E-01   1.40773589E-01   4.66102912E-04   3.07378719E-04   5.62156408E-06   5.86531216E-05   2.11552033E-05  
  36               1.57628834E-03   2.35693307E+03   6.07095137E-01   2.51800633E-01   1.40062634E-01   4.63749430E-04   3.03507970E-04   6.30004806E-06   5.83541498E-05   2.26722380E-05  
  37               1.85382163E-03   2.38422028E+03   5.96785770E-01   2.63015437E-01   1.39163793E-01   4.60773879E-04   2.98596373E-04   7.21369982E-06   5.79767255E-05   2.45504451E-05  
  38               2.17986029E-03   2.40955384E+03   5.88636477E-01   2.71880477E-01   1.38453254E-01   4.58421767E-04   2.94461224E-04   8.03122661E-06   5.76775043E-05   2.61960275E-05  
  39               2.56244496E-03   2.43751243E+03   5.78201493E-01   2.83231969E-01   1.37543419E-01   4.55409802E-04   2.89169389E-04   9.13781705E-06   5.72950723E-05   2.82382467E-05  
  40               3.01077033E-03   2.46342107E+03   5.70057818E-01   2.92090929E-01   1.36833332E-01   4.53059179E-04   2.84757302E-04   1.01131152E-05   5.69955674E-05   3.00071467E-05  
  41               3.53430650E-03   2.49200747E+03   5.59529567E-01   3.03543921E-01   1.35915317E-01   4.50020129E-04   2.79082197E-04   1.14364242E-05   5.66092661E-05   3.22003728E-05  
  42               4.14427748E-03   2.51834869E+03   5.51463519E-01   3.12318468E-01   1.35211958E-01   4.47691776E-04   2.74423741E-04   1.25787372E-05   5.63120616E-05   3.40687140E-05  
  43               4.85448867E-03   2.54744204E+03   5.40947672E-01   3.23758008E-01   1.34294974E-01   4.44656139E-04   2.68408744E-04   1.41306187E-05   5.59256939E-05   3.63809064E-05  
  44               5.68061281E-03   2.57421766E+03   5.33007091E-01   3.32396099E-01   1.33602513E-01   4.42363865E-04   2.63530304E-04   1.54475191E-05   5.56324685E-05   3.83260897E-05  
  45               6.64054097E-03   2.60389155E+03   5.22506845E-01   3.43818707E-01   1.32686838E-01   4.39332559E-04   2.57177683E-04   1.72480933E-05   5.52460945E-05   4.07374078E-05  
  46               7.75433726E-03   2.63117803E+03   5.14660824E-01   3.52353962E-01   1.32002580E-01   4.37067441E-04   2.52073464E-04   1.87550956E-05   5.49556662E-05   4.27452847E-05  
  47               9.04468222E-03   2.66146404E+03   5.04185082E-01   3.63749948E-01   1.31088988E-01   4.34043035E-04   2.45397767E-04   2.08214511E-05   5.45695608E-05   4.52283878E-05  
  48               1.05366852E-02   2.68924101E+03   4.96463682E-01   3.72149659E-01   1.30415556E-01   4.31813751E-04   2.40102244E-04   2.25220451E-05   5.42829675E-05   4.72696908E-05  
  49               1.22586770E-02   2.71938509E+03   4.86749726E-01   3.82716968E-01   1.29568343E-01   4.29009111E-04   2.33550652E-04   2.47193615E-05   5.39238077E-05   4.96668658E-05  
  50               1.42412590E-02   2.74811537E+03   4.78689517E-01   3.91485263E-01   1.28865324E-01   4.26681862E-04   2.27826787E-04   2.67082952E-05   5.36242141E-05   5.17917824E-05  
  51               1.65181819E-02   2.77920496E+03   4.68662233E-01   4.02393441E-01   1.27990737E-01   4.23786585E-04   2.20822535E-04   2.92504512E-05   5.32530157E-05   5.42487786E-05  
  52               1.91259919E-02   2.80871712E+03   4.60402259E-01   4.11379054E-01   1.27270255E-01   4.21401504E-04   2.14763021E-04   3.15268417E-05   5.29454632E-05   5.63986633E-05  
  53               2.21048070E-02   2.84038376E+03   4.50387619E-01   4.22273476E-01   1.26396722E-01   4.18509700E-04   2.07528120E-04   3.43628767E-05   5.25740461E-05   5.88166886E-05  
  54               2.54980513E-02   2.87003808E+03   4.42489881E-01   4.30865016E-01   1.25707792E-01   4.16229055E-04   2.01516324E-04   3.67941447E-05   5.22788813E-05   6.08609727E-05  
  55               2.93535947E-02   2.90157148E+03   4.33107523E-01   4.41071585E-01   1.24889360E-01   4.13519646E-04   1.94498740E-04   3.97473661E-05   5.19296616E-05   6.31009067E-05  
  56               3.37232729E-02   2.93095703E+03   4.25893787E-01   4.48918991E-01   1.24260054E-01   4.11436358E-04   1.88806007E-04   4.22085044E-05   5.16584895E-05   6.49637241E-05  
  57               3.86639759E-02   2.96244234E+03   4.17018552E-01   4.58573830E-01   1.23485817E-01   4.08873215E-04   1.82004149E-04   4.52648306E-05   5.13269055E-05   6.70214113E-05  
  58               4.42370751E-02   2.99194536E+03   4.10098408E-01   4.66101781E-01   1.22882092E-01   4.06874552E-04   1.76442372E-04   4.78285370E-05   5.10655761E-05   6.87446739E-05  
  59               5.05098446E-02   3.02381626E+03   4.01328636E-01   4.75641798E-01   1.22117021E-01   4.04341681E-04   1.69656608E-04   5.10801626E-05   5.07371037E-05   7.06539688E-05  
  60               5.75525343E-02   3.05384851E+03   3.94335443E-01   4.83249105E-01   1.21506899E-01   4.02321749E-04   1.64032545E-04   5.38474309E-05   5.04723808E-05   7.22643759E-05  
  61               6.54424407E-02   3.08627554E+03   3.85529991E-01   4.92827792E-01   1.20738687E-01   3.99778362E-04   1.57221593E-04   5.73314906E-05   5.01419580E-05   7.40115173E-05  
  62               7.42649227E-02   3.11673837E+03   3.78562785E-01   5.00406665E-01   1.20130807E-01   3.97765720E-04   1.51643129E-04   6.02638743E-05   4.98774418E-05   7.54697899E-05  
  63               8.41168741E-02   3.14948827E+03   3.69953649E-01   5.09771582E-01   1.19379690E-01   3.95278763E-04   1.45010584E-04   6.38862738E-05   4.95534454E-05   7.70030863E-05  
  64               9.51063893E-02   3.18015538E+03   3.63245447E-01   5.17068472E-01   1.18794379E-01   3.93340645E-04   1.39671939E-04   6.68834258E-05   4.92975063E-05   7.82720183E-05  
  65               1.07356837E-01   3.21305355E+03   3.55031497E-01   5.26003205E-01   1.18077706E-01   3.90967478E-04   1.33393148E-04   7.05427463E-05   4.89870431E-05   7.95678456E-05  
  66               1.21006221E-01   3.24381386E+03   3.48729948E-01   5.32857424E-01   1.17527842E-01   3.89146443E-04   1.28422356E-04   7.35218068E-05   4.87449018E-05   8.06407041E-05  
  67               1.36210806E-01   3.27699780E+03   3.40872766E-01   5.41403683E-01   1.16842260E-01   3.86875860E-04   1.22504337E-04   7.72022690E-05   4.84464869E-05   8.17114191E-05  
  68               1.53143529E-01   3.30825300E+03   3.34743974E-01   5.48069589E-01   1.16307439E-01   3.85104222E-04   1.17771238E-04   8.02357192E-05   4.82096277E-05   8.26120162E-05  
  69               1.71999747E-01   3.34217993E+03   3.26987607E-01   5.56505706E-01   1.15630617E-01   3.82862117E-04   1.12075474E-04   8.40239118E-05   4.79139804E-05   8.34744866E-05  
  70               1.92995936E-01   3.37436149E+03   3.20811263E-01   5.63222855E-01   1.15091615E-01   3.81076029E-04   1.07461861E-04   8.71968858E-05   4.76744204E-05   8.42084417E-05  
  71               2.16378194E-01   3.40933696E+03   3.13044711E-01   5.71669481E-01   1.14413866E-01   3.78830057E-04   1.01946530E-04   9.11336182E-05   4.73774983E-05   8.48583961E-05  
  72               2.42421311E-01   3.44259092E+03   3.06830931E-01   5.78426798E-01   1.13871561E-01   3.77032116E-04   9.74827599E-05   9.44403759E-05   4.71355287E-05   8.54164636E-05  
  73               2.71439919E-01   3.47859210E+03   2.99185024E-01   5.86741585E-01   1.13204298E-01   3.74819658E-04   9.22524015E-05   9.84609530E-05   4.68419278E-05   8.58489499E-05  
  74               3.03786311E-01   3.51284103E+03   2.93095828E-01   5.93362857E-01   1.12672831E-01   3.73056210E-04   8.80523434E-05   1.01822796E-04   4.66032244E-05   8.62317997E-05  
  75               3.39862608E-01   3.54988036E+03   2.85667629E-01   6.01440337E-01   1.12024536E-01   3.70904725E-04   8.31750674E-05   1.05870131E-04   4.63162786E-05   8.64556251E-05  
  76               3.80117354E-01   3.58528761E+03   2.79699270E-01   6.07929825E-01   1.11503598E-01   3.69174009E-04   7.92408948E-05   1.09278747E-04   4.60805646E-05   8.66682189E-05  
  77               4.25061142E-01   3.62360507E+03   2.72439150E-01   6.15824288E-01   1.10869970E-01   3.67068248E-04   7.46893845E-05   1.13361228E-04   4.57983691E-05   8.66882080E-05  
