# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CH4              CO               NH3              N2              
  38               3.42767524E-01   6.39514867E+02   8.38128179E-01   1.60449838E-01   7.80029422E-04   1.09805381E-15   5.31298927E-04   4.64162512E-11   3.67494252E-05   4.24819786E-05  
  39               4.13508756E-01   6.65142963E+02   8.38131746E-01   1.60448971E-01   7.80025868E-04   4.92884919E-15   5.31295947E-04   1.56327830E-10   3.13544463E-05   4.51791395E-05  
  40               4.97574313E-01   6.94672612E+02   8.38135302E-01   1.60448104E-01   7.80022872E-04   2.44386909E-14   5.31292642E-04   5.86105432E-10   2.59651239E-05   4.78734719E-05  
  41               5.96519877E-01   7.23096627E+02   8.38137770E-01   1.60447487E-01   7.80021418E-04   1.00105215E-13   5.31289342E-04   1.83258575E-09   2.21715268E-05   4.97700363E-05  
  42               7.11805055E-01   7.55198273E+02   8.38140015E-01   1.60446865E-01   7.80019588E-04   4.36264133E-13   5.31282928E-04   6.16210369E-09   1.85148701E-05   5.15981287E-05  
  43               8.44932290E-01   7.86250269E+02   8.38141533E-01   1.60446402E-01   7.80014591E-04   1.60654316E-12   5.31269819E-04   1.76896505E-08   1.59098037E-05   5.29004861E-05  
  44               9.97844568E-01   8.20947769E+02   8.38143193E-01   1.60445990E-01   7.79992844E-04   6.17358046E-12   5.31232464E-04   5.35674377E-08   1.34360297E-05   5.41372168E-05  
  45               1.17257257E+00   8.54593984E+02   8.38144426E-01   1.60445670E-01   7.79928082E-04   2.04091420E-11   5.31144002E-04   1.40747343E-07   1.16609903E-05   5.50246142E-05  
  46               1.37104250E+00   8.91808675E+02   8.38145690E-01   1.60445302E-01   7.79723252E-04   6.93106907E-11   5.30899508E-04   3.83522859E-07   9.99088952E-06   5.58595221E-05  
  47               1.59507040E+00   9.28017444E+02   8.38146727E-01   1.60444863E-01   7.79236095E-04   2.06346168E-10   5.30358238E-04   9.22434857E-07   8.77314006E-06   5.64682234E-05  
  48               1.84683601E+00   9.67748632E+02   8.38147892E-01   1.60444051E-01   7.77963715E-04   6.24597464E-10   5.29005963E-04   2.27013341E-06   7.62957665E-06   5.70396770E-05  
  49               2.12966769E+00   1.00633475E+03   8.38150342E-01   1.60442908E-01   7.75363637E-04   1.67652768E-09   5.26309135E-04   4.96001687E-06   6.79549865E-06   5.74562352E-05  
  50               2.44777911E+00   1.04814335E+03   8.38158454E-01   1.60440886E-01   7.69660016E-04   4.51432971E-09   5.20433060E-04   1.08235409E-05   6.02468118E-06   5.78407590E-05  
  51               2.80667327E+00   1.08842507E+03   8.38171896E-01   1.60437562E-01   7.59818703E-04   1.08505088E-08   5.10394788E-04   2.08423354E-05   5.47428994E-06   5.81144553E-05  
  52               3.21433106E+00   1.13140846E+03   8.38195730E-01   1.60431700E-01   7.42094807E-04   2.58393431E-08   4.92427242E-04   3.87775778E-05   4.97718100E-06   5.83602814E-05  
  53               3.68187702E+00   1.17197022E+03   8.38227380E-01   1.60423936E-01   7.18361164E-04   5.48550512E-08   4.68443925E-04   6.27207474E-05   4.65250968E-06   5.85188295E-05  
  54               4.22561545E+00   1.21443381E+03   8.38270641E-01   1.60413335E-01   6.85799817E-04   1.14098264E-07   4.35605642E-04   9.55072014E-05   4.37684716E-06   5.86511902E-05  
  55               4.86426447E+00   1.25386961E+03   8.38314280E-01   1.60402637E-01   6.52843823E-04   2.13333584E-07   4.02397773E-04   1.28665127E-04   4.23670082E-06   5.87152180E-05  
  56               5.61853409E+00   1.29507701E+03   8.38362708E-01   1.60390749E-01   6.16185695E-04   3.92902837E-07   3.65485454E-04   1.65523229E-04   4.12799542E-06   5.87621357E-05  
  57               6.50789995E+00   1.33314905E+03   8.38402977E-01   1.60380824E-01   5.85567699E-04   6.61120323E-07   3.34657207E-04   1.96305824E-04   4.12206517E-06   5.87578018E-05  
  58               7.55051596E+00   1.37316155E+03   8.38443790E-01   1.60370711E-01   5.54397010E-04   1.10629115E-06   3.03279601E-04   2.27635117E-04   4.12769183E-06   5.87463676E-05  
  59               8.76586600E+00   1.41016195E+03   8.38474322E-01   1.60363000E-01   5.30752451E-04   1.71917964E-06   2.79456049E-04   2.51417940E-04   4.21162735E-06   5.86960481E-05  
  60               1.01749214E+01   1.44959348E+03   8.38505243E-01   1.60355099E-01   5.06691080E-04   2.68613874E-06   2.55063414E-04   2.75764479E-04   4.29113848E-06   5.86462050E-05  
  61               1.17952775E+01   1.48654052E+03   8.38527510E-01   1.60349118E-01   4.88690008E-04   3.96492939E-06   2.36858349E-04   2.93927128E-04   4.42894558E-06   5.85671335E-05  
  62               1.36404107E+01   1.52685448E+03   8.38549249E-01   1.60342059E-01   4.69058142E-04   5.96022254E-06   2.16757376E-04   3.13974159E-04   4.54173071E-06   5.84977954E-05  
  63               1.57172804E+01   1.56543337E+03   8.38565417E-01   1.60336582E-01   4.55709603E-04   8.59387299E-06   2.00344053E-04   3.30333737E-04   4.69099312E-06   5.84097646E-05  
  64               1.80373286E+01   1.60824195E+03   8.38570055E-01   1.60327457E-01   4.37694007E-04   1.27142996E-05   1.82029563E-04   3.48570436E-04   4.79874406E-06   5.83376291E-05  
  65               2.05815038E+01   1.64995377E+03   8.38571859E-01   1.60320727E-01   4.37570213E-04   1.82260900E-05   1.62722549E-04   3.67803807E-04   4.92330075E-06   5.82583154E-05  
  66               2.33200508E+01   1.69666752E+03   8.38585061E-01   1.60313904E-01   4.20574656E-04   2.69262290E-05   1.44525049E-04   3.85909206E-04   4.98524247E-06   5.82045509E-05  
  67               2.62138158E+01   1.74304009E+03   8.38585012E-01   1.60306304E-01   4.07930411E-04   3.88759798E-05   1.27930457E-04   4.02400151E-04   5.04273725E-06   5.81510359E-05  
  68               2.91695067E+01   1.79570308E+03   8.38564757E-01   1.60295081E-01   4.01810307E-04   5.82189624E-05   1.06887168E-04   4.23317914E-04   5.01355649E-06   5.81375646E-05  
  69               3.20273760E+01   1.83750690E+03   8.38505443E-01   1.60282243E-01   4.13898616E-04   7.84173022E-05   9.17013827E-05   4.38397607E-04   5.05633101E-06   5.80958687E-05  
  70               3.45632979E+01   1.87725545E+03   8.38421339E-01   1.60269170E-01   4.51101306E-04   1.03292158E-04   7.43885972E-05   4.55639185E-04   5.05252660E-06   5.80882328E-05  
  71               3.66882615E+01   1.90381597E+03   8.38409347E-01   1.60266186E-01   4.46601829E-04   1.22747301E-04   6.98393046E-05   4.60122504E-04   5.10283199E-06   5.80478702E-05  
  72               3.90390714E+01   1.93750610E+03   8.38390243E-01   1.60261769E-01   4.40260442E-04   1.52618899E-04   6.34327152E-05   4.66445148E-04   5.10939700E-06   5.80255122E-05  
  73               4.16296265E+01   1.96703512E+03   8.38356156E-01   1.60255903E-01   4.36333394E-04   1.82551853E-04   5.94530344E-05   4.70334133E-04   5.17342186E-06   5.79741377E-05  
  74               4.37053578E+01   1.99456111E+03   8.38331177E-01   1.60251910E-01   4.32117484E-04   2.15738592E-04   5.51781937E-05   4.74532408E-04   5.18395381E-06   5.79520743E-05  
  75               4.52623093E+01   2.00974058E+03   8.38315217E-01   1.60249923E-01   4.30702398E-04   2.35069847E-04   5.37329711E-05   4.75928257E-04   5.23432314E-06   5.79162712E-05  
  76               4.70250039E+01   2.03223038E+03   8.38288918E-01   1.60246309E-01   4.27656545E-04   2.68019770E-04   5.06293722E-05   4.78964611E-04   5.24318255E-06   5.78974484E-05  
  77               4.90125388E+01   2.05096189E+03   8.38264451E-01   1.60243520E-01   4.26092855E-04   2.96798200E-04   4.90264000E-05   4.80501785E-04   5.30321992E-06   5.78536183E-05  
  78               5.12445566E+01   2.07700452E+03   8.38225794E-01   1.60238875E-01   4.23157980E-04   3.43003998E-04   4.60066917E-05   4.83435571E-04   5.32462197E-06   5.78250287E-05  
  79               5.37401434E+01   2.09934389E+03   8.38159217E-01   1.60229310E-01   4.21540965E-04   3.85251415E-04   4.43523044E-05   4.84984804E-04   5.39625477E-06   5.77694491E-05  
  80               5.56246589E+01   2.12036064E+03   8.38119960E-01   1.60225022E-01   4.19475083E-04   4.30827042E-04   4.22011233E-05   4.87060548E-04   5.41363430E-06   5.77454786E-05  
  81               5.70157117E+01   2.13088209E+03   8.38099666E-01   1.60223074E-01   4.19016894E-04   4.53506101E-04   4.17148531E-05   4.87499858E-04   5.46326964E-06   5.77113233E-05  
  82               5.86142031E+01   2.14838885E+03   8.38062202E-01   1.60219110E-01   4.17381911E-04   4.96574412E-04   4.00430631E-05   4.89105279E-04   5.47644107E-06   5.76915298E-05  
  83               6.04451864E+01   2.16232374E+03   8.38031509E-01   1.60216185E-01   4.16752970E-04   5.30797579E-04   3.93756299E-05   4.89707917E-04   5.53562337E-06   5.76492662E-05  
  84               6.25358345E+01   2.18336391E+03   8.37979721E-01   1.60210957E-01   4.15068843E-04   5.89500803E-04   3.76436103E-05   4.91352832E-04   5.56106850E-06   5.76195639E-05  
  85               6.49149363E+01   2.20110888E+03   8.37934124E-01   1.60206683E-01   4.14312050E-04   6.40103003E-04   3.68346968E-05   4.92073679E-04   5.63244643E-06   5.75670045E-05  
  86               6.76136405E+01   2.22595303E+03   8.37862290E-01   1.60199722E-01   4.12646153E-04   7.20562859E-04   3.51061583E-05   4.93688210E-04   5.67353446E-06   5.75247676E-05  
  87               7.06646361E+01   2.24777463E+03   8.37795569E-01   1.60193585E-01   4.11823014E-04   7.94218839E-04   3.42129154E-05   4.94463234E-04   5.76010600E-06   5.74593862E-05  
  88               7.41035044E+01   2.27651195E+03   8.37696161E-01   1.60184271E-01   4.10254287E-04   9.04505911E-04   3.25616828E-05   4.95965826E-04   5.82069501E-06   5.74015750E-05  
  89               7.79673918E+01   2.30252439E+03   8.37597965E-01   1.60175193E-01   4.09433794E-04   1.01021343E-03   3.16479582E-05   4.96721215E-04   5.92568964E-06   5.73203852E-05  
  90               8.22965762E+01   2.33505366E+03   8.37453891E-01   1.60162475E-01   4.13568693E-04   1.16059822E-03   2.97639996E-05   4.98438376E-04   6.01016927E-06   5.72494750E-05  
  91               8.71340202E+01   2.36521899E+03   8.37317156E-01   1.60150288E-01   4.12933748E-04   1.31010379E-03   2.88915371E-05   4.99106758E-04   6.13701946E-06   5.71500875E-05  
  92               9.25283947E+01   2.40126482E+03   8.37131817E-01   1.60133688E-01   4.11906754E-04   1.51303855E-03   2.75978593E-05   5.00154735E-04   6.24959374E-06   5.70510660E-05  
  93               9.85300195E+01   2.43545619E+03   8.36940863E-01   1.60116837E-01   4.11387308E-04   1.72132228E-03   2.68100103E-05   5.00675447E-04   6.40181036E-06   5.69293496E-05  
  94               1.05196961E+02   2.47460650E+03   8.36693767E-01   1.60094989E-01   4.10631779E-04   1.99099953E-03   2.57582911E-05   5.01411283E-04   6.54769047E-06   5.68032172E-05  
  95               1.12589058E+02   2.51261880E+03   8.36431806E-01   1.60072029E-01   4.10269049E-04   2.27625265E-03   2.50843250E-05   5.01737641E-04   6.72901309E-06   5.66550848E-05  
  96               1.20780645E+02   2.55432618E+03   8.36109587E-01   1.60043786E-01   4.09829227E-04   2.62714045E-03   2.42997971E-05   5.02118441E-04   6.91413428E-06   5.64967233E-05  
  97               1.29850980E+02   2.59596895E+03   8.35756762E-01   1.60013003E-01   4.09662452E-04   3.01089641E-03   2.37550590E-05   5.02212807E-04   7.12900980E-06   5.63171525E-05  
  98               1.39895825E+02   2.63958288E+03   8.35347991E-01   1.59977389E-01   4.09591417E-04   3.45533967E-03   2.32592009E-05   5.02195640E-04   7.36130603E-06   5.61200871E-05  
  99               1.51017908E+02   2.68416094E+03   8.34889351E-01   1.59937512E-01   4.09705544E-04   3.95372900E-03   2.28923127E-05   5.01984032E-04   7.61884382E-06   5.59015362E-05  
  100              1.63332654E+02   2.73064286E+03   8.34362429E-01   1.59891737E-01   4.09940295E-04   4.52618358E-03   2.25756283E-05   5.01642724E-04   7.89665856E-06   5.56619835E-05  
  101              1.76969581E+02   2.77797413E+03   8.33776395E-01   1.59840901E-01   4.10384782E-04   5.16259861E-03   2.23854144E-05   5.01091982E-04   8.20314173E-06   5.53971444E-05  
