# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               H2S             
  1                1.00000000E-05   3.64586426E+02   8.38153905E-01   1.60444241E-01   6.52285264E-27   7.78062220E-04   5.31280443E-04   3.81927607E-15   6.01537019E-05   2.29780352E-05  
  2                1.91278139E-05   4.10124921E+02   8.38154446E-01   1.60444091E-01   1.41245726E-23   7.78138557E-04   5.31279942E-04   2.29973049E-12   6.06206949E-05   2.29780137E-05  
  3                3.01604452E-05   4.11062115E+02   8.38153893E-01   1.60444056E-01   1.30192979E-23   7.78138390E-04   5.31279828E-04   1.06523871E-12   6.04978870E-05   2.29780087E-05  
  4                4.37800373E-05   4.29777439E+02   8.38152135E-01   1.60444031E-01   1.75409225E-22   7.79999101E-04   5.31279736E-04   7.50626799E-12   6.05750654E-05   2.29780051E-05  
  5                6.06428248E-05   4.27370462E+02   8.38151952E-01   1.60444075E-01   1.05569539E-22   7.79999420E-04   5.31279890E-04   2.80144172E-12   6.04371216E-05   2.29780114E-05  
  6                8.16003610E-05   4.43068712E+02   8.38152047E-01   1.60444052E-01   8.06678750E-22   7.79999374E-04   5.31279800E-04   1.28301461E-11   6.05087689E-05   2.29780081E-05  
  7                1.07652085E-04   4.40487836E+02   8.38151853E-01   1.60444099E-01   4.95853175E-22   7.79999619E-04   5.31279967E-04   5.25838581E-12   6.03621639E-05   2.29780149E-05  
  8                1.40062446E-04   4.55435581E+02   8.38151957E-01   1.60444074E-01   3.09157758E-21   7.79999481E-04   5.31279863E-04   2.08863218E-11   6.04411353E-05   2.29780113E-05  
  9                1.80367266E-04   4.53341371E+02   8.38151757E-01   1.60444123E-01   2.08574668E-21   7.79999733E-04   5.31280038E-04   9.71392416E-12   6.02900692E-05   2.29780182E-05  
  10               2.30505304E-04   4.68033386E+02   8.38151870E-01   1.60444095E-01   1.14298229E-20   7.79999574E-04   5.31279917E-04   3.50939497E-11   6.03752431E-05   2.29780143E-05  
  11               2.92837452E-04   4.66635452E+02   8.38151668E-01   1.60444144E-01   8.56717946E-21   7.79999833E-04   5.31280099E-04   1.84500102E-11   6.02229059E-05   2.29780213E-05  
  12               3.70338008E-04   4.81236576E+02   8.38151785E-01   1.60444116E-01   4.22534244E-20   7.79999655E-04   5.31279955E-04   6.13225741E-11   6.03113567E-05   2.29780172E-05  
  13               4.66633820E-04   4.80533280E+02   8.38151583E-01   1.60444165E-01   3.47428639E-20   7.79999924E-04   5.31280148E-04   3.57178912E-11   6.01585113E-05   2.29780242E-05  
  14               5.86282494E-04   4.95111212E+02   8.38151701E-01   1.60444136E-01   1.55848541E-19   7.79999720E-04   5.31279971E-04   1.09651940E-10   6.02475549E-05   2.29780201E-05  
  15               7.34849650E-04   4.94996531E+02   8.38151496E-01   1.60444186E-01   1.37498910E-19   7.80000008E-04   5.31280182E-04   6.89593337E-11   6.00926111E-05   2.29780273E-05  
  16               9.19293680E-04   5.09708729E+02   8.38151615E-01   1.60444157E-01   5.72061110E-19   7.79999759E-04   5.31279945E-04   1.98582937E-10   6.01822869E-05   2.29780231E-05  
  17               1.14814727E-03   5.10056736E+02   8.38151403E-01   1.60444208E-01   5.30277545E-19   7.80000081E-04   5.31280189E-04   1.31790715E-10   6.00227917E-05   2.29780305E-05  
  18               1.43212679E-03   5.24885535E+02   8.38151521E-01   1.60444180E-01   2.04683802E-18   7.79999759E-04   5.31279856E-04   3.55261217E-10   6.01111157E-05   2.29780264E-05  
  19               1.78442687E-03   5.25535931E+02   8.38151297E-01   1.60444234E-01   1.95138707E-18   7.80000141E-04   5.31280157E-04   2.43249395E-10   5.99426453E-05   2.29780341E-05  
  20               2.22150545E-03   5.40437950E+02   8.38151411E-01   1.60444206E-01   6.98460496E-18   7.79999709E-04   5.31279677E-04   6.12369220E-10   6.00278969E-05   2.29780302E-05  
  21               2.76364167E-03   5.41215445E+02   8.38151167E-01   1.60444265E-01   6.71735496E-18   7.80000190E-04   5.31280073E-04   4.23972035E-10   5.98442045E-05   2.29780387E-05  
  22               3.43605708E-03   5.56165535E+02   8.38151275E-01   1.60444239E-01   2.23576980E-17   7.79999605E-04   5.31279389E-04   9.98237788E-10   5.99255750E-05   2.29780349E-05  
  23               4.26983503E-03   5.57029557E+02   8.38151005E-01   1.60444305E-01   2.15893185E-17   7.80000230E-04   5.31279925E-04   6.95147148E-10   5.97215934E-05   2.29780443E-05  
  24               5.30355478E-03   5.72015354E+02   8.38151108E-01   1.60444280E-01   6.70968532E-17   7.79999452E-04   5.31278975E-04   1.53572846E-09   5.97984737E-05   2.29780407E-05  
  25               6.58481189E-03   5.72804153E+02   8.38150798E-01   1.60444355E-01   6.41708026E-17   7.80000285E-04   5.31279717E-04   1.06085200E-09   5.95651003E-05   2.29780514E-05  
