# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              CO               H2S              H               
  34               7.72590828E-02   2.00761696E+02   8.38692253E-01   1.60582229E-01   5.31737366E-04   4.46829794E-05   1.21813812E-04   4.36281473E-48   2.29988606E-05   2.57730449E-54  
  35               8.91496863E-02   2.05949637E+02   8.38605290E-01   1.60565579E-01   5.31682231E-04   4.47566356E-05   1.21801181E-04   6.87235953E-47   2.29964759E-05   6.37594431E-53  
  36               1.02919603E-01   2.15645674E+02   8.38073948E-01   1.60463844E-01   5.31345356E-04   1.48273630E-04   1.21724008E-04   3.43034997E-44   2.29819053E-05   1.78762947E-50  
  37               1.18069948E-01   2.25183888E+02   8.38073948E-01   1.60463844E-01   5.31345356E-04   7.81875132E-04   1.21724008E-04   1.64202467E-41   2.29819053E-05   2.84302728E-48  
  38               1.34152243E-01   2.34509874E+02   8.38073948E-01   1.60463844E-01   5.31345356E-04   7.81875132E-04   1.21724008E-04   9.46187682E-40   2.29819053E-05   2.70832306E-46  
  39               1.52882992E-01   2.44288606E+02   8.38073948E-01   1.60463844E-01   5.31345356E-04   7.81875132E-04   1.21724008E-04   4.73792305E-38   2.29819053E-05   2.21007802E-44  
  40               1.74696132E-01   2.54787326E+02   8.38073948E-01   1.60463844E-01   5.31345356E-04   7.81875132E-04   1.21724008E-04   2.26907457E-36   2.29819053E-05   1.71080435E-42  
  41               2.00098119E-01   2.65750722E+02   8.38073948E-01   1.60463844E-01   5.31345356E-04   7.81875132E-04   1.21724008E-04   9.25756723E-35   2.29819053E-05   1.10973586E-40  
  42               2.29675112E-01   2.77487482E+02   8.38073948E-01   1.60463844E-01   5.31345356E-04   7.81875132E-04   1.21724008E-04   3.55174913E-33   2.29819053E-05   6.69925339E-39  
  43               2.64100182E-01   2.89692510E+02   8.38073948E-01   1.60463844E-01   5.31345356E-04   7.81875132E-04   1.21724007E-04   1.14530858E-31   2.29819053E-05   3.33947406E-37  
  44               3.04163313E-01   3.02723509E+02   8.38073948E-01   1.60463844E-01   5.31345356E-04   7.81875132E-04   1.21724006E-04   3.43485978E-30   2.29819053E-05   1.53022996E-35  
  45               3.50780693E-01   3.16225801E+02   8.38073948E-01   1.60463844E-01   5.31345355E-04   7.81875103E-04   1.21724001E-04   8.61119462E-29   2.29819053E-05   5.75790250E-34  
  46               4.05006898E-01   3.30617995E+02   8.38073947E-01   1.60463844E-01   5.31345355E-04   7.81875017E-04   1.21723985E-04   2.00103075E-27   2.29819053E-05   1.98408761E-32  
  47               4.68053633E-01   3.45469720E+02   8.38073948E-01   1.60463844E-01   5.31345355E-04   7.81874214E-04   1.21723933E-04   3.87702628E-26   2.29819053E-05   5.60200883E-31  
  48               5.41324673E-01   3.61269685E+02   8.38073944E-01   1.60463843E-01   5.31345353E-04   7.81874210E-04   1.21723774E-04   6.95477333E-25   2.29819052E-05   1.44690980E-29  
  49               6.26464233E-01   3.77533133E+02   8.38073948E-01   1.60463844E-01   5.31345354E-04   7.81869508E-04   1.21723330E-04   1.04644887E-23   2.29819052E-05   3.08434144E-28  
  50               7.25355109E-01   3.94836069E+02   8.38073743E-01   1.60463804E-01   5.31345222E-04   7.81869314E-04   1.21722060E-04   1.46716401E-22   2.29818995E-05   6.05770756E-27  
  51               8.40145435E-01   4.12613488E+02   8.38073971E-01   1.60463823E-01   5.31345286E-04   7.81623000E-04   1.21718940E-04   1.74036639E-21   2.29819023E-05   9.92179264E-26  
  52               9.73291115E-01   4.31511567E+02   8.38073976E-01   1.60463822E-01   5.31345281E-04   7.81623134E-04   1.21711016E-04   1.93241121E-20   2.29819021E-05   1.50458585E-24  
  53               1.12765902E+00   4.50914016E+02   8.38073961E-01   1.60463815E-01   5.31345257E-04   7.81627214E-04   1.21692814E-04   1.83839079E-19   2.29819010E-05   1.92946962E-23  
  54               1.30650507E+00   4.71514720E+02   8.38073500E-01   1.60463735E-01   5.31344992E-04   7.81733143E-04   1.21650899E-04   1.64218011E-18   2.29818896E-05   2.30034942E-22  
  55               1.51344899E+00   4.92638875E+02   8.38068860E-01   1.60463171E-01   5.31343126E-04   7.83558148E-04   1.21562844E-04   1.27335135E-17   2.29818089E-05   2.34800637E-21  
  56               1.75275267E+00   5.15036607E+02   8.38072129E-01   1.60463416E-01   5.31343938E-04   7.80135355E-04   1.21379024E-04   9.23878723E-17   2.29818440E-05   2.23754354E-20  
  57               2.02959843E+00   5.38018507E+02   8.38072362E-01   1.60463360E-01   5.31343751E-04   7.80135085E-04   1.21026778E-04   5.91395667E-16   2.29818359E-05   1.85503245E-19  
  58               2.34999680E+00   5.62412313E+02   8.38072809E-01   1.60463251E-01   5.31343392E-04   7.80134570E-04   1.20351021E-04   3.59277163E-15   2.29818204E-05   1.44867677E-18  
  59               2.72103927E+00   5.87474488E+02   8.38073586E-01   1.60463063E-01   5.31342768E-04   7.80133683E-04   1.19177059E-04   1.94214815E-14   2.29817934E-05   9.98992607E-18  
  60               3.15111393E+00   6.14111733E+02   8.38074925E-01   1.60462738E-01   5.31341693E-04   7.80132171E-04   1.17153647E-04   1.00266900E-13   2.29817469E-05   6.53968035E-17  
  61               3.65034231E+00   6.41540665E+02   8.38076980E-01   1.60462240E-01   5.31340041E-04   7.80129893E-04   1.14047557E-04   4.66301062E-13   2.29816755E-05   3.83449296E-16  
  62               4.23266457E+00   6.70854453E+02   8.38080062E-01   1.60461493E-01   5.31337565E-04   7.80126575E-04   1.09390802E-04   2.09360299E-12   2.29815685E-05   2.16237489E-15  
  63               4.91533650E+00   7.01308035E+02   8.38084106E-01   1.60460511E-01   5.31334307E-04   7.80122440E-04   1.03276800E-04   8.62296526E-12   2.29814279E-05   1.11570027E-14  
  64               5.71847226E+00   7.34046700E+02   8.38089207E-01   1.60459270E-01   5.31330171E-04   7.80117695E-04   9.55544432E-05   3.45424342E-11   2.29812502E-05   5.58937985E-14  
  65               6.66369123E+00   7.68117195E+02   8.38094787E-01   1.60457903E-01   5.31325547E-04   7.80113454E-04   8.70722903E-05   1.27476898E-10   2.29810543E-05   2.57604155E-13  
  66               7.77486305E+00   8.04606747E+02   8.38100586E-01   1.60456416E-01   5.31320289E-04   7.80110637E-04   7.80269019E-05   4.54625216E-10   2.29808411E-05   1.14539492E-12  
  67               9.08006463E+00   8.42442000E+02   8.38106040E-01   1.60454996E-01   5.31314539E-04   7.80110829E-04   6.94450074E-05   1.49158583E-09   2.29806372E-05   4.67935201E-12  
  68               1.06047399E+01   8.82636024E+02   8.38111397E-01   1.60453687E-01   5.31306986E-04   7.80115749E-04   6.13143283E-05   4.68787313E-09   2.29804482E-05   1.82682189E-11  
  69               1.23674059E+01   9.23627641E+02   8.38115948E-01   1.60452554E-01   5.31294484E-04   7.80123832E-04   5.43356071E-05   1.33997652E-08   2.29931119E-05   6.46405181E-11  
  70               1.43793419E+01   9.66231478E+02   8.38119809E-01   1.60451529E-01   5.31268328E-04   7.80129150E-04   4.81978490E-05   3.60939895E-08   2.30378497E-05   2.14348403E-10  
  71               1.66558066E+01   1.00889859E+03   8.38122517E-01   1.60450614E-01   5.31213067E-04   7.80115425E-04   4.31996979E-05   8.82032344E-08   2.31821467E-05   6.41348747E-10  
  72               1.92189844E+01   1.05283178E+03   8.38124106E-01   1.60449708E-01   5.31094185E-04   7.80047466E-04   3.89050462E-05   2.03861879E-07   2.36177975E-05   1.80503201E-09  
  73               2.20862096E+01   1.09650292E+03   8.38125386E-01   1.60448972E-01   5.30863046E-04   7.79890468E-04   3.54676701E-05   4.32171947E-07   2.42839271E-05   4.63683647E-09  
  74               2.52731624E+01   1.14112232E+03   8.38127774E-01   1.60448347E-01   5.30420704E-04   7.79588119E-04   3.25259256E-05   8.71744865E-07   2.42836944E-05   1.12748419E-08  
  75               2.87999945E+01   1.18517135E+03   8.38130156E-01   1.60447714E-01   5.29659170E-04   7.78986669E-04   3.01908583E-05   1.63000467E-06   2.42833664E-05   2.53126601E-08  
