# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               Fe               OH              
  36               1.66294762E-02   2.42595260E+03   7.29748185E-01   1.18376270E-01   1.50754923E-01   4.99155147E-04   3.45870585E-04   6.27122904E-05   5.22584673E-05   1.10278902E-05  
  37               1.92477727E-02   2.45849417E+03   7.21717848E-01   1.27111787E-01   1.50054859E-01   4.96837687E-04   3.42666394E-04   6.24099716E-05   5.20145311E-05   1.23393221E-05  
  38               2.22278468E-02   2.49010988E+03   7.13934017E-01   1.35579156E-01   1.49376275E-01   4.94591306E-04   3.39463126E-04   6.21160241E-05   5.17779685E-05   1.36804678E-05  
  39               2.56115921E-02   2.52174704E+03   7.05960546E-01   1.44252823E-01   1.48681151E-01   4.92290125E-04   3.36093936E-04   6.18146147E-05   5.15355920E-05   1.51122636E-05  
  40               2.94526946E-02   2.55258600E+03   6.98268831E-01   1.52619994E-01   1.48010580E-01   4.90070203E-04   3.32741888E-04   6.15227931E-05   5.13016454E-05   1.65643892E-05  
  41               3.38102855E-02   2.58370676E+03   6.90323543E-01   1.61263012E-01   1.47317892E-01   4.87777025E-04   3.29192070E-04   6.12211224E-05   5.10599415E-05   1.81182495E-05  
  42               3.87493496E-02   2.61413880E+03   6.82684719E-01   1.69572655E-01   1.46651911E-01   4.85572242E-04   3.25672385E-04   6.09298571E-05   5.08274030E-05   1.96843411E-05  
  43               4.43409264E-02   2.64503584E+03   6.74733473E-01   1.78222161E-01   1.45958681E-01   4.83277213E-04   3.21922969E-04   6.06265591E-05   5.05853190E-05   2.13632709E-05  
  44               5.06626712E-02   2.67525801E+03   6.67139188E-01   1.86483361E-01   1.45296561E-01   4.81085154E-04   3.18229576E-04   6.03354286E-05   5.03539164E-05   2.30408530E-05  
  45               5.77992638E-02   2.70603803E+03   6.59204263E-01   1.95115119E-01   1.44604730E-01   4.78794697E-04   3.14286866E-04   6.00312068E-05   5.01121074E-05   2.48370296E-05  
  46               6.58428859E-02   2.73613009E+03   6.51677327E-01   2.03303056E-01   1.43948457E-01   4.76621940E-04   3.10430042E-04   5.97409388E-05   4.98825124E-05   2.66161793E-05  
  47               7.48938530E-02   2.76683725E+03   6.43791912E-01   2.11880957E-01   1.43260917E-01   4.74345629E-04   3.06309672E-04   5.94369082E-05   4.96419647E-05   2.85168787E-05  
  48               8.50614057E-02   2.79680289E+03   6.36380864E-01   2.19942827E-01   1.42614723E-01   4.72206176E-04   3.02316464E-04   5.91491717E-05   4.94156275E-05   3.03800132E-05  
  49               9.64644803E-02   2.82744496E+03   6.28586470E-01   2.28421706E-01   1.41935093E-01   4.69955981E-04   2.98043498E-04   5.88467546E-05   4.91775798E-05   3.23678592E-05  
  50               1.09232554E-01   2.85732235E+03   6.21308697E-01   2.36338586E-01   1.41300494E-01   4.67854841E-04   2.93931550E-04   5.85620956E-05   4.89550094E-05   3.43006971E-05  
  51               1.23506517E-01   2.88798286E+03   6.13591797E-01   2.44733150E-01   1.40627593E-01   4.65626843E-04   2.89508451E-04   5.82607310E-05   4.87190374E-05   3.63670555E-05  
  52               1.39439474E-01   2.91789470E+03   6.06404028E-01   2.52552101E-01   1.40000815E-01   4.63551507E-04   2.85267195E-04   5.79775134E-05   4.84989104E-05   3.83665758E-05  
  53               1.57198514E-01   2.94867680E+03   5.98732273E-01   2.60897527E-01   1.39331822E-01   4.61336346E-04   2.80687462E-04   5.76759696E-05   4.82640213E-05   4.05061816E-05  
  54               1.76966446E-01   2.97867258E+03   5.91633913E-01   2.68619179E-01   1.38712814E-01   4.59286618E-04   2.76328276E-04   5.73940968E-05   4.80463032E-05   4.25604682E-05  
  55               1.98944765E-01   3.00955834E+03   5.84053231E-01   2.76865488E-01   1.38051733E-01   4.57097525E-04   2.71628354E-04   5.70939481E-05   4.78138673E-05   4.47508976E-05  
  56               2.23352265E-01   3.03958727E+03   5.77111406E-01   2.84416801E-01   1.37446347E-01   4.55092752E-04   2.67202590E-04   5.68157339E-05   4.76005657E-05   4.68326536E-05  
  57               2.50424443E-01   3.07053460E+03   5.69683463E-01   2.92496886E-01   1.36798556E-01   4.52947492E-04   2.62433456E-04   5.65190980E-05   4.73724255E-05   4.90465419E-05  
  58               2.80422286E-01   3.10058877E+03   5.62933810E-01   2.99839068E-01   1.36209898E-01   4.50997921E-04   2.57980803E-04   5.62457103E-05   4.71645949E-05   5.11341851E-05  
  59               3.13635579E-01   3.13165153E+03   5.55660308E-01   3.07751047E-01   1.35575545E-01   4.48896934E-04   2.53163862E-04   5.59525294E-05   4.69407786E-05   5.33569735E-05  
  60               3.50383966E-01   3.16186738E+03   5.49054951E-01   3.14936144E-01   1.34999442E-01   4.46988682E-04   2.48677203E-04   5.56821082E-05   4.67369465E-05   5.54482270E-05  
  61               3.91020777E-01   3.19323438E+03   5.41860085E-01   3.22762440E-01   1.34371913E-01   4.44910005E-04   2.43787661E-04   5.53895254E-05   4.65151378E-05   5.76835874E-05  
  62               4.35934236E-01   3.22383670E+03   5.35300577E-01   3.29897498E-01   1.33799777E-01   4.43014561E-04   2.39226552E-04   5.51183978E-05   4.63123028E-05   5.97884375E-05  
  63               4.85553909E-01   3.25571857E+03   5.28098957E-01   3.37730944E-01   1.33171623E-01   4.40933430E-04   2.34229888E-04   5.48232211E-05   4.60898949E-05   6.20425172E-05  
  64               5.40353115E-01   3.28687874E+03   5.21525386E-01   3.44881076E-01   1.32598225E-01   4.39033367E-04   2.29573101E-04   5.45490968E-05   4.58862169E-05   6.41623217E-05  
  65               6.00858998E-01   3.31937727E+03   5.14305777E-01   3.52733823E-01   1.31968462E-01   4.36946386E-04   2.24477733E-04   5.42507712E-05   4.56628376E-05   6.64242502E-05  
  66               6.67657245E-01   3.35112171E+03   5.07755661E-01   3.59858143E-01   1.31397068E-01   4.35052365E-04   2.19763484E-04   5.39747975E-05   4.54594101E-05   6.85385094E-05  
  67               7.41405550E-01   3.38419751E+03   5.00601835E-01   3.67638980E-01   1.30772995E-01   4.32983521E-04   2.14638597E-04   5.36760844E-05   4.52375433E-05   7.07767787E-05  
  68               8.22837721E-01   3.41646619E+03   4.94172560E-01   3.74631470E-01   1.30212094E-01   4.31123436E-04   2.09945318E-04   5.34014470E-05   4.50372522E-05   7.28531981E-05  
  69               9.12775675E-01   3.45012096E+03   4.87147675E-01   3.82271608E-01   1.29599215E-01   4.29090697E-04   2.04850009E-04   5.31042877E-05   4.48187468E-05   7.50426195E-05  
  70               1.01213115E+00   3.48300513E+03   4.80846224E-01   3.89124591E-01   1.29049411E-01   4.27266258E-04   2.00200164E-04   5.28309025E-05   4.46217413E-05   7.70699328E-05  
  71               1.12191992E+00   3.51740458E+03   4.73914525E-01   3.96662849E-01   1.28444602E-01   4.25258925E-04   1.95129938E-04   5.25337072E-05   4.44054574E-05   7.92068496E-05  
  72               1.24326315E+00   3.55113651E+03   4.67663732E-01   4.03460206E-01   1.27899160E-01   4.23447417E-04   1.90489743E-04   5.22585238E-05   4.42093483E-05   8.11902634E-05  
  73               1.37740678E+00   3.58656239E+03   4.60722200E-01   4.11008607E-01   1.27293435E-01   4.21435212E-04   1.85393719E-04   5.19573720E-05   4.39921221E-05   8.32817835E-05  
  74               1.52572486E+00   3.62144631E+03   4.54406748E-01   4.17875779E-01   1.26742298E-01   4.19602714E-04   1.80701469E-04   5.16760624E-05   4.37933773E-05   8.52293927E-05  
  75               1.68975421E+00   3.65813618E+03   4.47384750E-01   4.25511222E-01   1.26129500E-01   4.17564487E-04   1.75547147E-04   5.13682275E-05   4.35730266E-05   8.72707377E-05  
  76               1.87120377E+00   3.69431972E+03   4.40988979E-01   4.32465385E-01   1.25571316E-01   4.15705608E-04   1.70804135E-04   5.10799769E-05   4.33711168E-05   8.91666613E-05  
  77               2.07199671E+00   3.73236590E+03   4.33908821E-01   4.40163858E-01   1.24953416E-01   4.13646721E-04   1.65618537E-04   5.07659627E-05   4.31482551E-05   9.11322548E-05  
  78               2.29427702E+00   3.76991773E+03   4.27470519E-01   4.47164242E-01   1.24391513E-01   4.11771076E-04   1.60860190E-04   5.04717700E-05   4.29442533E-05   9.29490269E-05  
  79               2.54046495E+00   3.80935388E+03   4.20393917E-01   4.54859033E-01   1.23773935E-01   4.09707682E-04   1.55695315E-04   5.01533726E-05   4.27206688E-05   9.48061714E-05  
  80               2.81326604E+00   3.84827939E+03   4.13990329E-01   4.61822046E-01   1.23215092E-01   4.07835521E-04   1.50981855E-04   4.98554991E-05   4.25168169E-05   9.65109283E-05  
  81               3.11572514E+00   3.88918826E+03   4.06956040E-01   4.69471396E-01   1.22601254E-01   4.05776070E-04   1.45873653E-04   4.95336271E-05   4.22935887E-05   9.82315959E-05  
  82               3.45122396E+00   3.92971700E+03   4.00548054E-01   4.76439856E-01   1.22042085E-01   4.03892602E-04   1.41189022E-04   4.92302914E-05   4.20886193E-05   9.98071862E-05  
  83               3.82355930E+00   3.97240304E+03   3.93483469E-01   4.84122887E-01   1.21425668E-01   4.01811484E-04   1.36101923E-04   4.89020567E-05   4.18634736E-05   1.01374180E-04  
  84               4.23695227E+00   4.01484491E+03   3.87000155E-01   4.91173948E-01   1.20859985E-01   3.99890486E-04   1.31412182E-04   4.85904510E-05   4.16551585E-05   1.02800306E-04  
  85               4.69615015E+00   4.05956404E+03   3.79869460E-01   4.98929497E-01   1.20237853E-01   3.97770002E-04   1.26338558E-04   4.82542723E-05   4.14269181E-05   1.04185408E-04  
  86               5.20643821E+00   4.10412636E+03   3.73303381E-01   5.06071073E-01   1.19664991E-01   3.95800408E-04   1.21655553E-04   4.79337751E-05   4.12149237E-05   1.05430483E-04  
  87               5.77376108E+00   4.15103780E+03   3.66127730E-01   5.13875922E-01   1.19038971E-01   3.93635360E-04   1.16629219E-04   4.75899982E-05   4.09841069E-05   1.06599666E-04  
  88               6.40473367E+00   4.19785019E+03   3.59515431E-01   5.21068069E-01   1.18462102E-01   3.91614047E-04   1.11997501E-04   4.72614500E-05   4.07694043E-05   1.07631501E-04  
  89               7.10676611E+00   4.24709574E+03   3.52327837E-01   5.28886141E-01   1.17835060E-01   3.89396517E-04   1.07064210E-04   4.69108043E-05   4.05368744E-05   1.08556212E-04  
  90               7.88806412E+00   4.29637055E+03   3.45670035E-01   5.36127952E-01   1.17254238E-01   3.87302179E-04   1.02510982E-04   4.65738899E-05   4.03193621E-05   1.09351011E-04  
  91               8.75775215E+00   4.34823389E+03   3.38442070E-01   5.43990062E-01   1.16623688E-01   3.84996103E-04   9.76845507E-05   4.62151798E-05   4.00841577E-05   1.10011490E-04  
  92               9.72586793E+00   4.40031581E+03   3.31686584E-01   5.51338215E-01   1.16034358E-01   3.82778953E-04   9.32127252E-05   4.58680401E-05   3.98621794E-05   1.10551066E-04  
  93               1.08034781E+01   4.45513442E+03   3.24373688E-01   5.59292758E-01   1.15396414E-01   3.80326629E-04   8.85061748E-05   4.54997934E-05   3.96228890E-05   1.10933133E-04  
  94               1.20026800E+01   4.51028548E+03   3.17509724E-01   5.66758919E-01   1.14797635E-01   3.77928363E-04   8.41519101E-05   4.51421750E-05   3.93960520E-05   1.11208013E-04  
  95               1.33366837E+01   4.56818180E+03   3.10156618E-01   5.74757155E-01   1.14156198E-01   3.75273092E-04   7.96357015E-05   4.47660076E-05   3.91539424E-05   1.11315831E-04  
  96               1.48198052E+01   4.62639394E+03   3.03273475E-01   5.82244077E-01   1.13555760E-01   3.72635650E-04   7.54932703E-05   4.44010047E-05   3.89248397E-05   1.11344593E-04  
  97               1.64674268E+01   4.68735117E+03   2.95961770E-01   5.90197103E-01   1.12917950E-01   3.69695852E-04   7.12545604E-05   4.40198455E-05   3.86822868E-05   1.11214642E-04  
  98               1.82959341E+01   4.74873289E+03   2.89083022E-01   5.97678993E-01   1.12317911E-01   3.66697698E-04   6.73773790E-05   4.36487480E-05   3.84516043E-05   1.11040605E-04  
  99               2.03225164E+01   4.81302863E+03   2.81767869E-01   6.05635414E-01   1.11679815E-01   3.63297561E-04   6.34328639E-05   4.32620482E-05   3.82073212E-05   1.10723867E-04  
  100              2.25651250E+01   4.87787322E+03   2.74840085E-01   6.13170185E-01   1.11075511E-01   3.59727446E-04   5.98343616E-05   4.28843761E-05   3.79735739E-05   1.10404817E-04  
  101              2.50421929E+01   4.94562915E+03   2.67523540E-01   6.21127507E-01   1.10437302E-01   3.55631797E-04   5.62229974E-05   4.24936044E-05   3.77277560E-05   1.09982593E-04  
