# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              CO               N2              
  34               3.39578858E-02   1.64795600E+02   8.38729626E-01   1.60589376E-01   5.31761031E-04   1.32645695E-07   1.21819233E-04   2.30007052E-05   2.78431637E-61   1.35769483E-23  
  35               3.80287301E-02   1.68266463E+02   8.38729166E-01   1.60589288E-01   5.31760739E-04   1.33156341E-07   1.21819166E-04   2.30006926E-05   4.50244875E-60   3.92455376E-23  
  36               4.28017930E-02   1.73584269E+02   8.38729166E-01   1.60589288E-01   5.31760739E-04   6.81412815E-07   1.21819166E-04   2.30006926E-05   1.44787874E-57   2.02651255E-22  
  37               4.83952407E-02   1.77419848E+02   8.38726667E-01   1.60588810E-01   5.31759155E-04   6.84173639E-07   1.21818803E-04   2.30006240E-05   2.27876769E-56   5.74797617E-22  
  38               5.49458616E-02   1.83223418E+02   8.38726667E-01   1.60588810E-01   5.31759155E-04   3.66145059E-06   1.21818803E-04   2.30006240E-05   6.98998912E-54   2.84080680E-21  
  39               6.26109595E-02   1.87952607E+02   8.38720386E-01   1.60587607E-01   5.31755172E-04   3.66829968E-06   1.21817891E-04   2.30004518E-05   1.48289818E-52   9.13010246E-21  
  40               7.15725665E-02   1.95417979E+02   8.38698873E-01   1.60583488E-01   5.31741533E-04   1.11729257E-05   1.21814767E-04   2.29998618E-05   4.70021411E-50   5.83170972E-20  
  41               8.20126267E-02   2.04050984E+02   8.38633081E-01   1.60570891E-01   5.31699821E-04   3.68585883E-05   1.21805211E-04   2.29980576E-05   2.23569843E-47   4.30091140E-19  
  42               9.40815700E-02   2.13086254E+02   8.38073995E-01   1.60463844E-01   5.31345356E-04   1.15165858E-04   1.21724008E-04   2.29827256E-05   8.23280277E-45   2.91877334E-18  
  43               1.07442422E-01   2.22147504E+02   8.38073995E-01   1.60463844E-01   5.31345356E-04   7.81828212E-04   1.21724008E-04   2.29827256E-05   4.51864756E-42   1.70206164E-17  
  44               1.21514673E-01   2.30844994E+02   8.38073995E-01   1.60463844E-01   5.31345356E-04   7.81828212E-04   1.21724008E-04   2.29827256E-05   2.20779299E-40   8.09163504E-17  
  45               1.37913297E-01   2.40095914E+02   8.38073995E-01   1.60463844E-01   5.31345356E-04   7.81828212E-04   1.21724008E-04   2.29827256E-05   1.01212953E-38   3.74405463E-16  
  46               1.57018579E-01   2.49923089E+02   8.38073995E-01   1.60463844E-01   5.31345356E-04   7.81828212E-04   1.21724008E-04   2.29827256E-05   4.31039016E-37   1.67962393E-15  
