# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              O-3P             Mg               OH              
  34               1.18067603E-03   2.38255908E+03   5.49748250E-01   3.14184058E-01   1.35062995E-01   4.47195414E-04   2.79479227E-04   1.13622789E-05   5.62765428E-05   2.97638219E-05  
  35               1.34276242E-03   2.40350863E+03   5.41932441E-01   3.22686379E-01   1.34381485E-01   4.44939358E-04   2.75238387E-04   1.24201721E-05   5.59907460E-05   3.13400147E-05  
  36               1.52857274E-03   2.42417728E+03   5.33770733E-01   3.31564994E-01   1.33669798E-01   4.42583397E-04   2.70712823E-04   1.35979632E-05   5.56922657E-05   3.30104015E-05  
  37               1.74140621E-03   2.44592963E+03   5.25790407E-01   3.40246314E-01   1.32973909E-01   4.40279743E-04   2.66150740E-04   1.48353452E-05   5.54002434E-05   3.46962087E-05  
  38               1.98498280E-03   2.46734720E+03   5.17495887E-01   3.49269440E-01   1.32250606E-01   4.37885331E-04   2.61307292E-04   1.62038076E-05   5.50966831E-05   3.64685206E-05  
  39               2.26284939E-03   2.48977977E+03   5.09430059E-01   3.58043803E-01   1.31547224E-01   4.35556881E-04   2.56453111E-04   1.76304218E-05   5.48012924E-05   3.82419845E-05  
  40               2.57948830E-03   2.51177617E+03   5.01087810E-01   3.67118885E-01   1.30819720E-01   4.33148572E-04   2.51329421E-04   1.91963154E-05   5.44957311E-05   4.00900872E-05  
  41               2.94016434E-03   2.53477837E+03   4.93014014E-01   3.75901949E-01   1.30115605E-01   4.30817704E-04   2.46222039E-04   2.08166647E-05   5.41997732E-05   4.19246118E-05  
  42               3.35080436E-03   2.55731922E+03   4.84684147E-01   3.84963593E-01   1.29389141E-01   4.28412848E-04   2.40851667E-04   2.25851939E-05   5.38943742E-05   4.38230878E-05  
  43               3.81804321E-03   2.58087757E+03   4.76642802E-01   3.93711387E-01   1.28687816E-01   4.26091230E-04   2.35518532E-04   2.44046753E-05   5.35992934E-05   4.56952354E-05  
  44               4.34929315E-03   2.60395908E+03   4.68352343E-01   4.02730193E-01   1.27964748E-01   4.23697629E-04   2.29926046E-04   2.63817882E-05   5.32950148E-05   4.76203618E-05  
  45               4.95278181E-03   2.62807464E+03   4.60360282E-01   4.11424400E-01   1.27267682E-01   4.21390121E-04   2.24390461E-04   2.84055085E-05   5.30014002E-05   4.95065536E-05  
