# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               CH4             
  1                1.00000000E-05   5.73156022E+02   8.38438240E-01   1.60376104E-01   1.69426604E-15   2.05189159E-04   5.62062098E-04   6.08267578E-05   0.00000000E+00   3.20142002E-04  
  2                1.33987704E-05   6.04544396E+02   8.38606413E-01   1.60335101E-01   1.92925009E-14   3.33850181E-04   4.35053970E-04   6.08114769E-05   0.00000000E+00   1.92244314E-04  
  3                1.84142008E-05   6.19781979E+02   8.38707606E-01   1.60310356E-01   5.00777346E-14   4.11763172E-04   3.58702903E-04   6.08021596E-05   0.00000000E+00   1.15064068E-04  
  4                2.55666133E-05   6.34884768E+02   8.38735704E-01   1.60303371E-01   1.03231237E-13   4.34163678E-04   3.37613362E-04   6.07993472E-05   0.00000000E+00   9.32885458E-05  
  5                3.48424188E-05   6.46966518E+02   8.38752625E-01   1.60299135E-01   1.93682164E-13   4.47837575E-04   3.24941419E-04   6.07975262E-05   0.00000000E+00   8.00861057E-05  
  6                4.65622491E-05   6.58529078E+02   8.38761125E-01   1.60296974E-01   3.30610693E-13   4.54905012E-04   3.18604667E-04   6.07964419E-05   0.00000000E+00   7.33577089E-05  
  7                6.11468354E-05   6.68823541E+02   8.38767621E-01   1.60295314E-01   5.43599452E-13   4.60344304E-04   3.13767491E-04   6.07955233E-05   0.00000000E+00   6.81921029E-05  
  8                7.91815533E-05   6.79240293E+02   8.38771843E-01   1.60294217E-01   8.51129558E-13   4.63969990E-04   3.10635438E-04   6.07947827E-05   0.00000000E+00   6.47865344E-05  
  9                1.01397146E-04   6.88757975E+02   8.38775780E-01   1.60293194E-01   1.31122639E-12   4.67333190E-04   3.07708733E-04   6.07940468E-05   0.00000000E+00   6.16127807E-05  
  10               1.28693708E-04   6.98611185E+02   8.38778388E-01   1.60292499E-01   1.95468812E-12   4.69638871E-04   3.05777582E-04   6.07933938E-05   0.00000000E+00   5.94660101E-05  
  11               1.62167301E-04   7.07772849E+02   8.38781123E-01   1.60291773E-01   2.89738956E-12   4.72022693E-04   3.03738715E-04   6.07927011E-05   0.00000000E+00   5.72237187E-05  
  12               2.03161328E-04   7.17434367E+02   8.38782984E-01   1.60291260E-01   4.19739927E-12   4.73715852E-04   3.02351450E-04   6.07920405E-05   0.00000000E+00   5.56527393E-05  
  13               2.53311534E-04   7.26548194E+02   8.38785157E-01   1.60290665E-01   6.08333435E-12   4.75647236E-04   3.00710415E-04   6.07913162E-05   0.00000000E+00   5.38326733E-05  
  14               3.14612923E-04   7.36256073E+02   8.38786652E-01   1.60290232E-01   8.65970270E-12   4.77049084E-04   2.99571553E-04   6.07905949E-05   0.00000000E+00   5.25285972E-05  
  15               3.89477562E-04   7.45468350E+02   8.38788427E-01   1.60289719E-01   1.23512660E-11   4.78684626E-04   2.98189565E-04   6.07898018E-05   0.00000000E+00   5.09830282E-05  
  16               4.80819439E-04   7.55284634E+02   8.38789521E-01   1.60289365E-01   1.73171729E-11   4.79798682E-04   2.97306777E-04   6.07889948E-05   0.00000000E+00   4.99484978E-05  
  17               5.92159192E-04   7.64583786E+02   8.38790760E-01   1.60288953E-01   2.43095707E-11   4.81070246E-04   2.96259256E-04   6.07881113E-05   0.00000000E+00   4.87503089E-05  
