# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               Mg              
  1                1.00000000E-05   3.52125715E+02   8.38153495E-01   1.60444405E-01   5.09799264E-28   7.77800428E-04   3.33096734E-16   5.31280987E-04   5.96436484E-05   0.00000000E+00  
  2                2.95885917E-05   4.10176339E+02   8.38154163E-01   1.60444057E-01   1.14481932E-23   7.77863900E-04   9.68225694E-13   5.31279833E-04   6.04938293E-05   0.00000000E+00  
  3                5.09857536E-05   4.40697836E+02   8.38152460E-01   1.60444016E-01   7.41322549E-22   7.79736559E-04   2.40908312E-11   5.31279663E-04   6.06222754E-05   0.00000000E+00  
  4                7.51755497E-05   4.53695892E+02   8.38152459E-01   1.60444016E-01   3.38076056E-21   7.79736550E-04   5.84216647E-11   5.31279621E-04   6.06209653E-05   0.00000000E+00  
  5                1.02901205E-04   4.69303200E+02   8.38152494E-01   1.60444008E-01   1.99210231E-20   7.79736324E-04   2.04201136E-10   5.31279417E-04   6.06472739E-05   0.00000000E+00  
  6                1.34827577E-04   4.76584856E+02   8.38152473E-01   1.60444013E-01   4.10351553E-20   7.79736275E-04   2.74524959E-10   5.31279356E-04   6.06307643E-05   0.00000000E+00  
  7                1.71693697E-04   4.88909998E+02   8.38152495E-01   1.60444008E-01   1.46585576E-19   7.79735795E-04   6.60397613E-10   5.31278903E-04   6.06466124E-05   0.00000000E+00  
  8                2.14320829E-04   4.94395802E+02   8.38152470E-01   1.60444014E-01   2.38650078E-19   7.79735731E-04   7.60713172E-10   5.31278819E-04   6.06279696E-05   0.00000000E+00  
  9                2.63659692E-04   5.05489453E+02   8.38152489E-01   1.60444009E-01   6.93564579E-19   7.79734791E-04   1.58060713E-09   5.31277909E-04   6.06409195E-05   0.00000000E+00  
  10               3.20797275E-04   5.10146384E+02   8.38152463E-01   1.60444015E-01   1.01235620E-18   7.79734724E-04   1.70269014E-09   5.31277810E-04   6.06214115E-05   0.00000000E+00  
  11               3.87017459E-04   5.20575306E+02   8.38152480E-01   1.60444011E-01   2.59693164E-18   7.79733046E-04   3.23164201E-09   5.31276161E-04   6.06325347E-05   0.00000000E+00  
  12               4.63800620E-04   5.24801318E+02   8.38152453E-01   1.60444017E-01   3.56784022E-18   7.79732998E-04   3.35934120E-09   5.31276065E-04   6.06122716E-05   0.00000000E+00  
  13               5.52869757E-04   5.34947648E+02   8.38152471E-01   1.60444013E-01   8.48128544E-18   7.79730138E-04   6.03590293E-09   5.31273231E-04   6.06224775E-05   0.00000000E+00  
  14               6.56203272E-04   5.39056568E+02   8.38152444E-01   1.60444020E-01   1.13393617E-17   7.79730077E-04   6.20273855E-09   5.31273103E-04   6.06019677E-05   0.00000000E+00  
  15               7.76097025E-04   5.49231107E+02   8.38152464E-01   1.60444015E-01   2.58321651E-17   7.79725218E-04   1.08332666E-08   5.31268260E-04   6.06121296E-05   0.00000000E+00  
  16               9.15182083E-04   5.53507233E+02   8.38152438E-01   1.60444021E-01   3.44880301E-17   7.79724948E-04   1.12340608E-08   5.31267898E-04   6.05922198E-05   0.00000000E+00  
  17               1.07651505E-03   5.63880656E+02   8.38152463E-01   1.60444015E-01   7.64942214E-17   7.79716592E-04   1.92981430E-08   5.31259540E-04   6.06026358E-05   0.00000000E+00  
  18               1.26360343E-03   5.68394930E+02   8.38152438E-01   1.60444020E-01   1.02427955E-16   7.79715831E-04   2.02235348E-08   5.31258651E-04   6.05833291E-05   0.00000000E+00  
  19               1.48051367E-03   5.79051907E+02   8.38152472E-01   1.60444012E-01   2.22618342E-16   7.79701373E-04   3.43055782E-08   5.31244158E-04   6.05939836E-05   0.00000000E+00  
  20               1.73189851E-03   5.83913881E+02   8.38152449E-01   1.60444017E-01   3.00984426E-16   7.79699379E-04   3.65062565E-08   5.31241981E-04   6.05755768E-05   0.00000000E+00  
  21               2.02313441E-03   5.94992129E+02   8.38152496E-01   1.60444004E-01   6.46914999E-16   7.79673763E-04   6.16151593E-08   5.31216279E-04   6.05867557E-05   0.00000000E+00  
  22               2.36034566E-03   6.00352907E+02   8.38152480E-01   1.60444008E-01   8.90626049E-16   7.79668560E-04   6.70686951E-08   5.31210812E-04   6.05698166E-05   0.00000000E+00  
