# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              Mg               N2               Fe              
  1                1.00000000E-05   9.73114773E+02   8.38848842E-01   1.60272725E-01   3.12671456E-07   5.30452102E-04   2.50839762E-04   4.13876276E-12   6.07894938E-05   3.87913942E-10  
  2                2.83552792E-04   1.12447650E+03   8.38846449E-01   1.60272503E-01   2.37810175E-06   5.30564299E-04   2.50967828E-04   9.09939561E-10   6.07891943E-05   1.17818300E-08  
  3                5.50768267E-04   1.19440055E+03   8.38841413E-01   1.60272021E-01   6.89869883E-06   5.30590220E-04   2.51249704E-04   1.23605628E-08   6.07889222E-05   7.55889051E-08  
  4                8.40080289E-04   1.22682103E+03   8.38835503E-01   1.60271285E-01   1.01213635E-05   5.30597497E-04   2.51750002E-04   3.24191211E-08   6.07885391E-05   3.79455254E-07  
  5                1.15842377E-03   1.26840914E+03   8.38824055E-01   1.60270491E-01   1.76829957E-05   5.30604193E-04   2.55716269E-04   9.42998463E-08   6.07881708E-05   3.79452108E-07  
  6                1.51191764E-03   1.28880826E+03   8.38805376E-01   1.60267319E-01   2.16541229E-05   5.30598342E-04   2.55810669E-04   1.61307852E-07   6.07868672E-05   1.10881504E-06  
  7                1.89504646E-03   1.32292743E+03   8.38774962E-01   1.60265987E-01   3.31500007E-05   5.30594085E-04   2.75831680E-04   1.66170109E-07   6.07863040E-05   1.10880173E-06  
  8                2.31045458E-03   1.33908281E+03   8.38767810E-01   1.60265278E-01   3.83830053E-05   5.30594686E-04   2.76669115E-04   5.83344753E-07   6.07859377E-05   3.21040923E-06  
  9                2.77404222E-03   1.37005746E+03   8.38745908E-01   1.60263479E-01   5.52151420E-05   5.30593173E-04   2.80831680E-04   3.32965962E-06   6.07851991E-05   3.21035971E-06  
  10               3.29377355E-03   1.38450288E+03   8.38726183E-01   1.60260377E-01   6.22226308E-05   5.30585367E-04   2.80791601E-04   3.32943722E-06   6.07839174E-05   3.21028638E-06  
