# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               NH3             
  34               2.15969638E-01   6.46604612E+02   8.38137596E-01   1.60447548E-01   2.17795126E-15   7.80042841E-04   5.31291206E-04   1.83696828E-10   4.96146735E-05   2.24822987E-05  
  35               2.56625574E-01   6.70845797E+02   8.38139808E-01   1.60447010E-01   8.77772805E-15   7.80040921E-04   5.31289034E-04   5.69011503E-10   5.12890416E-05   1.91331542E-05  
  36               3.04174102E-01   6.92801872E+02   8.38141197E-01   1.60446666E-01   2.81964292E-14   7.80039972E-04   5.31287043E-04   1.41476782E-09   5.23498276E-05   1.70113215E-05  
  37               3.59474553E-01   7.19640990E+02   8.38142846E-01   1.60446250E-01   1.08123764E-13   7.80038315E-04   5.31282830E-04   4.22940460E-09   5.36220902E-05   1.44664803E-05  
  38               4.23416075E-01   7.44193596E+02   8.38143765E-01   1.60445950E-01   3.36325152E-13   7.80035298E-04   5.31275704E-04   1.03304358E-08   5.44443792E-05   1.28216752E-05  
  39               4.96919909E-01   7.73493911E+02   8.38144805E-01   1.60445603E-01   1.19975600E-12   7.80023392E-04   5.31255620E-04   2.91832821E-08   5.53775136E-05   1.09551430E-05  
  40               5.81134516E-01   8.00634576E+02   8.38145659E-01   1.60445390E-01   3.55607274E-12   7.79994605E-04   5.31215015E-04   6.89439308E-08   5.59964249E-05   9.71715819E-06  
  41               6.77322713E-01   8.32528408E+02   8.38146669E-01   1.60445131E-01   1.17615424E-11   7.79900581E-04   5.31099594E-04   1.83183044E-07   5.66741691E-05   8.36147194E-06  
  42               7.86768516E-01   8.62386906E+02   8.38147494E-01   1.60444897E-01   3.30187145E-11   7.79696032E-04   5.30866230E-04   4.15232315E-07   5.71335423E-05   7.44254469E-06  
  43               9.10796944E-01   8.96903488E+02   8.38148711E-01   1.60444509E-01   1.00774281E-10   7.79126393E-04   5.30248984E-04   1.03000482E-06   5.76217306E-05   6.46586482E-06  
  44               1.05082337E+00   9.29381703E+02   8.38150048E-01   1.60443925E-01   2.65185250E-10   7.78002510E-04   5.29065810E-04   2.20934591E-06   5.79569842E-05   5.79489344E-06  
  45               1.20863906E+00   9.66516274E+02   8.38152856E-01   1.60442709E-01   7.45395409E-10   7.75222970E-04   5.26197871E-04   5.06935806E-06   5.83077426E-05   5.09239679E-06  
  46               1.38666440E+00   1.00179682E+03   8.38158637E-01   1.60440872E-01   1.84216468E-09   7.70208964E-04   5.21073406E-04   1.01818976E-05   5.85522507E-05   4.60186700E-06  
  47               1.58825746E+00   1.04190332E+03   8.38173489E-01   1.60437212E-01   4.80973315E-09   7.59278246E-04   5.09959891E-04   2.12725796E-05   5.88045394E-05   4.09421343E-06  
  48               1.81807595E+00   1.08018160E+03   8.38196563E-01   1.60431550E-01   1.11734073E-08   7.42053862E-04   4.92530368E-04   3.86695458E-05   5.89775448E-05   3.74333866E-06  
  49               2.08365577E+00   1.12279850E+03   8.38236741E-01   1.60421716E-01   2.67609635E-08   7.11896925E-04   4.62106297E-04   6.90415235E-05   5.91455032E-05   3.39876100E-06  
  50               2.39529327E+00   1.16299900E+03   8.38285124E-01   1.60409885E-01   5.69991746E-08   6.75456747E-04   4.25392036E-04   1.05698492E-04   5.92478843E-05   3.18311393E-06  
  51               2.76741412E+00   1.20648351E+03   8.38347190E-01   1.60394710E-01   1.21870002E-07   6.28633795E-04   3.78256309E-04   1.52766312E-04   5.93368218E-05   2.99047410E-06  
  52               3.21566174E+00   1.24644416E+03   8.38401999E-01   1.60381293E-01   2.30924358E-07   5.87195684E-04   3.36547061E-04   1.94419525E-04   5.93707513E-05   2.90820307E-06  
  53               3.75678798E+00   1.28950452E+03   8.38459790E-01   1.60367119E-01   4.39245825E-07   5.43416975E-04   2.92496565E-04   2.38412690E-04   5.93971035E-05   2.83851553E-06  
  54               4.40711635E+00   1.32896137E+03   8.38502784E-01   1.60356517E-01   7.53868434E-07   5.10690142E-04   2.59559361E-04   2.71306720E-04   5.93827948E-05   2.85177369E-06  
  55               5.18176754E+00   1.37148773E+03   8.38545349E-01   1.60345941E-01   1.30387862E-06   4.78106656E-04   2.26767853E-04   3.04052984E-04   5.93670331E-05   2.86529912E-06  
  56               6.09335499E+00   1.41019651E+03   8.38574085E-01   1.60338637E-01   2.06309850E-06   4.55749084E-04   2.04227704E-04   3.26557508E-04   5.93197248E-05   2.94329198E-06  
  57               7.15343328E+00   1.45210773E+03   8.38602948E-01   1.60331093E-01   3.30881603E-06   4.32926264E-04   1.81115510E-04   3.49628444E-04   5.92766399E-05   3.00924983E-06  
  58               8.37334490E+00   1.49035549E+03   8.38620948E-01   1.60325861E-01   4.93035765E-06   4.17693439E-04   1.65555374E-04   3.65151999E-04   5.92087752E-05   3.12529979E-06  
  59               9.76481345E+00   1.53235225E+03   8.38636223E-01   1.60319316E-01   7.50712979E-06   4.01244277E-04   1.48323296E-04   3.82336064E-04   5.91496294E-05   3.21855272E-06  
  60               1.13300522E+01   1.57116634E+03   8.38644452E-01   1.60314764E-01   1.07817384E-05   3.93876185E-04   1.35281253E-04   3.95333015E-04   5.90726786E-05   3.34826138E-06  
  61               1.30664551E+01   1.61455942E+03   8.38645303E-01   1.60307337E-01   1.59569988E-05   3.80005743E-04   1.20984754E-04   4.09565225E-04   5.90104582E-05   3.43998620E-06  
  62               1.49481859E+01   1.65557666E+03   8.38641059E-01   1.60302074E-01   2.26151137E-05   3.82469469E-04   1.06927194E-04   4.23565080E-04   5.89423599E-05   3.54775374E-06  
  63               1.69466377E+01   1.70195807E+03   8.38643619E-01   1.60296199E-01   3.31978647E-05   3.71230285E-04   9.31999991E-05   4.37219262E-04   5.88971035E-05   3.60014573E-06  
  64               1.90216403E+01   1.74688933E+03   8.38627170E-01   1.60288818E-01   4.72331453E-05   3.66537409E-04   8.09034258E-05   4.49435797E-04   5.88526072E-05   3.65046435E-06  
  65               2.10795171E+01   1.79884207E+03   8.38579540E-01   1.60277144E-01   7.03197740E-05   3.75099024E-04   6.41235288E-05   4.66126715E-04   5.88485976E-05   3.62169348E-06  
  66               2.30108430E+01   1.83661054E+03   8.38507182E-01   1.60266179E-01   9.18480268E-05   4.00019455E-04   5.36286880E-05   4.76558261E-04   5.88185950E-05   3.66182727E-06  
  67               2.47432438E+01   1.87596426E+03   8.38446252E-01   1.60257683E-01   1.20869688E-04   4.20812190E-04   4.40399567E-05   4.86093876E-04   5.88163695E-05   3.64866037E-06  
  68               2.62588512E+01   1.90087829E+03   8.38430198E-01   1.60255200E-01   1.41918653E-04   4.18265376E-04   4.14743362E-05   4.88613666E-04   5.87818530E-05   3.69526728E-06  
  69               2.79336804E+01   1.93595333E+03   8.38393430E-01   1.60249098E-01   1.78398855E-04   4.13757900E-04   3.69443601E-05   4.93076899E-04   5.87695889E-05   3.68947004E-06  
  70               2.93452361E+01   1.95615530E+03   8.38374195E-01   1.60246828E-01   2.01299083E-04   4.12322711E-04   3.54923678E-05   4.94485606E-04   5.87340898E-05   3.74003540E-06  
  71               3.04792339E+01   1.97997065E+03   8.38348040E-01   1.60243386E-01   2.33575172E-04   4.09638964E-04   3.27862304E-05   4.97147403E-04   5.87292330E-05   3.72939200E-06  
  72               3.17583113E+01   1.99621051E+03   8.38328476E-01   1.60241348E-01   2.55961312E-04   4.08818499E-04   3.19529796E-05   4.97941070E-04   5.86945414E-05   3.78057610E-06  
  73               3.31962832E+01   2.02364043E+03   8.38290111E-01   1.60236900E-01   3.01317556E-04   4.06259423E-04   2.93681154E-05   5.00469268E-04   5.86831799E-05   3.77799662E-06  
  74               3.48045252E+01   2.04330626E+03   8.38227996E-01   1.60227796E-01   3.35054607E-04   4.05387065E-04   2.84822402E-05   5.01282281E-04   5.86395719E-05   3.83714407E-06  
  75               3.59554100E+01   2.06504717E+03   8.38189492E-01   1.60223687E-01   3.79453488E-04   4.03583545E-04   2.66456150E-05   5.03070673E-04   5.86320796E-05   3.83126473E-06  
  76               3.67524357E+01   2.07170540E+03   8.38178188E-01   1.60222739E-01   3.91612987E-04   4.03631558E-04   2.66840581E-05   5.03008633E-04   5.86048258E-05   3.87536276E-06  
  77               3.76685281E+01   2.08947950E+03   8.38142181E-01   1.60218984E-01   4.32732790E-04   4.02238450E-04   2.52375159E-05   5.04414423E-04   5.86009223E-05   3.86592400E-06  
  78               3.87175795E+01   2.09912396E+03   8.38123381E-01   1.60217326E-01   4.53258180E-04   4.02145235E-04   2.51312102E-05   5.04487256E-04   5.85689101E-05   3.91548116E-06  
  79               3.99184772E+01   2.12015594E+03   8.38075020E-01   1.60212489E-01   5.07922431E-04   4.00683379E-04   2.36588662E-05   5.05906565E-04   5.85590236E-05   3.91316351E-06  
  80               4.12885642E+01   2.13324697E+03   8.38045251E-01   1.60209827E-01   5.40541558E-04   4.00467933E-04   2.34257498E-05   5.06093033E-04   5.85207462E-05   3.97001257E-06  
  81               4.28465634E+01   2.15791455E+03   8.37979261E-01   1.60203465E-01   6.14345635E-04   3.99019767E-04   2.19634301E-05   5.07486117E-04   5.85031464E-05   3.97696742E-06  
  82               4.46121589E+01   2.17474153E+03   8.37933837E-01   1.60199407E-01   6.64097763E-04   3.98719428E-04   2.16392344E-05   5.07746486E-04   5.84569092E-05   4.04316023E-06  
  83               4.66066281E+01   2.20323571E+03   8.37843273E-01   1.60190938E-01   7.64518481E-04   3.97334601E-04   2.02348628E-05   5.09060480E-04   5.84295925E-05   4.06181053E-06  
  84               4.88522139E+01   2.22393618E+03   8.37775826E-01   1.60184950E-01   8.38262332E-04   3.96995984E-04   1.98638640E-05   5.09345386E-04   5.83734289E-05   4.13967188E-06  
