# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(s)           N2              
  34               5.78802381E-02   1.40042260E+02   8.38729725E-01   1.60589411E-01   5.31761146E-04   1.37540946E-10   1.21819260E-04   2.30012437E-05   0.00000000E+00   8.28431878E-29  
  35               6.18449438E-02   1.43098298E+02   8.38729724E-01   1.60589411E-01   5.31761146E-04   1.38271972E-10   1.21819260E-04   2.30012437E-05   7.83991614E-10   3.40534281E-28  
  36               6.65046541E-02   1.46513407E+02   8.38729724E-01   1.60589411E-01   5.31761146E-04   9.22263586E-10   1.21819260E-04   2.30012437E-05   0.00000000E+00   1.54049221E-27  
  37               7.19779747E-02   1.50332925E+02   8.38729723E-01   1.60589411E-01   5.31761145E-04   9.23800722E-10   1.21819259E-04   2.30012436E-05   1.64851207E-09   7.68474361E-27  
  38               7.84034076E-02   1.54562803E+02   8.38729718E-01   1.60589410E-01   5.31761142E-04   2.57690516E-09   1.21819259E-04   2.30012435E-05   4.92515337E-09   4.15053111E-26  
  39               8.59429103E-02   1.59245201E+02   8.38729706E-01   1.60589408E-01   5.31761134E-04   7.51610184E-09   1.21819257E-04   2.30012432E-05   1.50613408E-08   2.41908845E-25  
  40               9.47860526E-02   1.64381695E+02   8.38729666E-01   1.60589400E-01   5.31761109E-04   2.26212935E-08   1.21819251E-04   2.30012421E-05   4.70332645E-08   1.48934198E-24  
  41               1.05153657E-01   1.70000591E+02   8.38729542E-01   1.60589376E-01   5.31761031E-04   6.97924477E-08   1.21819233E-04   2.30012387E-05   1.47932292E-07   9.58689516E-24  
  42               1.17301384E-01   1.76106072E+02   8.38729152E-01   1.60589302E-01   5.31760783E-04   2.18157369E-07   1.21819177E-04   2.30012280E-05   4.64488416E-07   6.33133827E-23  
  43               1.31527091E-01   1.82705383E+02   8.38727935E-01   1.60589068E-01   5.31760012E-04   6.83992964E-07   1.21819000E-04   2.30011946E-05   1.44979997E-06   4.22148971E-22  
  44               1.48177820E-01   1.89822185E+02   8.38724224E-01   1.60588358E-01   5.31757659E-04   2.13787095E-06   1.21818461E-04   2.30010928E-05   4.42064482E-06   2.81462695E-21  
  45               1.67647342E-01   1.97429914E+02   8.38713150E-01   1.60586238E-01   5.31750638E-04   6.57041855E-06   1.21816852E-04   2.30007891E-05   1.31911599E-05   1.83472217E-20  
  46               1.90373244E-01   2.05555001E+02   8.38681440E-01   1.60580166E-01   5.31730533E-04   1.97934635E-05   1.21812247E-04   2.29999195E-05   3.77755694E-05   1.16387204E-19  
  47               2.16800640E-01   2.14140886E+02   8.38594518E-01   1.60563523E-01   5.31675424E-04   5.76397415E-05   1.21799622E-04   2.29975358E-05   1.03564760E-04   7.02092960E-19  
  48               2.47236644E-01   2.23153458E+02   8.38073912E-01   1.60463844E-01   5.31345356E-04   1.61104961E-04   1.21724008E-04   2.29832587E-05   6.20806491E-04   3.98260923E-18  
  49               2.80808162E-01   2.32173078E+02   8.38073912E-01   1.60463844E-01   5.31345356E-04   7.81911453E-04   1.21724008E-04   2.29832587E-05   0.00000000E+00   1.97392024E-17  
  50               3.16683679E-01   2.41010265E+02   8.38073912E-01   1.60463844E-01   5.31345356E-04   7.81911453E-04   1.21724008E-04   2.29832587E-05   0.00000000E+00   8.41200279E-17  
  51               3.58557439E-01   2.50420948E+02   8.38073912E-01   1.60463844E-01   5.31345356E-04   7.81911453E-04   1.21724008E-04   2.29832587E-05   0.00000000E+00   3.50942564E-16  
  52               4.07436757E-01   2.60477918E+02   8.38073912E-01   1.60463844E-01   5.31345356E-04   7.81911453E-04   1.21724008E-04   2.29832587E-05   0.00000000E+00   1.43869608E-15  
  53               4.64487719E-01   2.71134645E+02   8.38073912E-01   1.60463844E-01   5.31345356E-04   7.81911453E-04   1.21724008E-04   2.29832587E-05   0.00000000E+00   5.70493458E-15  
  54               5.31042452E-01   2.82467236E+02   8.38073912E-01   1.60463844E-01   5.31345356E-04   7.81911453E-04   1.21724008E-04   2.29832587E-05   0.00000000E+00   2.19875011E-14  
  55               6.08628032E-01   2.94415499E+02   8.38073912E-01   1.60463844E-01   5.31345356E-04   7.81911453E-04   1.21724008E-04   2.29832587E-05   0.00000000E+00   8.11982893E-14  
  56               6.99032473E-01   3.07070007E+02   8.38073912E-01   1.60463844E-01   5.31345356E-04   7.81911453E-04   1.21724007E-04   2.29832587E-05   0.00000000E+00   2.89370050E-13  
  57               8.04318976E-01   3.20369899E+02   8.38073912E-01   1.60463844E-01   5.31345356E-04   7.81911426E-04   1.21724006E-04   2.29832587E-05   0.00000000E+00   9.83770013E-13  
  58               9.26878936E-01   3.34415768E+02   8.38073912E-01   1.60463844E-01   5.31345356E-04   7.81911353E-04   1.21724001E-04   2.29832587E-05   0.00000000E+00   3.21595114E-12  
  59               1.06949965E+00   3.49141126E+02   8.38073912E-01   1.60463844E-01   5.31345356E-04   7.81910703E-04   1.21723988E-04   2.29832587E-05   0.00000000E+00   1.00095891E-11  
  60               1.23541561E+00   3.64659104E+02   8.38073905E-01   1.60463843E-01   5.31345351E-04   7.81910696E-04   1.21723947E-04   2.29832585E-05   0.00000000E+00   2.99147489E-11  
  61               1.42832341E+00   3.80898520E+02   8.38073913E-01   1.60463844E-01   5.31345354E-04   7.81901478E-04   1.21723837E-04   2.29832586E-05   0.00000000E+00   8.51316513E-11  
  62               1.65236902E+00   3.97973611E+02   8.38073914E-01   1.60463844E-01   5.31345353E-04   7.81901478E-04   1.21723542E-04   2.29832586E-05   0.00000000E+00   2.32533101E-10  
  63               1.91224321E+00   4.15793759E+02   8.38073630E-01   1.60463789E-01   5.31345173E-04   7.81901215E-04   1.21722756E-04   2.29832508E-05   0.00000000E+00   6.04873885E-10  
