# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               NH3              N2              
  1                1.00000000E-05   1.41962682E+02   8.38728306E-01   1.60589136E-01   6.08257403E-07   5.31760234E-04   9.13090026E-76   1.06066621E-63   1.21819051E-04   7.38739645E-21  
  2                1.73880142E-05   1.47384232E+02   8.38725127E-01   1.60588527E-01   1.69783527E-06   5.31758218E-04   5.97521866E-73   4.76312825E-61   1.21818589E-04   3.39624699E-20  
  3                2.64879892E-05   1.52855036E+02   8.38721878E-01   1.60587905E-01   6.07044441E-06   5.31756158E-04   1.42103481E-67   6.68940182E-56   1.21818117E-04   3.08166767E-19  
  4                3.77081539E-05   1.54661967E+02   8.38719299E-01   1.60587411E-01   9.36197479E-06   5.31754523E-04   4.89512066E-67   1.64743576E-55   1.21817742E-04   5.00021990E-19  
  5                5.15445199E-05   1.60558304E+02   8.38717356E-01   1.60587039E-01   1.24355896E-05   5.31753292E-04   3.10970762E-65   4.13880488E-54   1.21817460E-04   1.18818385E-18  
  6                6.86139163E-05   1.61591672E+02   8.38715414E-01   1.60586667E-01   1.47517984E-05   5.31752060E-04   8.12192351E-65   8.36387479E-54   1.21817178E-04   1.68660972E-18  
  7                8.96876741E-05   1.66340486E+02   8.38715414E-01   1.60586667E-01   1.70659093E-05   5.31752060E-04   4.87054133E-64   2.82150129E-53   1.21817178E-04   2.43156705E-18  
  8                1.15713192E-04   1.67000772E+02   8.38671542E-01   1.60578267E-01   1.70964065E-05   5.31724245E-04   5.05503629E-64   2.89649305E-53   1.21810806E-04   2.35542543E-18  
  9                1.47822790E-04   1.69399446E+02   8.38627671E-01   1.60569867E-01   6.94033749E-05   5.31696431E-04   1.45154894E-61   3.56766911E-50   1.21804434E-04   5.63391248E-18  
  10               1.87158457E-04   1.66202319E+02   8.38499375E-01   1.60545303E-01   1.21682379E-04   5.31615090E-04   1.41848256E-59   1.77513282E-48   1.21785800E-04   1.93902995E-17  
  11               2.34806716E-04   1.76387569E+02   8.38371078E-01   1.60520738E-01   2.74647405E-04   5.31533749E-04   1.41892718E-55   1.78590794E-44   1.21767166E-04   4.12521436E-16  
  12               2.91436962E-04   1.82148775E+02   8.38242782E-01   1.60496174E-01   4.27612430E-04   5.31452408E-04   3.74314722E-55   3.85497661E-44   1.21748532E-04   7.45536449E-16  
  13               3.58598611E-04   1.94811902E+02   8.38158357E-01   1.60480009E-01   5.80546958E-04   5.31398882E-04   1.44277603E-52   5.93550417E-42   1.21736270E-04   3.82889522E-15  
  14               4.38616533E-04   1.95678758E+02   8.38073932E-01   1.60463844E-01   6.81205015E-04   5.31345356E-04   2.73673750E-52   9.87957784E-42   1.21724008E-04   5.89584089E-15  
  15               5.34922802E-04   2.05732063E+02   8.38073932E-01   1.60463844E-01   7.81891036E-04   5.31345356E-04   4.15187970E-50   6.23828102E-40   1.21724008E-04   2.06908317E-14  
  16               6.51831533E-04   2.05720033E+02   8.38073932E-01   1.60463844E-01   7.81891036E-04   5.31345356E-04   6.78242302E-50   9.20682187E-40   1.21724008E-04   2.89001378E-14  
  17               7.95694116E-04   2.15670454E+02   8.38073932E-01   1.60463844E-01   7.81891036E-04   5.31345356E-04   5.11393495E-48   2.99251657E-38   1.21724008E-04   7.89788498E-14  
  18               9.72766785E-04   2.15050984E+02   8.38073932E-01   1.60463844E-01   7.81891036E-04   5.31345356E-04   8.37889526E-48   4.40760589E-38   1.21724008E-04   1.05214672E-13  
  19               1.19073634E-03   2.24960868E+02   8.38073932E-01   1.60463844E-01   7.81891036E-04   5.31345356E-04   4.93430724E-46   1.14199244E-36   1.21724007E-04   2.59105249E-13  
  20               1.45898171E-03   2.24317055E+02   8.38073932E-01   1.60463844E-01   7.81891036E-04   5.31345356E-04   8.40807851E-46   1.72897369E-36   1.21724007E-04   3.38551183E-13  
  21               1.78904730E-03   2.34580403E+02   8.38073932E-01   1.60463844E-01   7.81891036E-04   5.31345356E-04   4.22891884E-44   3.91766241E-35   1.21724006E-04   7.92285820E-13  
  22               2.19505411E-03   2.34094650E+02   8.38073932E-01   1.60463844E-01   7.81891036E-04   5.31345356E-04   7.74704529E-44   6.26072334E-35   1.21724006E-04   1.04096406E-12  
