# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                NH3              CO               H2S             
  1                1.00000000E-05   1.14400476E+02   8.38729731E-01   1.60589405E-01   2.02313170E-11   5.31761126E-04   5.53738307E-95   1.21819255E-04   1.07071332E-85   2.30013648E-05  
  2                1.76355694E-05   1.21443431E+02   8.38729731E-01   1.60589405E-01   1.29640288E-10   5.31761125E-04   1.85457041E-89   1.21819255E-04   2.97883518E-80   2.30013648E-05  
  3                2.70438766E-05   1.21770640E+02   8.38729730E-01   1.60589405E-01   7.05139969E-10   5.31761125E-04   4.50645821E-85   1.21819255E-04   1.09038648E-75   2.30013648E-05  
  4                3.86450930E-05   1.28242460E+02   8.38729727E-01   1.60589404E-01   1.22966533E-09   5.31761123E-04   2.64480307E-84   1.21819254E-04   3.94758913E-75   2.30013647E-05  
  5                5.29441931E-05   1.29349611E+02   8.38729723E-01   1.60589403E-01   5.49412148E-09   5.31761121E-04   1.72942764E-80   1.21819254E-04   4.87338885E-71   2.30013646E-05  
  6                7.05793998E-05   1.35475210E+02   8.38729708E-01   1.60589400E-01   9.25191477E-09   5.31761111E-04   1.13896681E-79   1.21819252E-04   2.04191947E-70   2.30013641E-05  
  7                9.23298610E-05   1.36793046E+02   8.38729695E-01   1.60589398E-01   2.79042588E-08   5.31761103E-04   1.14207676E-76   1.21819250E-04   2.99222499E-67   2.30013638E-05  
  8                1.19173555E-04   1.42162118E+02   8.38729648E-01   1.60589389E-01   4.28548287E-08   5.31761073E-04   4.94686633E-76   1.21819243E-04   9.16803835E-67   2.30013625E-05  
  9                1.52309388E-04   1.43197720E+02   8.38729613E-01   1.60589382E-01   9.92474822E-08   5.31761051E-04   1.14837031E-73   1.21819238E-04   2.50911840E-64   2.30013615E-05  
  10               1.93228854E-04   1.47926567E+02   8.38729484E-01   1.60589358E-01   1.40846461E-07   5.31760969E-04   4.22118781E-73   1.21819219E-04   6.83627782E-64   2.30013580E-05  
  11               2.43762423E-04   1.48859170E+02   8.38729390E-01   1.60589340E-01   2.94433860E-07   5.31760910E-04   5.14323732E-71   1.21819205E-04   9.44642923E-62   2.30013554E-05  
  12               3.06173575E-04   1.53432840E+02   8.38728498E-01   1.60589169E-01   4.07447050E-07   5.31760344E-04   2.01944618E-70   1.21819076E-04   2.74232112E-61   2.30013310E-05  
  13               3.83237513E-04   1.54518425E+02   8.38727701E-01   1.60589016E-01   1.47067797E-06   5.31759838E-04   1.64971884E-68   1.21818960E-04   6.11662304E-59   2.30013091E-05  
  14               4.78386766E-04   1.59032585E+02   8.38726903E-01   1.60588863E-01   2.42188184E-06   5.31759332E-04   9.92895862E-68   1.21818844E-04   2.54357839E-58   2.30012872E-05  
  15               5.95829947E-04   1.60732378E+02   8.38726903E-01   1.60588863E-01   3.37220393E-06   5.31759332E-04   3.99873292E-66   1.21818844E-04   5.01492183E-57   2.30012872E-05  
  16               7.40825150E-04   1.64749773E+02   8.38723799E-01   1.60588269E-01   3.37557540E-06   5.31757364E-04   1.60015511E-65   1.21818393E-04   1.45858224E-56   2.30012021E-05  
  17               9.19841904E-04   1.66042557E+02   8.38720694E-01   1.60587675E-01   7.07665707E-06   5.31755396E-04   3.08274566E-64   1.21817942E-04   5.72015039E-55   2.30011170E-05  
  18               1.14076715E-03   1.69600705E+02   8.38717590E-01   1.60587080E-01   1.07777387E-05   5.31753428E-04   1.25211292E-63   1.21817492E-04   1.75099542E-54   2.30010318E-05  
  19               1.41333281E-03   1.71026116E+02   8.38710020E-01   1.60585631E-01   1.44832795E-05   5.31748629E-04   6.83498448E-62   1.21816392E-04   4.49657721E-53   2.30008242E-05  
  20               1.74919319E-03   1.76060776E+02   8.38702451E-01   1.60584182E-01   2.35084046E-05   5.31743830E-04   4.15720445E-61   1.21815293E-04   4.51603178E-52   2.30006166E-05  
  21               2.16256138E-03   1.78163603E+02   8.38671708E-01   1.60578295E-01   3.25540300E-05   5.31724339E-04   2.98430982E-59   1.21810828E-04   1.81649502E-50   2.29997735E-05  
  22               2.66984942E-03   1.83861719E+02   8.38648535E-01   1.60573858E-01   6.92003467E-05   5.31709647E-04   1.82339257E-58   1.21807462E-04   1.93766522E-49   2.29991380E-05  
  23               3.29001646E-03   1.86154371E+02   8.38625361E-01   1.60569421E-01   9.68293690E-05   5.31694954E-04   1.04136973E-56   1.21804096E-04   6.42249588E-48   2.29985025E-05  
  24               4.04888550E-03   1.92050728E+02   8.38441558E-01   1.60534229E-01   1.24410807E-04   5.31578422E-04   4.25268169E-56   1.21777400E-04   1.95270331E-47   2.29934619E-05  
  25               4.96612741E-03   1.93827666E+02   8.38257755E-01   1.60499037E-01   3.43555659E-04   5.31461889E-04   2.50208971E-54   1.21750704E-04   3.41326641E-45   2.29884213E-05  
  26               6.04012197E-03   2.00419829E+02   8.38073951E-01   1.60463844E-01   5.62700511E-04   5.31345356E-04   3.88883187E-53   1.21724008E-04   3.42706474E-44   2.29833806E-05  
  27               7.29761872E-03   2.04799060E+02   8.38073951E-01   1.60463844E-01   7.81872446E-04   5.31345356E-04   1.58718303E-50   1.21724008E-04   6.57729368E-42   2.29833806E-05  
  28               8.78759495E-03   2.15196031E+02   8.38073951E-01   1.60463844E-01   7.81872446E-04   5.31345356E-04   4.29045674E-49   1.21724008E-04   1.08455262E-40   2.29833806E-05  
  29               1.06091879E-02   2.21307054E+02   8.38073951E-01   1.60463844E-01   7.81872446E-04   5.31345356E-04   5.00194348E-47   1.21724008E-04   6.69688461E-39   2.29833806E-05  
  30               1.28366876E-02   2.30842836E+02   8.38073951E-01   1.60463844E-01   7.81872446E-04   5.31345356E-04   7.28373654E-46   1.21724008E-04   6.30670721E-38   2.29833806E-05  
  31               1.55602102E-02   2.36501490E+02   8.38073951E-01   1.60463844E-01   7.81872446E-04   5.31345356E-04   4.17613706E-44   1.21724008E-04   2.00271097E-36   2.29833806E-05  
  32               1.88900060E-02   2.45830043E+02   8.38073951E-01   1.60463844E-01   7.81872446E-04   5.31345356E-04   4.47591597E-43   1.21724008E-04   1.42967186E-35   2.29833806E-05  
  33               2.29593184E-02   2.51472103E+02   8.38073951E-01   1.60463844E-01   7.81872446E-04   5.31345356E-04   1.72968793E-41   1.21724007E-04   3.14377634E-34   2.29833806E-05  
  34               2.79298884E-02   2.61059686E+02   8.38073951E-01   1.60463844E-01   7.81872446E-04   5.31345356E-04   1.61606588E-40   1.21724007E-04   1.98338170E-33   2.29833806E-05  
  35               3.39983915E-02   2.67038551E+02   8.38073951E-01   1.60463844E-01   7.81872446E-04   5.31345356E-04   4.73751273E-39   1.21724006E-04   3.39263766E-32   2.29833806E-05  
  36               4.14040063E-02   2.77079195E+02   8.38073951E-01   1.60463844E-01   7.81872446E-04   5.31345356E-04   4.10845361E-38   1.21724004E-04   2.00351265E-31   2.29833806E-05  
  37               5.04352122E-02   2.83590499E+02   8.38073951E-01   1.60463844E-01   7.81872446E-04   5.31345356E-04   9.83449773E-37   1.21724000E-04   2.86393314E-30   2.29833806E-05  
  38               6.14425532E-02   2.94268552E+02   8.38073951E-01   1.60463844E-01   7.81872446E-04   5.31345356E-04   8.05314514E-36   1.21723992E-04   1.61012470E-29   2.29833806E-05  
  39               7.48518625E-02   3.01422123E+02   8.38073951E-01   1.60463844E-01   7.81872446E-04   5.31345356E-04   1.62386809E-34   1.21723972E-04   1.98236881E-28   2.29833806E-05  
  40               9.11821310E-02   3.12863401E+02   8.38073951E-01   1.60463844E-01   7.81872375E-04   5.31345356E-04   1.32364855E-33   1.21723940E-04   1.11292140E-27   2.29833806E-05  
  41               1.11061330E-01   3.20969052E+02   8.38073951E-01   1.60463844E-01   7.81872303E-04   5.31345356E-04   2.46373036E-32   1.21723856E-04   1.28798845E-26   2.29833806E-05  
  42               1.35248599E-01   3.33609732E+02   8.38073951E-01   1.60463844E-01   7.81871929E-04   5.31345356E-04   2.09656099E-31   1.21723719E-04   7.56180584E-26   2.29833806E-05  
  43               1.64663727E-01   3.43073588E+02   8.38073939E-01   1.60463842E-01   7.81871615E-04   5.31345347E-04   3.72176938E-30   1.21723356E-04   8.50927405E-25   2.29833803E-05  
  44               2.00428201E-01   3.57271035E+02   8.38073941E-01   1.60463840E-01   7.81855837E-04   5.31345343E-04   3.41162025E-29   1.21722735E-04   5.38890654E-24   2.29833801E-05  
  45               2.43899036E-01   3.68584734E+02   8.38073943E-01   1.60463839E-01   7.81840361E-04   5.31345338E-04   6.04019442E-28   1.21721088E-04   6.16265898E-23   2.29833799E-05  
  46               2.96705673E-01   3.84939129E+02   8.38073959E-01   1.60463840E-01   7.81824895E-04   5.31345341E-04   6.19633422E-27   1.21718021E-04   4.37797685E-22   2.29833800E-05  
  47               3.60797112E-01   3.98850077E+02   8.38073965E-01   1.60463838E-01   7.81824896E-04   5.31345336E-04   1.15985002E-25   1.21709635E-04   5.39496715E-21   2.29833798E-05  
  48               4.38507053E-01   4.18355672E+02   8.38072960E-01   1.60463641E-01   7.81824139E-04   5.31344683E-04   1.38399706E-24   1.21692217E-04   4.48284373E-20   2.29833515E-05  
  49               5.32618896E-01   4.35990506E+02   8.38072943E-01   1.60463510E-01   7.80625224E-04   5.31344250E-04   2.72953939E-23   1.21643564E-04   5.93716035E-19   2.29833328E-05  
  50               6.46502305E-01   4.59694570E+02   8.38072332E-01   1.60463370E-01   7.80061160E-04   5.31343785E-04   3.72440585E-22   1.21534307E-04   5.72019147E-18   2.29833127E-05  
  51               7.84139211E-01   4.82297526E+02   8.38072860E-01   1.60463394E-01   7.79497704E-04   5.31343865E-04   6.79993310E-21   1.21239006E-04   7.27516360E-17   2.29833161E-05  
  52               9.50385769E-01   5.10504950E+02   8.38072649E-01   1.60463291E-01   7.80132114E-04   5.31343525E-04   8.55491731E-20   1.20598887E-04   6.60288559E-16   2.29833014E-05  
  53               1.15146496E+00   5.37566356E+02   8.38073638E-01   1.60463051E-01   7.80130959E-04   5.31342730E-04   1.22317734E-18   1.19104009E-04   6.77390676E-15   2.29832671E-05  
  54               1.39574782E+00   5.69649436E+02   8.38075466E-01   1.60462608E-01   7.80128836E-04   5.31341263E-04   1.24168242E-17   1.16342423E-04   5.06039704E-14   2.29832036E-05  
  55               1.69440470E+00   6.00500048E+02   8.38078767E-01   1.60461808E-01   7.80125038E-04   5.31338612E-04   1.30138757E-16   1.11354175E-04   3.87955232E-13   2.29830890E-05  
  56               2.06231535E+00   6.35883005E+02   8.38083387E-01   1.60460688E-01   7.80119819E-04   5.31334901E-04   9.91983567E-16   1.04373465E-04   2.20117907E-12   2.29829285E-05  
  57               2.51964862E+00   6.69509772E+02   8.38089492E-01   1.60459207E-01   7.80113176E-04   5.31329985E-04   7.53512808E-15   9.51442981E-05   1.23195550E-11   2.29827164E-05  
  58               3.09068553E+00   7.07570812E+02   8.38095992E-01   1.60457626E-01   7.80106661E-04   5.31324705E-04   4.50722014E-14   8.53044237E-05   5.49766349E-11   2.29824899E-05  
  59               3.80231044E+00   7.44329747E+02   8.38102865E-01   1.60455926E-01   7.80100899E-04   5.31318878E-04   2.78439585E-13   7.48032477E-05   2.50813338E-10   2.29822464E-05  
  60               4.68468416E+00   7.86936904E+02   8.38109118E-01   1.60454345E-01   7.80097770E-04   5.31312889E-04   1.47811927E-12   6.51272145E-05   9.95719198E-10   2.29820689E-05  
  61               5.77164808E+00   8.29739893E+02   8.38115208E-01   1.60452802E-01   7.80098409E-04   5.31304670E-04   8.13436822E-12   5.56952233E-05   4.08780732E-09   2.29818975E-05  
  62               7.09437928E+00   8.79537283E+02   8.38120423E-01   1.60451477E-01   7.80101806E-04   5.31289638E-04   3.84772692E-11   4.76142648E-05   1.46955950E-08   2.29893188E-05  
  63               8.67960328E+00   9.29192394E+02   8.38124959E-01   1.60450269E-01   7.80095483E-04   5.31249470E-04   1.73841650E-10   4.04121464E-05   5.07759572E-08   2.30356654E-05  
  64               1.05545760E+01   9.83784406E+02   8.38128015E-01   1.60449243E-01   7.80045067E-04   5.31149280E-04   6.47630734E-10   3.48505366E-05   1.47388652E-07   2.32260177E-05  
  65               1.27444679E+01   1.03530165E+03   8.38130103E-01   1.60448315E-01   7.79874561E-04   5.30903635E-04   2.18403525E-09   3.03982385E-05   3.89587918E-07   2.36524924E-05  
  66               1.52717838E+01   1.08889314E+03   8.38131764E-01   1.60447554E-01   7.79502869E-04   5.30421297E-04   6.13235868E-09   2.72989448E-05   8.68744456E-07   2.40399781E-05  
  67               1.81766791E+01   1.13718046E+03   8.38133878E-01   1.60446843E-01   7.78756175E-04   5.29522289E-04   1.56697990E-08   2.49865345E-05   1.76423098E-06   2.42833907E-05  
  68               2.15161613E+01   1.18652752E+03   8.38136469E-01   1.60446153E-01   7.77558881E-04   5.28147568E-04   3.48288381E-08   2.35283329E-05   3.13487163E-06   2.42829932E-05  
  69               2.53485972E+01   1.23049322E+03   8.38139698E-01   1.60445296E-01   7.75661442E-04   5.26057693E-04   7.27135085E-08   2.24800148E-05   5.21906975E-06   2.42823946E-05  
  70               2.97273508E+01   1.27635124E+03   8.38143416E-01   1.60444311E-01   7.73132745E-04   5.23338480E-04   1.38179750E-07   2.19051060E-05   7.93099485E-06   2.42815731E-05  
  71               3.47227865E+01   1.31788241E+03   8.38148302E-01   1.60443023E-01   7.69603725E-04   5.19610900E-04   2.54733628E-07   2.14854360E-05   1.16481897E-05   2.42803722E-05  
  72               4.04305163E+01   1.36282115E+03   8.38154004E-01   1.60441514E-01   7.65273174E-04   5.15087372E-04   4.43160575E-07   2.13175274E-05   1.61581610E-05   2.42787449E-05  
  73               4.69325762E+01   1.40487025E+03   8.38161551E-01   1.60439509E-01   7.59438799E-04   5.09048200E-04   7.66699552E-07   2.11612986E-05   2.21776002E-05   2.42763129E-05  
  74               5.43200470E+01   1.45188874E+03   8.38170444E-01   1.60437106E-01   7.52371228E-04   5.01768758E-04   1.28312043E-06   2.11225508E-05   2.94303888E-05   2.42727677E-05  
  75               6.26649253E+01   1.49735006E+03   8.38182073E-01   1.60433884E-01   7.42968470E-04   4.92096998E-04   2.16278928E-06   2.10173369E-05   3.90625779E-05   2.42666218E-05  
  76               7.20819443E+01   1.54874867E+03   8.38195298E-01   1.60429974E-01   7.31771014E-04   4.80546694E-04   3.56355772E-06   2.09697575E-05   5.05582861E-05   2.42551163E-05  
  77               8.26716575E+01   1.59922154E+03   8.38206213E-01   1.60423864E-01   7.17595725E-04   4.65696292E-04   5.91665757E-06   2.08413374E-05   6.53249987E-05   2.42270795E-05  
  78               9.44358759E+01   1.65585973E+03   8.38213372E-01   1.60416624E-01   7.07116602E-04   4.47692138E-04   9.64008727E-06   2.07353594E-05   8.32148334E-05   2.38980197E-05  
  79               1.07277330E+02   1.71211524E+03   8.38221695E-01   1.60408477E-01   6.94379313E-04   4.27352058E-04   1.53195810E-05   2.06223350E-05   1.03403526E-04   2.35703511E-05  
  80               1.21144621E+02   1.76752429E+03   8.38232739E-01   1.60400920E-01   6.81473168E-04   4.06564029E-04   2.34240530E-05   2.06020333E-05   1.24006691E-04   2.32481430E-05  
  81               1.36002643E+02   1.82123507E+03   8.38241767E-01   1.60392870E-01   6.64423261E-04   3.86538068E-04   3.45696006E-05   2.06610280E-05   1.43807561E-04   2.31981868E-05  
  82               1.51750342E+02   1.87365913E+03   8.38236713E-01   1.60383707E-01   6.52714905E-04   3.66932254E-04   4.91558542E-05   2.07921881E-05   1.63148718E-04   2.30834196E-05  
  83               1.68014563E+02   1.92308768E+03   8.38208984E-01   1.60372417E-01   6.50752237E-04   3.46915051E-04   6.78187751E-05   2.09740685E-05   1.82861728E-04   2.28520033E-05  
  84               1.85130066E+02   1.97150860E+03   8.38158068E-01   1.60359435E-01   6.61440527E-04   3.26245989E-04   9.08394819E-05   2.12042961E-05   2.03199716E-04   2.24947383E-05  
  85               2.02801586E+02   2.01751041E+03   8.38110735E-01   1.60347852E-01   6.69232569E-04   3.07708014E-04   1.18564704E-04   2.14651264E-05   2.21379439E-04   2.21990530E-05  
  86               2.20626461E+02   2.06113134E+03   8.38075443E-01   1.60338802E-01   6.69585511E-04   2.92426226E-04   1.51122701E-04   2.17582233E-05   2.36277642E-04   2.20238225E-05  
  87               2.39149535E+02   2.10317309E+03   8.38052217E-01   1.60331705E-01   6.58552513E-04   2.80979200E-04   1.88601036E-04   2.20671625E-05   2.47308087E-04   2.19968376E-05  
  88               2.57672038E+02   2.14304673E+03   8.38023371E-01   1.60324801E-01   6.49073516E-04   2.71069386E-04   2.29939974E-04   2.23890533E-05   2.56784248E-04   2.19690236E-05  
  89               2.75352849E+02   2.17863016E+03   8.37989531E-01   1.60318014E-01   6.40874353E-04   2.62423548E-04   2.74864650E-04   2.27088375E-05   2.64983281E-04   2.19404148E-05  
  90               2.93036130E+02   2.21281820E+03   8.37953448E-01   1.60311828E-01   6.33759178E-04   2.54826108E-04   3.24119921E-04   2.30396496E-05   2.72115673E-04   2.19111237E-05  
  91               3.12059948E+02   2.24740049E+03   8.37900905E-01   1.60303377E-01   6.27265600E-04   2.47829515E-04   3.78940067E-04   2.33773503E-05   2.78609824E-04   2.18797707E-05  
  92               3.31168320E+02   2.28087135E+03   8.37844703E-01   1.60294984E-01   6.21705880E-04   2.41773366E-04   4.35654371E-04   2.37114199E-05   2.84163209E-04   2.18489528E-05  
  93               3.47497785E+02   2.30785675E+03   8.37785616E-01   1.60286782E-01   6.18480219E-04   2.36321331E-04   4.92033230E-04   2.40203055E-05   2.89138755E-04   2.18233381E-05  
  94               3.62873718E+02   2.33271749E+03   8.37736513E-01   1.60280912E-01   6.16141642E-04   2.31730236E-04   5.47744174E-04   2.43162943E-05   2.93279535E-04   2.17998621E-05  
  95               3.79103650E+02   2.35755561E+03   8.37681624E-01   1.60274642E-01   6.14004602E-04   2.27255830E-04   6.10215391E-04   2.46277329E-05   2.97263786E-04   2.17742852E-05  
  96               3.98430098E+02   2.38642827E+03   8.37617550E-01   1.60267541E-01   6.10497024E-04   2.23049587E-04   6.84767868E-04   2.49895400E-05   3.00891352E-04   2.17409071E-05  
  97               4.21362071E+02   2.41866667E+03   8.37536609E-01   1.60258907E-01   6.06840882E-04   2.18561034E-04   7.77851772E-04   2.54137810E-05   3.04676879E-04   2.17008960E-05  
  98               4.48463085E+02   2.45533685E+03   8.37435638E-01   1.60248579E-01   6.03288236E-04   2.14028118E-04   8.92532743E-04   2.59171708E-05   3.08364985E-04   2.16542359E-05  
  99               4.80371463E+02   2.49561000E+03   8.37308986E-01   1.60236054E-01   5.99822923E-04   2.09401279E-04   1.03498328E-03   2.65015360E-05   3.11971958E-04   2.15991827E-05  
  100              5.17837654E+02   2.54050364E+03   8.37151881E-01   1.60221038E-01   5.96717130E-04   2.04926849E-04   1.20998902E-03   2.71857328E-05   3.15224653E-04   2.15357081E-05  
  101              5.61901311E+02   2.58926648E+03   8.36972130E-01   1.60204156E-01   5.93849374E-04   2.00537851E-04   1.40925129E-03   2.79376880E-05   3.18243583E-04   2.14660102E-05  
