# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H                CO               H2S             
  1                1.00000000E-05   5.93078651E+01   8.38831777E-01   1.60608942E-01   3.31474915E-17   5.31825818E-04   1.68415929E-07   3.16582820E-109  2.09341412E-104  2.30034632E-05  
  2                1.45512013E-03   7.97309521E+01   8.38831777E-01   1.60608942E-01   3.37747130E-17   5.31825818E-04   1.68415929E-07   2.62444768E-110  1.00739190E-108  2.30034632E-05  
  3                2.98843341E-03   9.41502581E+01   8.38831302E-01   1.60608851E-01   3.33487107E-17   5.31825517E-04   1.69064805E-07   1.83132450E-110  2.35828541E-109  2.30034502E-05  
  4                4.66655833E-03   1.05399684E+02   8.38797391E-01   1.60602358E-01   4.72523847E-16   5.31804017E-04   7.77393966E-07   9.15536369E-105  2.45716865E-103  2.30025202E-05  
  5                6.21318777E-03   1.16151790E+02   8.38797391E-01   1.60602358E-01   7.23815519E-14   5.31804017E-04   4.11602615E-05   6.89316626E-95   2.25275330E-92   2.30025202E-05  
  6                7.00226895E-03   1.19766204E+02   8.38729732E-01   1.60589403E-01   3.10422563E-13   5.31761121E-04   4.12320798E-05   5.66903405E-92   3.60190246E-89   2.30006648E-05  
  7                7.63329157E-03   1.23930018E+02   8.38729732E-01   1.60589403E-01   2.64859344E-12   5.31761121E-04   1.21819254E-04   8.14217867E-89   2.01497320E-85   2.30006648E-05  
  8                8.11326385E-03   1.25451146E+02   8.38729732E-01   1.60589403E-01   2.66370708E-12   5.31761121E-04   1.21819254E-04   1.01223149E-87   1.83237869E-84   2.30006648E-05  
  9                8.67848023E-03   1.29040911E+02   8.38729732E-01   1.60589403E-01   1.88733413E-11   5.31761121E-04   1.21819254E-04   3.17424234E-85   2.20718648E-81   2.30006648E-05  
  10               9.34381106E-03   1.31156164E+02   8.38729732E-01   1.60589403E-01   1.90227785E-11   5.31761121E-04   1.21819254E-04   7.96115259E-84   3.75122433E-80   2.30006648E-05  
  11               1.01266813E-02   1.35467702E+02   8.38729732E-01   1.60589403E-01   1.79296765E-10   5.31761121E-04   1.21819254E-04   4.28478110E-81   9.71530568E-77   2.30006648E-05  
  12               1.10474310E-02   1.38364130E+02   8.38729731E-01   1.60589403E-01   1.80374980E-10   5.31761120E-04   1.21819254E-04   2.30902024E-79   3.26303470E-75   2.30006648E-05  
  13               1.21299029E-02   1.43392250E+02   8.38729731E-01   1.60589403E-01   1.33678152E-09   5.31761120E-04   1.21819254E-04   1.63774119E-76   8.46644814E-72   2.30006648E-05  
  14               1.34024979E-02   1.45649369E+02   8.38729723E-01   1.60589402E-01   1.34558087E-09   5.31761115E-04   1.21819253E-04   2.61286081E-75   9.21637022E-71   2.30006646E-05  
  15               1.48977162E-02   1.51816382E+02   8.38729723E-01   1.60589402E-01   1.07831680E-08   5.31761115E-04   1.21819253E-04   3.58673451E-72   4.69607274E-67   2.30006646E-05  
  16               1.66538494E-02   1.54110086E+02   8.38729706E-01   1.60589398E-01   1.08021560E-08   5.31761104E-04   1.21819250E-04   4.38166407E-71   3.93139213E-66   2.30006641E-05  
  17               1.87165578E-02   1.58835113E+02   8.38729626E-01   1.60589383E-01   3.12566488E-08   5.31761054E-04   1.21819238E-04   6.37301767E-69   9.17161617E-64   2.30006619E-05  
  18               2.11379697E-02   1.61874461E+02   8.38729626E-01   1.60589383E-01   1.26243413E-07   5.31761054E-04   1.21819238E-04   1.31237075E-67   4.94197920E-62   2.30006619E-05  
  19               2.39798037E-02   1.65931172E+02   8.38729328E-01   1.60589326E-01   1.26573945E-07   5.31760865E-04   1.21819195E-04   6.35465115E-66   1.44388774E-60   2.30006537E-05  
  20               2.73130393E-02   1.69687449E+02   8.38729328E-01   1.60589326E-01   4.81341721E-07   5.31760865E-04   1.21819195E-04   1.93923783E-64   1.04324224E-58   2.30006537E-05  
  21               3.12211955E-02   1.73463078E+02   8.38728341E-01   1.60589137E-01   4.82435070E-07   5.31760239E-04   1.21819052E-04   5.16828450E-63   1.74877128E-57   2.30006267E-05  
  22               3.58011249E-02   1.77427523E+02   8.38728341E-01   1.60589137E-01   1.65816973E-06   5.31760239E-04   1.21819052E-04   1.39535446E-61   1.01513856E-55   2.30006267E-05  
  23               4.11656274E-02   1.81224581E+02   8.38725529E-01   1.60588599E-01   1.66126733E-06   5.31758456E-04   1.21818643E-04   2.84431742E-60   1.32343785E-54   2.30005495E-05  
  24               4.74452684E-02   1.85816112E+02   8.38725529E-01   1.60588599E-01   5.01091520E-06   5.31758456E-04   1.21818643E-04   9.33558141E-59   8.05616708E-53   2.30005495E-05  
  25               5.47924126E-02   1.88998809E+02   8.38715276E-01   1.60586636E-01   5.02199090E-06   5.31751956E-04   1.21817154E-04   9.27298662E-58   5.39856622E-52   2.30002684E-05  
  26               6.33788947E-02   1.94363027E+02   8.38715276E-01   1.60586636E-01   1.72355900E-05   5.31751956E-04   1.21817154E-04   3.91592328E-56   4.72279604E-50   2.30002684E-05  
  27               7.34003851E-02   1.98325903E+02   8.38680316E-01   1.60579942E-01   1.72707790E-05   5.31729791E-04   1.21812077E-04   5.34358140E-55   4.24603685E-49   2.29993097E-05  
  28               8.50747714E-02   2.04221401E+02   8.38680316E-01   1.60579942E-01   5.89179456E-05   5.31729791E-04   1.21812077E-04   2.22955650E-53   3.66744480E-47   2.29993097E-05  
  29               9.86324096E-02   2.08592384E+02   8.38504109E-01   1.60546204E-01   5.90340399E-05   5.31618074E-04   1.21786484E-04   3.02719123E-52   3.29492157E-46   2.29944775E-05  
  30               1.14229060E-01   2.15100412E+02   8.38504109E-01   1.60546204E-01   2.69005755E-04   5.31618074E-04   1.21786484E-04   1.24847846E-50   3.79713099E-44   2.29944775E-05  
  31               1.31857073E-01   2.22213540E+02   8.38073959E-01   1.60463844E-01   2.68868200E-04   5.31345356E-04   1.21724008E-04   5.69281716E-49   1.06484242E-42   2.29826814E-05  
  32               1.51569361E-01   2.32933053E+02   8.38073959E-01   1.60463844E-01   7.81864212E-04   5.31345356E-04   1.21724008E-04   1.19718195E-46   3.66220886E-40   2.29826814E-05  
  33               1.73017255E-01   2.42366478E+02   8.38073959E-01   1.60463844E-01   7.81864212E-04   5.31345356E-04   1.21724008E-04   8.88201054E-45   1.67088298E-38   2.29826814E-05  
  34               1.97993281E-01   2.53611138E+02   8.38073959E-01   1.60463844E-01   7.81864212E-04   5.31345356E-04   1.21724008E-04   9.97781728E-43   1.12996051E-36   2.29826814E-05  
  35               2.27081723E-01   2.63793039E+02   8.38073959E-01   1.60463844E-01   7.81864212E-04   5.31345356E-04   1.21724008E-04   5.01307528E-41   3.61545422E-35   2.29826814E-05  
  36               2.60976326E-01   2.74044425E+02   8.38073959E-01   1.60463844E-01   7.81864212E-04   5.31345356E-04   1.21724008E-04   1.91911360E-39   9.00156893E-34   2.29826814E-05  
  37               3.00470373E-01   2.84548813E+02   8.38073959E-01   1.60463844E-01   7.81864212E-04   5.31345356E-04   1.21724008E-04   6.10122703E-38   1.89006231E-32   2.29826814E-05  
