# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               CH4              Mg              
  1                1.00000000E-05   4.95671554E+02   8.38154286E-01   1.60443754E-01   1.26735809E-18   3.98646894E-07   7.78495924E-04   6.08441208E-05   5.30823776E-04   0.00000000E+00  
  2                1.51627981E-05   5.65352234E+02   8.38268885E-01   1.60416612E-01   7.28172781E-16   8.16593188E-05   6.90950188E-04   6.08406332E-05   4.46391921E-04   0.00000000E+00  
  3                2.20130673E-05   5.95933414E+02   8.38459207E-01   1.60370780E-01   6.65394366E-15   2.23186138E-04   5.46647535E-04   6.08238326E-05   3.03425248E-04   0.00000000E+00  
  4                3.14453377E-05   6.12396163E+02   8.38523398E-01   1.60355029E-01   1.83537138E-14   2.72596799E-04   4.98056231E-04   6.08176265E-05   2.54400109E-04   0.00000000E+00  
  5                4.36155827E-05   6.28691475E+02   8.38584347E-01   1.60340121E-01   4.77526777E-14   3.19549003E-04   4.52071293E-04   6.08117658E-05   2.07902603E-04   0.00000000E+00  
  6                5.86701246E-05   6.38932663E+02   8.38594027E-01   1.60337681E-01   8.08454888E-14   3.27513074E-04   4.44837768E-04   6.08103516E-05   2.00292860E-04   0.00000000E+00  
  7                7.68887236E-05   6.51507348E+02   8.38625547E-01   1.60329941E-01   1.57132248E-13   3.51983699E-04   4.21085137E-04   6.08070927E-05   1.76156835E-04   0.00000000E+00  
  8                9.87069625E-05   6.59511597E+02   8.38624335E-01   1.60330175E-01   2.27127730E-13   3.51477213E-04   4.22058564E-04   6.08065945E-05   1.76889319E-04   0.00000000E+00  
  9                1.24653519E-04   6.70558667E+02   8.38646967E-01   1.60324613E-01   3.91712142E-13   3.69059191E-04   4.05005957E-04   6.08041099E-05   1.59547231E-04   0.00000000E+00  
  10               1.55421718E-04   6.77591408E+02   8.38643106E-01   1.60325506E-01   5.28652076E-13   3.66430880E-04   4.07965525E-04   6.08037816E-05   1.62334447E-04   0.00000000E+00  
  11               1.91807763E-04   6.87971280E+02   8.38662076E-01   1.60320843E-01   8.58581212E-13   3.81148223E-04   3.93668874E-04   6.08015958E-05   1.47800318E-04   0.00000000E+00  
  12               2.34806746E-04   6.94583803E+02   8.38657729E-01   1.60321861E-01   1.11987046E-12   3.78088304E-04   3.96984351E-04   6.08012310E-05   1.50980851E-04   0.00000000E+00  
  13               2.85549479E-04   7.04701414E+02   8.38674703E-01   1.60317687E-01   1.75674912E-12   3.91239038E-04   3.84187230E-04   6.07991838E-05   1.37976397E-04   0.00000000E+00  
  14               3.45428486E-04   7.11180197E+02   8.38670566E-01   1.60318657E-01   2.25042755E-12   3.88301337E-04   3.87334039E-04   6.07987060E-05   1.41010322E-04   0.00000000E+00  
  15               4.16049552E-04   7.21316970E+02   8.38686471E-01   1.60314743E-01   3.46356999E-12   4.00612569E-04   3.75334200E-04   6.07967070E-05   1.28819703E-04   0.00000000E+00  
  16               4.99383556E-04   7.27893237E+02   8.38683069E-01   1.60315533E-01   4.40766346E-12   3.98212089E-04   3.77915098E-04   6.07960589E-05   1.31299903E-04   0.00000000E+00  
  17               5.97678642E-04   7.38207183E+02   8.38698132E-01   1.60311817E-01   6.70546635E-12   4.09877241E-04   3.66533450E-04   6.07940761E-05   1.19736019E-04   0.00000000E+00  
  18               7.13705164E-04   7.45036147E+02   8.38695652E-01   1.60312376E-01   8.53192317E-12   4.08172311E-04   3.68400752E-04   6.07932290E-05   1.21508578E-04   0.00000000E+00  
  19               8.50667242E-04   7.55720660E+02   8.38710251E-01   1.60308757E-01   1.29346346E-11   4.19503078E-04   3.57337410E-04   6.07912241E-05   1.10264220E-04   0.00000000E+00  
  20               1.01253742E-03   7.62974349E+02   8.38708918E-01   1.60309020E-01   1.65588458E-11   4.18686944E-04   3.58306424E-04   6.07901496E-05   1.11138822E-04   0.00000000E+00  
  21               1.20391144E-03   7.74141255E+02   8.38722918E-01   1.60305515E-01   2.50935974E-11   4.29621179E-04   3.47630361E-04   6.07881200E-05   1.00278728E-04   0.00000000E+00  
  22               1.43047577E-03   7.81938075E+02   8.38722631E-01   1.60305486E-01   3.24159370E-11   4.29655180E-04   3.47745090E-04   6.07868107E-05   1.00295679E-04   0.00000000E+00  
  23               1.69876204E-03   7.93719752E+02   8.38735909E-01   1.60302094E-01   4.92674491E-11   4.40175679E-04   3.37478891E-04   6.07847504E-05   8.98389782E-05   0.00000000E+00  
  24               2.01682585E-03   8.02171832E+02   8.38736476E-01   1.60301779E-01   6.43527328E-11   4.40986663E-04   3.36816408E-04   6.07832009E-05   8.90724754E-05   0.00000000E+00  
  25               2.39383078E-03   8.14656952E+02   8.38748636E-01   1.60298527E-01   9.81777943E-11   4.50948296E-04   3.27107210E-04   6.07811125E-05   7.91655090E-05   0.00000000E+00  
  26               2.84113876E-03   8.23889983E+02   8.38750069E-01   1.60297965E-01   1.29938807E-10   4.52475091E-04   3.25731886E-04   6.07793369E-05   7.76776057E-05   0.00000000E+00  
  27               3.37172596E-03   8.37257386E+02   8.38761363E-01   1.60294863E-01   1.99759385E-10   4.61912093E-04   3.16548303E-04   6.07772336E-05   6.82874840E-05   0.00000000E+00  
  28               4.00162985E-03   8.47452057E+02   8.38764124E-01   1.60294158E-01   2.68788999E-10   4.64127311E-04   3.14490633E-04   6.07752859E-05   6.61065927E-05   0.00000000E+00  
  29               4.74867559E-03   8.61752071E+02   8.38775278E-01   1.60291391E-01   4.15604104E-10   4.72757397E-04   3.06112366E-04   6.07732287E-05   5.75166080E-05   0.00000000E+00  
  30               5.63447819E-03   8.72895875E+02   8.38778424E-01   1.60290590E-01   5.66122890E-10   4.75263245E-04   3.03765242E-04   6.07711129E-05   5.50403949E-05   0.00000000E+00  
  31               6.68297745E-03   8.88206059E+02   8.38788368E-01   1.60288117E-01   8.79759956E-10   4.82970231E-04   2.96301704E-04   6.07690919E-05   4.73672759E-05   0.00000000E+00  
  32               7.92355391E-03   9.00525666E+02   8.38791906E-01   1.60287220E-01   1.21811166E-09   4.85771635E-04   2.93659742E-04   6.07668526E-05   4.45914801E-05   0.00000000E+00  
  33               9.38803983E-03   9.17025901E+02   8.38800637E-01   1.60285043E-01   1.90653893E-09   4.92550084E-04   2.87111528E-04   6.07649024E-05   3.78415802E-05   0.00000000E+00  
  34               1.11149045E-02   9.30645169E+02   8.38804281E-01   1.60284120E-01   2.68198645E-09   4.95427119E-04   2.84389524E-04   6.07626020E-05   3.49865148E-05   0.00000000E+00  
  35               1.31475267E-02   9.48621786E+02   8.38811844E-01   1.60282229E-01   4.24602500E-09   5.01309391E-04   2.78720088E-04   6.07607833E-05   2.91283890E-05   0.00000000E+00  
  36               1.55382834E-02   9.63925338E+02   8.38815506E-01   1.60281302E-01   6.10594642E-09   5.04195391E-04   2.75982343E-04   6.07585234E-05   2.62613504E-05   1.30127045E-15  
  37               1.83425299E-02   9.83618228E+02   8.38821764E-01   1.60279732E-01   9.78715182E-09   5.09074097E-04   2.71293148E-04   6.07568979E-05   2.14030836E-05   2.60208148E-15  
  38               2.16245103E-02   1.00075262E+03   8.38825066E-01   1.60278894E-01   1.43523585E-08   5.11679551E-04   2.68822223E-04   6.07547626E-05   1.88138832E-05   1.07714258E-14  
  39               2.54506537E-02   1.02242345E+03   8.38829989E-01   1.60277653E-01   2.33059217E-08   5.15534505E-04   2.65129854E-04   6.07534025E-05   1.49762760E-05   3.54307364E-14  
  40               2.98961638E-02   1.04176411E+03   8.38832790E-01   1.60276937E-01   3.49505627E-08   5.17755418E-04   2.63027124E-04   6.07515217E-05   1.27693670E-05   9.57986462E-14  
  41               3.50360005E-02   1.06573585E+03   8.38836435E-01   1.60276007E-01   5.75403096E-08   5.20636095E-04   2.60281241E-04   6.07505091E-05   9.90346861E-06   3.22988044E-13  
  42               4.09508376E-02   1.08751281E+03   8.38838577E-01   1.60275449E-01   8.80281118E-08   5.22362798E-04   2.58653828E-04   6.07489782E-05   8.18879424E-06   9.09936205E-13  
  43               4.77180995E-02   1.11416444E+03   8.38841075E-01   1.60274789E-01   1.47020537E-07   5.24389560E-04   2.56735643E-04   6.07483909E-05   6.17466031E-06   3.14735690E-12  
  44               5.54196716E-02   1.13873114E+03   8.38842533E-01   1.60274381E-01   2.29276131E-07   5.25629364E-04   2.55576649E-04   6.07473003E-05   4.94518046E-06   9.21379943E-12  
  45               6.41537572E-02   1.16809645E+03   8.38843992E-01   1.60273946E-01   3.85314576E-07   5.26931584E-04   2.54358718E-04   6.07470910E-05   3.65360885E-06   3.20636440E-11  
  46               7.40299290E-02   1.19524533E+03   8.38844730E-01   1.60273670E-01   6.04575798E-07   5.27721132E-04   2.53632700E-04   6.07463268E-05   2.87270684E-06   9.45451805E-11  
  47               8.51590998E-02   1.22728106E+03   8.38845256E-01   1.60273378E-01   1.01356906E-06   5.28501060E-04   2.52921049E-04   6.07463652E-05   2.10157018E-06   3.24491312E-10  
  48               9.76536949E-02   1.25732492E+03   8.38845213E-01   1.60273165E-01   1.59757046E-06   5.28983037E-04   2.52502812E-04   6.07458837E-05   1.62670251E-06   9.60274850E-10  
  49               1.11622306E-01   1.29258017E+03   8.38844524E-01   1.60272898E-01   2.67861149E-06   5.29440234E-04   2.52157850E-04   6.07461439E-05   1.17652674E-06   3.27022556E-09  
  50               1.27166296E-01   1.32591330E+03   8.38842773E-01   1.60272592E-01   4.23680210E-06   5.29724780E-04   2.52106098E-04   6.07458802E-05   8.97291039E-07   9.68200061E-09  
  51               1.44353201E-01   1.36491684E+03   8.38838205E-01   1.60271987E-01   7.10783328E-06   5.29986531E-04   2.52650116E-04   6.07462359E-05   6.39744856E-07   3.26656314E-08  
  52               1.63178062E-01   1.40272290E+03   8.38828096E-01   1.60270748E-01   1.13869215E-05   5.30154508E-04   2.54654106E-04   6.07460102E-05   4.72374876E-07   9.81186202E-08  
  53               1.83467070E-01   1.44892368E+03   8.38801823E-01   1.60267431E-01   1.98357081E-05   5.30306588E-04   2.60331790E-04   6.07460333E-05   3.13455027E-07   3.51004179E-07  
  54               2.04551334E-01   1.49292867E+03   8.38772762E-01   1.60265978E-01   3.25493896E-05   5.30406267E-04   2.77266752E-04   6.07465062E-05   2.09568239E-07   1.02860464E-06  
  55               2.26229933E-01   1.53446176E+03   8.38740686E-01   1.60262552E-01   5.05357348E-05   5.30454223E-04   2.82617345E-04   6.07458571E-05   1.53070320E-07   4.57086465E-06  
  56               2.48145935E-01   1.57339614E+03   8.38685366E-01   1.60257285E-01   7.46562770E-05   5.30477790E-04   2.98698067E-04   6.07443890E-05   1.12038851E-07   1.50669546E-05  
  57               2.68901434E-01   1.60768028E+03   8.38589004E-01   1.60247432E-01   1.03521085E-04   5.30471584E-04   3.29597888E-04   6.07411059E-05   8.22544938E-08   3.52417988E-05  
  58               2.87378487E-01   1.63651192E+03   8.38486953E-01   1.60239905E-01   1.34760927E-04   5.30461325E-04   3.77206557E-04   6.07386746E-05   6.07998293E-08   6.64134158E-05  
  59               3.03579618E-01   1.66048125E+03   8.38457741E-01   1.60237350E-01   1.66541999E-04   5.30462445E-04   3.77127945E-04   6.07377512E-05   5.33122979E-08   6.63931663E-05  
  60               3.21693776E-01   1.68615860E+03   8.38386755E-01   1.60227686E-01   2.07474573E-04   5.30439232E-04   3.77028797E-04   6.07340895E-05   4.65918770E-08   6.63680053E-05  
  61               3.37401487E-01   1.70735029E+03   8.38350063E-01   1.60224482E-01   2.47388306E-04   5.30434872E-04   3.76959176E-04   6.07328256E-05   4.19129381E-08   6.63486593E-05  
  62               3.49754142E-01   1.72356122E+03   8.38318084E-01   1.60221688E-01   2.82175486E-04   5.30429917E-04   3.76905643E-04   6.07317131E-05   3.87467699E-08   6.63334540E-05  
  63               3.63664982E-01   1.74113029E+03   8.38279258E-01   1.60218296E-01   3.24409847E-04   5.30422885E-04   3.76847413E-04   6.07303354E-05   3.57011671E-08   6.63164511E-05  
  64               3.79273570E-01   1.76030744E+03   8.38231356E-01   1.60214112E-01   3.76514837E-04   5.30413181E-04   3.76783561E-04   6.07286321E-05   3.27339408E-08   6.62973825E-05  
  65               3.96719325E-01   1.78084415E+03   8.38173106E-01   1.60209025E-01   4.39872001E-04   5.30400299E-04   3.76715177E-04   6.07265362E-05   2.99505311E-08   6.62762065E-05  
  66               4.16134992E-01   1.80295005E+03   8.38101382E-01   1.60202762E-01   5.17878548E-04   5.30383378E-04   3.76642045E-04   6.07239571E-05   2.73095330E-08   6.62526458E-05  
  67               4.37633684E-01   1.82630737E+03   8.38014431E-01   1.60195170E-01   6.12435804E-04   5.30361799E-04   3.76566701E-04   6.07208131E-05   2.48898248E-08   6.62266957E-05  
  68               4.61285021E-01   1.85103137E+03   8.37908292E-01   1.60185901E-01   7.27834757E-04   5.30334451E-04   3.76491596E-04   6.07169857E-05   2.26518234E-08   6.61981329E-05  
  69               4.86977302E-01   1.87654395E+03   8.37782015E-01   1.60174879E-01   8.65100406E-04   5.30300966E-04   3.76441610E-04   6.07124244E-05   2.06616444E-08   6.61672436E-05  
  70               5.14896241E-01   1.90309482E+03   8.37630384E-01   1.60161643E-01   1.03005167E-03   5.30259905E-04   3.76329607E-04   6.07069671E-05   1.88622117E-08   6.61336418E-05  
  71               5.45762719E-01   1.93085967E+03   8.37447423E-01   1.60145675E-01   1.22908524E-03   5.30209533E-04   3.76206077E-04   6.07003831E-05   1.72486764E-08   6.60966261E-05  
  72               5.79820536E-01   1.96003818E+03   8.37224902E-01   1.60126255E-01   1.47115408E-03   5.30147513E-04   3.76068041E-04   6.06924091E-05   1.57807954E-08   6.60557028E-05  
  73               6.17334991E-01   1.99026623E+03   8.36958460E-01   1.60103004E-01   1.76100255E-03   5.30072533E-04   3.75915232E-04   6.06828730E-05   1.44855209E-08   6.60107599E-05  
  74               6.58596566E-01   2.02173132E+03   8.36637570E-01   1.60075004E-01   2.11008229E-03   5.29981591E-04   3.75743924E-04   6.06714336E-05   1.33245704E-08   6.59612220E-05  
  75               7.03925089E-01   2.05403756E+03   8.36257608E-01   1.60041852E-01   2.52342195E-03   5.29873312E-04   3.75553726E-04   6.06579078E-05   1.23159570E-08   6.59069844E-05  
  76               7.53673932E-01   2.08739672E+03   8.35805361E-01   1.60002395E-01   3.01539687E-03   5.29743916E-04   3.75339880E-04   6.06418643E-05   1.14226219E-08   6.58473585E-05  
  77               8.08232011E-01   2.12139469E+03   8.35276658E-01   1.59956271E-01   3.59054178E-03   5.29592167E-04   3.75102008E-04   6.06231325E-05   1.06574078E-08   6.57822674E-05  
  78               8.68028169E-01   2.15626158E+03   8.34655741E-01   1.59902105E-01   4.26600085E-03   5.29413547E-04   3.74834341E-04   6.06011941E-05   9.98729204E-09   6.57109175E-05  
  79               9.33535677E-01   2.19156801E+03   8.33940182E-01   1.59839687E-01   5.04441235E-03   5.29207327E-04   3.74536890E-04   6.05759323E-05   9.42286762E-09   6.56333058E-05  
  80               1.00527441E+00   2.22756789E+03   8.33111895E-01   1.59767440E-01   5.94545132E-03   5.28968311E-04   3.74202893E-04   6.05467472E-05   8.93543607E-09   6.55485401E-05  
  81               1.08381559E+00   2.26379546E+03   8.32172674E-01   1.59685521E-01   6.96716485E-03   5.28696987E-04   3.73833563E-04   6.05136551E-05   8.53601940E-09   6.54567930E-05  
  82               1.16978707E+00   2.30050836E+03   8.31101672E-01   1.59591907E-01   8.13007988E-03   5.28386679E-04   3.73420739E-04   6.04758790E-05   8.20070387E-09   6.53569857E-05  
  83               1.26373712E+00   2.33715884E+03   8.29904668E-01   1.59487973E-01   9.42263270E-03   5.28041624E-04   3.79695902E-04   6.04340447E-05   7.80044864E-09   6.52499082E-05  
  84               1.36641461E+00   2.37412330E+03   8.28574253E-01   1.59371949E-01   1.08698452E-02   5.27656574E-04   3.79233879E-04   6.03871717E-05   7.59580171E-09   6.51345187E-05  
  85               1.47877842E+00   2.41097899E+03   8.27114897E-01   1.59244686E-01   1.24573247E-02   5.27233998E-04   3.78719374E-04   6.03356580E-05   7.45316700E-09   6.50111991E-05  
  86               1.60171085E+00   2.44808388E+03   8.25502699E-01   1.59104098E-01   1.42110694E-02   5.26767002E-04   3.78144368E-04   6.02786783E-05   7.35345175E-09   6.48788002E-05  
  87               1.73616633E+00   2.48493526E+03   8.23762405E-01   1.58952346E-01   1.61041563E-02   5.26262695E-04   3.77517846E-04   6.02169729E-05   7.30923071E-09   6.47383624E-05  
  88               1.88318772E+00   2.52199402E+03   8.21862760E-01   1.58786704E-01   1.81705836E-02   5.25712055E-04   3.76828229E-04   6.01494477E-05   7.30116972E-09   6.45884226E-05  
  89               2.04390891E+00   2.55872065E+03   8.19839819E-01   1.58610315E-01   2.03711275E-02   5.25125449E-04   3.76088167E-04   6.00771895E-05   7.34405592E-09   6.44304452E-05  
  90               2.21955429E+00   2.59558593E+03   8.17659146E-01   1.58420178E-01   2.27432454E-02   5.24492929E-04   3.75284299E-04   5.99989519E-05   7.42074094E-09   6.42628538E-05  
  91               2.41144085E+00   2.63204309E+03   8.15367449E-01   1.58220366E-01   2.52361258E-02   5.23827931E-04   3.74433127E-04   5.99161352E-05   7.54706592E-09   6.40875034E-05  
  92               2.62097437E+00   2.66866199E+03   8.12917784E-01   1.58006784E-01   2.79008324E-02   5.23116889E-04   3.73516254E-04   5.98270014E-05   7.70446663E-09   6.39023364E-05  
  93               2.84965777E+00   2.70480809E+03   8.10374408E-01   1.57785035E-01   3.06674651E-02   5.22378295E-04   3.72556989E-04   5.97334727E-05   7.91246652E-09   6.37098887E-05  
  94               3.09909595E+00   2.74108154E+03   8.07682194E-01   1.57550314E-01   3.35959878E-02   5.21596212E-04   3.71533628E-04   5.96334133E-05   8.15264848E-09   6.35078160E-05  
  95               3.37099749E+00   2.77684078E+03   8.04916798E-01   1.57309216E-01   3.66040998E-02   5.20792415E-04   3.70474399E-04   5.95290385E-05   8.44598459E-09   6.32990663E-05  
  96               3.66717506E+00   2.81279626E+03   8.02003176E-01   1.57055198E-01   3.97734322E-02   5.19945210E-04   3.69349734E-04   5.94173331E-05   8.77100873E-09   6.30805607E-05  
  97               3.98955808E+00   2.84824272E+03   7.99033527E-01   1.56796299E-01   4.30036886E-02   5.19081135E-04   3.68195000E-04   5.93009368E-05   9.15217037E-09   6.28558672E-05  
  98               4.34018072E+00   2.88391378E+03   7.95920684E-01   1.56524918E-01   4.63896856E-02   5.18174984E-04   3.66975572E-04   5.91760876E-05   9.56700212E-09   6.26215026E-05  
  99               4.72119587E+00   2.91904667E+03   7.92774456E-01   1.56250629E-01   4.98119704E-02   5.17258369E-04   3.65734736E-04   5.90458532E-05   1.00437019E-08   6.23816827E-05  
  100              5.13487842E+00   2.95445091E+03   7.89487583E-01   1.55964081E-01   5.33872184E-02   5.16300269E-04   3.64429425E-04   5.89052440E-05   1.05564017E-08   6.21322192E-05  
  101              5.58364503E+00   2.98930435E+03   7.86188442E-01   1.55676466E-01   5.69757776E-02   5.15337641E-04   3.63111491E-04   5.87577513E-05   1.11377983E-08   6.18779928E-05  
