# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               Fe               OH              
  14               5.02809536E-05   1.78432410E+03   8.02375488E-01   3.93837770E-02   1.57085455E-01   5.20094222E-04   3.64666524E-04   6.54783637E-05   5.44662935E-05   1.18154199E-06  
  15               5.84385574E-05   1.78316861E+03   8.05267397E-01   3.62379050E-02   1.57337572E-01   5.20928980E-04   3.65395442E-04   6.55829909E-05   5.45536775E-05   1.08248483E-06  
  16               6.81110702E-05   1.81845027E+03   7.97304821E-01   4.48996446E-02   1.56643467E-01   5.18632888E-04   3.63335556E-04   6.52930828E-05   5.43129538E-05   1.46090560E-06  
  17               7.95747001E-05   1.81781212E+03   8.00517005E-01   4.14053800E-02   1.56923497E-01   5.19560113E-04   3.64147991E-04   6.54092387E-05   5.44100070E-05   1.34287254E-06  
  18               9.31671725E-05   1.85294567E+03   7.92104616E-01   5.05564183E-02   1.56190193E-01   5.17134033E-04   3.61938706E-04   6.51028693E-05   5.41556800E-05   1.78010166E-06  
  19               1.09273891E-04   1.85298456E+03   7.95559516E-01   4.67981298E-02   1.56491375E-01   5.18131343E-04   3.62817890E-04   6.52277139E-05   5.42600564E-05   1.64473959E-06  
  20               1.28365614E-04   1.88806527E+03   7.86718427E-01   5.64155033E-02   1.55720709E-01   5.15581382E-04   3.60454390E-04   6.49056280E-05   5.39927607E-05   2.14618311E-06  
  21               1.50977773E-04   1.88895501E+03   7.90323355E-01   5.24940169E-02   1.56034965E-01   5.16622029E-04   3.61378713E-04   6.50357677E-05   5.41016565E-05   1.99668649E-06  
  22               1.77763466E-04   1.92410071E+03   7.81044353E-01   6.25877497E-02   1.55226131E-01   5.13945541E-04   3.58847846E-04   6.46976050E-05   5.38211098E-05   2.57005139E-06  
  23               2.09461760E-04   1.92608071E+03   7.84674140E-01   5.86392242E-02   1.55542552E-01   5.14993403E-04   3.59785696E-04   6.48284613E-05   5.39307387E-05   2.41257861E-06  
  24               2.46972543E-04   1.96146855E+03   7.74895314E-01   6.92766658E-02   1.54690151E-01   5.12172529E-04   3.57058408E-04   6.44719436E-05   5.36350657E-05   3.07018722E-06  
  25               2.91306456E-04   1.96489173E+03   7.78369207E-01   6.54977245E-02   1.54992979E-01   5.13175441E-04   3.57960823E-04   6.45969136E-05   5.37399609E-05   2.91617216E-06  
  26               3.43688802E-04   2.00087257E+03   7.67908030E-01   7.68774305E-02   1.54081099E-01   5.10157515E-04   3.54970428E-04   6.42153773E-05   5.34236401E-05   3.68139432E-06  
  27               4.05475769E-04   2.00643845E+03   7.70875931E-01   7.36489117E-02   1.54339819E-01   5.11014445E-04   3.55736937E-04   6.43217004E-05   5.35132152E-05   3.55704505E-06  
  28               4.78276929E-04   2.04426796E+03   7.59014504E-01   8.65518173E-02   1.53305878E-01   5.07592295E-04   3.52252014E-04   6.38890309E-05   5.31545431E-05   4.50003636E-06  
  29               5.62904704E-04   2.07289750E+03   7.50852882E-01   9.54300556E-02   1.52594445E-01   5.05237621E-04   3.49754166E-04   6.35906908E-05   5.29076891E-05   5.23414080E-06  
  30               6.61932654E-04   2.10044094E+03   7.42925507E-01   1.04053481E-01   1.51903427E-01   5.02950459E-04   3.47259621E-04   6.33007253E-05   5.26678993E-05   5.99968444E-06  
  31               7.77900845E-04   2.12839671E+03   7.34490853E-01   1.13228732E-01   1.51168185E-01   5.00516828E-04   3.44540253E-04   6.29921808E-05   5.24127586E-05   6.85998076E-06  
  32               9.13783999E-04   2.15536136E+03   7.26416118E-01   1.22012465E-01   1.50464311E-01   4.98186993E-04   3.41856559E-04   6.26965489E-05   5.21684767E-05   7.74285598E-06  
  33               1.07304274E-03   2.18309755E+03   7.17693484E-01   1.31500992E-01   1.49703953E-01   4.95670110E-04   3.38886768E-04   6.23772052E-05   5.19045898E-05   8.74250267E-06  
  34               1.25971568E-03   2.20989262E+03   7.09441805E-01   1.40477218E-01   1.48984640E-01   4.93289077E-04   3.35983103E-04   6.20747778E-05   5.16549133E-05   9.75533343E-06  
  35               1.47849559E-03   2.23766850E+03   7.00446183E-01   1.50262718E-01   1.48200467E-01   4.90693276E-04   3.32741056E-04   6.17451253E-05   5.13827246E-05   1.09052970E-05  
  36               1.73484513E-03   2.26442481E+03   6.92096274E-01   1.59345815E-01   1.47472572E-01   4.88283769E-04   3.29621106E-04   6.14387035E-05   5.11300241E-05   1.20495768E-05  
  37               2.03508373E-03   2.29236372E+03   6.82886702E-01   1.69364070E-01   1.46669726E-01   4.85626089E-04   3.26100055E-04   6.11008283E-05   5.08513089E-05   1.33546521E-05  
  38               2.38651676E-03   2.31927007E+03   6.74435346E-01   1.78555576E-01   1.45932778E-01   4.83186560E-04   3.22741360E-04   6.07901554E-05   5.05954126E-05   1.46380587E-05  
  39               2.79510533E-03   2.34738588E+03   6.65044050E-01   1.88762655E-01   1.45114404E-01   4.80476644E-04   3.24973207E-04   6.04453323E-05   5.03112556E-05   1.64058778E-05  
  40               3.26992517E-03   2.37424521E+03   6.56623381E-01   1.97922823E-01   1.44380288E-01   4.78046467E-04   3.21342602E-04   6.01353421E-05   5.00562809E-05   1.78408095E-05  
  41               3.82447749E-03   2.40261744E+03   6.47126072E-01   2.08254193E-01   1.43552298E-01   4.75305471E-04   3.17166922E-04   5.97859694E-05   4.97687228E-05   1.94896470E-05  
  42               4.47131920E-03   2.42980166E+03   6.38686229E-01   2.17435242E-01   1.42816481E-01   4.72869634E-04   3.13288239E-04   5.94746588E-05   4.95130833E-05   2.10631521E-05  
  43               5.22471116E-03   2.45864576E+03   6.29039748E-01   2.27928911E-01   1.41975453E-01   4.70085443E-04   3.08780027E-04   5.91192283E-05   4.92209263E-05   2.28797108E-05  
  44               6.09970754E-03   2.48615574E+03   6.20603449E-01   2.37106130E-01   1.41239913E-01   4.67650501E-04   3.04649033E-04   5.88073660E-05   4.89652992E-05   2.45868679E-05  
  45               7.11260291E-03   2.51534425E+03   6.10894209E-01   2.47668099E-01   1.40393376E-01   4.64848049E-04   2.99828581E-04   5.84489807E-05   4.86711476E-05   2.65551203E-05  
  46               8.28426096E-03   2.54303111E+03   6.02572513E-01   2.56720677E-01   1.39667793E-01   4.62446053E-04   2.95488111E-04   5.81405555E-05   4.84188817E-05   2.83712666E-05  
  47               9.63829674E-03   2.57256100E+03   5.92861073E-01   2.67285069E-01   1.38821025E-01   4.59642817E-04   2.90372273E-04   5.77813504E-05   4.81245553E-05   3.04746358E-05  
  48               1.12012036E-02   2.60055353E+03   5.84621790E-01   2.76248020E-01   1.38102591E-01   4.57264474E-04   2.85806079E-04   5.74751140E-05   4.78746653E-05   3.23954987E-05  
  49               1.30032049E-02   2.62983621E+03   5.75478059E-01   2.86194867E-01   1.37305280E-01   4.54624970E-04   2.80670550E-04   5.71356684E-05   4.75973770E-05   3.45247504E-05  
  50               1.50775202E-02   2.65812527E+03   5.67377807E-01   2.95006598E-01   1.36598932E-01   4.52286625E-04   2.75915811E-04   5.68335900E-05   4.73515616E-05   3.65257883E-05  
  51               1.74609848E-02   2.68785328E+03   5.58249902E-01   3.04936252E-01   1.35802960E-01   4.49651539E-04   2.70511338E-04   5.64938266E-05   4.70746195E-05   3.87549887E-05  
  52               2.01939305E-02   2.71669780E+03   5.50074621E-01   3.13829617E-01   1.35090032E-01   4.47291391E-04   2.65467273E-04   5.61880943E-05   4.68263985E-05   4.08575164E-05  
  53               2.33205124E-02   2.74718191E+03   5.40694895E-01   3.24033229E-01   1.34272061E-01   4.44583446E-04   2.59656584E-04   5.58382862E-05   4.65417051E-05   4.32164752E-05  
  54               2.68887940E-02   2.77667475E+03   5.32350314E-01   3.33110776E-01   1.33544331E-01   4.42174268E-04   2.54274447E-04   5.55254646E-05   4.62882222E-05   4.54190961E-05  
  55               3.09516606E-02   2.80761681E+03   5.22960220E-01   3.43325675E-01   1.32725411E-01   4.39463160E-04   2.48190751E-04   5.51743437E-05   4.60030690E-05   4.78407724E-05  
  56               3.55668330E-02   2.83728217E+03   5.14836276E-01   3.52163204E-01   1.32016882E-01   4.37117521E-04   2.42701135E-04   5.48685231E-05   4.57561022E-05   5.00471908E-05  
  57               4.07978557E-02   2.86825651E+03   5.05788983E-01   3.62005185E-01   1.31227813E-01   4.34505209E-04   2.36573689E-04   5.45288378E-05   4.54811558E-05   5.24370523E-05  
  58               4.67140438E-02   2.89780118E+03   4.98120892E-01   3.70346801E-01   1.30559000E-01   4.32291020E-04   2.31153666E-04   5.42384763E-05   4.52478053E-05   5.45764897E-05  
  59               5.33913124E-02   2.92878876E+03   4.89426294E-01   3.79805079E-01   1.29800648E-01   4.29780361E-04   2.25036907E-04   5.39105399E-05   4.49833571E-05   5.69039654E-05  
  60               6.09119356E-02   2.95842710E+03   4.82024759E-01   3.87856686E-01   1.29155048E-01   4.27642965E-04   2.19621298E-04   5.36287508E-05   4.47578947E-05   5.89867631E-05  
  61               6.93659696E-02   2.98968163E+03   4.73471852E-01   3.97160775E-01   1.28409016E-01   4.25173024E-04   2.13432446E-04   5.33049150E-05   4.44975624E-05   6.12637768E-05  
  62               7.88512969E-02   3.01961167E+03   4.66175643E-01   4.05097737E-01   1.27772569E-01   4.23065851E-04   2.07960686E-04   5.30258517E-05   4.42751098E-05   6.32956848E-05  
  63               8.94725854E-02   3.05124571E+03   4.57682784E-01   4.14336417E-01   1.27031738E-01   4.20613031E-04   2.01687171E-04   5.27031629E-05   4.40164220E-05   6.55097269E-05  
  64               1.01343105E-01   3.08148176E+03   4.50484890E-01   4.22166325E-01   1.26403834E-01   4.18534027E-04   1.96190242E-04   5.24265643E-05   4.37967624E-05   6.74682140E-05  
  65               1.14590389E-01   3.11335299E+03   4.42180018E-01   4.31200374E-01   1.25679364E-01   4.16135233E-04   1.89952926E-04   5.21096216E-05   4.35435790E-05   6.95717051E-05  
  66               1.29356514E-01   3.14373274E+03   4.35233744E-01   4.38756411E-01   1.25073374E-01   4.14128624E-04   1.84566052E-04   5.18409623E-05   4.33313338E-05   7.14120672E-05  
  67               1.45801566E-01   3.17578212E+03   4.27204784E-01   4.47490126E-01   1.24372934E-01   4.11809193E-04   1.78463417E-04   5.15328626E-05   4.30862983E-05   7.33729399E-05  
  68               1.64103517E-01   3.20635834E+03   4.20517066E-01   4.54764688E-01   1.23789465E-01   4.09876919E-04   1.73227665E-04   5.12722955E-05   4.28816607E-05   7.50826279E-05  
  69               1.84462599E-01   3.23870741E+03   4.12729731E-01   4.63235299E-01   1.23110064E-01   4.07626868E-04   1.67276162E-04   5.09717026E-05   4.26437199E-05   7.68945188E-05  
  70               2.07100135E-01   3.26972333E+03   4.06179700E-01   4.70359800E-01   1.22538572E-01   4.05733924E-04   1.62144480E-04   5.07147748E-05   4.24430199E-05   7.84821915E-05  
  71               2.32263916E-01   3.30270868E+03   3.98454961E-01   4.78761975E-01   1.21864591E-01   4.03501421E-04   1.56260942E-04   5.04151675E-05   4.22067492E-05   8.01576985E-05  
  72               2.60228233E-01   3.33447540E+03   3.91889844E-01   4.85902515E-01   1.21291745E-01   4.01603529E-04   1.51161627E-04   5.01563062E-05   4.20053546E-05   8.16308906E-05  
  73               2.91302856E-01   3.36827281E+03   3.84184613E-01   4.94283023E-01   1.20619422E-01   3.99375931E-04   1.45349484E-04   4.98560481E-05   4.17694334E-05   8.31596510E-05  
  74               3.25833553E-01   3.40084874E+03   3.77649337E-01   5.01390636E-01   1.20049135E-01   3.97485841E-04   1.40338874E-04   4.95967454E-05   4.15686770E-05   8.44998606E-05  
  75               3.64213317E-01   3.43543875E+03   3.70067759E-01   5.09636099E-01   1.19387550E-01   3.95292949E-04   1.34695288E-04   4.92994222E-05   4.13362224E-05   8.58591647E-05  
  76               4.06882537E-01   3.46876246E+03   3.63692718E-01   5.16568879E-01   1.18831196E-01   3.93448014E-04   1.29881161E-04   4.90441555E-05   4.11400073E-05   8.70475299E-05  
  77               4.54341450E-01   3.50412440E+03   3.56336914E-01   5.24568182E-01   1.18189257E-01   3.91318947E-04   1.24494975E-04   4.87532073E-05   4.09140659E-05   8.82259363E-05  
  78               5.07147770E-01   3.53830633E+03   3.50133106E-01   5.31314177E-01   1.17647799E-01   3.89521907E-04   1.19900907E-04   4.85021459E-05   4.07226868E-05   8.92615179E-05  
  79               5.65930714E-01   3.57471590E+03   3.42909253E-01   5.39169447E-01   1.17017333E-01   3.87429007E-04   1.14729128E-04   4.82140288E-05   4.05003949E-05   9.02639587E-05  
  80               6.31388968E-01   3.61015192E+03   3.36710876E-01   5.45909146E-01   1.16476321E-01   3.85631298E-04   1.10264395E-04   4.79610963E-05   4.03088207E-05   9.11501761E-05  
  81               7.04312112E-01   3.64799713E+03   3.29470432E-01   5.53782198E-01   1.15844393E-01   3.83530774E-04   1.05230664E-04   4.76703887E-05   4.00856752E-05   9.19720945E-05  
  82               7.85578593E-01   3.68508068E+03   3.23138088E-01   5.60667542E-01   1.15291699E-01   3.81691031E-04   1.00825634E-04   4.74105240E-05   3.98896839E-05   9.26954329E-05  
  83               8.76183907E-01   3.72471523E+03   3.15779729E-01   5.68669004E-01   1.14649512E-01   3.79552136E-04   9.58872679E-05   4.71135477E-05   3.96626171E-05   9.33158880E-05  
  84               9.77242049E-01   3.76367905E+03   3.09294624E-01   5.75720865E-01   1.14083537E-01   3.77663080E-04   9.15494807E-05   4.68459900E-05   3.94616268E-05   9.38495096E-05  
  85               1.09002158E+00   3.80514872E+03   3.01913930E-01   5.83747186E-01   1.13439469E-01   3.75510958E-04   8.67810955E-05   4.65459844E-05   3.92334963E-05   9.42435625E-05  
  86               1.21594776E+00   3.84584753E+03   2.95475538E-01   5.90748875E-01   1.12877643E-01   3.73627205E-04   8.26399821E-05   4.62775469E-05   3.90334770E-05   9.45703161E-05  
  87               1.35663728E+00   3.88901987E+03   2.88255631E-01   5.98600993E-01   1.12247680E-01   3.71510755E-04   7.81540308E-05   4.59806826E-05   3.88097459E-05   9.47307489E-05  
  88               1.51389463E+00   3.93151742E+03   2.81930892E-01   6.05479662E-01   1.11695839E-01   3.69646644E-04   7.42505716E-05   4.57134312E-05   3.86126533E-05   9.48432470E-05  
  89               1.68974924E+00   3.97668991E+03   2.74814431E-01   6.13219797E-01   1.11074967E-01   3.67542505E-04   7.00175457E-05   4.54174604E-05   3.83915385E-05   9.47574669E-05  
  90               1.88645341E+00   4.02153595E+03   2.68427111E-01   6.20166962E-01   1.10517720E-01   3.65638374E-04   6.62637473E-05   4.51450975E-05   3.81920251E-05   9.46251622E-05  
  91               2.10652479E+00   4.06937460E+03   2.61199154E-01   6.28028728E-01   1.09887169E-01   3.63472458E-04   6.21836251E-05   4.48425026E-05   3.79670325E-05   9.42511914E-05  
  92               2.35275100E+00   4.11714757E+03   2.54599201E-01   6.35207450E-01   1.09311413E-01   3.61469710E-04   5.85245843E-05   4.45598723E-05   3.77605689E-05   9.38279449E-05  
  93               2.62823081E+00   4.16796547E+03   2.47248802E-01   6.43202609E-01   1.08670219E-01   3.59218730E-04   5.46182810E-05   4.42503522E-05   3.75313525E-05   9.31382018E-05  
  94               2.93637672E+00   4.21876052E+03   2.40527915E-01   6.50513029E-01   1.08083946E-01   3.57118839E-04   5.11277760E-05   4.39607074E-05   3.73206754E-05   9.24145100E-05  
  95               3.28093601E+00   4.27249079E+03   2.33205984E-01   6.58477324E-01   1.07445266E-01   3.54793788E-04   4.74905743E-05   4.36495161E-05   3.70917436E-05   9.14268185E-05  
  96               3.66599851E+00   4.32601461E+03   2.26589201E-01   6.65674556E-01   1.06868100E-01   3.52622380E-04   4.42901552E-05   4.33605745E-05   3.68835718E-05   9.04497765E-05  
  97               4.09598271E+00   4.38240311E+03   2.19476498E-01   6.73411267E-01   1.06247695E-01   3.50224160E-04   4.10105871E-05   4.30538914E-05   3.66603128E-05   8.92265082E-05  
  98               4.57562604E+00   4.43885520E+03   2.12948494E-01   6.80511897E-01   1.05678296E-01   3.47910482E-04   3.81005798E-05   4.27653292E-05   3.64541864E-05   8.80246807E-05  
  99               5.10991431E+00   4.49852773E+03   2.05867800E-01   6.88213698E-01   1.05060706E-01   3.45296508E-04   3.51118982E-05   4.24576198E-05   3.62313369E-05   8.65655536E-05  
  100              5.70407653E+00   4.55865513E+03   1.99229122E-01   6.95434564E-01   1.04481674E-01   3.42664279E-04   3.24293373E-05   4.21634758E-05   3.60213768E-05   8.51269143E-05  
  101              6.36349094E+00   4.62199710E+03   1.92122078E-01   7.03164772E-01   1.03861802E-01   3.39664431E-04   2.97256947E-05   4.18536436E-05   3.57972952E-05   8.34659523E-05  
