# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               Mg              
  34               2.60241884E-02   9.84903517E+02   8.38799464E-01   1.60285017E-01   1.09476968E-08   4.92668595E-04   2.88257534E-04   3.78190038E-05   6.07450726E-05   9.71960929E-15  
  35               3.08059247E-02   1.00877704E+03   8.38808693E-01   1.60282722E-01   1.80445908E-08   4.99802115E-04   2.81320332E-04   3.07031123E-05   6.07429030E-05   3.51662365E-14  
  36               3.63662307E-02   1.02777175E+03   8.38815597E-01   1.60280998E-01   2.86294054E-08   5.05159111E-04   2.76128309E-04   2.53615755E-05   6.07406845E-05   1.05268946E-13  
  37               4.27922015E-02   1.05336847E+03   8.38822308E-01   1.60279319E-01   4.71396191E-08   5.10372251E-04   2.71074922E-04   2.01629847E-05   6.07389674E-05   3.68533215E-13  
  38               5.01701621E-02   1.07423230E+03   8.38827217E-01   1.60278081E-01   7.47166740E-08   5.14211488E-04   2.67367454E-04   1.63365049E-05   6.07371837E-05   1.08676886E-12  
  39               5.85824790E-02   1.10169509E+03   8.38831760E-01   1.60276927E-01   1.21946089E-07   5.17784188E-04   2.63918927E-04   1.27758099E-05   6.07359056E-05   2.63890952E-12  
  40               6.81104788E-02   1.12426614E+03   8.38834996E-01   1.60276087E-01   1.91627829E-07   5.20371981E-04   2.61432512E-04   1.01985345E-05   6.07345277E-05   9.41502888E-12  
  41               7.88441649E-02   1.15323128E+03   8.38837832E-01   1.60275329E-01   3.08636934E-07   5.22689645E-04   2.59209393E-04   7.89075908E-06   6.07336223E-05   2.35007878E-11  
  42               9.08936074E-02   1.17726836E+03   8.38839741E-01   1.60274780E-01   4.79555852E-07   5.24338807E-04   2.57637426E-04   6.25022347E-06   6.07325695E-05   8.25605385E-11  
  43               1.04371225E-01   1.20784649E+03   8.38841261E-01   1.60274289E-01   7.61392744E-07   5.25777341E-04   2.56278012E-04   4.81977490E-06   6.07319385E-05   2.00750680E-10  
  44               1.19395170E-01   1.23348368E+03   8.38842070E-01   1.60273912E-01   1.17007358E-06   5.26799196E-04   2.55325593E-04   3.80491273E-06   6.07311350E-05   6.80703412E-10  
  45               1.36083836E-01   1.26580807E+03   8.38842373E-01   1.60273555E-01   1.83842018E-06   5.27682180E-04   2.54582390E-04   2.92841512E-06   6.07307332E-05   1.60950694E-09  
  46               1.54551312E-01   1.29327179E+03   8.38841623E-01   1.60273174E-01   2.81227662E-06   5.28314065E-04   2.54112526E-04   2.30182367E-06   6.07301564E-05   5.39271885E-09  
  47               1.74881954E-01   1.32797989E+03   8.38839548E-01   1.60272744E-01   4.40673712E-06   5.28859494E-04   2.54307855E-04   1.76096414E-06   6.07299928E-05   1.25390175E-08  
  48               1.97132918E-01   1.35815824E+03   8.38833487E-01   1.60271714E-01   6.75186906E-06   5.29253439E-04   2.54669672E-04   1.36876577E-06   6.07295261E-05   4.20909454E-08  
  49               2.21180522E-01   1.39610211E+03   8.38822091E-01   1.60270538E-01   1.06111170E-05   5.29597085E-04   2.59177808E-04   1.02511890E-06   6.07295342E-05   9.50263190E-08  
  50               2.46850541E-01   1.42957121E+03   8.38808006E-01   1.60269142E-01   1.65652066E-05   5.29849261E-04   2.63984852E-04   7.71656021E-07   6.07295715E-05   3.43357787E-07  
  51               2.73974043E-01   1.47146588E+03   8.38788755E-01   1.60267235E-01   2.53049224E-05   5.30052919E-04   2.69816008E-04   5.64485083E-07   6.07296984E-05   1.25270074E-06  
  52               3.01976423E-01   1.51158567E+03   8.38761830E-01   1.60264596E-01   3.73263132E-05   5.30192953E-04   2.77704784E-04   4.17618505E-07   6.07294937E-05   3.84014148E-06  
  53               3.29906084E-01   1.54869551E+03   8.38724200E-01   1.60261153E-01   5.30694209E-05   5.30298540E-04   2.90244152E-04   3.01295786E-07   6.07291098E-05   9.43632642E-06  
  54               3.57442160E-01   1.58297894E+03   8.38667000E-01   1.60255822E-01   7.21541024E-05   5.30354763E-04   3.10417724E-04   2.26386052E-07   6.07278289E-05   2.26508832E-05  
  55               3.83446784E-01   1.61337112E+03   8.38607632E-01   1.60250332E-01   9.43740942E-05   5.30387211E-04   3.30309552E-04   1.74385720E-07   6.07262919E-05   3.56648587E-05  
  56               4.07266319E-01   1.63979707E+03   8.38548373E-01   1.60244979E-01   1.19723329E-04   5.30404909E-04   3.49188069E-04   1.37505637E-07   6.07246566E-05   4.80102831E-05  
  57               4.30059546E-01   1.66382721E+03   8.38491791E-01   1.60239922E-01   1.47844835E-04   5.30412763E-04   3.65479881E-04   1.11726052E-07   6.07229977E-05   5.86697499E-05  
  58               4.52770911E-01   1.68679515E+03   8.38437447E-01   1.60234643E-01   1.78283496E-04   5.30412285E-04   3.77110349E-04   9.42215226E-08   6.07211302E-05   6.62934459E-05  
  59               4.74605980E-01   1.70788860E+03   8.38401315E-01   1.60230863E-01   2.11078648E-04   5.30410998E-04   3.77037878E-04   8.44768687E-08   6.07196653E-05   6.62710588E-05  
  60               4.94763127E-01   1.72672472E+03   8.38362891E-01   1.60226884E-01   2.46365226E-04   5.30406969E-04   3.76970552E-04   7.66114284E-08   6.07180805E-05   6.62494646E-05  
  61               5.14487446E-01   1.74446039E+03   8.38322257E-01   1.60222712E-01   2.84052561E-04   5.30400679E-04   3.76907735E-04   7.01993488E-08   6.07163837E-05   6.62286069E-05  
  62               5.34131022E-01   1.76164783E+03   8.38278748E-01   1.60218290E-01   3.24865194E-04   5.30392423E-04   3.76847828E-04   6.47976682E-08   6.07145617E-05   6.62080774E-05  
  63               5.53949772E-01   1.77835486E+03   8.38236834E-01   1.60214630E-01   3.70456659E-04   5.30385959E-04   3.76791394E-04   6.00443330E-08   6.07129925E-05   6.61875891E-05  
  64               5.74735363E-01   1.79542723E+03   8.38188801E-01   1.60210435E-01   4.22699921E-04   5.30377242E-04   3.76734423E-04   5.57239581E-08   6.07111848E-05   6.61661025E-05  
  65               5.97676879E-01   1.81359753E+03   8.38132916E-01   1.60205555E-01   4.83478780E-04   5.30365889E-04   3.76676466E-04   5.17305942E-08   6.07090723E-05   6.61431577E-05  
  66               6.22911193E-01   1.83303657E+03   8.38066893E-01   1.60199789E-01   5.55274100E-04   5.30351347E-04   3.76617518E-04   4.79672976E-08   6.07065767E-05   6.61182838E-05  
  67               6.50526702E-01   1.85347512E+03   8.37988634E-01   1.60192957E-01   6.40364683E-04   5.30333022E-04   3.76561010E-04   4.44207628E-08   6.07036181E-05   6.60911823E-05  
