# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               Mg              
  1                1.00000000E-05   3.78332773E+02   8.38154057E-01   1.60444069E-01   8.94375840E-26   7.77920558E-04   4.70414133E-14   5.31279874E-04   6.04567902E-05   0.00000000E+00  
  2                4.59790181E-05   4.32758768E+02   8.38152293E-01   1.60444027E-01   2.60983521E-22   7.79858201E-04   1.02394447E-11   5.31279719E-04   6.05872738E-05   0.00000000E+00  
  3                8.66909354E-05   4.51374541E+02   8.38152265E-01   1.60444034E-01   2.33579635E-21   7.79858318E-04   3.28726077E-11   5.31279712E-04   6.05667124E-05   0.00000000E+00  
  4                1.34411908E-04   4.69411987E+02   8.38152290E-01   1.60444028E-01   1.76584610E-20   7.79858185E-04   1.21226656E-10   5.31279587E-04   6.05847614E-05   0.00000000E+00  
  5                1.90757123E-04   4.79622108E+02   8.38152260E-01   1.60444035E-01   4.89629257E-20   7.79858145E-04   1.93032955E-10   5.31279531E-04   6.05622029E-05   0.00000000E+00  
  6                2.57541488E-04   4.93173909E+02   8.38152276E-01   1.60444031E-01   1.90763043E-19   7.79857827E-04   4.63030504E-10   5.31279217E-04   6.05741355E-05   0.00000000E+00  
  7                3.36841865E-04   5.01027652E+02   8.38152247E-01   1.60444038E-01   3.85604030E-19   7.79857715E-04   6.14540767E-10   5.31279079E-04   6.05514437E-05   0.00000000E+00  
  8                4.31144002E-04   5.12731295E+02   8.38152258E-01   1.60444036E-01   1.13328063E-18   7.79857064E-04   1.21731329E-09   5.31278420E-04   6.05594878E-05   0.00000000E+00  
  9                5.43414565E-04   5.19331808E+02   8.38152225E-01   1.60444044E-01   1.94115719E-18   7.79856885E-04   1.45534980E-09   5.31278201E-04   6.05343438E-05   0.00000000E+00  
  10               6.77246086E-04   5.29889703E+02   8.38152231E-01   1.60444042E-01   4.78506836E-18   7.79855770E-04   2.53226196E-09   5.31277059E-04   6.05380675E-05   0.00000000E+00  
  11               8.36903212E-04   5.35666978E+02   8.38152193E-01   1.60444051E-01   7.36561901E-18   7.79855581E-04   2.81196166E-09   5.31276808E-04   6.05089312E-05   0.00000000E+00  
  12               1.02750727E-03   5.45499486E+02   8.38152195E-01   1.60444051E-01   1.61589197E-17   7.79853911E-04   4.47125359E-09   5.31275078E-04   6.05086596E-05   0.00000000E+00  
  13               1.25516304E-03   5.50678251E+02   8.38152149E-01   1.60444062E-01   2.30481383E-17   7.79853820E-04   4.69169381E-09   5.31274903E-04   6.04742413E-05   0.00000000E+00  
  14               1.52718157E-03   5.60054009E+02   8.38152147E-01   1.60444062E-01   4.66334438E-17   7.79851550E-04   6.99369033E-09   5.31272528E-04   6.04701728E-05   0.00000000E+00  
