# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(s)           N2              
  1                1.00000000E-05   4.34385954E+01   8.38831872E-01   1.60608971E-01   5.31825914E-04   4.68854365E-18   4.39378095E-08   2.30036087E-05   0.00000000E+00   1.40698854E-40  
  2                1.46402572E-03   6.00512651E+01   8.38831872E-01   1.60608971E-01   5.31825914E-04   5.33094677E-18   4.39378095E-08   2.30036087E-05   0.00000000E+00   6.56437145E-45  
  3                3.14592912E-03   6.71948435E+01   8.38831872E-01   1.60608971E-01   5.31825914E-04   6.43492064E-18   4.39378095E-08   2.30036087E-05   0.00000000E+00   1.42165001E-45  
  4                5.09883495E-03   7.31002653E+01   8.38831872E-01   1.60608971E-01   5.31825914E-04   5.85094159E-18   4.39378095E-08   2.30036087E-05   0.00000000E+00   5.41188616E-46  
  5                7.33602891E-03   7.73724613E+01   8.38831872E-01   1.60608971E-01   5.31825914E-04   6.52406535E-18   4.39378095E-08   2.30036087E-05   0.00000000E+00   2.61437867E-46  
  6                9.88027065E-03   8.20371540E+01   8.38831872E-01   1.60608971E-01   5.31825914E-04   5.65119011E-18   4.39378095E-08   2.30036087E-05   0.00000000E+00   1.44129499E-46  
  7                1.27777199E-02   8.55161771E+01   8.38831872E-01   1.60608971E-01   5.31825914E-04   6.63510259E-18   4.39378095E-08   2.30036087E-05   0.00000000E+00   8.61755041E-47  
  8                1.60953821E-02   8.99923354E+01   8.38831872E-01   1.60608971E-01   5.31825914E-04   4.68541668E-18   4.39378095E-08   2.30036087E-05   0.00000000E+00   5.43110226E-47  
  9                1.99153238E-02   9.34648676E+01   8.38831872E-01   1.60608971E-01   5.31825914E-04   4.82339174E-18   4.39378095E-08   2.30036087E-05   0.00000000E+00   3.54744620E-47  
  10               2.43314868E-02   9.83683452E+01   8.38831872E-01   1.60608971E-01   5.31825914E-04   4.09594608E-18   4.39378095E-08   2.30036087E-05   1.04155250E-17   2.37658453E-47  
  11               2.94528378E-02   1.02528002E+02   8.38831604E-01   1.60608919E-01   5.31825744E-04   1.50140910E-17   4.43041487E-08   2.30036013E-05   4.37221293E-16   1.89008700E-46  
  12               3.53867763E-02   1.09194100E+02   8.38830503E-01   1.60608708E-01   5.31825046E-04   4.58084326E-16   3.64490733E-07   2.30035711E-05   5.09878963E-15   3.25581800E-42  
  13               4.21079769E-02   1.14745916E+02   8.38825052E-01   1.60607665E-01   5.31821590E-04   5.63525401E-15   1.68375988E-06   2.30034216E-05   6.90513023E-14   4.04496689E-39  
  14               4.90465972E-02   1.21018899E+02   8.38800804E-01   1.60603022E-01   5.31806217E-04   7.48764813E-14   8.20577680E-06   2.30027567E-05   1.77208824E-13   6.46672468E-36  
  15               5.42656792E-02   1.24290240E+02   8.38800804E-01   1.60603022E-01   5.31806217E-04   2.53390427E-13   3.70809955E-05   2.30027567E-05   1.20405204E-12   9.54194780E-34  
  16               5.83121643E-02   1.27798532E+02   8.38729723E-01   1.60589412E-01   5.31761151E-04   1.45731896E-12   3.71567970E-05   2.30008074E-05   0.00000000E+00   7.62740224E-33  
  17               6.14413870E-02   1.29249156E+02   8.38729723E-01   1.60589412E-01   5.31761151E-04   1.45987251E-12   1.21819261E-04   2.30008074E-05   2.73853640E-12   1.78668845E-31  
  18               6.37177382E-02   1.31418015E+02   8.38729723E-01   1.60589412E-01   5.31761151E-04   4.19840892E-12   1.21819261E-04   2.30008074E-05   0.00000000E+00   6.00984622E-31  
  19               6.64007155E-02   1.32448912E+02   8.38729723E-01   1.60589412E-01   5.31761151E-04   4.20894433E-12   1.21819261E-04   2.30008074E-05   1.12986056E-11   1.00531433E-30  
