# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H                H2               He               CO               H2O              O-3P             Mg               Fe              
  34               7.92467309E-04   2.40705945E+03   3.98965670E-01   4.71812136E-01   1.28267691E-01   4.24696065E-04   2.42884999E-04   2.21442797E-05   5.34511695E-05   4.44726900E-05  
  35               9.26358649E-04   2.43716297E+03   4.17216377E-01   4.55035282E-01   1.26804602E-01   4.19852527E-04   2.32729629E-04   2.57566465E-05   5.28400139E-05   4.39652453E-05  
  36               1.08362188E-03   2.45477230E+03   4.17931616E-01   4.54377878E-01   1.26747157E-01   4.19662783E-04   2.31332848E-04   2.62401519E-05   5.28142236E-05   4.39451296E-05  
  37               1.26803091E-03   2.48610441E+03   4.36456018E-01   4.37349506E-01   1.25262044E-01   4.14746382E-04   2.20500232E-04   3.03968010E-05   5.21937114E-05   4.34300256E-05  
  38               1.48355299E-03   2.50448507E+03   4.37246133E-01   4.36623280E-01   1.25198583E-01   4.14536717E-04   2.18970656E-04   3.09575261E-05   5.21651276E-05   4.34077898E-05  
  39               1.73552532E-03   2.53688070E+03   4.55876751E-01   4.19497344E-01   1.23704871E-01   4.09591896E-04   2.07567618E-04   3.56650757E-05   5.15408475E-05   4.28896792E-05  
  40               2.02981342E-03   2.55597680E+03   4.56688496E-01   4.18751240E-01   1.23639663E-01   4.09376441E-04   2.05944705E-04   3.62935258E-05   5.15112153E-05   4.28667988E-05  
  41               2.37353798E-03   2.58940385E+03   4.75273031E-01   4.01667732E-01   1.22149562E-01   4.04443626E-04   1.94098844E-04   4.15392788E-05   5.08882351E-05   4.23499119E-05  
  42               2.77439751E-03   2.60922849E+03   4.76109315E-01   4.00899072E-01   1.22082375E-01   4.04221609E-04   1.92396253E-04   4.22350688E-05   5.08574188E-05   4.23263009E-05  
  43               3.24168428E-03   2.64369471E+03   4.94582370E-01   3.83918097E-01   1.20601133E-01   3.99318169E-04   1.80218662E-04   4.80041788E-05   5.02379095E-05   4.18124544E-05  
  44               3.78525554E-03   2.66430360E+03   4.95531696E-01   3.83045519E-01   1.20524873E-01   3.99066099E-04   1.78404558E-04   4.87898962E-05   5.02029207E-05   4.17856479E-05  
  45               4.41688576E-03   2.69976557E+03   5.13805262E-01   3.66247958E-01   1.19059554E-01   3.94215411E-04   1.66046451E-04   5.50407576E-05   4.95898156E-05   4.12772885E-05  
  46               5.14876346E-03   2.72105529E+03   5.14801979E-01   3.65331804E-01   1.18979486E-01   3.93950714E-04   1.64186055E-04   5.58925027E-05   4.95528168E-05   4.12491072E-05  
  47               5.99525673E-03   2.75734159E+03   5.32693292E-01   3.48885633E-01   1.17544755E-01   3.89201315E-04   1.51882682E-04   6.25235984E-05   4.89522193E-05   4.07513178E-05  
  48               6.97090403E-03   2.77921605E+03   5.33730490E-01   3.47932244E-01   1.17461435E-01   3.88925823E-04   1.50011870E-04   6.34295171E-05   4.89134234E-05   4.07219507E-05  
  49               8.09264789E-03   2.81621023E+03   5.51175531E-01   3.31896278E-01   1.16062440E-01   3.84294732E-04   1.37939357E-04   7.03524135E-05   4.83274867E-05   4.02365155E-05  
  50               9.37730721E-03   2.83862365E+03   5.52327124E-01   3.30837695E-01   1.15969943E-01   3.83988822E-04   1.36044871E-04   7.13290634E-05   4.82844262E-05   4.02039069E-05  
  51               1.08443067E-02   2.87614801E+03   5.69222453E-01   3.15306978E-01   1.14614991E-01   3.79503516E-04   1.24402032E-04   7.84273593E-05   4.77166281E-05   3.97337071E-05  
  52               1.25132074E-02   2.90015912E+03   5.71678084E-01   3.13049626E-01   1.14417922E-01   3.78851371E-04   1.21780394E-04   7.99424159E-05   4.76296954E-05   3.96647950E-05  
  53               1.44055756E-02   2.93714358E+03   5.87006680E-01   2.98958985E-01   1.13188578E-01   3.74781839E-04   1.11317183E-04   8.67289183E-05   4.71139421E-05   3.92381017E-05  
  54               1.65428492E-02   2.96055484E+03   5.88611680E-01   2.97483479E-01   1.13059717E-01   3.74355431E-04   1.09329241E-04   8.79175446E-05   4.70549191E-05   3.91927689E-05  
  55               1.89502719E-02   2.99747135E+03   6.03039475E-01   2.84220720E-01   1.11902589E-01   3.70524888E-04   9.97048037E-05   9.45385875E-05   4.65690301E-05   3.87910768E-05  
  56               2.16533167E-02   3.02109037E+03   6.04694134E-01   2.82699459E-01   1.11769740E-01   3.70085197E-04   9.78104940E-05   9.57520500E-05   4.65079387E-05   3.87443016E-05  
  57               2.46809452E-02   3.05835638E+03   6.18662885E-01   2.69858439E-01   1.10649406E-01   3.66376328E-04   8.88134663E-05   1.02329368E-04   4.60372325E-05   3.83553364E-05  
  58               2.80624284E-02   3.08263627E+03   6.20777414E-01   2.67914298E-01   1.10479669E-01   3.65814407E-04   8.67922276E-05   1.03745627E-04   4.59604570E-05   3.82957208E-05  
  59               3.18330386E-02   3.12045178E+03   6.34423831E-01   2.55369263E-01   1.09385160E-01   3.62190834E-04   7.83955070E-05   1.10299022E-04   4.55004237E-05   3.79156860E-05  
  60               3.60292426E-02   3.14556917E+03   6.37055913E-01   2.52949155E-01   1.09173902E-01   3.61491292E-04   7.62468003E-05   1.11952052E-04   4.54060867E-05   3.78416282E-05  
  61               4.06954493E-02   3.18386821E+03   6.50219514E-01   2.40847523E-01   1.08118076E-01   3.57995479E-04   6.85765387E-05   1.18379831E-04   4.49620773E-05   3.74749807E-05  
  62               4.58781466E-02   3.20938001E+03   6.52882059E-01   2.38399141E-01   1.07904346E-01   3.57287519E-04   6.65849648E-05   1.20056965E-04   4.48663604E-05   3.74000091E-05  
  63               5.16341367E-02   3.24769916E+03   6.65115438E-01   2.27152105E-01   1.06923066E-01   3.54038057E-04   5.98643528E-05   1.26129571E-04   4.44531895E-05   3.70591682E-05  
  64               5.80233623E-02   3.27310212E+03   6.67343403E-01   2.25102911E-01   1.06744147E-01   3.53445015E-04   5.82514569E-05   1.27621400E-04   4.43714604E-05   3.69961890E-05  
  65               6.51182018E-02   3.31148483E+03   6.78653757E-01   2.14703797E-01   1.05836821E-01   3.50439746E-04   5.24140820E-05   1.33324746E-04   4.39888050E-05   3.66809391E-05  
  66               7.29950054E-02   3.33729829E+03   6.80765772E-01   2.12760837E-01   1.05667152E-01   3.49876835E-04   5.09961941E-05   1.34782803E-04   4.39104270E-05   3.66210887E-05  
  67               8.17451257E-02   3.37642122E+03   6.91571186E-01   2.02825260E-01   1.04800243E-01   3.47004379E-04   4.57926704E-05   1.40306441E-04   4.35443746E-05   3.63198065E-05  
  68               9.14653131E-02   3.40367377E+03   6.94146371E-01   2.00456097E-01   1.04593375E-01   3.46317483E-04   4.43078330E-05   1.42008532E-04   4.34501580E-05   3.62469965E-05  
  69               1.02271012E-01   3.44419444E+03   7.04740347E-01   1.90714261E-01   1.03743349E-01   3.43499306E-04   3.95911699E-05   1.47492528E-04   4.30909923E-05   3.59515313E-05  
  70               1.14285675E-01   3.47345909E+03   7.07948958E-01   1.87762393E-01   1.03485636E-01   3.42642638E-04   3.79976261E-05   1.49527824E-04   4.29753473E-05   3.58610394E-05  
  71               1.27655595E-01   3.51563179E+03   7.18302936E-01   1.78240778E-01   1.02654827E-01   3.39885391E-04   3.37716803E-05   1.54959265E-04   4.26240408E-05   3.55721983E-05  
  72               1.42538497E-01   3.54689178E+03   7.21924349E-01   1.74909247E-01   1.02364005E-01   3.38916666E-04   3.21856597E-05   1.57227189E-04   4.24943023E-05   3.54701650E-05  
  73               1.59118451E-01   3.59056822E+03   7.31794560E-01   1.65832443E-01   1.01572047E-01   3.36283617E-04   2.85129710E-05   1.62478902E-04   4.21589148E-05   3.51947395E-05  
  74               1.77594684E-01   3.62334920E+03   7.35412003E-01   1.62504781E-01   1.01281606E-01   3.35312185E-04   2.70878532E-05   1.64772528E-04   4.20288245E-05   3.50927485E-05  
  75               1.98194877E-01   3.66817722E+03   7.44537587E-01   1.54113097E-01   1.00549501E-01   3.32870169E-04   2.39958676E-05   1.69691638E-04   4.17179013E-05   3.48379927E-05  
  76               2.21167328E-01   3.70245869E+03   7.48054882E-01   1.50877964E-01   1.00267195E-01   3.31919099E-04   2.27442330E-05   1.71943077E-04   4.15905872E-05   3.47387165E-05  
  77               2.46790958E-01   3.74897809E+03   7.56657566E-01   1.42967685E-01   9.95771801E-02   3.29604361E-04   2.00988556E-05   1.76593768E-04   4.12967970E-05   3.44984769E-05  
  78               2.75374436E-01   3.78591515E+03   7.60498770E-01   1.39435215E-01   9.92690048E-02   3.28555416E-04   1.88882984E-05   1.78972815E-04   4.11583931E-05   3.43901589E-05  
  79               3.07256279E-01   3.83523543E+03   7.68946617E-01   1.31667825E-01   9.85915377E-02   3.26260148E-04   1.65547141E-05   1.83479252E-04   4.08697320E-05   3.41542277E-05  
  80               3.42812490E-01   3.87576630E+03   7.73306262E-01   1.27659069E-01   9.82418774E-02   3.25050280E-04   1.53529383E-05   1.86035779E-04   4.07140425E-05   3.40314897E-05  
  81               3.82438005E-01   3.92814345E+03   7.81519593E-01   1.20107630E-01   9.75833079E-02   3.22777229E-04   1.33389157E-05   1.90309132E-04   4.04332297E-05   3.38020764E-05  
  82               4.26569352E-01   3.97223284E+03   7.86169316E-01   1.15832412E-01   9.72104501E-02   3.21446623E-04   1.22216776E-05   1.92897074E-04   4.02679061E-05   3.36712622E-05  
  83               4.75643036E-01   4.02757425E+03   7.93977791E-01   1.08653364E-01   9.65844011E-02   3.19207841E-04   1.05415172E-05   1.96832665E-04   4.00006142E-05   3.34530893E-05  
  84               5.30139496E-01   4.07503269E+03   7.98696811E-01   1.04314557E-01   9.62060269E-02   3.17777686E-04   9.56019966E-06   1.99340355E-04   3.98330463E-05   3.33203324E-05  
  85               5.90513750E-01   4.13313878E+03   8.05969588E-01   9.76280563E-02   9.56229592E-02   3.15548561E-04   8.20235466E-06   2.02908285E-04   3.95836468E-05   3.31170289E-05  
  86               6.57265026E-01   4.18417491E+03   8.10708667E-01   9.32708180E-02   9.52429961E-02   3.13960237E-04   7.35949931E-06   2.05355272E-04   3.94157020E-05   3.29837220E-05  
  87               7.30836213E-01   4.24581148E+03   8.17603049E-01   8.69321001E-02   9.46902691E-02   3.11580690E-04   6.25983044E-06   2.08729062E-04   3.91793702E-05   3.27909644E-05  
  88               8.11702157E-01   4.30140851E+03   8.22476726E-01   8.24509704E-02   9.42995070E-02   3.09653674E-04   5.53261310E-06   2.11288122E-04   3.90078102E-05   3.26539960E-05  
  89               9.00254310E-01   4.36697417E+03   8.28987190E-01   7.64648652E-02   9.37775164E-02   3.06898595E-04   4.66242264E-06   2.14692088E-04   3.87850728E-05   3.24719739E-05  
  90               9.96915292E-01   4.42683744E+03   8.33771796E-01   7.20651869E-02   9.33938325E-02   3.04424121E-04   4.07296769E-06   2.17535363E-04   3.86174889E-05   3.23375679E-05  
