# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              N2               H2O(s)          
  34               1.92334127E-02   1.51018647E+02   8.38729717E-01   1.60589407E-01   5.31761133E-04   4.15698657E-09   1.21819257E-04   2.30006379E-05   1.46430118E-25   7.19375868E-09  
  35               2.09223941E-02   1.55204274E+02   8.38729700E-01   1.60589404E-01   5.31761122E-04   1.13697356E-08   1.21819254E-04   2.30006374E-05   7.65999180E-25   2.03676331E-08  
  36               2.28619565E-02   1.59736073E+02   8.38729651E-01   1.60589394E-01   5.31761091E-04   3.17917325E-08   1.21819247E-04   2.30006361E-05   4.16603477E-24   5.83123479E-08  
  37               2.50884707E-02   1.64623208E+02   8.38729510E-01   1.60589367E-01   5.31761002E-04   9.02603547E-08   1.21819227E-04   2.30006322E-05   2.33007187E-23   1.67670964E-07  
  38               2.76434551E-02   1.69872611E+02   8.38729106E-01   1.60589290E-01   5.31760746E-04   2.58379342E-07   1.21819168E-04   2.30006212E-05   1.32525347E-22   4.81079583E-07  
  39               3.05741380E-02   1.75489836E+02   8.38727955E-01   1.60589070E-01   5.31760016E-04   7.40732978E-07   1.21819001E-04   2.30005896E-05   7.58240706E-22   1.37117240E-06  
  40               3.39340131E-02   1.81484706E+02   8.38724752E-01   1.60588456E-01   5.31757985E-04   2.11542800E-06   1.21818536E-04   2.30005018E-05   4.32738963E-21   3.81547505E-06  
  41               3.77830463E-02   1.87843505E+02   8.38692517E-01   1.60582284E-01   5.31737548E-04   5.96445035E-06   1.21813854E-04   2.29996178E-05   2.42766878E-20   3.84000339E-05  
  42               4.21800206E-02   1.94564632E+02   8.38692517E-01   1.60582284E-01   5.31737548E-04   4.43644842E-05   1.21813854E-04   2.29996178E-05   1.32785525E-19   0.00000000E+00  
  43               4.71827724E-02   2.01611167E+02   8.38491495E-01   1.60543795E-01   5.31610099E-04   4.44961361E-05   1.21784657E-04   2.29941051E-05   6.96784960E-19   2.39542220E-04  
  44               5.28199259E-02   2.08937962E+02   8.38491495E-01   1.60543795E-01   5.31610099E-04   2.84038356E-04   1.21784657E-04   2.29941051E-05   3.46675870E-18   0.00000000E+00  
  45               5.90215484E-02   2.16354196E+02   8.38073925E-01   1.60463844E-01   5.31345356E-04   2.83897336E-04   1.21724008E-04   2.29826540E-05   1.56998375E-17   4.98000947E-04  
  46               6.58223058E-02   2.23874112E+02   8.38073925E-01   1.60463844E-01   5.31345356E-04   7.81898282E-04   1.21724008E-04   2.29826540E-05   6.55781115E-17   0.00000000E+00  
  47               7.30946220E-02   2.31295649E+02   8.38073925E-01   1.60463844E-01   5.31345356E-04   7.81898282E-04   1.21724008E-04   2.29826540E-05   2.44700646E-16   0.00000000E+00  
  48               8.13971513E-02   2.39161534E+02   8.38073925E-01   1.60463844E-01   5.31345356E-04   7.81898282E-04   1.21724008E-04   2.29826540E-05   9.02784032E-16   0.00000000E+00  
  49               9.08733639E-02   2.47432461E+02   8.38073925E-01   1.60463844E-01   5.31345356E-04   7.81898282E-04   1.21724008E-04   2.29826540E-05   3.24970168E-15   0.00000000E+00  
  50               1.01686239E-01   2.56165783E+02   8.38073925E-01   1.60463844E-01   5.31345356E-04   7.81898282E-04   1.21724008E-04   2.29826540E-05   1.14747990E-14   0.00000000E+00  
  51               1.14019171E-01   2.65313561E+02   8.38073925E-01   1.60463844E-01   5.31345356E-04   7.81898282E-04   1.21724008E-04   2.29826540E-05   3.92527198E-14   0.00000000E+00  
  52               1.28079763E-01   2.74938725E+02   8.38073925E-01   1.60463844E-01   5.31345356E-04   7.81898282E-04   1.21724007E-04   2.29826540E-05   1.30907545E-13   0.00000000E+00  
  53               1.44103721E-01   2.84986463E+02   8.38073925E-01   1.60463844E-01   5.31345356E-04   7.81898282E-04   1.21724007E-04   2.29826540E-05   4.20848284E-13   0.00000000E+00  
  54               1.62362244E-01   2.95532132E+02   8.38073925E-01   1.60463844E-01   5.31345356E-04   7.81898282E-04   1.21724005E-04   2.29826540E-05   1.31443992E-12   0.00000000E+00  
  55               1.83167675E-01   3.06521957E+02   8.38073925E-01   1.60463844E-01   5.31345356E-04   7.81898282E-04   1.21724000E-04   2.29826540E-05   3.95098330E-12   0.00000000E+00  
  56               2.06875074E-01   3.18045322E+02   8.38073925E-01   1.60463844E-01   5.31345356E-04   7.81898146E-04   1.21723985E-04   2.29826540E-05   1.15291495E-11   0.00000000E+00  
  57               2.33882769E-01   3.30040248E+02   8.38073925E-01   1.60463844E-01   5.31345355E-04   7.81898146E-04   1.21723943E-04   2.29826540E-05   3.23678294E-11   0.00000000E+00  
  58               2.64638239E-01   3.42597726E+02   8.38073925E-01   1.60463844E-01   5.31345356E-04   7.81897436E-04   1.21723831E-04   2.29826540E-05   8.81369786E-11   0.00000000E+00  
  59               2.99648986E-01   3.55644907E+02   8.38073911E-01   1.60463841E-01   5.31345347E-04   7.81897422E-04   1.21723544E-04   2.29826536E-05   2.30782717E-10   0.00000000E+00  
  60               3.39499912E-01   3.69285010E+02   8.38073927E-01   1.60463843E-01   5.31345351E-04   7.81880660E-04   1.21722835E-04   2.29826538E-05   5.85988528E-10   0.00000000E+00  
  61               3.84850682E-01   3.83445590E+02   8.38073928E-01   1.60463842E-01   5.31345350E-04   7.81880659E-04   1.21721142E-04   2.29826538E-05   1.43231537E-09   0.00000000E+00  
  62               4.36442337E-01   3.98238972E+02   8.38073931E-01   1.60463842E-01   5.31345348E-04   7.81880656E-04   1.21717210E-04   2.29826537E-05   3.39780280E-09   0.00000000E+00  
  63               4.95102238E-01   4.13582425E+02   8.38073607E-01   1.60463777E-01   5.31345134E-04   7.81880348E-04   1.21708420E-04   2.29826444E-05   7.76832507E-09   0.00000000E+00  
  64               5.61761011E-01   4.29587602E+02   8.38073980E-01   1.60463806E-01   5.31345228E-04   7.81487065E-04   1.21689496E-04   2.29826485E-05   1.72410006E-08   0.00000000E+00  
  65               6.37490046E-01   4.46168407E+02   8.38073992E-01   1.60463797E-01   5.31345200E-04   7.81490129E-04   1.21650149E-04   2.29826473E-05   3.69116131E-08   0.00000000E+00  
  66               7.23496891E-01   4.63450707E+02   8.38073599E-01   1.60463709E-01   5.31344908E-04   7.81541281E-04   1.21570377E-04   2.29826346E-05   7.67639384E-08   0.00000000E+00  
  67               8.21124598E-01   4.81340183E+02   8.38071818E-01   1.60463684E-01   5.31344825E-04   7.83424635E-04   1.21415657E-04   2.29826311E-05   1.54114532E-07   0.00000000E+00  
  68               9.31932416E-01   4.99977455E+02   8.38069276E-01   1.60463113E-01   5.31342935E-04   7.83421848E-04   1.21122430E-04   2.29825493E-05   3.00511611E-07   0.00000000E+00  
  69               1.05784453E+00   5.19288809E+02   8.38072627E-01   1.60463290E-01   5.31343521E-04   7.80157905E-04   1.20592202E-04   2.29825746E-05   5.65692553E-07   0.00000000E+00  
  70               1.20110545E+00   5.39448945E+02   8.38073245E-01   1.60463140E-01   5.31343025E-04   7.80157183E-04   1.19658489E-04   2.29825532E-05   1.03249232E-06   0.00000000E+00  
  71               1.36435035E+00   5.60383979E+02   8.38074277E-01   1.60462890E-01   5.31342196E-04   7.80155979E-04   1.18098936E-04   2.29825173E-05   1.81217397E-06   0.00000000E+00  
  72               1.55089786E+00   5.82316865E+02   8.38075933E-01   1.60462489E-01   5.31340867E-04   7.80154057E-04   1.15597324E-04   2.29824599E-05   3.06282749E-06   0.00000000E+00  
  73               1.76490037E+00   6.05221354E+02   8.38078413E-01   1.60461887E-01   5.31338876E-04   7.80151194E-04   1.11850178E-04   2.29823737E-05   4.93617248E-06   0.00000000E+00  
