# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               H                NH3              N2              
  1                1.00000000E-05   7.11546421E+01   8.38817160E-01   1.60606121E-01   4.58309655E-15   5.31816479E-04   2.89453338E-102  3.16580062E-109  1.76133809E-05   2.26111194E-35  
  2                7.31394552E-05   1.02507938E+02   8.38729749E-01   1.60589385E-01   5.97609924E-15   5.31761059E-04   2.27252606E-101  6.85522647E-107  1.77086026E-05   4.80587890E-36  
  3                1.12300136E-04   1.14257157E+02   8.38729749E-01   1.60589385E-01   1.68573332E-12   5.31761059E-04   5.45615166E-89   1.24170187E-95   1.21819240E-04   2.05324703E-30  
  4                1.33314229E-04   1.26004100E+02   8.38729749E-01   1.60589385E-01   2.00484838E-10   5.31761059E-04   1.17269387E-78   1.96572164E-86   1.21819240E-04   5.11981919E-27  
  5                1.57345583E-04   1.30116470E+02   8.38729736E-01   1.60589382E-01   7.79961755E-10   5.31761051E-04   1.27314168E-75   1.25273283E-83   1.21819238E-04   4.57839274E-26  
  6                1.84931917E-04   1.37681964E+02   8.38729736E-01   1.60589382E-01   1.53514243E-08   5.31761051E-04   4.22094021E-70   7.01314829E-79   1.21819238E-04   2.35060386E-24  
  7                2.16645300E-04   1.40016791E+02   8.38729635E-01   1.60589363E-01   1.54639157E-08   5.31760987E-04   5.56067244E-69   1.52603775E-77   1.21819223E-04   5.83586229E-24  
  8                2.53132206E-04   1.46698440E+02   8.38729635E-01   1.60589363E-01   1.36153531E-07   5.31760987E-04   8.44704999E-65   6.84516975E-74   1.21819223E-04   1.16061545E-22  
  9                2.95124651E-04   1.48506500E+02   8.38729082E-01   1.60589257E-01   1.36766831E-07   5.31760636E-04   4.53556242E-64   5.52732396E-73   1.21819143E-04   1.98661796E-22  
  10               3.43468835E-04   1.54710588E+02   8.38729082E-01   1.60589257E-01   7.95404132E-07   5.31760636E-04   1.24372664E-60   5.88743518E-70   1.21819143E-04   2.30368893E-21  
  11               3.99125604E-04   1.56362452E+02   8.38726974E-01   1.60588853E-01   7.97733123E-07   5.31759300E-04   4.73881145E-60   3.24573928E-69   1.21818837E-04   3.42886237E-21  
  12               4.63208213E-04   1.62476685E+02   8.38726974E-01   1.60588853E-01   3.30874677E-06   5.31759300E-04   4.67160413E-57   1.61176203E-66   1.21818837E-04   2.99761744E-20  
  13               5.36999936E-04   1.63564242E+02   8.38720976E-01   1.60587705E-01   3.31529498E-06   5.31755497E-04   9.29694615E-57   4.35696402E-66   1.21817965E-04   3.39527095E-20  
  14               6.21976097E-04   1.69238625E+02   8.38720976E-01   1.60587705E-01   1.04602996E-05   5.31755497E-04   3.00300838E-54   8.54457383E-64   1.21817965E-04   2.08555450E-19  
  15               7.19790302E-04   1.70128965E+02   8.38705559E-01   1.60584753E-01   1.04765966E-05   5.31745723E-04   4.72206391E-54   1.78091899E-63   1.21815726E-04   2.14183973E-19  
  16               8.32324256E-04   1.75865225E+02   8.38705559E-01   1.60584753E-01   2.88412387E-05   5.31745723E-04   9.78594706E-52   2.47486099E-61   1.21815726E-04   1.16034359E-18  
  17               9.61658058E-04   1.76522004E+02   8.38662737E-01   1.60576554E-01   2.88824681E-05   5.31718573E-04   1.22169443E-51   4.00073193E-61   1.21809507E-04   1.08188656E-18  
  18               1.11001256E-03   1.82427264E+02   8.38662737E-01   1.60576554E-01   7.98975681E-05   5.31718573E-04   2.10463462E-49   4.48003729E-59   1.21809507E-04   5.43549500E-18  
  19               1.27961998E-03   1.83411085E+02   8.38536090E-01   1.60552305E-01   7.99846711E-05   5.31638277E-04   3.22179788E-49   8.99368172E-59   1.21791112E-04   5.55029624E-18  
  20               1.47236480E-03   1.89909407E+02   8.38536090E-01   1.60552305E-01   2.30896457E-04   5.31638277E-04   6.34715783E-47   1.09755325E-56   1.21791112E-04   2.92426197E-17  
  21               1.68938635E-03   1.91051937E+02   8.38074073E-01   1.60463844E-01   2.30769714E-04   5.31345355E-04   1.03122785E-46   2.33176560E-56   1.21724008E-04   3.08336673E-17  
  22               1.92846602E-03   1.97777137E+02   8.38074073E-01   1.60463844E-01   7.81749429E-04   5.31345355E-04   1.98739335E-44   2.28623383E-54   1.21724008E-04   1.52312337E-16  
  23               2.18209619E-03   2.07320605E+02   8.38074073E-01   1.60463844E-01   7.81749429E-04   5.31345355E-04   4.37284433E-42   9.43242138E-52   1.21724008E-04   1.37128586E-15  
  24               2.47216878E-03   2.13794240E+02   8.38074073E-01   1.60463844E-01   7.81749429E-04   5.31345355E-04   1.18235864E-40   4.03687036E-50   1.21724008E-04   4.98836305E-15  
  25               2.80417648E-03   2.22204577E+02   8.38074073E-01   1.60463844E-01   7.81749429E-04   5.31345355E-04   6.82236948E-39   3.88620586E-48   1.21724008E-04   2.52957812E-14  
  26               3.18421569E-03   2.28431314E+02   8.38074073E-01   1.60463844E-01   7.81749429E-04   5.31345355E-04   1.05225004E-37   9.02852623E-47   1.21724007E-04   7.23343409E-14  
  27               3.61936733E-03   2.36375373E+02   8.38074073E-01   1.60463844E-01   7.81749429E-04   5.31345355E-04   2.95781934E-36   3.97777551E-45   1.21724007E-04   2.69357650E-13  
  28               4.11769747E-03   2.42352765E+02   8.38074073E-01   1.60463844E-01   7.81749429E-04   5.31345355E-04   2.93271958E-35   5.72236078E-44   1.21724006E-04   6.36733198E-13  
  29               4.68843444E-03   2.50187749E+02   8.38074073E-01   1.60463844E-01   7.81749429E-04   5.31345355E-04   5.36285667E-34   1.57898922E-42   1.21724004E-04   1.97184060E-12  
  30               5.34199319E-03   2.56309391E+02   8.38074073E-01   1.60463844E-01   7.81749429E-04   5.31345355E-04   4.30013884E-33   1.80106200E-41   1.21723999E-04   4.25729900E-12  
  31               6.09025035E-03   2.64438197E+02   8.38074073E-01   1.60463844E-01   7.81749429E-04   5.31345355E-04   6.30987127E-32   3.90010315E-40   1.21723984E-04   1.20142990E-11  
  32               6.94672545E-03   2.70997186E+02   8.38074073E-01   1.60463844E-01   7.81749429E-04   5.31345355E-04   4.61930248E-31   4.01495042E-39   1.21723958E-04   2.49910987E-11  
  33               7.92683530E-03   2.79617116E+02   8.38074073E-01   1.60463844E-01   7.81749429E-04   5.31345355E-04   5.87067016E-30   7.40225591E-38   1.21723875E-04   6.64673576E-11  
  34               9.04795928E-03   2.86813102E+02   8.38074073E-01   1.60463844E-01   7.81749428E-04   5.31345355E-04   4.13886918E-29   7.27482320E-37   1.21723735E-04   1.36432335E-10  
  35               1.03298880E-02   2.96158729E+02   8.38074073E-01   1.60463844E-01   7.81749428E-04   5.31345355E-04   4.84150863E-28   1.21763831E-35   1.21723305E-04   3.51410115E-10  
  36               1.17948751E-02   3.04255558E+02   8.38074074E-01   1.60463844E-01   7.81749427E-04   5.31345355E-04   3.45172825E-27   1.20193834E-34   1.21722552E-04   7.27836437E-10  
  37               1.34682951E-02   3.14635966E+02   8.38074075E-01   1.60463843E-01   7.81749425E-04   5.31345353E-04   3.92343840E-26   1.93241555E-33   1.21720285E-04   1.86085106E-09  
  38               1.53787893E-02   3.23897727E+02   8.38074078E-01   1.60463843E-01   7.81748713E-04   5.31345351E-04   2.89695336E-25   1.96200714E-32   1.21716139E-04   3.93366226E-09  
  39               1.75585894E-02   3.35713540E+02   8.38074083E-01   1.60463840E-01   7.81748700E-04   5.31345342E-04   3.35322166E-24   3.17898632E-31   1.21703602E-04   1.02012083E-08  
  40               2.00432016E-02   3.47019964E+02   8.38074104E-01   1.60463836E-01   7.81744538E-04   5.31345329E-04   2.92311662E-23   3.80140836E-30   1.21677273E-04   2.33643411E-08  
  41               2.28706507E-02   3.62977990E+02   8.38073809E-01   1.60463750E-01   7.81744116E-04   5.31345043E-04   5.40574463E-22   9.91130842E-29   1.21573235E-04   7.53505050E-08  
  42               2.60883261E-02   3.75640292E+02   8.38074329E-01   1.60463755E-01   7.81309312E-04   5.31345061E-04   4.30615046E-21   1.06433172E-27   1.21390759E-04   1.66590769E-07  
  43               2.97542363E-02   3.92881811E+02   8.38074750E-01   1.60463653E-01   7.81308816E-04   5.31344723E-04   6.33396423E-20   2.14771582E-26   1.20754421E-04   4.84720871E-07  
  44               3.39376515E-02   4.06508759E+02   8.38075409E-01   1.60463494E-01   7.81308063E-04   5.31344194E-04   4.23115483E-19   1.89543283E-25   1.19759023E-04   9.82359537E-07  
  45               3.87398689E-02   4.25290118E+02   8.38077455E-01   1.60462996E-01   7.81306698E-04   5.31342546E-04   5.13919319E-18   3.09053397E-24   1.16660998E-04   2.53118281E-06  
  46               4.42965581E-02   4.40315361E+02   8.38080073E-01   1.60462308E-01   7.81318704E-04   5.31340268E-04   3.04220335E-17   2.38778230E-23   1.12508992E-04   4.60692498E-06  
  47               5.08578240E-02   4.61463265E+02   8.38083420E-01   1.60460062E-01   7.81853590E-04   5.31332832E-04   3.31239541E-16   3.45290178E-22   1.02092759E-04   9.81419009E-06  
  48               5.87551535E-02   4.79205796E+02   8.38092188E-01   1.60458584E-01   7.79986347E-04   5.31327937E-04   1.94300101E-15   2.65974150E-21   9.12610013E-05   1.52295080E-05  
  49               6.85523407E-02   5.04650483E+02   8.38104738E-01   1.60455541E-01   7.79971563E-04   5.31317862E-04   2.14886791E-14   3.94383783E-20   7.22978619E-05   2.47099237E-05  
  50               8.08519322E-02   5.27273777E+02   8.38114202E-01   1.60453247E-01   7.79960426E-04   5.31310265E-04   1.39421337E-13   3.42063532E-19   5.79991585E-05   3.18584053E-05  
  51               9.63642926E-02   5.58822189E+02   8.38125672E-01   1.60450467E-01   7.79946968E-04   5.31301056E-04   1.58576708E-12   5.29093615E-18   4.06684134E-05   4.05227232E-05  
  52               1.15576684E-01   5.86739527E+02   8.38132288E-01   1.60448863E-01   7.79939306E-04   5.31295736E-04   1.01753912E-11   4.58177762E-17   3.06714551E-05   4.55205939E-05  
  53               1.38738467E-01   6.23168074E+02   8.38138742E-01   1.60447297E-01   7.79932124E-04   5.31290465E-04   9.62579455E-11   5.82900675E-16   2.09175564E-05   5.03969496E-05  
  54               1.65877439E-01   6.53570882E+02   8.38141942E-01   1.60446518E-01   7.79928962E-04   5.31287494E-04   4.80918433E-10   3.84511454E-15   1.60707910E-05   5.28200367E-05  
  55               1.97020336E-01   6.91917580E+02   8.38144980E-01   1.60445769E-01   7.79925539E-04   5.31282258E-04   3.21067415E-09   3.33628079E-14   1.14405515E-05   5.51348722E-05  
  56               2.32198615E-01   7.22396094E+02   8.38146239E-01   1.60445377E-01   7.79919805E-04   5.31272447E-04   1.16686476E-08   1.54842000E-13   9.25201523E-06   5.62289917E-05  
  57               2.71465747E-01   7.61132785E+02   8.38147586E-01   1.60444955E-01   7.79885028E-04   5.31226712E-04   5.57917103E-08   9.29294695E-13   6.96948323E-06   5.73700976E-05  
  58               3.14987598E-01   7.90775670E+02   8.38148388E-01   1.60444752E-01   7.79799846E-04   5.31126888E-04   1.54575697E-07   3.19283684E-12   5.92082410E-06   5.78943500E-05  
  59               3.63123489E-01   8.29604516E+02   8.38149697E-01   1.60444413E-01   7.79416564E-04   5.30711077E-04   5.68047762E-07   1.43519824E-11   4.68164312E-06   5.85138106E-05  
  60               4.16264724E-01   8.58573589E+02   8.38150862E-01   1.60444070E-01   7.78729744E-04   5.29988766E-04   1.28754003E-06   3.95762370E-11   4.13059668E-06   5.87892013E-05  
  61               4.74873340E-01   8.97769497E+02   8.38154340E-01   1.60443066E-01   7.76214722E-04   5.27402866E-04   3.86512268E-06   1.43623004E-10   3.39191415E-06   5.91581517E-05  
  62               5.39487543E-01   9.26399439E+02   8.38158114E-01   1.60441653E-01   7.72631802E-04   5.23753976E-04   7.50360986E-06   3.37437614E-10   3.07900997E-06   5.93140504E-05  
  63               6.11079740E-01   9.66422106E+02   8.38171669E-01   1.60437746E-01   7.61319057E-04   5.12320596E-04   1.89089675E-05   1.04549479E-09   2.60378365E-06   5.95501233E-05  
  64               6.90993787E-01   9.95588283E+02   8.38189292E-01   1.60433432E-01   7.48120508E-04   4.98995023E-04   3.22062519E-05   2.20969022E-09   2.41191657E-06   5.96443353E-05  
  65               7.81882297E-01   1.03800508E+03   8.38236483E-01   1.60421909E-01   7.12655692E-04   4.63289917E-04   6.78428958E-05   6.22508163E-09   2.08208434E-06   5.98046230E-05  
