# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               Mg              
  1                1.00000000E-05   3.95232199E+02   8.38154295E-01   1.60444008E-01   1.74416321E-24   7.77933659E-04   8.18694418E-13   5.31279671E-04   6.06464416E-05   0.00000000E+00  
  2                1.21926740E-05   4.36111669E+02   8.38152567E-01   1.60443961E-01   8.08918014E-22   7.79859961E-04   2.29105627E-10   5.31279163E-04   6.07904993E-05   0.00000000E+00  
  3                1.47078440E-05   4.61102362E+02   8.38152622E-01   1.60443946E-01   1.94180655E-20   7.79858327E-04   3.78105311E-09   5.31274576E-04   6.08173329E-05   0.00000000E+00  
  4                1.76731853E-05   4.72105038E+02   8.38152649E-01   1.60443940E-01   6.70741759E-20   7.79850499E-04   9.57992496E-09   5.31267663E-04   6.08213934E-05   0.00000000E+00  
  5                2.11963166E-05   4.88401210E+02   8.38152739E-01   1.60443919E-01   3.94408910E-19   7.79810085E-04   4.10164272E-08   5.31231646E-04   6.08284167E-05   0.00000000E+00  
  6                2.53928910E-05   4.96022042E+02   8.38152783E-01   1.60443909E-01   8.25781099E-19   7.79782167E-04   6.42930165E-08   5.31206001E-04   6.08286071E-05   0.00000000E+00  
  7                3.04027462E-05   5.09803586E+02   8.38152997E-01   1.60443859E-01   3.17610468E-18   7.79641725E-04   1.83128158E-07   5.31076201E-04   6.08321206E-05   0.00000000E+00  
  8                3.63893444E-05   5.16118201E+02   8.38153078E-01   1.60443841E-01   5.46738049E-18   7.79580878E-04   2.37756518E-07   5.31018383E-04   6.08313139E-05   0.00000000E+00  
  9                4.35557064E-05   5.28548038E+02   8.38153546E-01   1.60443731E-01   1.66279511E-17   7.79240883E-04   5.39685890E-07   5.30697119E-04   6.08333752E-05   0.00000000E+00  
  10               5.21412883E-05   5.34068017E+02   8.38153661E-01   1.60443704E-01   2.54619661E-17   7.79150720E-04   6.25247820E-07   5.30609140E-04   6.08320336E-05   0.00000000E+00  
  11               6.24390938E-05   5.45681882E+02   8.38154535E-01   1.60443497E-01   6.66196999E-17   7.78495565E-04   1.22513716E-06   5.29981110E-04   6.08332929E-05   0.00000000E+00  
  12               7.47958705E-05   5.50676400E+02   8.38154646E-01   1.60443470E-01   9.44012586E-17   7.78406855E-04   1.31511300E-06   5.29891619E-04   6.08315486E-05   0.00000000E+00  
