# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               Mg              
  1                1.00000000E-05   5.97151443E+02   8.38674242E-01   1.60318582E-01   1.08087487E-14   3.84878590E-04   3.83811347E-04   1.40713664E-04   6.08056294E-05   0.00000000E+00  
  2                2.50074666E-05   6.23381559E+02   8.38674463E-01   1.60318165E-01   4.40668101E-14   3.87619821E-04   3.84004960E-04   1.39420194E-04   6.08046837E-05   0.00000000E+00  
  3                4.23996885E-05   6.33817772E+02   8.38633078E-01   1.60328087E-01   6.80781779E-14   3.57154863E-04   4.15422150E-04   1.70370275E-04   6.08075416E-05   0.00000000E+00  
  4                6.27545168E-05   6.46004092E+02   8.38632597E-01   1.60328094E-01   1.23032533E-13   3.57559897E-04   4.15893326E-04   1.70392769E-04   6.08068631E-05   0.00000000E+00  
  5                8.70609265E-05   6.52405048E+02   8.38601014E-01   1.60335695E-01   1.56158811E-13   3.34109881E-04   4.39840511E-04   1.94099676E-04   6.08087908E-05   0.00000000E+00  
  6                1.16383992E-04   6.62920906E+02   8.38608433E-01   1.60333822E-01   2.57153589E-13   3.40216390E-04   4.34297434E-04   1.88261376E-04   6.08073993E-05   0.00000000E+00  
  7                1.52100847E-04   6.68599204E+02   8.38583080E-01   1.60339927E-01   3.15828615E-13   3.21367032E-04   4.53515845E-04   2.07301638E-04   6.08086262E-05   0.00000000E+00  
  8                1.95794661E-04   6.78824030E+02   8.38594580E-01   1.60337080E-01   5.05653499E-13   3.30437709E-04   4.44869490E-04   1.98426646E-04   6.08067993E-05   0.00000000E+00  
  9                2.49548746E-04   6.84535874E+02   8.38573630E-01   1.60342124E-01   6.20360971E-13   3.14861356E-04   4.60747167E-04   2.14158101E-04   6.08074336E-05   0.00000000E+00  
  10               3.15791648E-04   6.94857969E+02   8.38587056E-01   1.60338818E-01   9.80268053E-13   3.25318878E-04   4.50633103E-04   2.03852910E-04   6.08053105E-05   0.00000000E+00  
  11               3.97688133E-04   7.00817671E+02   8.38568995E-01   1.60343166E-01   1.20834005E-12   3.11888224E-04   4.64318413E-04   2.17413699E-04   6.08054250E-05   0.00000000E+00  
  12               4.98928369E-04   7.11316483E+02   8.38582699E-01   1.60339797E-01   1.88584297E-12   3.22511572E-04   4.53984302E-04   2.06912946E-04   6.08030894E-05   0.00000000E+00  
  13               6.24276251E-04   7.17546448E+02   8.38566236E-01   1.60343760E-01   2.33047082E-12   3.10260847E-04   4.66453758E-04   2.19274685E-04   6.08027187E-05   0.00000000E+00  
  14               7.79298792E-04   7.28223188E+02   8.38579253E-01   1.60340558E-01   3.58690718E-12   3.20335467E-04   4.56628676E-04   2.09300500E-04   6.08001818E-05   0.00000000E+00  
  15               9.71154989E-04   7.34722916E+02   8.38563679E-01   1.60344306E-01   4.43541438E-12   3.08737081E-04   4.68417161E-04   2.20994713E-04   6.07992934E-05   0.00000000E+00  
  16               1.20825570E-03   7.45603249E+02   8.38575747E-01   1.60341334E-01   6.73699737E-12   3.18077278E-04   4.59296298E-04   2.11737609E-04   6.07964964E-05   0.00000000E+00  
  17               1.50136631E-03   7.52387589E+02   8.38560765E-01   1.60344935E-01   8.33199938E-12   3.06916134E-04   4.70624394E-04   2.22982208E-04   6.07950040E-05   0.00000000E+00  
  18               1.86323535E-03   7.63513818E+02   8.38571910E-01   1.60342181E-01   1.25097536E-11   3.15554208E-04   4.62182353E-04   2.14413272E-04   6.07918492E-05   0.00000000E+00  
  19               2.31018939E-03   7.70584270E+02   8.38557242E-01   1.60345701E-01   1.54594682E-11   3.04628544E-04   4.73255917E-04   2.25412214E-04   6.07896338E-05   0.00000000E+00  
  20               2.86150518E-03   7.81949484E+02   8.38567229E-01   1.60343216E-01   2.29285564E-11   3.12405211E-04   4.65656682E-04   2.17693417E-04   6.07860078E-05   0.00000000E+00  
  21               3.54155617E-03   7.89273458E+02   8.38552482E-01   1.60346744E-01   2.82518411E-11   3.01428538E-04   4.76765170E-04   2.28735063E-04   6.07829116E-05   0.00000000E+00  
  22               4.37913571E-03   8.00870793E+02   8.38561198E-01   1.60344547E-01   4.13786505E-11   3.08278844E-04   4.70076989E-04   2.21933416E-04   6.07786569E-05   0.00000000E+00  
  23               5.41038380E-03   8.08406651E+02   8.38546042E-01   1.60348157E-01   5.07307809E-11   2.97017330E-04   4.81456452E-04   2.33253163E-04   6.07744632E-05   0.00000000E+00  
  24               6.67793833E-03   8.20215000E+02   8.38553365E-01   1.60346266E-01   7.33298569E-11   3.02879074E-04   4.75743697E-04   2.27432535E-04   6.07693755E-05   0.00000000E+00  
  25               8.23561663E-03   8.27994216E+02   8.38537737E-01   1.60349881E-01   8.95573630E-11   2.91445243E-04   4.87283802E-04   2.38918806E-04   6.07637809E-05   0.00000000E+00  
  26               1.01464809E-02   8.40011887E+02   8.38543227E-01   1.60348252E-01   1.27787875E-10   2.96332084E-04   4.82533226E-04   2.34066796E-04   6.07575828E-05   0.00000000E+00  
