# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               Mg              
  1                1.00000000E-05   3.63366651E+02   8.38153879E-01   1.60444234E-01   5.12159616E-27   7.77936719E-04   3.02905684E-15   5.31280419E-04   6.01162162E-05   0.00000000E+00  
  2                3.19808912E-04   4.32779662E+02   8.38151575E-01   1.60444530E-01   9.92481582E-23   7.78505822E-04   2.11884283E-13   5.31281400E-04   5.90214364E-05   0.00000000E+00  
  3                6.49877303E-04   4.50889199E+02   8.38149780E-01   1.60444633E-01   8.01189042E-22   7.79876760E-04   5.50339543E-13   5.31281740E-04   5.87008300E-05   0.00000000E+00  
  4                1.02687444E-03   4.72988118E+02   8.38150185E-01   1.60444535E-01   9.76571452E-21   7.79876287E-04   3.14128255E-12   5.31281412E-04   5.90065328E-05   0.00000000E+00  
  5                1.46168466E-03   4.79532008E+02   8.38149707E-01   1.60444651E-01   1.75063984E-20   7.79876853E-04   3.25481187E-12   5.31281796E-04   5.86456433E-05   0.00000000E+00  
  6                1.96521864E-03   4.95399183E+02   8.38149988E-01   1.60444583E-01   8.77996499E-20   7.79876529E-04   1.00575778E-11   5.31281563E-04   5.88578162E-05   0.00000000E+00  
  7                2.54973250E-03   4.98864012E+02   8.38149488E-01   1.60444704E-01   1.11552853E-19   7.79877122E-04   8.57829893E-12   5.31281966E-04   5.84802942E-05   0.00000000E+00  
  8                3.22915978E-03   5.12698738E+02   8.38149750E-01   1.60444640E-01   4.12747585E-19   7.79876823E-04   2.16318916E-11   5.31281741E-04   5.86782002E-05   0.00000000E+00  
  9                4.01978499E-03   5.15141333E+02   8.38149250E-01   1.60444761E-01   4.72141644E-19   7.79877418E-04   1.77325852E-11   5.31282147E-04   5.83004266E-05   0.00000000E+00  
  10               4.94050291E-03   5.28391929E+02   8.38149528E-01   1.60444694E-01   1.53839814E-18   7.79877103E-04   4.14222110E-11   5.31281898E-04   5.85107286E-05   0.00000000E+00  
  11               6.01335228E-03   5.30427090E+02   8.38149028E-01   1.60444815E-01   1.68894150E-18   7.79877700E-04   3.37540635E-11   5.31282308E-04   5.81332785E-05   0.00000000E+00  
  12               7.26380030E-03   5.43607187E+02   8.38149327E-01   1.60444743E-01   5.13520629E-18   7.79877364E-04   7.57973433E-11   5.31282024E-04   5.83587466E-05   0.00000000E+00  
  13               8.72161770E-03   5.45578119E+02   8.38148833E-01   1.60444862E-01   5.58514924E-18   7.79877961E-04   6.24903414E-11   5.31282434E-04   5.79857777E-05   0.00000000E+00  
  14               1.04211784E-02   5.58815668E+02   8.38149141E-01   1.60444788E-01   1.60804697E-17   7.79877614E-04   1.35491222E-10   5.31282111E-04   5.82185481E-05   0.00000000E+00  
