# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               H                NH3              N2              
  1                1.00000000E-05   7.55963180E+01   8.38817667E-01   1.60606244E-01   1.08662740E-14   5.31816885E-04   6.86277489E-102  3.16580157E-109  1.69831674E-05   2.10219599E-35  
  2                2.39954812E-04   1.05753101E+02   8.38729727E-01   1.60589406E-01   1.11314517E-14   5.31761130E-04   4.63143634E-99   9.22186917E-104  1.70790478E-05   8.06609957E-36  
  3                3.87720100E-04   1.14938104E+02   8.38729726E-01   1.60589406E-01   6.68522000E-13   5.31761130E-04   6.19970070E-90   2.58117562E-95   1.21819256E-04   2.88908998E-31  
  4                4.68932071E-04   1.28687324E+02   8.38729726E-01   1.60589406E-01   3.99386479E-10   5.31761130E-04   9.64198440E-78   7.83761173E-85   1.21819256E-04   2.18348045E-27  
  5                5.63903302E-04   1.31885031E+02   8.38729719E-01   1.60589405E-01   4.07264881E-10   5.31761126E-04   6.00976884E-76   9.72407391E-83   1.21819255E-04   1.00671825E-26  
  6                6.75420307E-04   1.40969082E+02   8.38729719E-01   1.60589405E-01   8.85687002E-09   5.31761126E-04   1.03561579E-69   3.04251959E-77   1.21819255E-04   9.78924166E-25  
  7                8.06520816E-04   1.42515285E+02   8.38729674E-01   1.60589396E-01   8.90752717E-09   5.31761097E-04   4.58219337E-69   2.07328158E-76   1.21819248E-04   1.49820438E-24  
  8                9.60864259E-04   1.49393254E+02   8.38729674E-01   1.60589396E-01   6.32417154E-08   5.31761097E-04   5.14379700E-65   8.69225492E-73   1.21819248E-04   2.81557083E-23  
  9                1.14258512E-03   1.50656612E+02   8.38729442E-01   1.60589352E-01   6.34992741E-08   5.31760950E-04   1.39794907E-64   3.44860982E-72   1.21819215E-04   3.52788557E-23  
  10               1.35658889E-03   1.56961541E+02   8.38729442E-01   1.60589352E-01   3.39867167E-07   5.31760950E-04   3.13593451E-61   3.32920685E-69   1.21819215E-04   3.80997402E-22  
  11               1.60854047E-03   1.58563222E+02   8.38728895E-01   1.60589247E-01   3.40473296E-07   5.31760603E-04   1.04427368E-60   1.64006608E-68   1.21819135E-04   5.23666675E-22  
  12               1.90533457E-03   1.63834645E+02   8.38726841E-01   1.60588854E-01   9.93871930E-07   5.31759301E-04   2.82041102E-58   3.01020779E-66   1.21818837E-04   2.99156407E-21  
  13               2.25475524E-03   1.66023308E+02   8.38726841E-01   1.60588854E-01   3.44066093E-06   5.31759301E-04   4.81063021E-57   2.26145378E-65   1.21818837E-04   4.88511162E-21  
  14               2.66609225E-03   1.71067800E+02   8.38721848E-01   1.60587898E-01   3.44611934E-06   5.31756135E-04   2.45856575E-55   2.14858339E-63   1.21818112E-04   2.17743642E-20  
  15               3.15020425E-03   1.72953407E+02   8.38721848E-01   1.60587898E-01   9.39356892E-06   5.31756135E-04   2.22265290E-54   1.04404910E-62   1.21818112E-04   3.01112435E-20  
  16               3.71981114E-03   1.77704831E+02   8.38708238E-01   1.60585292E-01   9.40803786E-06   5.31747506E-04   6.59389355E-53   5.44666914E-61   1.21816135E-04   1.06838664E-19  
  17               4.38951204E-03   1.79522198E+02   8.38708238E-01   1.60585292E-01   2.56201058E-05   5.31747506E-04   5.08658485E-52   2.22031478E-60   1.21816135E-04   1.38456115E-19  
  18               5.17581104E-03   1.84850371E+02   8.38669108E-01   1.60577800E-01   2.56583609E-05   5.31722698E-04   1.75887253E-50   1.35583473E-58   1.21810452E-04   5.27462666E-19  
  19               6.09702936E-03   1.86678062E+02   8.38669108E-01   1.60577800E-01   7.22740686E-05   5.31722698E-04   1.28195755E-49   4.98444325E-58   1.21810452E-04   6.59604595E-19  
  20               7.17278087E-03   1.92767111E+02   8.38536017E-01   1.60552317E-01   7.23668267E-05   5.31638317E-04   5.52770025E-48   3.82337481E-56   1.21791121E-04   2.78221815E-18  
  21               8.42032447E-03   1.95060346E+02   8.38536017E-01   1.60552317E-01   2.30955848E-04   5.31638317E-04   5.59672471E-47   1.73720840E-55   1.21791121E-04   3.82044342E-18  
  22               9.85134288E-03   2.02142974E+02   8.38073937E-01   1.60463844E-01   2.30829056E-04   5.31345355E-04   3.16331379E-45   1.75591836E-53   1.21724007E-04   1.83284556E-17  
  23               1.14579835E-02   2.05711673E+02   8.38073937E-01   1.60463844E-01   7.81884065E-04   5.31345355E-04   6.35162257E-44   1.53519021E-52   1.21724007E-04   3.34333251E-17  
  24               1.31992414E-02   2.16432425E+02   8.38073937E-01   1.60463844E-01   7.81884065E-04   5.31345355E-04   1.65919015E-41   7.75966137E-50   1.21724007E-04   3.19838756E-16  
  25               1.52307654E-02   2.24421698E+02   8.38073937E-01   1.60463844E-01   7.81884065E-04   5.31345355E-04   6.83260184E-40   5.33514245E-48   1.21724007E-04   1.37523806E-15  
  26               1.76026056E-02   2.33595434E+02   8.38073937E-01   1.60463844E-01   7.81884065E-04   5.31345355E-04   3.65543534E-38   4.83073248E-46   1.21724007E-04   6.64729249E-15  
  27               2.03725642E-02   2.40647040E+02   8.38073937E-01   1.60463844E-01   7.81884065E-04   5.31345355E-04   5.85779543E-37   1.19657495E-44   1.21724007E-04   1.90057911E-14  
  28               2.36080236E-02   2.49266614E+02   8.38073937E-01   1.60463844E-01   7.81884065E-04   5.31345355E-04   1.47271484E-35   4.78003310E-43   1.21724007E-04   6.63252717E-14  
  29               2.73868057E-02   2.56195295E+02   8.38073937E-01   1.60463844E-01   7.81884065E-04   5.31345355E-04   1.56801217E-34   7.60064951E-42   1.21724007E-04   1.58963849E-13  
  30               3.17998213E-02   2.64882411E+02   8.38073937E-01   1.60463844E-01   7.81884065E-04   5.31345355E-04   2.70577359E-33   2.01519568E-40   1.21724007E-04   4.72098253E-13  
  31               3.69521777E-02   2.72112807E+02   8.38073937E-01   1.60463844E-01   7.81884065E-04   5.31345355E-04   2.37069492E-32   2.58743538E-39   1.21724005E-04   1.04154039E-12  
  32               4.29657041E-02   2.81276548E+02   8.38073937E-01   1.60463844E-01   7.81884065E-04   5.31345355E-04   3.36543295E-31   5.52661455E-38   1.21724002E-04   2.85025827E-12  
  33               4.99806952E-02   2.89216353E+02   8.38073937E-01   1.60463844E-01   7.81884065E-04   5.31345355E-04   2.77825110E-30   6.61408621E-37   1.21723995E-04   6.14735870E-12  
  34               5.81606155E-02   2.99186770E+02   8.38073937E-01   1.60463844E-01   7.81884065E-04   5.31345355E-04   3.56467107E-29   1.25703354E-35   1.21723975E-04   1.61669599E-11  
  35               6.76948941E-02   3.08045156E+02   8.38073937E-01   1.60463844E-01   7.81883971E-04   5.31345355E-04   2.86197051E-28   1.44853373E-34   1.21723938E-04   3.45946226E-11  
  36               7.88037930E-02   3.19038431E+02   8.38073937E-01   1.60463844E-01   7.81883970E-04   5.31345354E-04   3.41690490E-27   2.52413136E-33   1.21723830E-04   8.86184248E-11  
  37               9.17416322E-02   3.29147976E+02   8.38073938E-01   1.60463844E-01   7.81883523E-04   5.31345354E-04   2.78305992E-26   2.92456780E-32   1.21723624E-04   1.91860368E-10  
  38               1.06802052E-01   3.41670217E+02   8.38073936E-01   1.60463843E-01   7.81883521E-04   5.31345353E-04   3.32459852E-25   5.03754405E-31   1.21723017E-04   4.94879030E-10  
  39               1.24321677E-01   3.53567961E+02   8.38073939E-01   1.60463843E-01   7.81881337E-04   5.31345353E-04   2.89870890E-24   6.19741068E-30   1.21721784E-04   1.11171072E-09  
  40               1.44694675E-01   3.68049863E+02   8.38073670E-01   1.60463791E-01   7.81881081E-04   5.31345179E-04   3.51185285E-23   1.06817948E-28   1.21718151E-04   2.90808318E-09  
  41               1.68373133E-01   3.82297480E+02   8.38073973E-01   1.60463816E-01   7.81556873E-04   5.31345261E-04   3.33165844E-22   1.41646098E-27   1.21710309E-04   6.83851804E-09  
  42               1.95862686E-01   4.00469965E+02   8.38073990E-01   1.60463811E-01   7.81556854E-04   5.31345247E-04   4.96012955E-21   2.97472758E-26   1.21684342E-04   1.98205980E-08  
  43               2.27729224E-01   4.18576458E+02   8.38074031E-01   1.60463801E-01   7.81556851E-04   5.31345213E-04   5.69701408E-20   4.72588036E-25   1.21621402E-04   5.12864831E-08  
  44               2.64653655E-01   4.38316252E+02   8.38074127E-01   1.60463773E-01   7.81558568E-04   5.31345119E-04   6.54406789E-19   7.43751388E-24   1.21457570E-04   1.33191663E-07  
  45               3.07455113E-01   4.57996210E+02   8.38073917E-01   1.60463640E-01   7.81608328E-04   5.31344680E-04   5.95091560E-18   9.11660993E-23   1.21101399E-04   3.11226667E-07  
  46               3.57110226E-01   4.79502564E+02   8.38069775E-01   1.60462969E-01   7.83491076E-04   5.31342458E-04   5.46232236E-17   1.11618352E-21   1.20269050E-04   7.27147016E-07  
  47               4.14878156E-01   5.01020743E+02   8.38073916E-01   1.60462980E-01   7.80142179E-04   5.31342495E-04   4.05121324E-16   1.09788999E-20   1.18663534E-04   1.52990902E-06  
  48               4.82462571E-01   5.24712775E+02   8.38076083E-01   1.60462455E-01   7.80139631E-04   5.31340755E-04   3.08154693E-15   1.09681886E-19   1.15389545E-04   3.16670442E-06  
  49               5.62208431E-01   5.48729610E+02   8.38079617E-01   1.60461598E-01   7.80135480E-04   5.31337918E-04   1.97877861E-14   9.18481519E-19   1.10049897E-04   5.83620358E-06  
  50               6.57618385E-01   5.75658974E+02   8.38085444E-01   1.60460186E-01   7.80128652E-04   5.31333241E-04   1.33408798E-13   8.07147283E-18   1.01245578E-04   1.02378271E-05  
  51               7.73436810E-01   6.03646977E+02   8.38092821E-01   1.60458397E-01   7.80120054E-04   5.31327317E-04   7.93477676E-13   6.25660253E-17   9.00978110E-05   1.58110323E-05  
  52               9.15865175E-01   6.35548996E+02   8.38101955E-01   1.60456183E-01   7.80109554E-04   5.31319980E-04   5.02931955E-12   5.18842638E-16   7.62971779E-05   2.27105089E-05  
  53               1.09204551E+00   6.69107396E+02   8.38110703E-01   1.60454061E-01   7.80099863E-04   5.31312929E-04   2.83703810E-11   3.84011533E-15   6.30746787E-05   2.93209537E-05  
  54               1.30924565E+00   7.06984091E+02   8.38119120E-01   1.60452014E-01   7.80091424E-04   5.31306012E-04   1.64662825E-10   2.92863015E-14   5.03341653E-05   3.56904340E-05  
  55               1.57314249E+00   7.45898153E+02   8.38125638E-01   1.60450401E-01   7.80086540E-04   5.31300017E-04   8.12352940E-10   1.89303675E-13   4.03719774E-05   4.06709162E-05  
  56               1.88743755E+00   7.88115922E+02   8.38130768E-01   1.60449002E-01   7.80084638E-04   5.31292337E-04   3.84315382E-09   1.16444091E-12   3.20829081E-05   4.48149202E-05  
  57               2.25598331E+00   8.29947675E+02   8.38134658E-01   1.60448050E-01   7.80083473E-04   5.31278043E-04   1.49449494E-08   5.83481072E-12   2.61919850E-05   4.77600206E-05  
  58               2.68195336E+00   8.74270044E+02   8.38137785E-01   1.60447267E-01   7.80066855E-04   5.31235586E-04   5.47028230E-08   2.72131642E-11   2.14446999E-05   5.01333652E-05  
  59               3.16760537E+00   9.17119396E+02   8.38139894E-01   1.60446670E-01   7.79993856E-04   5.31122234E-04   1.65857610E-07   1.04060066E-10   1.81465752E-05   5.17821985E-05  
  60               3.71511366E+00   9.61912782E+02   8.38141394E-01   1.60446034E-01   7.79742904E-04   5.30809445E-04   4.76051124E-07   3.72497052E-10   1.54384407E-05   5.31360157E-05  
  61               4.32999300E+00   1.00473087E+03   8.38142092E-01   1.60445325E-01   7.79129815E-04   5.30119001E-04   1.16325084E-06   1.12695159E-09   1.35459713E-05   5.40819578E-05  
  62               5.01889721E+00   1.04976985E+03   8.38143946E-01   1.60444438E-01   7.77658857E-04   5.28527272E-04   2.75028693E-06   3.27983112E-09   1.19164473E-05   5.48963211E-05  
  63               5.78931465E+00   1.09274002E+03   8.38148419E-01   1.60443299E-01   7.74893835E-04   5.25591381E-04   5.67958246E-06   8.32596024E-09   1.07678413E-05   5.54700564E-05  
  64               6.65042836E+00   1.13831595E+03   8.38156566E-01   1.60441251E-01   7.69300620E-04   5.19783139E-04   1.14760711E-05   2.07423273E-08   9.73036036E-06   5.59877115E-05  
  65               7.61576211E+00   1.17807622E+03   8.38166927E-01   1.60438667E-01   7.61786275E-04   5.12065274E-04   1.91793598E-05   4.29473038E-08   9.16037599E-06   5.62712253E-05  
  66               8.70605079E+00   1.21795505E+03   8.38181630E-01   1.60435018E-01   7.50914796E-04   5.00976650E-04   3.02477658E-05   8.47364703E-08   8.70865138E-06   5.64948555E-05  
  67               9.94332473E+00   1.25406857E+03   8.38197720E-01   1.60431031E-01   7.38849437E-04   4.88714787E-04   4.24876646E-05   1.49709566E-07   8.49402064E-06   5.65994908E-05  
  68               1.13512754E+01   1.29188465E+03   8.38218663E-01   1.60425846E-01   7.23069342E-04   4.72726263E-04   5.84475864E-05   2.62562063E-07   8.29558798E-06   5.66949296E-05  
  69               1.29536470E+01   1.32731926E+03   8.38239757E-01   1.60420614E-01   7.07055644E-04   4.56525371E-04   7.46189093E-05   4.28763570E-07   8.23953554E-06   5.67186393E-05  
  70               1.47751291E+01   1.36560161E+03   8.38266213E-01   1.60414040E-01   6.86916404E-04   4.36184933E-04   9.49211939E-05   7.09313939E-07   8.15511084E-06   5.67548837E-05  
  71               1.68461782E+01   1.40251562E+03   8.38291869E-01   1.60407620E-01   6.67230336E-04   4.16313032E-04   1.14753389E-04   1.11715664E-06   8.16544838E-06   5.67429135E-05  
  72               1.92066624E+01   1.44294718E+03   8.38322655E-01   1.60399854E-01   6.43474873E-04   3.92343922E-04   1.38671578E-04   1.79412489E-06   8.13774623E-06   5.67475239E-05  
  73               2.18928024E+01   1.48265034E+03   8.38351308E-01   1.60392466E-01   6.21032279E-04   3.69637026E-04   1.61324216E-04   2.77443755E-06   8.18350713E-06   5.67140608E-05  
  74               2.49345246E+01   1.52624686E+03   8.38383836E-01   1.60383812E-01   5.95049184E-04   3.43322982E-04   1.87568589E-04   4.37693492E-06   8.18550923E-06   5.66989239E-05  
  75               2.83492065E+01   1.56948564E+03   8.38412370E-01   1.60375570E-01   5.71146718E-04   3.18827495E-04   2.11986882E-04   6.69051915E-06   8.23890277E-06   5.66559023E-05  
  76               3.21418785E+01   1.61676687E+03   8.38440583E-01   1.60365812E-01   5.45130601E-04   2.91287339E-04   2.39426924E-04   1.04086955E-05   8.23970954E-06   5.66340704E-05  
  77               3.63101302E+01   1.66368611E+03   8.38451915E-01   1.60354569E-01   5.23450496E-04   2.65763790E-04   2.64831463E-04   1.57147247E-05   8.27612272E-06   5.65907627E-05  
  78               4.08013246E+01   1.71467450E+03   8.38466962E-01   1.60343953E-01   5.10494869E-04   2.35301345E-04   2.95155237E-04   2.40792525E-05   8.24812862E-06   5.65752841E-05  
  79               4.55467287E+01   1.76527845E+03   8.38481168E-01   1.60334094E-01   4.88490217E-04   2.10408388E-04   3.19891072E-04   3.58899452E-05   8.23093923E-06   5.65498436E-05  
  80               5.03886419E+01   1.81288157E+03   8.38477888E-01   1.60324033E-01   4.75179993E-04   1.88459072E-04   3.41674629E-04   5.11285451E-05   8.24168316E-06   5.65096795E-05  
  81               5.50296655E+01   1.85508037E+03   8.38448789E-01   1.60312648E-01   4.74378260E-04   1.68981849E-04   3.60992168E-04   6.88326973E-05   8.27469395E-06   5.64616760E-05  
  82               5.99628805E+01   1.89706466E+03   8.38386429E-01   1.60298090E-01   4.89674270E-04   1.48393976E-04   3.81420716E-04   9.12452972E-05   8.32389819E-06   5.64084063E-05  
  83               6.44525659E+01   1.93280186E+03   8.38331656E-01   1.60287440E-01   5.08708924E-04   1.31986416E-04   3.97703712E-04   1.14776485E-04   8.38201230E-06   5.63576980E-05  
  84               6.83238205E+01   1.96220907E+03   8.38320560E-01   1.60283184E-01   5.01125580E-04   1.24283396E-04   4.05281736E-04   1.37716916E-04   8.43654638E-06   5.63053849E-05  
  85               7.26096237E+01   1.99304643E+03   8.38304313E-01   1.60278664E-01   4.93959815E-04   1.16986896E-04   4.12438063E-04   1.65644295E-04   8.50538524E-06   5.62434056E-05  
  86               7.73393313E+01   2.02555523E+03   8.38270173E-01   1.60271511E-01   4.87090483E-04   1.09977259E-04   4.19282110E-04   1.99939459E-04   8.58480214E-06   5.61723521E-05  
  87               8.12028410E+01   2.05081630E+03   8.38248510E-01   1.60267555E-01   4.82266410E-04   1.05033056E-04   4.24095234E-04   2.30364009E-04   8.65475996E-06   5.61125780E-05  
  88               8.41646938E+01   2.06966947E+03   8.38229866E-01   1.60264468E-01   4.78887380E-04   1.01551692E-04   4.27474124E-04   2.55455704E-04   8.70837181E-06   5.60666559E-05  
  89               8.75221778E+01   2.09023110E+03   8.38206964E-01   1.60260999E-01   4.75461639E-04   9.80265945E-05   4.30882249E-04   2.85239068E-04   8.77292329E-06   5.60128546E-05  
  90               9.13174803E+01   2.11285280E+03   8.38178511E-01   1.60256995E-01   4.71925318E-04   9.43641075E-05   4.34410116E-04   3.21202989E-04   8.84578728E-06   5.59519865E-05  
  91               9.55874229E+01   2.13723126E+03   8.38143800E-01   1.60252468E-01   4.68444030E-04   9.07358021E-05   4.37885399E-04   3.63870398E-04   8.93175778E-06   5.58816712E-05  
  92               1.00366700E+02   2.16361566E+03   8.38071677E-01   1.60241603E-01   4.64953994E-04   8.70690901E-05   4.41358860E-04   4.15048005E-04   9.02779554E-06   5.58008403E-05  
  93               1.04019903E+02   2.18298412E+03   8.38036965E-01   1.60237621E-01   4.62586165E-04   8.45893203E-05   4.43703807E-04   4.56098403E-04   9.10359010E-06   5.57395966E-05  
  94               1.06751020E+02   2.19723298E+03   8.38009486E-01   1.60234515E-01   4.60913355E-04   8.28316722E-05   4.45358811E-04   4.88348349E-04   9.15938446E-06   5.56941081E-05  
  95               1.09890240E+02   2.21308178E+03   8.37976905E-01   1.60230940E-01   4.59179733E-04   8.10003972E-05   4.47071701E-04   5.26226510E-04   9.22594485E-06   5.56407557E-05  
  96               1.13487562E+02   2.23093392E+03   8.37937530E-01   1.60226714E-01   4.57304777E-04   7.90118868E-05   4.48922385E-04   5.71691579E-04   9.30099715E-06   5.55800904E-05  
  97               1.17597015E+02   2.25059426E+03   8.37890813E-01   1.60221841E-01   4.55403084E-04   7.69796458E-05   4.50796079E-04   6.25169496E-04   9.38929796E-06   5.55096599E-05  
  98               1.22276835E+02   2.27243943E+03   8.37834536E-01   1.60216096E-01   4.53408678E-04   7.48339944E-05   4.52758068E-04   6.89170857E-04   9.48876986E-06   5.54298520E-05  
  99               1.27589653E+02   2.29623458E+03   8.37767852E-01   1.60209459E-01   4.51438380E-04   7.26899539E-05   4.54691447E-04   7.64443291E-04   9.60430727E-06   5.53381009E-05  
  100              1.33602865E+02   2.32232416E+03   8.37685881E-01   1.60201273E-01   4.49436474E-04   7.04881087E-05   4.56649100E-04   8.54220506E-04   9.73393450E-06   5.52345229E-05  
  101              1.40388360E+02   2.35041935E+03   8.37584373E-01   1.60191918E-01   4.52649754E-04   6.76701773E-05   4.59223862E-04   9.59594932E-04   9.88315614E-06   5.51230238E-05  
