# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               Mg              
  34               1.51270473E-02   8.59089314E+02   8.38530749E-01   1.60351079E-01   2.11556747E-10   4.91681672E-04   2.87357871E-04   2.43117743E-04   6.07431833E-05   0.00000000E+00  
  35               1.83051788E-02   8.75886392E+02   8.38559446E-01   1.60343742E-01   3.48536880E-10   4.69265101E-04   3.09949979E-04   2.20533905E-04   6.07368660E-05   0.00000000E+00  
  36               2.22563810E-02   8.98663407E+02   8.38609537E-01   1.60331510E-01   6.83487858E-10   4.31455046E-04   3.48041539E-04   1.82442981E-04   6.07316816E-05   0.00000000E+00  
  37               2.71715542E-02   9.17838810E+02   8.38636911E-01   1.60324805E-01   1.14979521E-09   4.10807096E-04   3.68928589E-04   1.61570213E-04   6.07252324E-05   0.00000000E+00  
  38               3.32831570E-02   9.43240827E+02   8.38679274E-01   1.60314430E-01   2.27274005E-09   3.78858953E-04   4.01222141E-04   1.29286550E-04   6.07203797E-05   0.00000000E+00  
  39               4.08795880E-02   9.65220817E+02   8.38702907E-01   1.60308623E-01   3.90678714E-09   3.61048231E-04   4.19299055E-04   1.11224695E-04   6.07140710E-05   4.12900275E-16  
  40               5.02850846E-02   9.93575360E+02   8.38735982E-01   1.60300502E-01   7.76020402E-09   3.36122066E-04   4.44568187E-04   8.59678293E-05   6.07098261E-05   2.34577709E-15  
  41               6.18826765E-02   1.01877178E+03   8.38754961E-01   1.60295826E-01   1.36080708E-08   3.21823792E-04   4.59115245E-04   7.14341174E-05   6.07040103E-05   9.61690195E-15  
  42               7.60460750E-02   1.05020288E+03   8.38778540E-01   1.60290020E-01   2.69368391E-08   3.04053882E-04   4.77168219E-04   5.33926637E-05   6.07005853E-05   5.30308391E-14  
  43               9.31680642E-02   1.07827801E+03   8.38791913E-01   1.60286713E-01   4.72610439E-08   2.93966626E-04   4.87449920E-04   4.31219608E-05   6.06954530E-05   2.14126282E-13  
  44               1.13563816E-01   1.11229152E+03   8.38807025E-01   1.60282972E-01   9.15162649E-08   2.82548800E-04   4.99070113E-04   3.15116147E-05   6.06929017E-05   1.09248137E-12  
  45               1.37548843E-01   1.14248258E+03   8.38815355E-01   1.60280886E-01   1.57233027E-07   2.76218390E-04   5.05535563E-04   2.50549029E-05   6.06885114E-05   4.11821220E-12  
  46               1.65411479E-01   1.17797951E+03   8.38823998E-01   1.60278700E-01   2.90982885E-07   2.69598107E-04   5.12289093E-04   1.83094317E-05   6.06865281E-05   1.84260417E-11  
  47               1.97490844E-01   1.20950154E+03   8.38828652E-01   1.60277474E-01   4.82408488E-07   2.65934006E-04   5.16043621E-04   1.45616830E-05   6.06826576E-05   6.27721744E-11  
  48               2.34083338E-01   1.24631921E+03   8.38833250E-01   1.60276201E-01   8.54263950E-07   2.62179052E-04   5.19890835E-04   1.07208375E-05   6.06811037E-05   2.48479736E-10  
  49               2.75534620E-01   1.27906535E+03   8.38835465E-01   1.60275455E-01   1.36820963E-06   2.60098189E-04   5.22045859E-04   8.57086650E-06   6.06776457E-05   7.70171087E-10  
  50               3.22148764E-01   1.31726403E+03   8.38837228E-01   1.60274646E-01   2.32953051E-06   2.58017233E-04   5.24244735E-04   6.37667848E-06   6.06763968E-05   2.74071426E-09  
  51               3.74224624E-01   1.35177715E+03   8.38837054E-01   1.60274043E-01   3.64346317E-06   2.56943400E-04   5.25529787E-04   5.09485891E-06   6.06734416E-05   7.94612857E-09  
  52               4.31958180E-01   1.39236943E+03   8.38835002E-01   1.60273256E-01   6.06608864E-06   2.56353471E-04   5.26848697E-04   3.77840532E-06   6.06727220E-05   2.64682192E-08  
