# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               H2S             
  1                1.00000000E-05   4.23678500E+02   8.38152471E-01   1.60443964E-01   1.52029484E-22   7.79945241E-04   5.31279419E-04   6.12874623E-11   6.07767187E-05   2.29778218E-05  
  2                1.83022487E-05   4.63273955E+02   8.38152501E-01   1.60443950E-01   2.27517555E-20   7.79964750E-04   5.31275423E-04   3.16934797E-09   6.08109614E-05   2.29778197E-05  
  3                2.83721973E-05   4.65166901E+02   8.38152461E-01   1.60443959E-01   2.30306418E-20   7.79967259E-04   5.31277415E-04   1.65215490E-09   6.07904621E-05   2.29778211E-05  
  4                4.08463547E-05   4.81429895E+02   8.38152478E-01   1.60443955E-01   1.30057262E-19   7.79962756E-04   5.31273374E-04   5.14999499E-09   6.07946106E-05   2.29778205E-05  
  5                5.63319746E-05   4.80544708E+02   8.38152433E-01   1.60443966E-01   1.00125076E-19   7.79966487E-04   5.31276606E-04   2.45390842E-09   6.07700385E-05   2.29778220E-05  
  6                7.55849640E-05   4.95255723E+02   8.38152452E-01   1.60443961E-01   4.40845473E-19   7.79961325E-04   5.31271862E-04   6.69777878E-09   6.07761441E-05   2.29778214E-05  
  7                9.95149327E-05   4.94411523E+02   8.38152406E-01   1.60443972E-01   3.50821339E-19   7.79965403E-04   5.31275505E-04   3.53523858E-09   6.07492261E-05   2.29778230E-05  
  8                1.29275188E-04   5.08564153E+02   8.38152428E-01   1.60443967E-01   1.35780491E-18   7.79959099E-04   5.31269584E-04   8.95817922E-09   6.07569232E-05   2.29778222E-05  
  9                1.66260940E-04   5.08217899E+02   8.38152380E-01   1.60443979E-01   1.15572768E-18   7.79963670E-04   5.31273759E-04   5.23164591E-09   6.07280364E-05   2.29778239E-05  
  10               2.12247407E-04   5.22164082E+02   8.38152405E-01   1.60443973E-01   4.09142231E-18   7.79955514E-04   5.31265964E-04   1.25043078E-08   6.07368669E-05   2.29778230E-05  
  11               2.69393989E-04   5.22428708E+02   8.38152354E-01   1.60443985E-01   3.72577563E-18   7.79960878E-04   5.31270947E-04   7.95955712E-09   6.07061180E-05   2.29778248E-05  
  12               3.40431874E-04   5.36293701E+02   8.38152383E-01   1.60443978E-01   1.22331651E-17   7.79949954E-04   5.31260357E-04   1.79859952E-08   6.07155124E-05   2.29778238E-05  
  13               4.28687799E-04   5.37145301E+02   8.38152328E-01   1.60443991E-01   1.17861093E-17   7.79956524E-04   5.31266542E-04   1.22477139E-08   6.06826504E-05   2.29778256E-05  
  14               5.38349040E-04   5.51080792E+02   8.38152363E-01   1.60443982E-01   3.64472841E-17   7.79941449E-04   5.31251764E-04   2.64010361E-08   6.06923957E-05   2.29778244E-05  
  15               6.74537526E-04   5.52384459E+02   8.38152302E-01   1.60443997E-01   3.64590928E-17   7.79949935E-04   5.31259843E-04   1.87996082E-08   6.06566908E-05   2.29778265E-05  
  16               8.43664693E-04   5.66512866E+02   8.38152345E-01   1.60443987E-01   1.07419300E-16   7.79928841E-04   5.31238978E-04   3.89609857E-08   6.06667052E-05   2.29778250E-05  
  17               1.05355588E-03   5.68421240E+02   8.38152278E-01   1.60444003E-01   1.12416312E-16   7.79939581E-04   5.31249283E-04   2.91610597E-08   6.06284250E-05   2.29778273E-05  
  18               1.31401341E-03   5.82736154E+02   8.38152332E-01   1.60443989E-01   3.15339566E-16   7.79909890E-04   5.31219705E-04   5.79445975E-08   6.06381983E-05   2.29778254E-05  
  19               1.63703719E-03   5.85042785E+02   8.38152252E-01   1.60444007E-01   3.37836817E-16   7.79924320E-04   5.31233649E-04   4.45595902E-08   6.05961118E-05   2.29778280E-05  
  20               2.03762928E-03   5.99466861E+02   8.38152319E-01   1.60443991E-01   8.98150753E-16   7.79883697E-04   5.31192941E-04   8.43932134E-08   6.06048917E-05   2.29778256E-05  
  21               2.53418945E-03   6.01984781E+02   8.38152226E-01   1.60444013E-01   9.68537329E-16   7.79903764E-04   5.31212461E-04   6.55121830E-08   6.05572943E-05   2.29778287E-05  
  22               3.14971170E-03   6.16361390E+02   8.38152306E-01   1.60443993E-01   2.42075819E-15   7.79851564E-04   5.31159873E-04   1.17192118E-07   6.05638934E-05   2.29778259E-05  
  23               3.91244192E-03   6.18914725E+02   8.38152184E-01   1.60444018E-01   2.59275571E-15   7.79879512E-04   5.31187229E-04   9.05604402E-08   6.05083836E-05   2.29778295E-05  
  24               4.85784907E-03   6.33182146E+02   8.38152272E-01   1.60443996E-01   6.09730895E-15   7.79817000E-04   5.31123919E-04   1.52982122E-07   6.05118194E-05   2.29778264E-05  
  25               6.02986146E-03   6.35569286E+02   8.38152127E-01   1.60444029E-01   6.40306825E-15   7.79855311E-04   5.31161638E-04   1.16086841E-07   6.04448285E-05   2.29778311E-05  
  26               7.48320154E-03   6.49738983E+02   8.38152219E-01   1.60444007E-01   1.42557982E-14   7.79785746E-04   5.31090774E-04   1.86133959E-07   6.04441583E-05   2.29778278E-05  
  27               9.28545191E-03   6.51952902E+02   8.38152017E-01   1.60444044E-01   1.46972300E-14   7.79834479E-04   5.31138997E-04   1.38783427E-07   6.03620699E-05   2.29778331E-05  
  28               1.15204799E-02   6.66105706E+02   8.38152108E-01   1.60444021E-01   3.12792468E-14   7.79761286E-04   5.31063935E-04   2.13125305E-07   6.03564761E-05   2.29778299E-05  
  29               1.42916737E-02   6.68271800E+02   8.38151883E-01   1.60444069E-01   3.19472482E-14   7.79818158E-04   5.31120429E-04   1.57524056E-07   6.02558018E-05   2.29778367E-05  
  30               1.77264819E-02   6.82827114E+02   8.38151976E-01   1.60444045E-01   6.67919179E-14   7.79739537E-04   5.31039236E-04   2.38052938E-07   6.02470259E-05   2.29778333E-05  
  31               2.19813401E-02   6.85312458E+02   8.38151595E-01   1.60444076E-01   6.90462683E-14   7.79800373E-04   5.31099836E-04   1.78230498E-07   6.01267684E-05   2.29778378E-05  
  32               2.72481285E-02   7.00612200E+02   8.38151701E-01   1.60444049E-01   1.44332823E-13   7.79711576E-04   5.31007533E-04   2.69878935E-07   6.01169659E-05   2.29778338E-05  
  33               3.37611616E-02   7.03922653E+02   8.38151371E-01   1.60444100E-01   1.54926629E-13   7.79772411E-04   5.31068051E-04   2.10114382E-07   5.99797191E-05   2.29778411E-05  
  34               4.18063430E-02   7.20436472E+02   8.38151512E-01   1.60444064E-01   3.30228436E-13   7.79661375E-04   5.30952086E-04   3.25353217E-07   5.99734791E-05   2.29778359E-05  
  35               5.17298867E-02   7.24933791E+02   8.38151233E-01   1.60444131E-01   3.73066822E-13   7.79720879E-04   5.31010926E-04   2.67240946E-07   5.98237484E-05   2.29778454E-05  
  36               6.39524112E-02   7.43094347E+02   8.38151278E-01   1.60444045E-01   8.20916778E-13   7.79565408E-04   5.30848309E-04   4.28851529E-07   5.98264966E-05   2.29778329E-05  
  37               7.89786549E-02   7.49331054E+02   8.38151006E-01   1.60444110E-01   9.94522215E-13   7.79617362E-04   5.30898689E-04   3.79103428E-07   5.96741454E-05   2.29778421E-05  
  38               9.74205425E-02   7.69516708E+02   8.38151354E-01   1.60444021E-01   2.26890580E-12   7.79372317E-04   5.30642715E-04   6.33834382E-07   5.96907132E-05   2.29797421E-05  
  39               1.20021020E-01   7.77989049E+02   8.38151122E-01   1.60444074E-01   2.97718815E-12   7.79400581E-04   5.30667366E-04   6.09663404E-07   5.95468572E-05   2.29797495E-05  
  40               1.47684553E-01   8.00801554E+02   8.38151758E-01   1.60443911E-01   7.10313871E-12   7.78954223E-04   5.30203578E-04   1.07150252E-06   5.95829211E-05   2.29859236E-05  
  41               1.81480074E-01   8.12126542E+02   8.38151643E-01   1.60443927E-01   1.01815044E-11   7.78902290E-04   5.30143666E-04   1.13155740E-06   5.94595633E-05   2.29859252E-05  
  42               2.22700377E-01   8.37950025E+02   8.38152897E-01   1.60443599E-01   2.52247326E-11   7.77983443E-04   5.29196455E-04   2.07538110E-06   5.95149207E-05   2.30126039E-05  
  43               2.72860694E-01   8.52624806E+02   8.38153130E-01   1.60443514E-01   3.93709448E-11   7.77675492E-04   5.28871681E-04   2.39950068E-06   5.94193500E-05   2.30125898E-05  
  44               3.33800141E-01   8.81916429E+02   8.38155855E-01   1.60442774E-01   1.00465414E-10   7.75568943E-04   5.26716857E-04   4.54778696E-06   5.94913283E-05   2.30760107E-05  
  45               4.07618141E-01   9.00367493E+02   8.38156859E-01   1.60442364E-01   1.68887382E-10   7.74456743E-04   5.25573343E-04   5.68850793E-06   5.94251614E-05   2.31467073E-05  
  46               4.96940933E-01   9.33434406E+02   8.38162541E-01   1.60440473E-01   4.36813149E-10   7.69308236E-04   5.20346658E-04   1.09013726E-05   5.95066250E-05   2.34593823E-05  
  47               6.04887730E-01   9.56087359E+02   8.38165651E-01   1.60439207E-01   7.79524477E-10   7.65787332E-04   5.16779044E-04   1.44610428E-05   5.94662524E-05   2.42825364E-05  
  48               7.35818590E-01   9.93432209E+02   8.38182526E-01   1.60435067E-01   2.02013712E-09   7.53148701E-04   5.03992211E-04   2.72205765E-05   5.95491457E-05   2.42818468E-05  
  49               8.94893094E-01   1.02081295E+03   8.38195436E-01   1.60431899E-01   3.77002802E-09   7.43392726E-04   4.94120026E-04   3.70745745E-05   5.95258674E-05   2.42812971E-05  
  50               1.09014251E+00   1.06307657E+03   8.38232759E-01   1.60422772E-01   9.68370669E-09   7.15300295E-04   4.65794941E-04   6.53489710E-05   5.95999717E-05   2.42797234E-05  
  51               1.33138470E+00   1.09599948E+03   8.38261683E-01   1.60415695E-01   1.86763248E-08   6.93452976E-04   4.43758304E-04   8.73512782E-05   5.95823749E-05   2.42784216E-05  
  52               1.63427361E+00   1.14444453E+03   8.38327189E-01   1.60399692E-01   4.74748185E-08   6.44036916E-04   3.94003086E-04   1.37032724E-04   5.96396170E-05   2.42754052E-05  
  53               2.01805366E+00   1.18415207E+03   8.38373433E-01   1.60388377E-01   9.37911392E-08   6.09070467E-04   3.58773472E-04   1.72216380E-04   5.96164488E-05   2.42729406E-05  
  54               2.51206796E+00   1.23977837E+03   8.38454074E-01   1.60368647E-01   2.32667440E-07   5.48099362E-04   2.97411873E-04   2.33500674E-04   5.96478289E-05   2.42681424E-05  
  55               3.14877824E+00   1.28633475E+03   8.38502102E-01   1.60356838E-01   4.55742837E-07   5.11617607E-04   2.60670485E-04   2.70198194E-04   5.96052077E-05   2.42640307E-05  
  56               3.96394113E+00   1.34730861E+03   8.38569616E-01   1.60340159E-01   1.04768439E-06   4.60163955E-04   2.08900516E-04   3.21903628E-04   5.96008468E-05   2.42561657E-05  
  57               4.99174571E+00   1.39690745E+03   8.38601741E-01   1.60331957E-01   1.90010781E-06   4.35089898E-04   1.83614426E-04   3.47152177E-04   5.95268601E-05   2.42473780E-05  
  58               6.26340487E+00   1.45980374E+03   8.38645258E-01   1.60320462E-01   3.90055221E-06   4.00508758E-04   1.48547505E-04   3.82160436E-04   5.94881963E-05   2.42208061E-05  
  59               7.80302631E+00   1.51134200E+03   8.38661418E-01   1.60314518E-01   6.57067640E-06   3.84684806E-04   1.32051719E-04   3.98610935E-04   5.93933351E-05   2.41620048E-05  
  60               9.63014293E+00   1.57626893E+03   8.38670135E-01   1.60303131E-01   1.23657189E-05   3.63092766E-04   1.07302639E-04   4.23281096E-04   5.93364765E-05   2.38874497E-05  
  61               1.17088116E+01   1.62947908E+03   8.38664430E-01   1.60297521E-01   1.96576423E-05   3.67393338E-04   9.21092090E-05   4.38413694E-04   5.92407204E-05   2.23823486E-05  
  62               1.39829883E+01   1.69369171E+03   8.38665384E-01   1.60289903E-01   3.38107176E-05   3.53460806E-04   7.50720307E-05   4.55365614E-04   5.91864667E-05   2.22861050E-05  
  63               1.63799693E+01   1.74555041E+03   8.38638156E-01   1.60282530E-01   5.02963243E-05   3.53463496E-04   6.51708657E-05   4.65184639E-04   5.91043502E-05   2.20684469E-05  
  64               1.87200360E+01   1.80586620E+03   8.38559741E-01   1.60268158E-01   7.91378066E-05   3.73815720E-04   4.93544761E-05   4.80907712E-04   5.90783131E-05   2.13925945E-05  
  65               2.08920888E+01   1.85958674E+03   8.38461889E-01   1.60255861E-01   1.15757935E-04   4.13620816E-04   3.68430822E-05   4.93356129E-04   5.90652994E-05   2.06719683E-05  
  66               2.28572092E+01   1.90229065E+03   8.38422816E-01   1.60249515E-01   1.53738289E-04   4.09167702E-04   3.23784455E-05   4.97750658E-04   5.90338112E-05   2.06652349E-05  
  67               2.45270436E+01   1.93832107E+03   8.38390447E-01   1.60245262E-01   1.93688736E-04   4.05810297E-04   2.90083405E-05   5.01063523E-04   5.90112504E-05   2.06534794E-05  
  68               2.58477252E+01   1.96348810E+03   8.38363181E-01   1.60242098E-01   2.25946024E-04   4.03951301E-04   2.71391779E-05   5.02888223E-04   5.89870650E-05   2.06443826E-05  
  69               2.74031305E+01   1.99408528E+03   8.38324086E-01   1.60237750E-01   2.71566202E-04   4.01739600E-04   2.49132293E-05   5.05058485E-04   5.89635361E-05   2.06275814E-05  
  70               2.92197895E+01   2.02586936E+03   8.38244039E-01   1.60226640E-01   3.25953413E-04   3.99898320E-04   2.30645686E-05   5.06822157E-04   5.89269421E-05   2.06069700E-05  
  71               3.05693614E+01   2.05019337E+03   8.38201633E-01   1.60222389E-01   3.73927910E-04   3.98536676E-04   2.16665487E-05   5.08169295E-04   5.89051758E-05   2.05868920E-05  
  72               3.15439424E+01   2.06559087E+03   8.38172514E-01   1.60219566E-01   4.06527837E-04   3.97843367E-04   2.09686566E-05   5.08831460E-04   5.88851449E-05   2.05740104E-05  
  73               3.27211242E+01   2.08568610E+03   8.38130626E-01   1.60215503E-01   4.53380647E-04   3.96890394E-04   1.99694357E-05   5.09784529E-04   5.88654526E-05   2.05535054E-05  
  74               3.41337584E+01   2.10711615E+03   8.38082239E-01   1.60210943E-01   5.07158642E-04   3.96041886E-04   1.91137187E-05   5.10586017E-04   5.88368817E-05   2.05307310E-05  
  75               3.58231440E+01   2.13355929E+03   8.38015324E-01   1.60204677E-01   5.81392268E-04   3.94974238E-04   1.80385926E-05   5.11592490E-04   5.88062739E-05   2.04972662E-05  
  76               3.78304897E+01   2.16203293E+03   8.37935213E-01   1.60197325E-01   6.69768709E-04   3.94040275E-04   1.70932645E-05   5.12456267E-04   5.87655447E-05   2.04583224E-05  
  77               4.02009902E+01   2.19549060E+03   8.37827911E-01   1.60187557E-01   7.87874792E-04   3.92987854E-04   1.60278116E-05   5.13420302E-04   5.87198449E-05   2.04049196E-05  
  78               4.29831744E+01   2.23145657E+03   8.37696973E-01   1.60175793E-01   9.31478550E-04   3.92066905E-04   1.50879706E-05   5.14239059E-04   5.86625901E-05   2.03413184E-05  
  79               4.62307655E+01   2.27196164E+03   8.37526790E-01   1.60160608E-01   1.11777012E-03   3.91128827E-04   1.41263332E-05   5.15052323E-04   5.85967535E-05   2.02591666E-05  
  80               5.00018534E+01   2.31532919E+03   8.37314875E-01   1.60141641E-01   1.34709626E-03   3.90312188E-04   1.32778384E-05   5.15721834E-04   5.85175584E-05   2.01609104E-05  
  81               5.43612131E+01   2.36238889E+03   8.37042468E-01   1.60118129E-01   1.63549466E-03   3.95515062E-04   1.23036068E-05   5.16500394E-04   5.84306398E-05   2.00728107E-05  
  82               5.93815080E+01   2.41252121E+03   8.36715443E-01   1.60089435E-01   1.99167176E-03   3.95031254E-04   1.16122075E-05   5.16937312E-04   5.83238781E-05   1.99307590E-05  
  83               6.51466303E+01   2.46547401E+03   8.36314975E-01   1.60054398E-01   2.42755479E-03   3.94644551E-04   1.10199046E-05   5.17225430E-04   5.81996819E-05   1.97653244E-05  
  84               7.17486038E+01   2.52149633E+03   8.35823444E-01   1.60011476E-01   2.96232159E-03   3.94340388E-04   1.05054114E-05   5.17375861E-04   5.80567495E-05   1.95733026E-05  
  85               7.92971106E+01   2.57961488E+03   8.35235783E-01   1.59960245E-01   3.60141663E-03   3.94162383E-04   1.01012364E-05   5.17349028E-04   5.78914139E-05   1.93585725E-05  
  86               8.79215940E+01   2.64058373E+03   8.34525491E-01   1.59898383E-01   4.37369316E-03   3.94083911E-04   9.76704537E-06   5.17170026E-04   5.77022860E-05   1.91163793E-05  
  87               9.77734713E+01   2.70339097E+03   8.33689816E-01   1.59825669E-01   5.28207009E-03   3.94154407E-04   9.53263224E-06   5.16800057E-04   5.74849526E-05   1.88530402E-05  
  88               1.09030599E+02   2.76866779E+03   8.32700471E-01   1.59739629E-01   6.35731560E-03   3.94365392E-04   9.36838091E-06   5.16249804E-04   5.72367191E-05   1.85654564E-05  
  89               1.21900169E+02   2.83554926E+03   8.31557164E-01   1.59640257E-01   7.59967154E-03   3.94767568E-04   9.29646921E-06   5.15485018E-04   5.69524550E-05   1.82612506E-05  
  90               1.36620727E+02   2.90473521E+03   8.30227392E-01   1.59524716E-01   9.04447459E-03   3.95363541E-04   9.29022837E-06   5.14507756E-04   5.66280110E-05   1.79374919E-05  
  91               1.53460634E+02   2.97536302E+03   8.28717150E-01   1.59393548E-01   1.06851169E-02   3.96210440E-04   9.37046554E-06   5.13282296E-04   5.62569345E-05   1.76032032E-05  
  92               1.72721042E+02   3.04815013E+03   8.26990919E-01   1.59243655E-01   1.25601992E-02   3.97318751E-04   9.51292777E-06   5.11802096E-04   5.58326507E-05   1.72552917E-05  
  93               1.94702677E+02   3.12180658E+03   8.25078232E-01   1.59077634E-01   1.46375072E-02   3.98752636E-04   9.74560703E-06   5.10027391E-04   5.53466178E-05   1.69065255E-05  
  94               2.19712435E+02   3.19714201E+03   8.22940537E-01   1.58892120E-01   1.69589484E-02   4.00508437E-04   1.00386925E-05   5.07953057E-04   5.47885879E-05   1.65519252E-05  
  95               2.48084752E+02   3.27279322E+03   8.20627060E-01   1.58691423E-01   1.94709055E-02   4.02636699E-04   1.04212225E-05   5.05540375E-04   5.41448381E-05   1.62046193E-05  
  96               2.80185807E+02   3.34974181E+03   8.18093281E-01   1.58471654E-01   2.22217837E-02   4.05114312E-04   1.08625582E-05   5.02777876E-04   5.33941591E-05   1.58572497E-05  
  97               3.16408961E+02   3.42668605E+03   8.15403059E-01   1.58238393E-01   2.51420682E-02   4.07970470E-04   1.13924250E-05   4.99625955E-04   5.25107752E-05   1.55218651E-05  
  98               3.57175589E+02   3.50474938E+03   8.12501960E-01   1.57986883E-01   2.82909497E-02   4.11155897E-04   1.19782591E-05   4.96067285E-04   5.14515638E-05   1.51889261E-05  
  99               4.02942089E+02   3.58252678E+03   8.09475095E-01   1.57724551E-01   3.15757999E-02   4.14687997E-04   1.26548488E-05   4.92060539E-04   5.01703952E-05   1.48708759E-05  
  100              4.54211277E+02   3.66126589E+03   8.06256871E-01   1.57445659E-01   3.50679237E-02   4.18499315E-04   1.33879508E-05   4.87582681E-04   4.85875234E-05   1.45568025E-05  
  101              5.11545938E+02   3.73950120E+03   8.02952180E-01   1.57159356E-01   3.86531570E-02   4.22615777E-04   1.42178728E-05   4.82591525E-04   4.66332779E-05   1.42596165E-05  
