# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               SiO             
  34               1.31735956E-02   9.83088923E+02   8.38834323E-01   1.60276645E-01   1.13811459E-08   5.18642927E-04   2.61851621E-04   6.07655654E-05   5.82513980E-15   3.26848254E-14  
  35               1.53411203E-02   1.00117201E+03   8.38836816E-01   1.60276002E-01   1.72317712E-08   5.20638467E-04   2.59992686E-04   6.07645040E-05   1.07033418E-14   2.17988521E-13  
  36               1.78488290E-02   1.01672693E+03   8.38838045E-01   1.60275677E-01   2.40365475E-08   5.21649603E-04   2.59078036E-04   6.07630093E-05   3.65598422E-14   2.29196137E-13  
  37               2.07427184E-02   1.03679465E+03   8.38840121E-01   1.60275136E-01   3.70997853E-08   5.23325248E-04   2.57523238E-04   6.07621042E-05   6.77610610E-14   1.70441224E-12  
  38               2.40737030E-02   1.05451940E+03   8.38841251E-01   1.60274832E-01   5.31413895E-08   5.24264835E-04   2.56671495E-04   6.07607683E-05   2.53846632E-13   1.78710599E-12  
  39               2.78945736E-02   1.07711955E+03   8.38842888E-01   1.60274394E-01   8.40987384E-08   5.25613296E-04   2.55428163E-04   6.07601171E-05   4.79076830E-13   1.51218004E-11  
  40               3.22617069E-02   1.09750001E+03   8.38843815E-01   1.60274132E-01   1.24098283E-07   5.26413479E-04   2.54705720E-04   6.07590452E-05   1.98794808E-12   1.58118751E-11  
  41               3.72311413E-02   1.12304191E+03   8.38844956E-01   1.60273801E-01   2.01310630E-07   5.27414738E-04   2.53792911E-04   6.07587095E-05   6.37983430E-12   5.43162190E-11  
  42               4.28643946E-02   1.14650521E+03   8.38845574E-01   1.60273593E-01   3.05849313E-07   5.28026864E-04   2.53247165E-04   6.07579725E-05   1.74868724E-11   1.58048916E-10  
  43               4.92338563E-02   1.17536251E+03   8.38846175E-01   1.60273354E-01   5.06976894E-07   5.28705516E-04   2.52640933E-04   6.07579590E-05   5.86645253E-11   5.68773182E-10  
  44               5.64161250E-02   1.20222353E+03   8.38846361E-01   1.60273192E-01   7.89039544E-07   5.29122548E-04   2.52280216E-04   6.07575414E-05   1.69191214E-10   1.74575072E-09  
  45               6.44888642E-02   1.23458820E+03   8.38846291E-01   1.60273006E-01   1.32593435E-06   5.29541630E-04   2.51926843E-04   6.07577745E-05   5.82079198E-10   6.45033856E-09  
  46               7.35291947E-02   1.26497336E+03   8.38845716E-01   1.60272839E-01   2.09531155E-06   5.29799024E-04   2.51741735E-04   6.07575962E-05   1.72870971E-09   2.04154420E-08  
  47               8.36074537E-02   1.30130624E+03   8.38844261E-01   1.60272593E-01   3.55886858E-06   5.30043893E-04   2.51664060E-04   6.07580086E-05   6.05089386E-09   7.68040330E-08  
  48               9.47761485E-02   1.33621120E+03   8.38840828E-01   1.60272135E-01   5.73954830E-06   5.30197498E-04   2.51940512E-04   6.07580102E-05   1.86874148E-08   2.53269350E-07  
  49               1.07026203E-01   1.37822471E+03   8.38832035E-01   1.60271133E-01   9.98950162E-06   5.30337460E-04   2.53780153E-04   6.07584626E-05   6.81728964E-08   9.95338537E-07  
  50               1.20233180E-01   1.42359899E+03   8.38806591E-01   1.60267636E-01   1.75891761E-05   5.30429266E-04   2.57817432E-04   6.07581517E-05   2.52090156E-07   3.96870701E-06  
  51               1.33999313E-01   1.46698727E+03   8.38777660E-01   1.60266421E-01   2.91992378E-05   5.30491193E-04   2.76624957E-04   6.07585249E-05   6.37860564E-07   1.86627440E-05  
  52               1.48253311E-01   1.50845132E+03   8.38750200E-01   1.60263461E-01   4.60649038E-05   5.30519570E-04   2.80278701E-04   6.07579633E-05   3.07090105E-06   1.98637991E-05  
  53               1.62929019E-01   1.54788222E+03   8.38701992E-01   1.60258819E-01   6.93849269E-05   5.30529738E-04   2.92822224E-04   6.07566439E-05   1.12646174E-05   2.37457444E-05  
  54               1.77100139E-01   1.58331481E+03   8.38607751E-01   1.60248732E-01   9.84260802E-05   5.30511651E-04   3.20257544E-04   6.07531973E-05   2.91764487E-05   3.22543311E-05  
  55               1.89696136E-01   1.61283510E+03   8.38490985E-01   1.60240191E-01   1.30068251E-04   5.30488307E-04   3.77235338E-04   6.07503374E-05   6.64918926E-05   5.02197104E-05  
  56               2.00680903E-01   1.63729663E+03   8.38461129E-01   1.60237580E-01   1.62547214E-04   5.30486494E-04   3.77154769E-04   6.07494214E-05   6.64749266E-05   5.02914927E-05  
