# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CH4              CO               N2               NH3             
  34               5.92452778E-02   5.19299623E+02   8.38117561E-01   1.60452402E-01   7.80085440E-04   1.85320374E-19   5.31307466E-04   1.22119660E-13   3.44928253E-05   5.27296771E-05  
  35               7.16868868E-02   5.41376965E+02   8.38124332E-01   1.60450760E-01   7.80077486E-04   1.33823435E-18   5.31302030E-04   6.39358060E-13   3.96077883E-05   4.24985059E-05  
  36               8.68132829E-02   5.55668305E+02   8.38126444E-01   1.60450248E-01   7.80075027E-04   4.26289712E-18   5.31300334E-04   1.49997845E-12   4.12032321E-05   3.93072300E-05  
  37               1.05115587E-01   5.80891354E+02   8.38131973E-01   1.60448908E-01   7.80068617E-04   3.05274098E-17   5.31295888E-04   7.85589428E-12   4.53800249E-05   3.09526274E-05  
  38               1.27132945E-01   5.98733816E+02   8.38134082E-01   1.60448396E-01   7.80066262E-04   1.07727310E-16   5.31294182E-04   2.05595615E-11   4.69731863E-05   2.77659167E-05  
  39               1.53389697E-01   6.27419168E+02   8.38138197E-01   1.60447398E-01   7.80061799E-04   7.39157148E-16   5.31290791E-04   1.04826256E-10   5.00823568E-05   2.15468188E-05  
  40               1.84443240E-01   6.48576446E+02   8.38139898E-01   1.60446984E-01   7.80060229E-04   2.66918206E-15   5.31289237E-04   2.85108969E-10   5.13700527E-05   1.89711129E-05  
  41               2.20864101E-01   6.80196317E+02   8.38142665E-01   1.60446310E-01   7.80057729E-04   1.62846405E-14   5.31285956E-04   1.32108772E-09   5.34661880E-05   1.47783304E-05  
  42               2.63246747E-01   7.04398443E+02   8.38143853E-01   1.60446000E-01   7.80056390E-04   5.69117846E-14   5.31282688E-04   3.54790075E-09   5.43987069E-05   1.29130579E-05  
  43               3.12152243E-01   7.38770491E+02   8.38145497E-01   1.60445527E-01   7.80049264E-04   3.01469416E-13   5.31269989E-04   1.46138312E-08   5.57612324E-05   1.01876475E-05  
  44               3.68126051E-01   7.65982238E+02   8.38146165E-01   1.60445268E-01   7.80032766E-04   9.95321274E-13   5.31245747E-04   3.78947149E-08   5.64122791E-05   8.88535776E-06  
  45               4.31832838E-01   8.03355717E+02   8.38147451E-01   1.60444947E-01   7.79948324E-04   4.61642089E-12   5.31142400E-04   1.39820083E-07   5.73010088E-05   7.10765411E-06  
  46               5.04069113E-01   8.33936193E+02   8.38148268E-01   1.60444726E-01   7.79761890E-04   1.43897129E-11   5.30931816E-04   3.49092506E-07   5.77549059E-05   6.19969028E-06  
  47               5.85636632E-01   8.74727460E+02   8.38149922E-01   1.60444250E-01   7.78997056E-04   5.91716851E-11   5.30115737E-04   1.16178428E-06   5.83386483E-05   5.03183695E-06  
  48               6.77257152E-01   9.09604317E+02   8.38151934E-01   1.60443520E-01   7.77395389E-04   1.76987001E-10   5.28451733E-04   2.82040755E-06   5.86637681E-05   4.38102436E-06  
  49               7.80036406E-01   9.51419735E+02   8.38157404E-01   1.60441634E-01   7.72571436E-04   5.98571520E-10   5.23524200E-04   7.73449182E-06   5.90114139E-05   3.68423915E-06  
