# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               NH3             
  1                1.00000000E-05   2.47463384E+02   8.38074467E-01   1.60463758E-01   1.08045863E-41   7.81708417E-04   5.31345071E-04   4.00811487E-29   2.67455104E-07   1.21189032E-04  
  2                1.60990860E-05   2.85734253E+02   8.38098294E-01   1.60457982E-01   1.22142770E-35   7.81680279E-04   5.31325946E-04   9.43816919E-24   1.82651483E-05   8.51892644E-05  
  3                2.39879386E-05   2.86779927E+02   8.38090398E-01   1.60459897E-01   1.39802441E-35   7.81689603E-04   5.31332284E-04   5.82901296E-24   1.23010210E-05   9.71189711E-05  
  4                3.39453349E-05   3.00271776E+02   8.38103305E-01   1.60456768E-01   7.14163828E-34   7.81674360E-04   5.31321923E-04   1.41144235E-22   2.20506048E-05   7.76174300E-05  
  5                4.63995797E-05   2.99670444E+02   8.38094215E-01   1.60458971E-01   5.12666848E-34   7.81685095E-04   5.31329219E-04   6.40051069E-23   1.51843983E-05   9.13515144E-05  
  6                6.19163812E-05   3.11817770E+02   8.38105571E-01   1.60456218E-01   1.34170661E-32   7.81671684E-04   5.31320103E-04   9.08090451E-22   2.37626074E-05   7.41930079E-05  
  7                8.13130225E-05   3.11426034E+02   8.38097637E-01   1.60458140E-01   1.05324483E-32   7.81681045E-04   5.31326466E-04   4.76279434E-22   1.77726592E-05   8.61743619E-05  
  8                1.05451832E-04   3.22721557E+02   8.38107543E-01   1.60455740E-01   1.76373885E-31   7.81664354E-04   5.31318519E-04   4.65242800E-21   2.52518890E-05   7.12140818E-05  
  9                1.35559883E-04   3.22572851E+02   8.38100458E-01   1.60457457E-01   1.49836598E-31   7.81672721E-04   5.31324207E-04   2.71691247E-21   1.99001086E-05   8.19189456E-05  
  10               1.72975547E-04   3.33402621E+02   8.38109232E-01   1.60455331E-01   1.86304592E-30   7.81662360E-04   5.31317164E-04   2.06140200E-20   2.65273411E-05   6.86628672E-05  
  11               2.19585687E-04   3.33617395E+02   8.38102944E-01   1.60456849E-01   1.73948226E-30   7.81669757E-04   5.31322192E-04   1.34246680E-20   2.17879611E-05   7.81427790E-05  
  12               2.77530523E-04   3.44351515E+02   8.38110995E-01   1.60454902E-01   1.79753987E-29   7.81644267E-04   5.31315745E-04   8.70899319E-20   2.78585682E-05   6.60000880E-05  
  13               3.49715007E-04   3.44984512E+02   8.38105447E-01   1.60456247E-01   1.84172946E-29   7.81650819E-04   5.31320199E-04   6.26845426E-20   2.36672708E-05   7.43837030E-05  
  14               4.39484562E-04   3.55761587E+02   8.38112799E-01   1.60454451E-01   1.64781257E-28   7.81642067E-04   5.31314250E-04   3.59227956E-19   2.92456373E-05   6.32256071E-05  
  15               5.51211097E-04   3.56675286E+02   8.38107734E-01   1.60455690E-01   1.77763333E-28   7.81608632E-04   5.31318355E-04   2.73629965E-19   2.53926131E-05   7.09325961E-05  
  16               6.89923826E-04   3.67462911E+02   8.38114402E-01   1.60454074E-01   1.38028183E-27   7.81600759E-04   5.31313003E-04   1.38400214E-18   3.04289769E-05   6.08586424E-05  
  17               8.62084515E-04   3.68472677E+02   8.38109485E-01   1.60455266E-01   1.50201576E-27   7.81606565E-04   5.31316949E-04   1.06956388E-18   2.67154071E-05   6.82866860E-05  
  18               1.07535617E-03   3.79406456E+02   8.38115469E-01   1.60453748E-01   1.04977627E-26   7.81599170E-04   5.31311922E-04   4.93732262E-18   3.13529494E-05   5.90104498E-05  
  19               1.33949848E-03   3.80505538E+02   8.38110877E-01   1.60454917E-01   1.14891136E-26   7.81418669E-04   5.31315795E-04   3.85550305E-18   2.77554312E-05   6.62063732E-05  
  20               1.66627138E-03   3.91761046E+02   8.38116685E-01   1.60453509E-01   7.49475439E-26   7.81411830E-04   5.31311133E-04   1.67966063E-17   3.21426037E-05   5.74309603E-05  
  21               2.07063309E-03   3.93064405E+02   8.38112166E-01   1.60454605E-01   8.39862933E-26   7.81417166E-04   5.31314760E-04   1.34753639E-17   2.87286319E-05   6.42597350E-05  
  22               2.57053904E-03   4.04738899E+02   8.38117707E-01   1.60453261E-01   5.19031029E-25   7.81410857E-04   5.31310312E-04   5.61315688E-17   3.29148686E-05   5.58862424E-05  
  23               3.18855951E-03   4.06229683E+02   8.38113380E-01   1.60454310E-01   5.91507872E-25   7.81415965E-04   5.31313785E-04   4.59182389E-17   2.96462865E-05   6.24242022E-05  
  24               3.95202505E-03   4.18412635E+02   8.38118144E-01   1.60452912E-01   3.50031164E-24   7.81411908E-04   5.31309156E-04   1.84643306E-16   3.36688510E-05   5.43780129E-05  
  25               4.89491447E-03   4.20024221E+02   8.38114531E-01   1.60453987E-01   4.00325788E-24   7.80751197E-04   5.31312716E-04   1.51857083E-16   3.04822016E-05   6.07521272E-05  
  26               6.05754120E-03   4.32561206E+02   8.38119468E-01   1.60452783E-01   2.21143271E-23   7.80774563E-04   5.31308730E-04   5.75040265E-16   3.42330705E-05   5.32494762E-05  
  27               7.49097643E-03   4.34349794E+02   8.38115323E-01   1.60453759E-01   2.55481562E-23   7.80779312E-04   5.31311961E-04   4.79383134E-16   3.11525879E-05   5.94111816E-05  
  28               9.25677386E-03   4.47458076E+02   8.38119784E-01   1.60452601E-01   1.35658658E-22   7.81091181E-04   5.31308125E-04   1.75863814E-15   3.47622438E-05   5.21909912E-05  
  29               1.14349879E-02   4.49844454E+02   8.38115808E-01   1.60453420E-01   1.66771990E-22   7.81095170E-04   5.31310838E-04   1.56076668E-15   3.20105497E-05   5.76950008E-05  
  30               1.41203808E-02   4.63792394E+02   8.38116606E-01   1.60451838E-01   8.72842669E-22   7.82675925E-04   5.31305598E-04   5.68522500E-15   3.55608865E-05   5.05931268E-05  
  31               1.74385705E-02   4.67044298E+02   8.38116056E-01   1.60452808E-01   1.16640232E-21   7.79919442E-04   5.31308810E-04   5.45971980E-15   3.32289065E-05   5.52578225E-05  
  32               2.15295471E-02   4.81287468E+02   8.38120215E-01   1.60451800E-01   5.57378574E-21   7.79914544E-04   5.31305472E-04   1.82484029E-14   3.63698506E-05   4.89751697E-05  
  33               2.65712065E-02   4.85146348E+02   8.38117439E-01   1.60452473E-01   7.75568359E-21   7.79917815E-04   5.31307701E-04   1.83316417E-14   3.42730335E-05   5.31693144E-05  
  34               3.27872776E-02   5.00713882E+02   8.38121681E-01   1.60451444E-01   3.78156447E-20   7.79912822E-04   5.31304295E-04   6.28158850E-14   3.74772023E-05   4.67601968E-05  
  35               4.04622054E-02   5.05810559E+02   8.38119525E-01   1.60451967E-01   5.78707231E-20   7.79915363E-04   5.31306025E-04   6.93549566E-14   3.58492726E-05   5.00164525E-05  
  36               4.99397972E-02   5.22979586E+02   8.38123781E-01   1.60450935E-01   2.88590978E-19   7.79910360E-04   5.31302609E-04   2.44060510E-13   3.90640904E-05   4.35860341E-05  
  37               6.16613679E-02   5.29690082E+02   8.38122306E-01   1.60451293E-01   4.92148448E-19   7.79912104E-04   5.31303793E-04   2.99960741E-13   3.79498534E-05   4.58147795E-05  
  38               7.61626060E-02   5.48908981E+02   8.38126525E-01   1.60450270E-01   2.53506439E-18   7.79907165E-04   5.31300406E-04   1.09447279E-12   4.11365242E-05   3.94406621E-05  
  39               9.41167123E-02   5.57682303E+02   8.38125739E-01   1.60450460E-01   4.86076807E-18   7.79908108E-04   5.31301035E-04   1.51125748E-12   4.05432677E-05   4.06273196E-05  
  40               1.16323709E-01   5.79324164E+02   8.38129766E-01   1.60449484E-01   2.56591027E-17   7.79903450E-04   5.31297799E-04   5.67877131E-12   4.35850102E-05   3.45430941E-05  
  41               1.43781453E-01   5.90584057E+02   8.38129585E-01   1.60449528E-01   5.50781619E-17   7.79903722E-04   5.31297940E-04   8.78898104E-12   4.34488681E-05   3.48154112E-05  
  42               1.77650164E-01   6.15057773E+02   8.38133266E-01   1.60448635E-01   2.94302525E-16   7.79899625E-04   5.31294960E-04   3.36710881E-11   4.62289757E-05   2.92545192E-05  
  43               2.19346254E-01   6.29442428E+02   8.38133597E-01   1.60448554E-01   7.07857333E-16   7.79899430E-04   5.31294666E-04   5.86473980E-11   4.64805284E-05   2.87513522E-05  
  44               2.70530472E-01   6.57230601E+02   8.38136802E-01   1.60447777E-01   3.77295509E-15   7.79896295E-04   5.31291922E-04   2.26396572E-10   4.89019041E-05   2.39080113E-05  
  45               3.33215695E-01   6.75183436E+02   8.38137414E-01   1.60447620E-01   9.92802475E-15   7.79896100E-04   5.31291189E-04   4.34711663E-10   4.93801179E-05   2.29514642E-05  
  46               4.09623562E-01   7.06590676E+02   8.38140037E-01   1.60446983E-01   5.12764070E-14   7.79894283E-04   5.31287859E-04   1.64675753E-09   5.13621166E-05   1.89869839E-05  
  47               5.02310317E-01   7.28492562E+02   8.38140553E-01   1.60446759E-01   1.43160795E-13   7.79894076E-04   5.31285360E-04   3.39350888E-09   5.19223596E-05   1.78663282E-05  
  48               6.14025212E-01   7.63939497E+02   8.38142615E-01   1.60446257E-01   7.02420211E-13   7.79890062E-04   5.31274638E-04   1.24066949E-08   5.34771847E-05   1.47562966E-05  
  49               7.47934180E-01   7.90026331E+02   8.38143136E-01   1.60446041E-01   2.00698422E-12   7.79883144E-04   5.31259719E-04   2.65594110E-08   5.40129345E-05   1.36846334E-05  
  50               9.07771397E-01   8.29381802E+02   8.38144709E-01   1.60445649E-01   8.99930565E-12   7.79838757E-04   5.31194546E-04   9.02408205E-08   5.51615082E-05   1.13871872E-05  
  51               1.09771540E+00   8.59497772E+02   8.38145352E-01   1.60445464E-01   2.51974742E-11   7.79759112E-04   5.31091781E-04   1.92153627E-07   5.56014850E-05   1.05070915E-05  
  52               1.32221495E+00   9.02536740E+02   8.38146732E-01   1.60445044E-01   1.00688005E-10   7.79410037E-04   5.30691299E-04   5.90471092E-07   5.64176913E-05   8.87435146E-06  
  53               1.58583644E+00   9.36325687E+02   8.38147270E-01   1.60444629E-01   2.67085298E-10   7.78843976E-04   5.30072002E-04   1.20743461E-06   5.67489720E-05   8.21145832E-06  
  54               1.89434526E+00   9.83059718E+02   8.38149259E-01   1.60443573E-01   9.47939055E-10   7.76820468E-04   5.27946435E-04   3.32671813E-06   5.73269824E-05   7.05457133E-06  
  55               2.25513071E+00   1.02071810E+03   8.38152527E-01   1.60442391E-01   2.36905996E-09   7.73810718E-04   5.24826169E-04   6.43972001E-06   5.75713790E-05   6.56476030E-06  
  56               2.67792077E+00   1.07145589E+03   8.38165065E-01   1.60439278E-01   7.52321789E-09   7.64795752E-04   5.15584753E-04   1.56623209E-05   5.79783870E-05   5.74797605E-06  
  57               3.17453570E+00   1.11305079E+03   8.38181043E-01   1.60435334E-01   1.75895629E-08   7.52931321E-04   5.03509834E-04   2.77150278E-05   5.81464280E-05   5.40821200E-06  
