# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               N2               Fe              
  34               1.79912571E-03   2.03486408E+03   7.99008537E-01   4.30457584E-02   1.56792397E-01   5.19136746E-04   3.63301342E-04   6.53223665E-05   5.94688377E-05   5.43617477E-05  
  35               2.01977866E-03   2.06234377E+03   7.94058929E-01   4.84299908E-02   1.56360911E-01   5.17709021E-04   3.61839123E-04   6.51397790E-05   5.93050265E-05   5.42118558E-05  
  36               2.26863819E-03   2.08935204E+03   7.88888752E-01   5.40541538E-02   1.55910204E-01   5.16217581E-04   3.60290176E-04   6.49490133E-05   5.91338923E-05   5.40552808E-05  
  37               2.54953738E-03   2.11594174E+03   7.83520089E-01   5.98942262E-02   1.55442199E-01   5.14668803E-04   3.58655998E-04   6.47508598E-05   5.89561588E-05   5.38926880E-05  
  38               2.86678583E-03   2.14224561E+03   7.77945253E-01   6.59585706E-02   1.54956226E-01   5.13060473E-04   3.56929511E-04   6.45450266E-05   5.87715638E-05   5.37238431E-05  
  39               3.22522406E-03   2.16828825E+03   7.72186627E-01   7.22228413E-02   1.54454233E-01   5.11399051E-04   3.55112768E-04   6.43323147E-05   5.85808388E-05   5.35494204E-05  
  40               3.63028917E-03   2.19414526E+03   7.66246033E-01   7.86850560E-02   1.53936378E-01   5.09685067E-04   3.53201768E-04   6.41127779E-05   5.83840334E-05   5.33694731E-05  
  41               4.08808313E-03   2.21980741E+03   7.60154952E-01   8.53109696E-02   1.53405406E-01   5.07927606E-04   3.51201891E-04   6.38875475E-05   5.81821774E-05   5.31849506E-05  
  42               4.60544162E-03   2.24534289E+03   7.53912679E-01   9.21013519E-02   1.52861252E-01   5.06126467E-04   3.49108692E-04   6.36565848E-05   5.79752326E-05   5.29958296E-05  
  43               5.19000322E-03   2.27074481E+03   7.47547306E-01   9.90256444E-02   1.52306365E-01   5.04289757E-04   3.46927094E-04   6.34208975E-05   5.77641124E-05   5.28029571E-05  
  44               5.85027598E-03   2.29609953E+03   7.41042999E-01   1.06101072E-01   1.51739364E-01   5.02412907E-04   3.44647876E-04   6.31798976E-05   5.75482716E-05   5.26058523E-05  
  45               6.59572010E-03   2.32137121E+03   7.34435686E-01   1.13286516E-01   1.51163186E-01   5.00505644E-04   3.42278799E-04   6.29347966E-05   5.73288029E-05   5.24055319E-05  
  46               7.43222335E-03   2.34649377E+03   7.27744042E-01   1.20556508E-01   1.50580217E-01   4.98575086E-04   3.46252455E-04   6.26866055E-05   5.71065413E-05   5.22028246E-05  
  47               8.37067364E-03   2.37144161E+03   7.21021363E-01   1.27869535E-01   1.49994164E-01   4.96635086E-04   3.43681004E-04   6.24368532E-05   5.68829518E-05   5.19990135E-05  
  48               9.42858574E-03   2.39641621E+03   7.14208388E-01   1.35280789E-01   1.49400233E-01   4.94668983E-04   3.41012444E-04   6.21835012E-05   5.66561277E-05   5.17924315E-05  
  49               1.06200467E-02   2.42137602E+03   7.07341359E-01   1.42750851E-01   1.48801584E-01   4.92687237E-04   3.38256818E-04   6.19278529E-05   5.64272235E-05   5.15841722E-05  
  50               1.19605103E-02   2.44639069E+03   7.00393768E-01   1.50308551E-01   1.48195905E-01   4.90682197E-04   3.35401201E-04   6.16689354E-05   5.61952991E-05   5.13734321E-05  
  51               1.34667676E-02   2.47155440E+03   6.93318874E-01   1.58004740E-01   1.47579120E-01   4.88640371E-04   3.32423980E-04   6.14050440E-05   5.59587244E-05   5.11587966E-05  
