# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H                CO              
  34               2.19160813E-01   2.15646671E+02   8.38431936E-01   1.60532394E-01   5.31572346E-04   1.17591785E-04   1.21776008E-04   2.29903479E-05   8.20276464E-49   4.05938801E-43  
  35               2.52536078E-01   2.25632502E+02   8.38232787E-01   1.60494264E-01   5.31446084E-04   3.55033217E-04   1.21747083E-04   2.29848871E-05   1.13663372E-46   1.19862448E-40  
  36               2.89498197E-01   2.35794034E+02   8.38073911E-01   1.60463844E-01   5.31345355E-04   5.92445461E-04   1.21724007E-04   2.29805306E-05   1.04140975E-44   6.74815741E-39  
  37               3.30656114E-01   2.45943273E+02   8.38073911E-01   1.60463844E-01   5.31345355E-04   7.81910472E-04   1.21724007E-04   2.29805306E-05   8.11774801E-43   3.26670100E-37  
  38               3.77444635E-01   2.56598542E+02   8.38073911E-01   1.60463844E-01   5.31345355E-04   7.81910472E-04   1.21724007E-04   2.29805306E-05   5.31784641E-41   1.35051811E-35  
  39               4.32013811E-01   2.67740329E+02   8.38073911E-01   1.60463844E-01   5.31345355E-04   7.81910472E-04   1.21724007E-04   2.29805306E-05   3.26916938E-39   5.28580649E-34  
  40               4.95639208E-01   2.79707194E+02   8.38073911E-01   1.60463844E-01   5.31345355E-04   7.81910472E-04   1.21724007E-04   2.29805306E-05   1.65968466E-37   1.74081451E-32  
  41               5.69770888E-01   2.92159424E+02   8.38073911E-01   1.60463844E-01   5.31345355E-04   7.81910472E-04   1.21724007E-04   2.29805306E-05   7.68402426E-36   5.28751995E-31  
  42               6.56106409E-01   3.05446909E+02   8.38073911E-01   1.60463844E-01   5.31345355E-04   7.81910463E-04   1.21724007E-04   2.29805306E-05   2.88134765E-34   1.32693402E-29  
  43               7.56608770E-01   3.19163853E+02   8.38073911E-01   1.60463844E-01   5.31345355E-04   7.81910430E-04   1.21724004E-04   2.29805306E-05   9.88538142E-33   3.07989624E-28  
