# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               Mg              
  1                1.00000000E-05   4.30044086E+02   8.38152706E-01   1.60443960E-01   3.81222793E-22   7.79725918E-04   1.49208751E-10   5.31279270E-04   6.07910610E-05   0.00000000E+00  
  2                1.23338056E-05   4.57730864E+02   8.38152753E-01   1.60443945E-01   1.39225690E-20   7.79733081E-04   3.56981887E-09   5.31274761E-04   6.08202403E-05   0.00000000E+00  
  3                1.50757414E-05   4.82843876E+02   8.38152891E-01   1.60443913E-01   2.51299644E-19   7.79678900E-04   4.41911803E-08   5.31227065E-04   6.08331344E-05   0.00000000E+00  
  4                1.83563126E-05   4.89049054E+02   8.38152914E-01   1.60443908E-01   4.55232718E-19   7.79661744E-04   5.86344619E-08   5.31211231E-04   6.08322615E-05   0.00000000E+00  
  5                2.23066270E-05   5.07137787E+02   8.38153278E-01   1.60443824E-01   2.82510653E-18   7.79419428E-04   2.60482982E-07   5.30988925E-04   6.08369990E-05   0.00000000E+00  
  6                2.70705756E-05   5.11073391E+02   8.38153265E-01   1.60443827E-01   3.82760373E-18   7.79421948E-04   2.61887498E-07   5.30989457E-04   6.08351260E-05   0.00000000E+00  
  7                3.28318765E-05   5.26853230E+02   8.38154114E-01   1.60443630E-01   1.63104476E-17   7.78799017E-04   8.10258426E-07   5.30403362E-04   6.08379127E-05   0.00000000E+00  
  8                3.98033826E-05   5.30131511E+02   8.38153998E-01   1.60443655E-01   2.01914367E-17   7.78878406E-04   7.47572806E-07   5.30474391E-04   6.08358005E-05   0.00000000E+00  
  9                4.82535652E-05   5.44915606E+02   8.38155701E-01   1.60443256E-01   7.07977598E-17   7.77597882E-04   1.91355505E-06   5.29250338E-04   6.08377139E-05   0.00000000E+00  
  10               5.84955237E-05   5.48033071E+02   8.38155375E-01   1.60443330E-01   8.47067889E-17   7.77836318E-04   1.70944506E-06   5.29471636E-04   6.08354738E-05   0.00000000E+00  
  11               7.09269230E-05   5.62243233E+02   8.38158385E-01   1.60442616E-01   2.60008831E-16   7.75554046E-04   3.83577625E-06   5.27266006E-04   6.08367935E-05   0.00000000E+00  
  12               8.60110450E-05   5.65309185E+02   8.38157670E-01   1.60442781E-01   3.04630232E-16   7.76087385E-04   3.35967031E-06   5.27770825E-04   6.08343993E-05   0.00000000E+00  
  13               1.04340653E-04   5.79109795E+02   8.38162437E-01   1.60441647E-01   8.42411217E-16   7.72472681E-04   6.78304617E-06   5.24249752E-04   6.08352085E-05   0.00000000E+00  
  14               1.26603691E-04   5.82048415E+02   8.38160995E-01   1.60441972E-01   9.62908411E-16   7.73536787E-04   5.80540792E-06   5.25270870E-04   6.08325745E-05   0.00000000E+00  
  15               1.53684289E-04   5.95549033E+02   8.38167779E-01   1.60440352E-01   2.44677380E-15   7.68390732E-04   1.07379423E-05   5.20228684E-04   6.08329110E-05   0.00000000E+00  
  16               1.86601342E-04   5.98459527E+02   8.38165409E-01   1.60440905E-01   2.75559661E-15   7.70170956E-04   9.07179245E-06   5.21952335E-04   6.08300034E-05   0.00000000E+00  
  17               2.26670105E-04   6.11866717E+02   8.38174459E-01   1.60438736E-01   6.58390716E-15   7.63308011E-04   1.57093647E-05   5.15198140E-04   6.08299144E-05   0.00000000E+00  
  18               2.75399900E-04   6.14754235E+02   8.38170733E-01   1.60439563E-01   7.31782910E-15   7.66025005E-04   1.31315866E-05   5.17846272E-04   6.08266518E-05   0.00000000E+00  
  19               3.34749018E-04   6.28083980E+02   8.38181962E-01   1.60436865E-01   1.65452815E-14   7.57512930E-04   2.14214414E-05   5.09440216E-04   6.08261288E-05   0.00000000E+00  
  20               4.06979438E-04   6.30877125E+02   8.38176731E-01   1.60438087E-01   1.80825146E-14   7.61428046E-04   1.76679390E-05   5.13275717E-04   6.08223992E-05   0.00000000E+00  
  21               4.95017603E-04   6.44197380E+02   8.38189853E-01   1.60434928E-01   3.90391874E-14   7.51484667E-04   2.74037210E-05   5.03429813E-04   6.08214569E-05   0.00000000E+00  
  22               6.02224867E-04   6.46907549E+02   8.38182956E-01   1.60436580E-01   4.20440162E-14   7.56707506E-04   2.23571505E-05   5.08566243E-04   6.08171123E-05   0.00000000E+00  
  23               7.32925682E-04   6.60343684E+02   8.38197726E-01   1.60433019E-01   8.76557759E-14   7.45518857E-04   3.33576201E-05   4.97463998E-04   6.08157802E-05   0.00000000E+00  
  24               8.92107215E-04   6.63097444E+02   8.38189114E-01   1.60435009E-01   9.38516422E-14   7.51903806E-04   2.71522289E-05   5.03761361E-04   6.08106639E-05   0.00000000E+00  
  25               1.08616644E-03   6.76830555E+02   8.38205584E-01   1.60431032E-01   1.91325213E-13   7.39430879E-04   3.94550669E-05   4.91364141E-04   6.08089739E-05   0.00000000E+00  
  26               1.32249015E-03   6.79717205E+02   8.38195778E-01   1.60433389E-01   2.04753778E-13   7.46850172E-04   3.22119586E-05   4.98698037E-04   6.08029555E-05   0.00000000E+00  
  27               1.61053658E-03   6.93842359E+02   8.38213976E-01   1.60428990E-01   4.10402097E-13   7.33071852E-04   4.58380475E-05   4.84984497E-04   6.08009017E-05   0.00000000E+00  
  28               1.96124417E-03   6.96993697E+02   8.38203102E-01   1.60431608E-01   4.42032881E-13   7.41297964E-04   3.77787502E-05   4.93130267E-04   6.07938255E-05   0.00000000E+00  
  29               2.38861762E-03   7.11596410E+02   8.38223161E-01   1.60426754E-01   8.74436962E-13   7.26113038E-04   5.28287283E-05   4.77999002E-04   6.07913842E-05   0.00000000E+00  
  30               2.90883975E-03   7.15136269E+02   8.38211505E-01   1.60429562E-01   9.52949097E-13   7.34926797E-04   4.41691616E-05   4.86738959E-04   6.07831126E-05   0.00000000E+00  
  31               3.54276734E-03   7.30409417E+02   8.38234017E-01   1.60424110E-01   1.87577260E-12   7.17887445E-04   6.10880327E-05   4.69742673E-04   6.07802980E-05   0.00000000E+00  
  32               4.31446876E-03   7.34607978E+02   8.38222242E-01   1.60426948E-01   2.09204882E-12   7.26786411E-04   5.23265405E-05   4.78575966E-04   6.07708134E-05   0.00000000E+00  
  33               5.25529895E-03   7.50737921E+02   8.38248069E-01   1.60420686E-01   4.12034750E-12   7.07237029E-04   7.17692369E-05   4.59058049E-04   6.07676154E-05   0.00000000E+00  
  34               6.40125121E-03   7.55852777E+02   8.38236834E-01   1.60423391E-01   4.74292739E-12   7.15719105E-04   6.34068020E-05   4.67482475E-04   6.07569626E-05   0.00000000E+00  
  35               7.80118987E-03   7.73244904E+02   8.38267869E-01   1.60415857E-01   9.47073745E-12   6.92220241E-04   8.68117460E-05   4.44001359E-04   6.07534653E-05   0.00000000E+00  
  36               9.51151316E-03   7.79705876E+02   8.38258445E-01   1.60418113E-01   1.14024882E-11   6.99311961E-04   7.98208392E-05   4.51042463E-04   6.07418541E-05   0.00000000E+00  
  37               1.16104446E-02   7.98651691E+02   8.38296445E-01   1.60408865E-01   2.31694986E-11   6.70509902E-04   1.08550435E-04   4.22236292E-04   6.07379735E-05   0.00000000E+00  
  38               1.41880182E-02   8.06884017E+02   8.38290376E-01   1.60410272E-01   2.94373762E-11   6.75001705E-04   1.04143828E-04   4.26680410E-04   6.07255902E-05   0.00000000E+00  
  39               1.73740894E-02   8.27867617E+02   8.38337477E-01   1.60398746E-01   6.13496899E-11   6.39189536E-04   1.39921628E-04   3.90827411E-04   6.07212726E-05   0.00000000E+00  
  40               2.13185574E-02   8.38300180E+02   8.38336359E-01   1.60398826E-01   8.26261086E-11   6.39721518E-04   1.39468843E-04   3.91305598E-04   6.07081933E-05   0.00000000E+00  
  41               2.62414443E-02   8.61679228E+02   8.38392334E-01   1.60384924E-01   1.76294371E-10   5.96740460E-04   1.82483960E-04   3.48223209E-04   6.07032325E-05   0.00000000E+00  
  42               3.24025851E-02   8.74801924E+02   8.38397986E-01   1.60383313E-01   2.52248314E-10   5.92087013E-04   1.87229202E-04   3.43493741E-04   6.06894435E-05   0.00000000E+00  
  43               4.01788930E-02   9.00981038E+02   8.38460564E-01   1.60367714E-01   5.48984911E-10   5.43976374E-04   2.35481461E-04   2.95189347E-04   6.06837542E-05   0.00000000E+00  
  44               5.00230477E-02   9.17165117E+02   8.38473135E-01   1.60364630E-01   8.29431453E-10   5.34482421E-04   2.45103782E-04   2.85578003E-04   6.06691016E-05   0.00000000E+00  
  45               6.25836405E-02   9.46832448E+02   8.38538996E-01   1.60348565E-01   1.84505872E-09   4.84752814E-04   2.95103993E-04   2.35543154E-04   6.06629839E-05   0.00000000E+00  
  46               7.86918207E-02   9.66928566E+02   8.38557307E-01   1.60344071E-01   2.95659372E-09   4.70933086E-04   3.09105484E-04   2.21549564E-04   6.06475646E-05   0.00000000E+00  
  47               9.94707352E-02   1.00091139E+03   8.38619020E-01   1.60328986E-01   6.71947486E-09   4.24361895E-04   3.56044176E-04   1.74591090E-04   6.06412617E-05   1.49796829E-15  
  48               1.26375888E-01   1.02594187E+03   8.38640550E-01   1.60323697E-01   1.14391427E-08   4.08117577E-04   3.72513885E-04   1.58127307E-04   6.06253941E-05   5.72917333E-15  
  49               1.61232134E-01   1.06547232E+03   8.38693106E-01   1.60310826E-01   2.66543561E-08   3.68464062E-04   4.12551441E-04   1.18079417E-04   6.06195269E-05   4.88495933E-14  
  50               2.06297262E-01   1.09622579E+03   8.38713714E-01   1.60305754E-01   4.76985583E-08   3.52900614E-04   4.28334639E-04   1.02300535E-04   6.06037205E-05   2.09855701E-13  
  51               2.63955990E-01   1.14179263E+03   8.38752802E-01   1.60296154E-01   1.11899764E-07   3.23363925E-04   4.58177191E-04   7.24529426E-05   6.05987289E-05   1.77299862E-12  
  52               3.37108887E-01   1.17852932E+03   8.38769091E-01   1.60292116E-01   2.06000497E-07   3.10988892E-04   4.70719939E-04   5.99128576E-05   6.05838601E-05   8.03486149E-12  
  53               4.28244290E-01   1.22932525E+03   8.38793557E-01   1.60286024E-01   4.68732312E-07   2.92315410E-04   4.89589910E-04   4.10406851E-05   6.05795643E-05   6.07781970E-11  
  54               5.40027781E-01   1.27022680E+03   8.38803300E-01   1.60283487E-01   8.44223104E-07   2.84642388E-04   4.97372443E-04   3.32595014E-05   6.05652771E-05   2.55444334E-10  
  55               6.74208243E-01   1.32425465E+03   8.38815961E-01   1.60280027E-01   1.79378226E-06   2.74336198E-04   5.07830382E-04   2.28000918E-05   6.05610677E-05   1.58199664E-09  
  56               8.32549302E-01   1.36755662E+03   8.38819705E-01   1.60278440E-01   3.07467770E-06   2.70231176E-04   5.12135795E-04   1.84938564E-05   6.05472806E-05   5.78334207E-09  
  57               1.01613442E+00   1.42384245E+03   8.38822330E-01   1.60276148E-01   6.07012687E-06   2.65474737E-04   5.17781230E-04   1.28449296E-05   6.05432830E-05   2.91862399E-08  
  58               1.22685961E+00   1.46965800E+03   8.38803908E-01   1.60271856E-01   9.97847133E-06   2.64586959E-04   5.20249713E-04   1.03625724E-05   6.05295927E-05   9.45567683E-08  
  59               1.45910312E+00   1.52856553E+03   8.38780116E-01   1.60269748E-01   1.85911614E-05   2.82432160E-04   5.23861629E-04   6.74163154E-06   6.05281893E-05   2.31702891E-07  
  60               1.70682789E+00   1.57677388E+03   8.38766727E-01   1.60267724E-01   2.95364561E-05   2.82495923E-04   5.25247239E-04   5.34794013E-06   6.05195856E-05   1.19374170E-06  
  61               1.96536866E+00   1.63755362E+03   8.38720985E-01   1.60262093E-01   5.20838870E-05   2.91090625E-04   5.26949790E-04   3.62498852E-06   6.05198883E-05   7.84998743E-06  
  62               2.21261451E+00   1.69029111E+03   8.38630151E-01   1.60252943E-01   8.22979631E-05   3.21623027E-04   5.28066868E-04   2.47438841E-06   6.05184780E-05   2.82588868E-05  
  63               2.42484861E+00   1.73161235E+03   8.38500275E-01   1.60241818E-01   1.15323622E-04   3.78675010E-04   5.28781805E-04   1.71788207E-06   6.05163796E-05   6.56034016E-05  
  64               2.60055281E+00   1.76397700E+03   8.38470064E-01   1.60239085E-01   1.48502569E-04   3.78370725E-04   5.29008698E-04   1.48119278E-06   6.05143495E-05   6.55286944E-05  
  65               2.74130170E+00   1.78829992E+03   8.38442793E-01   1.60236645E-01   1.78360810E-04   3.78172784E-04   5.29146412E-04   1.33453720E-06   6.05121544E-05   6.54701880E-05  
  66               2.90431477E+00   1.81561373E+03   8.38406689E-01   1.60233436E-01   2.17819116E-04   3.77971950E-04   5.29277432E-04   1.19169552E-06   6.05094059E-05   6.54030378E-05  
  67               3.09199170E+00   1.84513121E+03   8.38328971E-01   1.60223334E-01   2.68275277E-04   3.77766396E-04   5.29371092E-04   1.06293200E-06   6.05033222E-05   6.53250085E-05  
  68               3.23876057E+00   1.86758935E+03   8.38287934E-01   1.60219727E-01   3.13004077E-04   3.77637113E-04   5.29443814E-04   9.76830166E-07   6.05002028E-05   6.52663974E-05  
  69               3.34838394E+00   1.88349274E+03   8.38255677E-01   1.60216892E-01   3.48157883E-04   3.77546811E-04   5.29486713E-04   9.23370072E-07   6.04975657E-05   6.52234584E-05  
  70               3.47751384E+00   1.90211003E+03   8.38213985E-01   1.60213232E-01   3.93565604E-04   3.77450951E-04   5.29531707E-04   8.64814763E-07   6.04944521E-05   6.51728883E-05  
  71               3.62858577E+00   1.92273802E+03   8.38162813E-01   1.60208746E-01   4.49271636E-04   3.77355084E-04   5.29572038E-04   8.07818187E-07   6.04904246E-05   6.51149100E-05  
  72               3.80412420E+00   1.94624974E+03   8.38097142E-01   1.60202993E-01   5.20720967E-04   3.77256363E-04   5.29610025E-04   7.48575326E-07   6.04856085E-05   6.50478859E-05  
  73               4.00605522E+00   1.97175558E+03   8.38016672E-01   1.60195954E-01   6.08217762E-04   3.77188582E-04   5.29639566E-04   6.93021126E-07   6.04795716E-05   6.49724153E-05  
  74               4.23741044E+00   2.00009298E+03   8.37914526E-01   1.60187025E-01   7.19396181E-04   3.77058589E-04   5.29661738E-04   6.38029280E-07   6.04723453E-05   6.48867618E-05  
