# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(s)           Ar              
  1                1.00000000E-05   2.76324147E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.20678054E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  2                4.71018166E-04   3.63450861E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.65022011E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  3                1.01241952E-03   3.98484724E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.55712823E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  4                1.64858157E-03   4.22177471E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.45302733E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  5                2.39572547E-03   4.44096962E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.37901931E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  6                3.27203983E-03   4.60763231E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.09852722E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  7                4.29918838E-03   4.81405404E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.77916507E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  8                5.50144631E-03   4.97141584E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.64428276E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  9                6.90621991E-03   5.18530364E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.10535553E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  10               8.54635731E-03   5.32923419E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.30272871E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  11               1.04579991E-02   5.54092542E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.70980646E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  12               1.26807958E-02   5.71597319E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.12499480E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  13               1.52607946E-02   5.86365301E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.18900521E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  14               1.82514769E-02   6.05986114E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.24196212E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  15               2.17143352E-02   6.22193290E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.29000094E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  16               2.57196447E-02   6.43417724E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.20569568E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  17               3.03452416E-02   6.61825140E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.23863273E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  18               3.56835551E-02   6.84326403E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.26923221E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  19               4.18460139E-02   7.05655353E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.29846224E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  20               4.89673664E-02   7.31696590E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.32711932E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  21               5.72047015E-02   7.58327607E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.34570435E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  22               6.67561189E-02   7.91379292E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.37629631E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  23               7.78907455E-02   8.26601794E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.40973535E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  24               9.09531798E-02   8.65507627E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.44815035E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  25               1.06323761E-01   9.08540177E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.49436066E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  26               1.24426538E-01   9.55349685E+01   8.38832078E-01   1.60608802E-01   5.31825356E-04   1.55218222E-18   4.03270696E-09   2.30000364E-05   0.00000000E+00   4.22443194E-06  
  27               1.45786303E-01   1.00410024E+02   8.38832061E-01   1.60608799E-01   5.31825345E-04   8.74887576E-19   4.05533606E-09   2.30000360E-05   1.44034072E-17   4.22443185E-06  
  28               1.71047363E-01   1.05741547E+02   8.38831977E-01   1.60608783E-01   5.31825292E-04   1.55201532E-17   2.38668754E-08   2.30000337E-05   2.10547175E-16   4.22443143E-06  
  29               2.00936626E-01   1.11292023E+02   8.38831558E-01   1.60608703E-01   5.31825027E-04   2.29430987E-16   1.24699632E-07   2.30000222E-05   2.93055082E-15   4.22442932E-06  
  30               2.36038170E-01   1.17313261E+02   8.38829890E-01   1.60608383E-01   5.31823969E-04   3.19441333E-15   6.25330197E-07   2.29999764E-05   3.00957892E-14   4.22442092E-06  
  31               2.75655712E-01   1.23288087E+02   8.38824627E-01   1.60607376E-01   5.31820632E-04   3.35348311E-14   2.61886626E-06   2.29998321E-05   2.16085843E-13   4.22439442E-06  
  32               3.15475534E-01   1.28917309E+02   8.38803258E-01   1.60603284E-01   5.31807084E-04   2.51899531E-13   8.91321183E-06   2.29992462E-05   2.10132986E-12   4.22428680E-06  
  33               3.45913843E-01   1.32762365E+02   8.38803258E-01   1.60603284E-01   5.31807084E-04   2.35322939E-12   3.43609685E-05   2.29992462E-05   0.00000000E+00   4.22428680E-06  
