# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               N2               Fe              
  1                1.00000000E-05   1.14179788E+03   8.38808795E-01   1.81823886E-05   1.60266970E-01   5.30553329E-04   2.52065510E-04   6.00546048E-08   6.07873241E-05   6.42821587E-07  
  2                1.83221669E-05   1.21706045E+03   8.38679657E-01   5.74858063E-05   1.60250204E-01   5.30513764E-04   2.76944465E-04   6.50508885E-07   6.07809629E-05   4.82260743E-06  
  3                2.50087259E-05   1.37094034E+03   8.38037039E-01   5.88693962E-04   1.60196674E-01   5.30342130E-04   3.76874689E-04   6.67772433E-05   6.07606622E-05   5.55453256E-05  
  4                3.03447633E-05   1.33810924E+03   8.38274706E-01   3.29959391E-04   1.60217576E-01   5.30402894E-04   3.77385022E-04   6.67858115E-05   6.07685872E-05   5.55525699E-05  
  5                3.61989203E-05   1.44229814E+03   8.37387884E-01   1.29518278E-03   1.60139750E-01   5.30168751E-04   3.75968371E-04   6.67526574E-05   6.07390700E-05   5.55255286E-05  
  6                4.26221414E-05   1.40240329E+03   8.37933710E-01   7.01108414E-04   1.60187641E-01   5.30319305E-04   3.76713286E-04   6.67724399E-05   6.07572321E-05   5.55421349E-05  
  7                4.98620685E-05   1.49689798E+03   8.36570658E-01   2.18444828E-03   1.60068213E-01   5.29941148E-04   3.75220822E-04   6.67219980E-05   6.07119344E-05   5.55006606E-05  
  8                5.80025130E-05   1.45576918E+03   8.37459813E-01   1.21682601E-03   1.60146109E-01   5.30192190E-04   3.76094106E-04   6.67542159E-05   6.07414772E-05   5.55276714E-05  
  9                6.71967692E-05   1.54736437E+03   8.35462566E-01   3.39008513E-03   1.59971327E-01   5.29627552E-04   3.74493277E-04   6.66806928E-05   6.06751836E-05   5.54669933E-05  
  10               7.75038544E-05   1.50797342E+03   8.36739209E-01   2.00089250E-03   1.60083028E-01   5.29991826E-04   3.75428396E-04   6.67269224E-05   6.07175490E-05   5.55057242E-05  
  11               8.89528571E-05   1.60060862E+03   8.33736204E-01   5.26811831E-03   1.59820514E-01   5.29134638E-04   3.73706022E-04   6.66167935E-05   6.06179766E-05   5.54146118E-05  
  12               1.01186112E-04   1.56831563E+03   8.35370710E-01   3.48972999E-03   1.59963367E-01   5.29603806E-04   3.74588340E-04   6.66759411E-05   6.06721591E-05   5.54641394E-05  
  13               1.14727779E-04   1.64988006E+03   8.31517877E-01   7.68147695E-03   1.59626866E-01   5.28498573E-04   3.72817064E-04   6.65349632E-05   6.05445201E-05   5.53473686E-05  
  14               1.29520250E-04   1.61877544E+03   8.33725893E-01   5.27924703E-03   1.59819689E-01   5.29133855E-04   3.73764631E-04   6.66148933E-05   6.06176579E-05   5.54142203E-05  
  15               1.46292952E-04   1.69147303E+03   8.29223134E-01   1.01778740E-02   1.59426647E-01   5.27839414E-04   3.72034559E-04   6.64502759E-05   6.04685683E-05   5.52778387E-05  
  16               1.65268125E-04   1.66085068E+03   8.32018966E-01   7.13624006E-03   1.59670686E-01   5.28644687E-04   3.73071861E-04   6.65514832E-05   6.05611346E-05   5.53624444E-05  
  17               1.86815337E-04   1.73246424E+03   8.26495220E-01   1.31454435E-02   1.59188703E-01   5.27054878E-04   3.71188705E-04   6.63496569E-05   6.03783027E-05   5.51952092E-05  
  18               2.11221209E-04   1.70346790E+03   8.29857966E-01   9.48715452E-03   1.59482121E-01   5.28024095E-04   3.72306778E-04   6.64713608E-05   6.04896018E-05   5.52969297E-05  
  19               2.38943978E-04   1.77468604E+03   8.23094197E-01   1.68452024E-02   1.58892105E-01   5.26075870E-04   3.70195595E-04   6.62243441E-05   6.02657825E-05   5.50922189E-05  
  20               2.70333121E-04   1.74816824E+03   8.27010787E-01   1.25844844E-02   1.59233754E-01   5.27205230E-04   3.71395552E-04   6.63660454E-05   6.03953806E-05   5.52106532E-05  
  21               3.05954561E-04   1.81955563E+03   8.18665719E-01   2.16626176E-02   1.58505961E-01   5.24800199E-04   3.68947862E-04   6.60614195E-05   6.01192839E-05   5.49581499E-05  
  22               3.46210778E-04   1.79682338E+03   8.23043133E-01   1.69006642E-02   1.58887725E-01   5.26062852E-04   3.70213079E-04   6.62197062E-05   6.02641046E-05   5.50904795E-05  
  23               3.91769363E-04   1.86965605E+03   8.12406385E-01   2.84716405E-02   1.57960231E-01   5.22996086E-04   3.67214815E-04   6.58316437E-05   5.99122285E-05   5.47687103E-05  
  24               4.42976379E-04   1.85490618E+03   8.16600021E-01   2.39096669E-02   1.58325903E-01   5.24206090E-04   3.68380526E-04   6.59830362E-05   6.00509515E-05   5.48954369E-05  
  25               4.99901561E-04   1.95446665E+03   7.95431097E-01   4.69375794E-02   1.56480353E-01   5.18100088E-04   3.62530237E-04   6.52120092E-05   5.93506990E-05   5.42552914E-05  
  26               5.60894875E-04   1.97849118E+03   7.90474483E-01   5.23294166E-02   1.56048276E-01   5.16670441E-04   3.61130535E-04   6.50305615E-05   5.91867197E-05   5.41053441E-05  
  27               6.30105922E-04   2.00241895E+03   7.85241067E-01   5.80223560E-02   1.55592075E-01   5.15160857E-04   3.59632339E-04   6.48389651E-05   5.90135699E-05   5.39470223E-05  
  28               7.08661327E-04   2.02612260E+03   7.79794751E-01   6.39468853E-02   1.55117320E-01   5.13589776E-04   3.58048974E-04   6.46395368E-05   5.88333597E-05   5.37822565E-05  
  29               7.97847307E-04   2.04979531E+03   7.74086306E-01   7.01565573E-02   1.54619717E-01   5.11942998E-04   3.56361878E-04   6.44304811E-05   5.86444555E-05   5.36095574E-05  
  30               8.99148379E-04   2.07326410E+03   7.68206443E-01   7.65526974E-02   1.54107172E-01   5.10246698E-04   3.54592623E-04   6.42150879E-05   5.84498534E-05   5.34316658E-05  
  31               1.01425268E-03   2.09675328E+03   7.62085371E-01   8.32112247E-02   1.53573602E-01   5.08480740E-04   3.52716369E-04   6.39908137E-05   5.82472380E-05   5.32464708E-05  
  32               1.14507961E-03   2.12005013E+03   7.55841068E-01   9.00038046E-02   1.53029289E-01   5.06679170E-04   3.50763668E-04   6.37619379E-05   5.80405066E-05   5.30575373E-05  
  33               1.29380563E-03   2.14343181E+03   7.49367753E-01   9.70455052E-02   1.52465012E-01   5.04811464E-04   3.48698322E-04   6.35246094E-05   5.78261503E-05   5.28616664E-05  
  34               1.46289587E-03   2.16667488E+03   7.42796536E-01   1.04193706E-01   1.51892198E-01   5.02915458E-04   3.46555969E-04   6.32835835E-05   5.76084999E-05   5.26628200E-05  
  35               1.65513707E-03   2.19007570E+03   7.35995229E-01   1.11592202E-01   1.51299323E-01   5.00953005E-04   3.44290947E-04   6.30340499E-05   5.73831682E-05   5.24570010E-05  
  36               1.87368058E-03   2.21334751E+03   7.29137221E-01   1.19052381E-01   1.50701502E-01   4.98974144E-04   3.41953638E-04   6.27822987E-05   5.71558838E-05   5.22494490E-05  
  37               2.12208299E-03   2.23680636E+03   7.22065143E-01   1.26745430E-01   1.50085015E-01   4.96933459E-04   3.39488897E-04   6.25226053E-05   5.69214204E-05   5.20354058E-05  
  38               2.40435652E-03   2.26011818E+03   7.14991995E-01   1.34439648E-01   1.49468430E-01   4.94892422E-04   3.36962483E-04   6.22626968E-05   5.66868167E-05   5.18213082E-05  
  39               2.72501143E-03   2.28366189E+03   7.07708160E-01   1.42363056E-01   1.48833472E-01   4.92790536E-04   3.34300085E-04   6.19949516E-05   5.64451070E-05   5.16008188E-05  
  40               3.08910750E-03   2.30708587E+03   7.00446252E-01   1.50260624E-01   1.48200229E-01   4.90694305E-04   3.31576755E-04   6.17277282E-05   5.62039052E-05   5.13809009E-05  
  41               3.49987786E-03   2.33065399E+03   6.93005484E-01   1.58345721E-01   1.47551931E-01   4.88547422E-04   3.34946706E-04   6.14540547E-05   5.59567471E-05   5.11557413E-05  
  42               3.96320022E-03   2.35398618E+03   6.85671651E-01   1.66323585E-01   1.46912589E-01   4.86430974E-04   3.32001971E-04   6.11839205E-05   5.57128525E-05   5.09336637E-05  
  43               4.48856924E-03   2.37763781E+03   6.78127788E-01   1.74529931E-01   1.46254929E-01   4.84253863E-04   3.28900027E-04   6.09059365E-05   5.54617438E-05   5.07052078E-05  
  44               5.08380313E-03   2.40115309E+03   6.70698352E-01   1.82611808E-01   1.45607235E-01   4.82109735E-04   3.25759919E-04   6.06318705E-05   5.52141470E-05   5.04801789E-05  
  45               5.75757219E-03   2.42501042E+03   6.63056137E-01   1.90925157E-01   1.44940982E-01   4.79904147E-04   3.22452413E-04   6.03498383E-05   5.49591351E-05   5.02486854E-05  
  46               6.51946507E-03   2.44872507E+03   6.55556732E-01   1.99083164E-01   1.44287168E-01   4.77739733E-04   3.19114516E-04   6.00727349E-05   5.47084627E-05   5.00214737E-05  
  47               7.38005649E-03   2.47279811E+03   6.47841463E-01   2.07476000E-01   1.43614525E-01   4.75512966E-04   3.15599337E-04   5.97875381E-05   5.44501134E-05   4.97877011E-05  
  48               8.34854155E-03   2.49664043E+03   6.40329041E-01   2.15648183E-01   1.42959554E-01   4.73344702E-04   3.12077830E-04   5.95094432E-05   5.41979424E-05   4.95600232E-05  
  49               9.43782335E-03   2.52079598E+03   6.32625196E-01   2.24028609E-01   1.42287884E-01   4.71121136E-04   3.08383071E-04   5.92241380E-05   5.39386890E-05   4.93265215E-05  
  50               1.06622811E-02   2.54471205E+03   6.25165015E-01   2.32143981E-01   1.41637444E-01   4.68967856E-04   3.04700705E-04   5.89473889E-05   5.36867478E-05   4.91003445E-05  
  51               1.20378258E-02   2.56888746E+03   6.17578018E-01   2.40397313E-01   1.40975936E-01   4.66777921E-04   3.00868817E-04   5.86657503E-05   5.34295720E-05   4.88702926E-05  
  52               1.35819197E-02   2.59286080E+03   6.10233856E-01   2.48386492E-01   1.40335588E-01   4.64658035E-04   2.97053290E-04   5.83926102E-05   5.31793622E-05   4.86475363E-05  
  53               1.53137328E-02   2.61707391E+03   6.02795447E-01   2.56478204E-01   1.39687009E-01   4.62510893E-04   2.93101515E-04   5.81157395E-05   5.29245774E-05   4.84218859E-05  
  54               1.72541890E-02   2.64109184E+03   5.95613440E-01   2.64291001E-01   1.39060774E-01   4.60437718E-04   2.89178785E-04   5.78478322E-05   5.26767664E-05   4.82039374E-05  
  55               1.94260118E-02   2.66543367E+03   5.88280094E-01   2.72268436E-01   1.38421330E-01   4.58320806E-04   2.85092494E-04   5.75741074E-05   5.24218351E-05   4.79813658E-05  
  56               2.18537181E-02   2.68968257E+03   5.81130004E-01   2.80046526E-01   1.37797852E-01   4.56256745E-04   2.81005659E-04   5.73066751E-05   5.21707319E-05   4.77642820E-05  
  57               2.45636841E-02   2.71437050E+03   5.73737038E-01   2.88088829E-01   1.37153183E-01   4.54122517E-04   2.76707096E-04   5.70301018E-05   5.19084419E-05   4.75398061E-05  
  58               2.75842553E-02   2.73898130E+03   5.66515074E-01   2.95945115E-01   1.36523412E-01   4.52037603E-04   2.72405455E-04   5.67593648E-05   5.16485286E-05   4.73204451E-05  
  59               3.09459930E-02   2.76397600E+03   5.59092317E-01   3.04019835E-01   1.35876118E-01   4.49894667E-04   2.67910368E-04   5.64810078E-05   5.13774634E-05   4.70949619E-05  
  60               3.46818047E-02   2.78879698E+03   5.51917996E-01   3.11824299E-01   1.35250474E-01   4.47823397E-04   2.63459389E-04   5.62112768E-05   5.11100149E-05   4.68769312E-05  
  61               3.88272088E-02   2.81391243E+03   5.44614478E-01   3.19769310E-01   1.34613550E-01   4.45714770E-04   2.58854671E-04   5.59365118E-05   5.08320111E-05   4.66549400E-05  
  62               4.34204873E-02   2.83875670E+03   5.37638135E-01   3.27358406E-01   1.34005142E-01   4.43700544E-04   2.54348853E-04   5.56732024E-05   5.05585387E-05   4.64427780E-05  
  63               4.85029878E-02   2.86383617E+03   5.30581447E-01   3.35034901E-01   1.33389715E-01   4.41663062E-04   2.49722768E-04   5.54066163E-05   5.02737901E-05   4.62281296E-05  
  64               5.41192018E-02   2.88862455E+03   5.23867804E-01   3.42338212E-01   1.32804190E-01   4.39724565E-04   2.45220001E-04   5.51520367E-05   4.99917712E-05   4.60237867E-05  
  65               6.03169696E-02   2.91369704E+03   5.17036320E-01   3.49769708E-01   1.32208376E-01   4.37751983E-04   2.40583791E-04   5.48928173E-05   4.96938169E-05   4.58158222E-05  
  66               6.71475720E-02   2.93852832E+03   5.10507125E-01   3.56872349E-01   1.31638912E-01   4.35866618E-04   2.36062217E-04   5.46441116E-05   4.93938272E-05   4.56169285E-05  
  67               7.46661423E-02   2.96370355E+03   5.03815468E-01   3.64151708E-01   1.31055267E-01   4.33934280E-04   2.31387936E-04   5.43891520E-05   4.90716009E-05   4.54130633E-05  
  68               8.29318570E-02   2.98868252E+03   4.97390693E-01   3.71140723E-01   1.30494885E-01   4.32078934E-04   2.26820330E-04   5.41434106E-05   4.87414020E-05   4.52171961E-05  
  69               9.20085649E-02   3.01403884E+03   4.90783125E-01   3.78328563E-01   1.29918550E-01   4.30170736E-04   2.22093797E-04   5.38906818E-05   4.83817402E-05   4.50157417E-05  
  70               1.01963385E-01   3.03919745E+03   4.84444108E-01   3.85224237E-01   1.29365624E-01   4.28340005E-04   2.17487287E-04   5.36472150E-05   4.80079728E-05   4.48223328E-05  
  71               1.12868013E-01   3.06470745E+03   4.77946832E-01   3.92292036E-01   1.28798884E-01   4.26463497E-04   2.12743782E-04   5.33976476E-05   4.75973055E-05   4.46240766E-05  
  72               1.24800798E-01   3.08997820E+03   4.71750794E-01   3.99032099E-01   1.28258404E-01   4.24673885E-04   2.08153484E-04   5.31584979E-05   4.71661137E-05   4.44348497E-05  
  73               1.37847698E-01   3.11558508E+03   4.65418458E-01   4.05920386E-01   1.27706026E-01   4.22844823E-04   2.03447942E-04   5.29140309E-05   4.66882931E-05   4.42414365E-05  
  74               1.52102825E-01   3.14094027E+03   4.59403283E-01   4.12463601E-01   1.27181299E-01   4.21107246E-04   1.98918469E-04   5.26805189E-05   4.61810090E-05   4.40575282E-05  
