# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               NH3              N2              
  1                1.00000000E-05   1.62680611E+02   8.38073944E-01   1.60463844E-01   1.45218154E-04   5.31345356E-04   1.34076871E-65   5.29517241E-52   1.21724008E-04   6.95842012E-17  
  2                2.60413500E-05   2.02275286E+02   8.38073944E-01   1.60463844E-01   7.81879291E-04   5.31345356E-04   3.71771492E-52   1.66031911E-39   1.21724002E-04   2.71661050E-12  
  3                4.27663829E-05   2.11888533E+02   8.38073944E-01   1.60463844E-01   7.81879291E-04   5.31345356E-04   1.02161456E-49   1.42177520E-37   1.21723986E-04   1.06880580E-11  
  4                6.22635517E-05   2.25199085E+02   8.38073944E-01   1.60463844E-01   7.81879291E-04   5.31345356E-04   1.24778142E-46   5.94792217E-35   1.21723814E-04   9.69146850E-11  
  5                8.51052281E-05   2.26810848E+02   8.38073944E-01   1.60463844E-01   7.81879291E-04   5.31345356E-04   2.43658663E-46   6.87085225E-35   1.21723863E-04   7.25722921E-11  
  6                1.11918339E-04   2.37296107E+02   8.38073945E-01   1.60463844E-01   7.81879290E-04   5.31345356E-04   3.47586351E-44   4.62128892E-33   1.21723336E-04   3.35807616E-10  
  7                1.43400724E-04   2.38383650E+02   8.38073944E-01   1.60463844E-01   7.81879291E-04   5.31345356E-04   5.07859213E-44   4.50407211E-33   1.21723505E-04   2.51308477E-10  
  8                1.80387457E-04   2.48221219E+02   8.38073945E-01   1.60463844E-01   7.81879289E-04   5.31345355E-04   3.51371935E-42   1.66703169E-31   1.21722114E-04   9.46970536E-10  
  9                2.23833812E-04   2.49438193E+02   8.38073945E-01   1.60463844E-01   7.81879290E-04   5.31345355E-04   5.27681724E-42   1.75294093E-31   1.21722487E-04   7.60061730E-10  
  10               2.74882763E-04   2.59057712E+02   8.38073947E-01   1.60463844E-01   7.81879287E-04   5.31345353E-04   2.34701206E-40   4.49032313E-30   1.21718975E-04   2.51615480E-09  
  11               3.34854578E-04   2.60385022E+02   8.38073947E-01   1.60463844E-01   7.81879288E-04   5.31345354E-04   3.55997268E-40   4.90796589E-30   1.21719810E-04   2.09846053E-09  
  12               4.05327514E-04   2.69802813E+02   8.38073952E-01   1.60463842E-01   7.81879281E-04   5.31345350E-04   1.08349440E-38   9.07369576E-29   1.21711721E-04   6.14285663E-09  
  13               4.88136728E-04   2.71060155E+02   8.38073951E-01   1.60463843E-01   7.81879283E-04   5.31345351E-04   1.54900214E-38   9.55654749E-29   1.21713791E-04   5.10795186E-09  
  14               5.85472970E-04   2.80149143E+02   8.38073962E-01   1.60463840E-01   7.81879270E-04   5.31345342E-04   3.25423573E-37   1.27288506E-27   1.21697767E-04   1.31187241E-08  
  15               6.99890442E-04   2.81141939E+02   8.38073958E-01   1.60463841E-01   7.81879274E-04   5.31345345E-04   4.14127015E-37   1.21607301E-27   1.21702926E-04   1.05395232E-08  
  16               8.34420456E-04   2.90061231E+02   8.38073977E-01   1.60463836E-01   7.81879252E-04   5.31345330E-04   6.66529962E-36   1.27898165E-26   1.21674763E-04   2.46193602E-08  
  17               9.92608946E-04   2.90826775E+02   8.38073970E-01   1.60463838E-01   7.81879261E-04   5.31345336E-04   7.75223040E-36   1.13148280E-26   1.21685547E-04   1.92278646E-08  
  18               1.17864101E-03   2.99753975E+02   8.38074000E-01   1.60463831E-01   7.81879225E-04   5.31345311E-04   1.04228016E-34   1.01543263E-25   1.21639682E-04   4.21576794E-08  
  19               1.39740084E-03   3.00454050E+02   8.38073987E-01   1.60463834E-01   7.81879239E-04   5.31345321E-04   1.17361332E-34   8.76054795E-26   1.21658614E-04   3.26928357E-08  
  20               1.65462585E-03   3.09816542E+02   8.38074038E-01   1.60463822E-01   7.81878548E-04   5.31345280E-04   1.50748562E-33   7.59925248E-25   1.21582010E-04   7.09901441E-08  
  21               1.95700445E-03   3.10779801E+02   8.38074019E-01   1.60463826E-01   7.81878570E-04   5.31345296E-04   1.80200132E-33   6.96682068E-25   1.21610515E-04   5.67394452E-08  
  22               2.31242288E-03   3.20736154E+02   8.38074107E-01   1.60463805E-01   7.81878466E-04   5.31345225E-04   2.27706799E-32   6.00011460E-24   1.21477281E-04   1.23348463E-07  
  23               2.73003527E-03   3.22041036E+02   8.38074077E-01   1.60463811E-01   7.81878497E-04   5.31345246E-04   2.91919018E-32   5.89841509E-24   1.21520025E-04   1.01978600E-07  
  24               3.22072810E-03   3.32621697E+02   8.38074236E-01   1.60463773E-01   7.81875277E-04   5.31345121E-04   3.58897761E-31   4.98865055E-23   1.21282734E-04   2.20609959E-07  
  25               3.79707627E-03   3.34353769E+02   8.38074195E-01   1.60463783E-01   7.81875326E-04   5.31345154E-04   4.97429983E-31   5.29739317E-23   1.21345453E-04   1.89254150E-07  
  26               4.47422590E-03   3.45461677E+02   8.38074474E-01   1.60463716E-01   7.81874997E-04   5.31344930E-04   5.71958353E-30   4.23564888E-22   1.20924219E-04   3.99845622E-07  
  27               5.26946601E-03   3.47600715E+02   8.38074401E-01   1.60463729E-01   7.81875060E-04   5.31344973E-04   8.41279753E-30   4.77243396E-22   1.21017776E-04   3.53072142E-07  
  28               6.20402446E-03   3.59355088E+02   8.38074913E-01   1.60463609E-01   7.81861444E-04   5.31344575E-04   9.17526631E-29   3.65448997E-21   1.20262491E-04   7.30668731E-07  
  29               7.30184147E-03   3.62126977E+02   8.38074837E-01   1.60463627E-01   7.81861533E-04   5.31344636E-04   1.47979588E-28   4.50703606E-21   1.20377272E-04   6.73285190E-07  
  30               8.59328076E-03   3.74772241E+02   8.38075702E-01   1.60463390E-01   7.81860378E-04   5.31343851E-04   1.57710258E-27   3.39967294E-20   1.18974773E-04   1.37444474E-06  
  31               1.01116809E-02   3.78390440E+02   8.38075714E-01   1.60463410E-01   7.81785034E-04   5.31343917E-04   2.84240050E-27   4.67277478E-20   1.19061147E-04   1.33126533E-06  
  32               1.19022538E-02   3.92256968E+02   8.38077505E-01   1.60462976E-01   7.81782926E-04   5.31342479E-04   3.05244861E-26   3.57446701E-19   1.16355125E-04   2.68411196E-06  
  33               1.40134194E-02   3.97174155E+02   8.38077629E-01   1.60462946E-01   7.81782780E-04   5.31342380E-04   6.44978990E-26   5.73336365E-19   1.16168171E-04   2.77757724E-06  
  34               1.65192624E-02   4.12654170E+02   8.38080667E-01   1.60462001E-01   7.81778365E-04   5.31339253E-04   7.12037679E-25   4.52975937E-18   1.10854095E-04   5.43425729E-06  
  35               1.94969302E-02   4.19234901E+02   8.38081881E-01   1.60461878E-01   7.81207534E-04   5.31338846E-04   1.78270842E-24   8.54657926E-18   1.09806304E-04   5.95810629E-06  
  36               2.30799799E-02   4.36730690E+02   8.38088263E-01   1.60460323E-01   7.81215617E-04   5.31333695E-04   2.02521128E-23   6.96121737E-17   1.00123916E-04   1.07987104E-05  
  37               2.74087051E-02   4.45640129E+02   8.38089836E-01   1.60459759E-01   7.81266044E-04   5.31331827E-04   6.20131159E-23   1.58943213E-16   9.70748117E-05   1.23230484E-05  
  38               3.27379691E-02   4.66352807E+02   8.38095511E-01   1.60456834E-01   7.83120587E-04   5.31322143E-04   7.82980860E-22   1.43391918E-15   8.18609491E-05   1.99288705E-05  
  39               3.93461416E-02   4.78851441E+02   8.38102317E-01   1.60456097E-01   7.80104096E-04   5.31319704E-04   3.12062131E-21   4.16443286E-15   7.57624396E-05   2.29778458E-05  
  40               4.76192480E-02   5.01964822E+02   8.38112833E-01   1.60453548E-01   7.80091707E-04   5.31311262E-04   3.57787855E-20   3.38715270E-14   5.98726302E-05   3.09217835E-05  
  41               5.79619042E-02   5.18083119E+02   8.38117425E-01   1.60452435E-01   7.80086304E-04   5.31307576E-04   1.66292963E-19   1.13493160E-13   5.29350846E-05   3.43901341E-05  
  42               7.08723064E-02   5.45169113E+02   8.38126270E-01   1.60450291E-01   7.80075915E-04   5.31300475E-04   1.88939387E-18   9.13456289E-13   3.95703591E-05   4.10716836E-05  
  43               8.68386451E-02   5.65203808E+02   8.38130125E-01   1.60449356E-01   7.80071428E-04   5.31297377E-04   9.50392335E-18   3.30676257E-12   3.37452538E-05   4.39838817E-05  
  44               1.06330830E-01   5.96588643E+02   8.38136235E-01   1.60447875E-01   7.80064430E-04   5.31292450E-04   1.00500272E-16   2.51119520E-11   2.45136694E-05   4.85991121E-05  
  45               1.29779410E-01   6.21328319E+02   8.38139073E-01   1.60447186E-01   7.80061390E-04   5.31290095E-04   5.31487862E-16   9.71073984E-11   2.02225521E-05   5.07444095E-05  
  46               1.57533091E-01   6.57009012E+02   8.38142779E-01   1.60446285E-01   7.80057715E-04   5.31286543E-04   4.87756610E-15   6.58796450E-10   1.46153104E-05   5.35476887E-05  
  47               1.89963041E-01   6.85789263E+02   8.38144513E-01   1.60445848E-01   7.80055875E-04   5.31283285E-04   2.41273032E-14   2.45316279E-09   1.19406256E-05   5.48848653E-05  
  48               2.27362018E-01   7.25462387E+02   8.38146449E-01   1.60445296E-01   7.80047481E-04   5.31269609E-04   1.82759217E-13   1.42220966E-08   8.74793611E-06   5.64810006E-05  
  49               2.69945205E-01   7.59826895E+02   8.38147412E-01   1.60444965E-01   7.80016997E-04   5.31229418E-04   8.77662917E-13   5.31304102E-08   7.02956174E-06   5.73400623E-05  
  50               3.17999698E-01   8.01405562E+02   8.38148717E-01   1.60444637E-01   7.79853720E-04   5.31043138E-04   4.96331189E-12   2.37659999E-07   5.37749102E-06   5.81659726E-05  
  51               3.72085215E-01   8.35563696E+02   8.38149772E-01   1.60444347E-01   7.79438976E-04   5.30597159E-04   1.78226062E-11   6.81455792E-07   4.53985517E-06   5.85846792E-05  
  52               4.32817844E-01   8.77751258E+02   8.38152306E-01   1.60443627E-01   7.77819862E-04   5.28916266E-04   7.64441003E-11   2.35630522E-06   3.64592481E-06   5.90313653E-05  
  53               5.00917555E-01   9.11984726E+02   8.38155549E-01   1.60442331E-01   7.74712634E-04   5.25739280E-04   2.22160964E-10   5.52350234E-06   3.19597111E-06   5.92558372E-05  
  54               5.77490034E-01   9.55205745E+02   8.38166903E-01   1.60438884E-01   7.64913525E-04   5.15827330E-04   7.77503884E-10   1.54100745E-05   2.66519159E-06   5.95198717E-05  
  55               6.64315661E-01   9.90426980E+02   8.38186819E-01   1.60434007E-01   7.50022590E-04   5.00788240E-04   1.95944810E-09   3.04163633E-05   2.40059157E-06   5.96502321E-05  
  56               7.64899069E-01   1.03660255E+03   8.38237003E-01   1.60421753E-01   7.12306341E-04   4.62814888E-04   6.07812044E-09   6.83165614E-05   2.05480024E-06   5.98182118E-05  
