# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               N2               Fe              
  1                1.00000000E-05   1.07525772E+03   8.38841492E-01   4.25453815E-06   1.60271726E-01   5.30535450E-04   2.50963274E-04   1.98276131E-09   6.07891250E-05   4.62082042E-08  
  2                1.34063102E-05   1.17268183E+03   8.38779510E-01   2.91585780E-05   1.60262889E-01   5.30550729E-04   2.54862097E-04   1.88970151E-07   6.07857750E-05   1.46671126E-06  
  3                1.66786500E-05   1.25865514E+03   8.38619713E-01   1.25018953E-04   1.60247787E-01   5.30512537E-04   2.91100387E-04   9.96123595E-06   6.07800484E-05   1.96315487E-05  
  4                2.00284959E-05   1.26614562E+03   8.38591786E-01   1.29459244E-04   1.60242875E-01   5.30498405E-04   2.91071491E-04   9.96089706E-06   6.07781844E-05   5.55613904E-05  
  5                2.32695893E-05   1.32692215E+03   8.38285732E-01   3.17975566E-04   1.60218533E-01   5.30402976E-04   3.77418178E-04   6.67866346E-05   6.07689524E-05   5.55529239E-05  
  6                2.62804381E-05   1.32608076E+03   8.38306478E-01   2.95381506E-04   1.60220364E-01   5.30408784E-04   3.77471515E-04   6.67872392E-05   6.07696457E-05   5.55535510E-05  
  7                2.97646640E-05   1.37254055E+03   8.38070602E-01   5.52143657E-04   1.60199635E-01   5.30352294E-04   3.76942018E-04   6.67782050E-05   6.07617839E-05   5.55463383E-05  
  8                3.37993821E-05   1.36990347E+03   8.38119479E-01   4.98927458E-04   1.60203938E-01   5.30365888E-04   3.77038730E-04   6.67798026E-05   6.07634145E-05   5.55478207E-05  
  9                3.84859295E-05   1.41442286E+03   8.37779640E-01   8.68811297E-04   1.60174113E-01   5.30277051E-04   3.76474760E-04   6.67669498E-05   6.07521022E-05   5.55374490E-05  
  10               4.39310278E-05   1.41134188E+03   8.37861178E-01   7.80050171E-04   1.60181279E-01   5.30300122E-04   3.76601472E-04   6.67696875E-05   6.07548187E-05   5.55399215E-05  
  11               5.02660347E-05   1.45532697E+03   8.37383676E-01   1.29970932E-03   1.60139420E-01   5.30169987E-04   3.75995547E-04   6.67517739E-05   6.07389420E-05   5.55253710E-05  
  12               5.76271610E-05   1.45285031E+03   8.37497202E-01   1.17613909E-03   1.60149385E-01   5.30202516E-04   3.76136817E-04   6.67556096E-05   6.07427200E-05   5.55288099E-05  
  13               6.61733982E-05   1.49755080E+03   8.36821448E-01   1.91147905E-03   1.60090209E-01   5.30014036E-04   3.75476402E-04   6.67304151E-05   6.07202744E-05   5.55082463E-05  
  14               7.60501670E-05   1.49716319E+03   8.36946960E-01   1.77485918E-03   1.60101216E-01   5.30050398E-04   3.75604089E-04   6.67346010E-05   6.07244472E-05   5.55120405E-05  
  15               8.73531999E-05   1.54531542E+03   8.35907377E-01   2.90596315E-03   1.60010270E-01   5.29756176E-04   3.74852760E-04   6.66960854E-05   6.06899510E-05   5.54804492E-05  
  16               9.99988898E-05   1.55077212E+03   8.35923220E-01   2.88867356E-03   1.60011675E-01   5.29761533E-04   3.74882901E-04   6.66961780E-05   6.06904822E-05   5.54809052E-05  
  17               1.14235162E-04   1.59545895E+03   8.34530658E-01   4.40370046E-03   1.59889971E-01   5.29364002E-04   3.74140094E-04   6.66447920E-05   6.06443180E-05   5.54386410E-05  
  18               1.30006274E-04   1.60291734E+03   8.34472295E-01   4.46717075E-03   1.59884896E-01   5.29348027E-04   3.74130900E-04   6.66421085E-05   6.06423909E-05   5.54368423E-05  
  19               1.48322570E-04   1.63470197E+03   8.33241918E-01   5.80576347E-03   1.59777447E-01   5.28995630E-04   3.73566788E-04   6.65966111E-05   6.06016324E-05   5.53995206E-05  
  20               1.69594279E-04   1.64159636E+03   8.33227814E-01   5.82107655E-03   1.59776242E-01   5.28992323E-04   3.73582458E-04   6.65954220E-05   6.06011725E-05   5.53990548E-05  
  21               1.94304211E-04   1.67321772E+03   8.31753762E-01   7.42472248E-03   1.59647568E-01   5.28569274E-04   3.72993180E-04   6.65409321E-05   6.05523616E-05   5.53543602E-05  
  22               2.22995142E-04   1.68059820E+03   8.31737765E-01   7.44209199E-03   1.59646200E-01   5.28565400E-04   3.73008655E-04   6.65395314E-05   6.05518390E-05   5.53538258E-05  
  23               2.56329925E-04   1.71253798E+03   8.29964640E-01   9.37105639E-03   1.59491470E-01   5.28055793E-04   3.72372796E-04   6.64740054E-05   6.04931425E-05   5.53000801E-05  
  24               2.95042053E-04   1.72081294E+03   8.29913785E-01   9.42634654E-03   1.59487062E-01   5.28041857E-04   3.72375327E-04   6.64711649E-05   6.04914654E-05   5.52984763E-05  
  25               3.40008968E-04   1.75338762E+03   8.27770538E-01   1.17579157E-02   1.59300083E-01   5.27425233E-04   3.71668886E-04   6.63919872E-05   6.04205327E-05   5.52335283E-05  
  26               3.92195825E-04   1.76293514E+03   8.27635109E-01   1.19052105E-02   1.59288297E-01   5.27386895E-04   3.71642866E-04   6.63858654E-05   6.04160556E-05   5.52293475E-05  
  27               4.52753582E-04   1.79646207E+03   8.25018499E-01   1.47516930E-02   1.59060070E-01   5.26633492E-04   3.70832862E-04   6.62892472E-05   6.03294708E-05   5.51500720E-05  
  28               5.22932968E-04   1.80777993E+03   8.24709503E-01   1.50878010E-02   1.59033147E-01   5.26545076E-04   3.70752498E-04   6.62765695E-05   6.03192490E-05   5.51406188E-05  
  29               6.04213439E-04   1.84280060E+03   8.21438358E-01   1.86462780E-02   1.58747877E-01   5.25602637E-04   3.69783162E-04   6.61558854E-05   6.02110173E-05   5.50415341E-05  
  30               6.98155237E-04   1.85694067E+03   8.20742709E-01   1.94029997E-02   1.58687238E-01   5.25402664E-04   3.69587706E-04   6.61288587E-05   6.01880006E-05   5.50203595E-05  
  31               8.06513477E-04   1.89546959E+03   8.16282501E-01   2.42549393E-02   1.58298325E-01   5.24116982E-04   3.68301534E-04   6.59646311E-05   6.00404358E-05   5.48852985E-05  
  32               9.29633587E-04   1.93206571E+03   8.11394000E-01   2.95727516E-02   1.57872108E-01   5.22707503E-04   3.66908903E-04   6.57847291E-05   5.98787036E-05   5.47372896E-05  
  33               1.06996135E-03   1.96674999E+03   8.06184207E-01   3.52400462E-02   1.57417907E-01   5.21205137E-04   3.65425181E-04   6.55930286E-05   5.97063368E-05   5.45795641E-05  
  34               1.23032312E-03   1.99987895E+03   8.00695646E-01   4.12105690E-02   1.56939425E-01   5.19622187E-04   3.63850402E-04   6.53910579E-05   5.95247350E-05   5.44134035E-05  
  35               1.41392746E-03   2.03193841E+03   7.94909114E-01   4.75052142E-02   1.56434981E-01   5.17953136E-04   3.62169438E-04   6.51781013E-05   5.93332555E-05   5.42382231E-05  
  36               1.62448061E-03   2.06304252E+03   7.88876655E-01   5.40673720E-02   1.55909109E-01   5.16213017E-04   3.60388924E-04   6.49560342E-05   5.91336121E-05   5.40555933E-05  
  37               1.86631310E-03   2.09346437E+03   7.82593042E-01   6.09027297E-02   1.55361350E-01   5.14400332E-04   3.58500023E-04   6.47246489E-05   5.89256231E-05   5.38653527E-05  
  38               2.14439534E-03   2.12324696E+03   7.76112362E-01   6.79524528E-02   1.54796417E-01   5.12530699E-04   3.56511950E-04   6.44858935E-05   5.87110680E-05   5.36691333E-05  
  39               2.46441449E-03   2.15267924E+03   7.69391592E-01   7.52633450E-02   1.54210558E-01   5.10591708E-04   3.54405483E-04   6.42381863E-05   5.84885111E-05   5.34656316E-05  
  40               2.83287382E-03   2.18172291E+03   7.62496027E-01   8.27643796E-02   1.53609461E-01   5.08602206E-04   3.52194158E-04   6.39838828E-05   5.82600996E-05   5.32568185E-05  
  41               3.25720558E-03   2.21059416E+03   7.55384087E-01   9.05007878E-02   1.52989502E-01   5.06550198E-04   3.49859022E-04   6.37214540E-05   5.80244400E-05   5.30414341E-05  
  42               3.74589693E-03   2.23917793E+03   7.48147993E-01   9.83722519E-02   1.52358718E-01   5.04462299E-04   3.47423246E-04   6.34542326E-05   5.77845662E-05   5.28222633E-05  
  43               4.30861108E-03   2.26769753E+03   7.40725606E-01   1.06446369E-01   1.51711690E-01   5.02320579E-04   3.44861251E-04   6.31799426E-05   5.75383958E-05   5.25974247E-05  
  44               4.95631212E-03   2.29603999E+03   7.33205674E-01   1.14626600E-01   1.51056155E-01   5.00150650E-04   3.42196538E-04   6.29017894E-05   5.72888403E-05   5.23695982E-05  
  45               5.70139758E-03   2.32442945E+03   7.25504804E-01   1.23001636E-01   1.50384647E-01   4.97927806E-04   3.39395447E-04   6.26166460E-05   5.70330263E-05   5.21361927E-05  
  46               6.55311406E-03   2.35253303E+03   7.17784124E-01   1.31391078E-01   1.49711965E-01   4.95700260E-04   3.42878126E-04   6.23306902E-05   5.67764912E-05   5.19023405E-05  
  47               7.52630432E-03   2.38060402E+03   7.09956102E-01   1.39906517E-01   1.49029548E-01   4.93441248E-04   3.39817448E-04   6.20403370E-05   5.65160239E-05   5.16650701E-05  
  48               8.64344995E-03   2.40858305E+03   7.02116330E-01   1.48434744E-01   1.48346098E-01   4.91178790E-04   3.36664279E-04   6.17491583E-05   5.62548285E-05   5.14273927E-05  
  49               9.92420185E-03   2.43674766E+03   6.94121307E-01   1.57131862E-01   1.47649104E-01   4.88871468E-04   3.33360760E-04   6.14519299E-05   5.59880581E-05   5.11849678E-05  
  50               1.13904275E-02   2.46482817E+03   6.86147225E-01   1.65806207E-01   1.46953926E-01   4.86570134E-04   3.29969778E-04   6.11550288E-05   5.57214735E-05   5.09431182E-05  
  51               1.30632208E-02   2.49324143E+03   6.77931722E-01   1.74743182E-01   1.46237690E-01   4.84199061E-04   3.26384693E-04   6.08489393E-05   5.54462174E-05   5.06939127E-05  
  52               1.49678638E-02   2.52136685E+03   6.69874381E-01   1.83508113E-01   1.45535231E-01   4.81873581E-04   3.22761564E-04   6.05481424E-05   5.51754592E-05   5.04494266E-05  
  53               1.71350010E-02   2.54965843E+03   6.61709802E-01   1.92389706E-01   1.44823410E-01   4.79517089E-04   3.18990853E-04   6.02429924E-05   5.49001656E-05   5.02016346E-05  
  54               1.95988536E-02   2.57756253E+03   6.53824823E-01   2.00967152E-01   1.44135953E-01   4.77241245E-04   3.15234520E-04   5.99474862E-05   5.46330688E-05   4.99622251E-05  
  55               2.23972009E-02   2.60577484E+03   6.45775683E-01   2.09723184E-01   1.43434171E-01   4.74917956E-04   3.11303323E-04   5.96455213E-05   5.43590406E-05   4.97177821E-05  
  56               2.55714739E-02   2.63373551E+03   6.37953232E-01   2.18232625E-01   1.42752140E-01   4.72660042E-04   3.07367649E-04   5.93512365E-05   5.40908906E-05   4.94801153E-05  
  57               2.91669599E-02   2.66214199E+03   6.29889083E-01   2.27004996E-01   1.42049022E-01   4.70332298E-04   3.03217277E-04   5.90476547E-05   5.38124155E-05   4.92350658E-05  
  58               3.32330586E-02   2.69031420E+03   6.22059746E-01   2.35521939E-01   1.41366363E-01   4.68072273E-04   2.99069248E-04   5.87520113E-05   5.35392319E-05   4.89970317E-05  
  59               3.78235228E-02   2.71897947E+03   6.13961313E-01   2.44331615E-01   1.40660227E-01   4.65734503E-04   2.94687705E-04   5.84460613E-05   5.32535661E-05   4.87507819E-05  
  60               4.29967380E-02   2.74737445E+03   6.06135029E-01   2.52845245E-01   1.39977805E-01   4.63475227E-04   2.90331288E-04   5.81493715E-05   5.29731567E-05   4.85126704E-05  
  61               4.88162919E-02   2.77620674E+03   5.98082196E-01   2.61605322E-01   1.39275615E-01   4.61150483E-04   2.85758288E-04   5.78439020E-05   5.26798917E-05   4.82676249E-05  
  62               5.53513685E-02   2.80467663E+03   5.90377724E-01   2.69986442E-01   1.38603784E-01   4.58926233E-04   2.81257942E-04   5.75504174E-05   5.23926463E-05   4.80330151E-05  
  63               6.26773512E-02   2.83354286E+03   5.82481306E-01   2.78576366E-01   1.37915202E-01   4.56646498E-04   2.76559549E-04   5.72493899E-05   5.20911426E-05   4.77925127E-05  
  64               7.08762048E-02   2.86199581E+03   5.74979955E-01   2.86736518E-01   1.37261053E-01   4.54480740E-04   2.71972347E-04   5.69619978E-05   5.17947090E-05   4.75638513E-05  
  65               8.00371021E-02   2.89087443E+03   5.67272072E-01   2.95121334E-01   1.36588880E-01   4.52255278E-04   2.67183436E-04   5.66665219E-05   5.14797882E-05   4.73288523E-05  
  66               9.02566199E-02   2.91938706E+03   5.59933283E-01   3.03104628E-01   1.35948876E-01   4.50136293E-04   2.62507576E-04   5.63837066E-05   5.11652899E-05   4.71049033E-05  
  67               1.01639650E-01   2.94840468E+03   5.52337616E-01   3.11367347E-01   1.35286458E-01   4.47943059E-04   2.57606277E-04   5.60909839E-05   5.08250036E-05   4.68730918E-05  
  68               1.14300232E-01   2.97707265E+03   5.45106783E-01   3.19233168E-01   1.34655840E-01   4.45855067E-04   2.52830676E-04   5.58107319E-05   5.04795856E-05   4.66521954E-05  
  69               1.28363140E-01   3.00626005E+03   5.37619154E-01   3.27378316E-01   1.34002813E-01   4.43692834E-04   2.47833585E-04   5.55205680E-05   5.01005422E-05   4.64234352E-05  
  70               1.43963306E-01   3.03506680E+03   5.30527553E-01   3.35092620E-01   1.33384306E-01   4.41644841E-04   2.42996059E-04   5.52439542E-05   4.97101297E-05   4.62065249E-05  
  71               1.61244825E-01   3.06437298E+03   5.23203478E-01   3.43059779E-01   1.32745512E-01   4.39529613E-04   2.37957395E-04   5.49582959E-05   4.92763537E-05   4.59824815E-05  
  72               1.80367001E-01   3.09324265E+03   5.16321519E-01   3.50545947E-01   1.32145259E-01   4.37541919E-04   2.33123390E-04   5.46877929E-05   4.88234077E-05   4.57716718E-05  
  73               2.01506737E-01   3.12262299E+03   5.09215212E-01   3.58276114E-01   1.31525425E-01   4.35489312E-04   2.28101215E-04   5.44085155E-05   4.83131924E-05   4.55539684E-05  
  74               2.24859392E-01   3.15160048E+03   5.02540253E-01   3.65536985E-01   1.30943195E-01   4.33561112E-04   2.23294959E-04   5.41439329E-05   4.77704801E-05   4.53491622E-05  
  75               2.50640896E-01   3.18117869E+03   4.95600407E-01   3.73085933E-01   1.30337848E-01   4.31556259E-04   2.18283615E-04   5.38690906E-05   4.71491354E-05   4.51362307E-05  
  76               2.79088709E-01   3.21043860E+03   4.89049057E-01   3.80212180E-01   1.29766368E-01   4.29663410E-04   2.13477386E-04   5.36073263E-05   4.64756166E-05   4.49348897E-05  
  77               3.10464514E-01   3.24042168E+03   4.82174755E-01   3.87689638E-01   1.29166704E-01   4.27677094E-04   2.08436601E-04   5.33331961E-05   4.56935746E-05   4.47236630E-05  
  78               3.45055575E-01   3.27018854E+03   4.75637011E-01   3.94800869E-01   1.28596377E-01   4.25787737E-04   2.03581667E-04   5.30702075E-05   4.48324179E-05   4.45224454E-05  
  79               3.83179458E-01   3.30076495E+03   4.68748104E-01   4.02293963E-01   1.27995403E-01   4.23796697E-04   1.98480554E-04   5.27938238E-05   4.38252935E-05   4.43104828E-05  
  80               4.25187488E-01   3.33114573E+03   4.62202989E-01   4.09412926E-01   1.27424395E-01   4.21904641E-04   1.93582195E-04   5.25287523E-05   4.27097022E-05   4.41087324E-05  
  81               4.71471840E-01   3.36233191E+03   4.55344627E-01   4.16872463E-01   1.26826044E-01   4.19921757E-04   1.88469264E-04   5.22516010E-05   4.14085516E-05   4.38973706E-05  
  82               5.22469161E-01   3.39329000E+03   4.48875132E-01   4.23908806E-01   1.26261589E-01   4.18050788E-04   1.83600255E-04   5.19872479E-05   3.99715398E-05   4.36975609E-05  
  83               5.78668437E-01   3.42503076E+03   4.42144978E-01   4.31228473E-01   1.25674374E-01   4.16104056E-04   1.78559186E-04   5.17126184E-05   3.83109680E-05   4.34897112E-05  
  84               6.40614281E-01   3.45653087E+03   4.35835297E-01   4.38090539E-01   1.25123813E-01   4.14278254E-04   1.73793701E-04   5.14517541E-05   3.64936244E-05   4.32943415E-05  
