# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H                H2               He               CO               H2O              O-3P             Mg               OH              
  1                1.00000000E-05   1.71280371E+03   4.65714605E-02   7.95768185E-01   1.56509350E-01   5.18181226E-04   3.63164216E-04   5.40579552E-08   6.52415168E-05   1.17767195E-06  
  2                1.07258637E-05   1.69563598E+03   3.84802659E-02   8.03206273E-01   1.57157720E-01   5.20326766E-04   3.64977199E-04   3.50292380E-08   6.55117109E-05   9.26876101E-07  
  3                1.15491967E-05   1.80555583E+03   9.51122980E-02   7.51145278E-01   1.52619850E-01   5.05308528E-04   3.51914990E-04   2.98012397E-07   6.36199293E-05   3.08977164E-06  
  4                1.25053325E-05   1.76088042E+03   6.35763210E-02   7.80135855E-01   1.55146768E-01   5.13672946E-04   3.59264478E-04   1.15033281E-07   6.46731921E-05   1.82785138E-06  
  5                1.36293130E-05   1.85423311E+03   1.27439800E-01   7.21427045E-01   1.50029517E-01   4.96734072E-04   3.43959334E-04   6.22828559E-07   6.25398957E-05   4.69512309E-06  
  6                1.49553553E-05   1.80643899E+03   8.47331133E-02   7.60686702E-01   1.53451515E-01   5.08062516E-04   3.54280641E-04   2.32581622E-07   6.39662289E-05   2.74187651E-06  
  7                1.65271349E-05   1.89268104E+03   1.53354627E-01   6.97603916E-01   1.47952992E-01   4.89860179E-04   3.37222344E-04   1.01492279E-06   6.16739949E-05   6.21454324E-06  
  8                1.83922146E-05   1.84449696E+03   1.03089115E-01   7.43812273E-01   1.51980687E-01   5.03194483E-04   3.49785334E-04   3.82776950E-07   6.33527523E-05   3.66753962E-06  
  9                2.06113002E-05   1.92648051E+03   1.74317125E-01   6.78333415E-01   1.46273262E-01   4.84299826E-04   3.31455139E-04   1.44703169E-06   6.09734270E-05   7.64904705E-06  
  10               2.32516258E-05   1.87883653E+03   1.18895622E-01   7.29281564E-01   1.50714136E-01   4.99002495E-04   3.45746959E-04   5.58132964E-07   6.28243425E-05   4.59059951E-06  
  11               2.63990584E-05   1.95796359E+03   1.91159511E-01   6.62850490E-01   1.44923650E-01   4.79832390E-04   3.26529571E-04   1.89422050E-06   6.04103752E-05   8.99601098E-06  
  12               3.01485854E-05   1.91133148E+03   1.32451169E-01   7.16820138E-01   1.49627940E-01   4.95407494E-04   3.42119306E-04   7.52024310E-07   6.23710043E-05   5.50621394E-06  
