# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               NH3              N2              
  1                1.00000000E-05   1.65829827E+02   8.38073990E-01   1.60463844E-01   7.81833066E-04   5.31345356E-04   2.82541601E-64   4.70184518E-50   1.21724008E-04   2.31216357E-16  
  2                1.61127746E-04   1.97408691E+02   8.38073990E-01   1.60463844E-01   7.81833066E-04   5.31345356E-04   6.18049671E-54   2.26572576E-42   1.21724008E-04   1.97646231E-14  
  3                3.28775116E-04   2.12062041E+02   8.38073990E-01   1.60463844E-01   7.81833066E-04   5.31345356E-04   6.04271369E-47   6.14846238E-37   1.21724007E-04   4.96144020E-13  
  4                5.25169255E-04   2.22164798E+02   8.38073990E-01   1.60463844E-01   7.81833066E-04   5.31345356E-04   2.43904998E-45   1.20775165E-35   1.21724005E-04   1.31495599E-12  
  5                7.53279782E-04   2.29347388E+02   8.38073990E-01   1.60463844E-01   7.81833066E-04   5.31345356E-04   3.21014699E-44   9.25382196E-35   1.21724002E-04   2.73539297E-12  
  6                1.02036617E-03   2.37366285E+02   8.38073990E-01   1.60463844E-01   7.81833066E-04   5.31345356E-04   6.26582907E-43   1.00980414E-33   1.21723996E-04   5.85507064E-12  
  7                1.33335735E-03   2.43227848E+02   8.38073990E-01   1.60463844E-01   7.81833066E-04   5.31345356E-04   5.84704260E-42   5.98564390E-33   1.21723986E-04   1.08721003E-11  
  8                1.70033496E-03   2.50488053E+02   8.38073990E-01   1.60463844E-01   7.81833066E-04   5.31345356E-04   7.64680839E-41   4.74077880E-32   1.21723966E-04   2.09120542E-11  
  9                2.13069530E-03   2.56087511E+02   8.38073990E-01   1.60463844E-01   7.81833066E-04   5.31345356E-04   5.54527892E-40   2.30665224E-31   1.21723936E-04   3.60087854E-11  
  10               2.63546288E-03   2.63061760E+02   8.38073990E-01   1.60463844E-01   7.81833066E-04   5.31345356E-04   5.40797626E-39   1.43492534E-30   1.21723880E-04   6.40280078E-11  
  11               3.22750934E-03   2.68492076E+02   8.38073990E-01   1.60463844E-01   7.81833066E-04   5.31345356E-04   3.17552829E-38   5.87603842E-30   1.21723801E-04   1.03405871E-10  
  12               3.92202557E-03   2.75306792E+02   8.38073990E-01   1.60463844E-01   7.81833065E-04   5.31345356E-04   2.43553661E-37   2.98266118E-29   1.21723665E-04   1.71463897E-10  
  13               4.73675846E-03   2.80572230E+02   8.38073990E-01   1.60463844E-01   7.81833065E-04   5.31345356E-04   1.24153694E-36   1.08474124E-28   1.21723482E-04   2.62826529E-10  
  14               5.69247960E-03   2.87265200E+02   8.38073991E-01   1.60463844E-01   7.81833065E-04   5.31345355E-04   8.22452869E-36   4.86527661E-28   1.21723177E-04   4.15098058E-10  
  15               6.81352255E-03   2.92523160E+02   8.38073991E-01   1.60463844E-01   7.81833027E-04   5.31345355E-04   3.86100516E-35   1.65266233E-27   1.21722778E-04   6.14922212E-10  
  16               8.12846742E-03   2.99315630E+02   8.38073991E-01   1.60463844E-01   7.81832989E-04   5.31345355E-04   2.35704887E-34   6.93573327E-27   1.21722118E-04   9.44656631E-10  
  17               9.67055403E-03   3.04733495E+02   8.38073992E-01   1.60463844E-01   7.81832951E-04   5.31345354E-04   1.07329068E-33   2.30331972E-26   1.21721248E-04   1.37964038E-09  
  18               1.14784424E-02   3.11818561E+02   8.38073993E-01   1.60463844E-01   7.81832755E-04   5.31345353E-04   6.26700353E-33   9.36423409E-26   1.21719814E-04   2.09670448E-09  
  19               1.35972182E-02   3.17601570E+02   8.38073994E-01   1.60463843E-01   7.81832558E-04   5.31345352E-04   2.78414560E-32   3.05992607E-25   1.21717915E-04   3.04602166E-09  
  20               1.60798013E-02   3.25113080E+02   8.38073996E-01   1.60463843E-01   7.81832397E-04   5.31345350E-04   1.56663591E-31   1.21276631E-24   1.21714795E-04   4.60577528E-09  
  21               1.89877303E-02   3.31300327E+02   8.38073998E-01   1.60463842E-01   7.81831679E-04   5.31345348E-04   6.98034652E-31   3.99155631E-24   1.21710590E-04   6.70802621E-09  
  22               2.23924898E-02   3.39306868E+02   8.38074003E-01   1.60463841E-01   7.81830960E-04   5.31345344E-04   3.88816394E-30   1.58075122E-23   1.21703657E-04   1.01740916E-08  
  23               2.63769124E-02   3.46096239E+02   8.38074003E-01   1.60463838E-01   7.81830390E-04   5.31345335E-04   1.74781246E-29   5.27579277E-23   1.21694149E-04   1.49271247E-08  
  24               3.10384137E-02   3.54770795E+02   8.38074014E-01   1.60463835E-01   7.81822296E-04   5.31345324E-04   9.72003892E-29   2.10453176E-22   1.21678371E-04   2.28148139E-08  
  25               3.64903597E-02   3.62259525E+02   8.38074030E-01   1.60463831E-01   7.81814198E-04   5.31345311E-04   4.51681787E-28   7.27972581E-22   1.21656036E-04   3.39806754E-08  
  26               4.28644849E-02   3.71741503E+02   8.38074056E-01   1.60463824E-01   7.81806643E-04   5.31345289E-04   2.59546291E-27   3.02072835E-21   1.21618213E-04   5.28896812E-08  
  27               5.03130957E-02   3.80198953E+02   8.38074093E-01   1.60463814E-01   7.81799075E-04   5.31345257E-04   1.27112403E-26   1.10473291E-20   1.21562582E-04   8.07016105E-08  
  28               5.90135661E-02   3.90823804E+02   8.38074083E-01   1.60463784E-01   7.81791413E-04   5.31345157E-04   7.57888195E-26   4.79801063E-20   1.21466633E-04   1.28664432E-07  
  29               6.91725393E-02   4.00535282E+02   8.38074188E-01   1.60463753E-01   7.81695014E-04   5.31345053E-04   3.93446065E-25   1.86655567E-19   1.21319995E-04   2.01971457E-07  
  30               8.10318807E-02   4.12531522E+02   8.38074364E-01   1.60463703E-01   7.81599256E-04   5.31344889E-04   2.47357467E-24   8.61497774E-19   1.21061735E-04   3.31082812E-07  
