# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               H                NH3              N2              
  1                1.00000000E-05   9.85704649E+01   8.38729751E-01   1.60589381E-01   9.96604576E-15   5.31761045E-04   6.29553925E-102  3.16563566E-109  1.21819237E-04   1.08194237E-33  
  2                2.12906616E-05   1.27392147E+02   8.38729246E-01   1.60589284E-01   2.12284926E-09   5.31760725E-04   3.80064838E-75   4.68827800E-85   1.21819163E-04   4.78589031E-25  
  3                3.41244767E-05   1.43998211E+02   8.38729246E-01   1.60589284E-01   6.03476553E-07   5.31760725E-04   9.73038121E-64   6.63968381E-75   1.21819163E-04   1.74243879E-21  
  4                4.90434896E-05   1.47407584E+02   8.38727039E-01   1.60588861E-01   6.05915442E-07   5.31759326E-04   2.19229614E-62   3.65905564E-73   1.21818843E-04   4.31604133E-21  
  5                6.64667095E-05   1.54641964E+02   8.38727039E-01   1.60588861E-01   3.23470045E-06   5.31759326E-04   1.26100568E-58   1.24181123E-69   1.21818843E-04   5.97396443E-20  
  6                8.68463019E-05   1.55886555E+02   8.38709086E-01   1.60585424E-01   3.25394048E-06   5.31747943E-04   2.55781368E-58   4.17998494E-69   1.21816235E-04   5.93123512E-20  
  7                1.10661542E-04   1.62868578E+02   8.38709086E-01   1.60585424E-01   2.46407310E-05   5.31747943E-04   8.69621504E-55   4.85391024E-66   1.21816235E-04   6.11467632E-19  
  8                1.38452865E-04   1.62664935E+02   8.38709086E-01   1.60585424E-01   2.46407310E-05   5.31747943E-04   4.61989570E-55   3.55050019E-66   1.21816235E-04   3.60985394E-19  
  9                1.70881978E-04   1.69346606E+02   8.38709086E-01   1.60585424E-01   2.46407310E-05   5.31747943E-04   1.02601827E-52   1.79867398E-63   1.21816235E-04   2.87240807E-18  
  10               2.08643922E-04   1.68344505E+02   8.38667400E-01   1.60577442E-01   2.46814014E-05   5.31721514E-04   2.96235122E-53   6.50071682E-64   1.21810181E-04   1.34126901E-18  
  11               2.52838067E-04   1.77891562E+02   8.38667400E-01   1.60577442E-01   7.43413957E-05   5.31721514E-04   1.30038184E-49   2.43763495E-60   1.21810181E-04   2.45861148E-17  
