# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               H                NH3              N2              
  1                1.00000000E-05   9.66706443E+01   8.38729733E-01   1.60589403E-01   9.96604577E-15   5.31761119E-04   6.29554056E-102  3.16563563E-109  1.21819253E-04   1.08194274E-33  
  2                6.93049763E-05   1.24094170E+02   8.38729728E-01   1.60589402E-01   1.83665603E-10   5.31761116E-04   2.18403788E-79   1.12866397E-87   1.21819253E-04   5.55918228E-27  
  3                1.37398921E-04   1.35894840E+02   8.38729675E-01   1.60589392E-01   6.51995431E-09   5.31761082E-04   3.33527193E-71   6.73722824E-80   1.21819245E-04   1.62138557E-24  
  4                2.16967177E-04   1.45047564E+02   8.38729522E-01   1.60589362E-01   6.98665088E-08   5.31760985E-04   9.24804117E-66   9.76643829E-75   1.21819223E-04   7.17965959E-23  
  5                3.10331349E-04   1.50951880E+02   8.38728728E-01   1.60589210E-01   2.53072803E-07   5.31760482E-04   1.03026199E-62   9.28576068E-72   1.21819107E-04   5.45912425E-22  
  6                4.20124226E-04   1.55855355E+02   8.38728728E-01   1.60589210E-01   1.19823258E-06   5.31760482E-04   3.90292476E-60   1.83787154E-69   1.21819107E-04   2.50148713E-21  
  7                5.49391250E-04   1.59333224E+02   8.38726257E-01   1.60588737E-01   1.20095938E-06   5.31758915E-04   6.55533063E-59   6.21784302E-68   1.21818748E-04   6.13400834E-21  
  8                7.01652382E-04   1.63313067E+02   8.38726257E-01   1.60588737E-01   4.14489642E-06   5.31758915E-04   5.43312354E-57   2.98195687E-66   1.21818748E-04   1.80567530E-20  
  9                8.80970164E-04   1.66775225E+02   8.38719569E-01   1.60587457E-01   4.15217622E-06   5.31754675E-04   7.29997396E-56   7.35160527E-65   1.21817777E-04   4.23145989E-20  
  10               1.09210560E-03   1.70755881E+02   8.38719569E-01   1.60587457E-01   1.21187551E-05   5.31754675E-04   3.98608224E-54   2.54013868E-63   1.21817777E-04   1.16234056E-19  
  11               1.34058342E-03   1.73843246E+02   8.38701907E-01   1.60584075E-01   1.21372850E-05   5.31743477E-04   3.23191864E-53   3.46657727E-62   1.21815212E-04   2.25731744E-19  
  12               1.63275640E-03   1.77737571E+02   8.38701907E-01   1.60584075E-01   3.31768430E-05   5.31743477E-04   1.23748302E-51   8.44677154E-61   1.21815212E-04   5.60540507E-19  
  13               1.97600277E-03   1.81006170E+02   8.38653258E-01   1.60574760E-01   3.32226596E-05   5.31712633E-04   9.78402201E-51   1.09089699E-59   1.21808146E-04   1.09712607E-18  
  14               2.37822831E-03   1.84986169E+02   8.38653258E-01   1.60574760E-01   9.11793652E-05   5.31712633E-04   3.25853841E-49   2.21888373E-58   1.21808146E-04   2.60391310E-18  
  15               2.84775349E-03   1.88668031E+02   8.38519153E-01   1.60549084E-01   9.12659767E-05   5.31627610E-04   2.90348958E-48   3.19139045E-57   1.21788668E-04   5.44554188E-18  
  16               3.39273991E-03   1.92421043E+02   8.38519153E-01   1.60549084E-01   2.51069939E-04   5.31627610E-04   6.84340564E-47   4.35672242E-56   1.21788668E-04   1.12846624E-17  
  17               4.01931740E-03   1.96875410E+02   8.38073964E-01   1.60463844E-01   2.50937099E-04   5.31345356E-04   8.37533938E-46   8.64308216E-55   1.21724008E-04   2.74826505E-17  
  18               4.72464011E-03   2.01700185E+02   8.38073964E-01   1.60463844E-01   7.81859944E-04   5.31345356E-04   3.58443885E-44   1.90940721E-53   1.21724008E-04   7.11760199E-17  
  19               5.49398472E-03   2.08872799E+02   8.38073964E-01   1.60463844E-01   7.81859944E-04   5.31345356E-04   1.64669722E-42   1.51747570E-51   1.21724008E-04   3.15591207E-16  
  20               6.39339475E-03   2.18188408E+02   8.38073964E-01   1.60463844E-01   7.81859944E-04   5.31345356E-04   1.74728918E-40   2.94849754E-49   1.21724008E-04   2.02112482E-15  
  21               7.44536950E-03   2.24453399E+02   8.38073964E-01   1.60463844E-01   7.81859944E-04   5.31345356E-04   2.90338107E-39   7.75734885E-48   1.21724008E-04   5.79368153E-15  
  22               8.67638992E-03   2.32818079E+02   8.38073964E-01   1.60463844E-01   7.81859944E-04   5.31345356E-04   1.06120956E-37   4.73374158E-46   1.21724008E-04   2.34859666E-14  
  23               1.01170411E-02   2.38572970E+02   8.38073964E-01   1.60463844E-01   7.81859944E-04   5.31345356E-04   9.81618390E-37   6.59670311E-45   1.21724008E-04   5.23231424E-14  
  24               1.18030035E-02   2.46707899E+02   8.38073964E-01   1.60463844E-01   7.81859944E-04   5.31345356E-04   2.12494634E-35   2.27472982E-43   1.21724007E-04   1.69533873E-13  
  25               1.37757368E-02   2.52490702E+02   8.38073964E-01   1.60463844E-01   7.81859944E-04   5.31345356E-04   1.51934009E-34   2.39247136E-42   1.21724007E-04   3.38428973E-13  
  26               1.60839495E-02   2.60660229E+02   8.38073964E-01   1.60463844E-01   7.81859944E-04   5.31345356E-04   2.35022144E-33   5.71208245E-41   1.21724006E-04   9.50478700E-13  
