# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               NH3              H                N2              
  1                1.00000000E-05   5.07966385E+01   8.38831200E-01   1.60608833E-01   1.62403901E-16   5.31825460E-04   1.02565557E-103  8.51106801E-07   3.16582711E-109  5.27937999E-38  
  2                1.29382300E-04   7.10265471E+01   8.38831200E-01   1.60608833E-01   1.58409581E-16   5.31825460E-04   5.97636067E-106  8.51106801E-07   8.80135951E-110  3.15379304E-40  
  3                2.65388841E-04   7.86237089E+01   8.38831200E-01   1.60608833E-01   1.58072157E-16   5.31825460E-04   1.41740888E-106  8.51106801E-07   6.14533928E-110  7.49579339E-41  
  4                4.12428224E-04   9.08377610E+01   8.38831200E-01   1.60608833E-01   1.58825626E-16   5.31825460E-04   5.89696980E-107  8.51106801E-07   4.92961503E-110  3.10374595E-41  
  5                5.72479013E-04   9.94963042E+01   8.38807142E-01   1.60604227E-01   1.74080797E-16   5.31810207E-04   3.35456983E-107  8.82520949E-07   4.18403164E-110  1.73204108E-41  
  6                7.23400204E-04   1.08417649E+02   8.38807142E-01   1.60604227E-01   1.50663129E-14   5.31810207E-04   1.67762146E-97   2.95311228E-05   2.26354345E-101  2.66522832E-35  
  7                8.14267703E-04   1.11168965E+02   8.38729728E-01   1.60589405E-01   5.33022773E-14   5.31761126E-04   1.03761302E-94   2.96143691E-05   8.17006551E-99   2.04776442E-34  
  8                8.80084632E-04   1.15385706E+02   8.38729728E-01   1.60589405E-01   4.04389422E-13   5.31761126E-04   1.61921008E-90   1.21819255E-04   4.12868747E-95   7.85212980E-32  
  9                9.23476727E-04   1.15749005E+02   8.38729728E-01   1.60589405E-01   4.06112967E-13   5.31761126E-04   2.81358048E-90   1.21819255E-04   8.18926077E-95   9.35573348E-32  
  10               9.73495203E-04   1.19179364E+02   8.38729728E-01   1.60589405E-01   2.25461819E-12   5.31761126E-04   5.10531606E-87   1.21819255E-04   5.20673379E-92   1.00983723E-30  
  11               1.03113750E-03   1.19938487E+02   8.38729728E-01   1.60589405E-01   2.26730630E-12   5.31761126E-04   1.61273123E-86   1.21819255E-04   2.01957627E-91   1.53115398E-30  
  12               1.09754907E-03   1.23877682E+02   8.38729728E-01   1.60589405E-01   1.58753260E-11   5.31761126E-04   5.38759116E-83   1.21819255E-04   1.96465893E-88   1.92460136E-29  
  13               1.17404246E-03   1.25087042E+02   8.38729728E-01   1.60589405E-01   1.59881244E-11   5.31761126E-04   3.02670897E-82   1.21819255E-04   1.45317964E-87   3.68066414E-29  
  14               1.26212274E-03   1.29611702E+02   8.38729728E-01   1.60589405E-01   1.36964626E-10   5.31761126E-04   1.70510766E-78   1.21819255E-04   2.02667498E-84   5.26455143E-28  
  15               1.36352307E-03   1.31320240E+02   8.38729727E-01   1.60589405E-01   1.38131560E-10   5.31761125E-04   1.60454549E-77   1.21819255E-04   2.67173326E-83   1.23955629E-27  
  16               1.48024249E-03   1.36505732E+02   8.38729727E-01   1.60589405E-01   1.38967365E-09   5.31761125E-04   1.34225318E-73   1.21819255E-04   4.84536967E-80   1.94857861E-26  
  17               1.61457619E-03   1.38753215E+02   8.38729721E-01   1.60589403E-01   1.39629291E-09   5.31761121E-04   1.91712427E-72   1.21819254E-04   1.02473213E-78   5.43864257E-26  
  18               1.76919205E-03   1.44176244E+02   8.38729721E-01   1.60589403E-01   8.49554794E-09   5.31761121E-04   6.25394657E-69   1.21819254E-04   1.15333364E-75   7.07219262E-25  
  19               1.94724238E-03   1.45361979E+02   8.38729694E-01   1.60589398E-01   8.52569706E-09   5.31761104E-04   2.00040641E-68   1.21819250E-04   4.81050949E-75   1.03718007E-24  
