# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               CH4             
  34               1.18003953E-02   9.34150654E+02   8.38803847E-01   1.60284218E-01   2.89857489E-09   4.95122981E-04   2.84721850E-04   6.07615778E-05   0.00000000E+00   3.52965111E-05  
  35               1.41780610E-02   9.51751581E+02   8.38809905E-01   1.60282698E-01   4.48521004E-09   4.99855098E-04   2.80184291E-04   6.07592122E-05   0.00000000E+00   3.05879713E-05  
  36               1.70382674E-02   9.63117901E+02   8.38808737E-01   1.60282962E-01   5.69710139E-09   4.99040825E-04   2.81078179E-04   6.07556390E-05   1.10269858E-15   3.14180496E-05  
  37               2.04771496E-02   9.82378039E+02   8.38814682E-01   1.60281471E-01   8.95071827E-09   5.03679356E-04   2.76621808E-04   6.07531272E-05   2.43895868E-15   2.67998536E-05  
  38               2.46136256E-02   9.95428317E+02   8.38814430E-01   1.60281510E-01   1.16618959E-08   5.03562066E-04   2.76821793E-04   6.07491327E-05   6.55226978E-15   2.69313029E-05  
  39               2.95839001E-02   1.01686993E+03   8.38820218E-01   1.60280059E-01   1.87391904E-08   5.08075356E-04   2.72477201E-04   6.07465840E-05   1.45833246E-14   2.24355797E-05  
  40               3.55552149E-02   1.03221479E+03   8.38820909E-01   1.60279867E-01   2.52714038E-08   5.08675688E-04   2.71962132E-04   6.07423279E-05   4.44467963E-14   2.18478767E-05  
  41               4.27114391E-02   1.05624211E+03   8.38826220E-01   1.60278531E-01   4.15821182E-08   5.12824335E-04   2.67964276E-04   6.07398711E-05   9.91896645E-14   1.77143194E-05  
  42               5.12732171E-02   1.07443869E+03   8.38827594E-01   1.60278168E-01   5.82988262E-08   5.13950108E-04   2.66922431E-04   6.07355830E-05   3.47674459E-13   1.65996725E-05  
  43               6.14760140E-02   1.10196343E+03   8.38832279E-01   1.60276979E-01   9.92430513E-08   5.17633107E-04   2.63371587E-04   6.07335194E-05   7.92651407E-13   1.29297201E-05  
  44               7.35898546E-02   1.12371595E+03   8.38833955E-01   1.60276533E-01   1.45253614E-07   5.19008815E-04   2.62074183E-04   6.07295377E-05   3.23262201E-12   1.15637209E-05  
  45               8.78988887E-02   1.15508345E+03   8.38837554E-01   1.60275587E-01   2.54116502E-07   5.21911683E-04   2.59280445E-04   6.07280262E-05   1.25186281E-11   8.67201034E-06  
  46               1.04747632E-01   1.18108555E+03   8.38839055E-01   1.60275154E-01   3.88249542E-07   5.23220365E-04   2.58040837E-04   6.07246600E-05   3.49790769E-11   7.37172269E-06  
  47               1.24484700E-01   1.21725899E+03   8.38841385E-01   1.60274452E-01   7.00027247E-07   5.25304998E-04   2.56045441E-04   6.07239125E-05   1.43959992E-10   5.29661420E-06  
  48               1.47483656E-01   1.24817673E+03   8.38842213E-01   1.60274083E-01   1.11135165E-06   5.26322755E-04   2.55091412E-04   6.07213455E-05   4.36835179E-10   4.28595030E-06  
  49               1.74097289E-01   1.28947456E+03   8.38842866E-01   1.60273566E-01   2.03989838E-06   5.27635309E-04   2.53883630E-04   6.07212903E-05   1.85336263E-09   2.98114959E-06  
  50               2.04669515E-01   1.32550249E+03   8.38841947E-01   1.60273164E-01   3.31866158E-06   5.28300623E-04   2.53385421E-04   6.07194608E-05   5.89854551E-09   2.32116659E-06  
  51               2.39480025E-01   1.37216175E+03   8.38838489E-01   1.60272466E-01   6.12507189E-06   5.29049947E-04   2.53330984E-04   6.07198783E-05   2.49932027E-08   1.57668324E-06  
  52               2.78705636E-01   1.41364563E+03   8.38828727E-01   1.60271120E-01   1.01092321E-05   5.29445015E-04   2.55002486E-04   6.07184600E-05   8.08309796E-08   1.18182594E-06  
  53               3.22300263E-01   1.46687251E+03   8.38801939E-01   1.60267618E-01   1.88005130E-05   5.29853506E-04   2.60639063E-04   6.07185909E-05   3.37221251E-07   7.66013347E-07  
  54               3.68188693E-01   1.52172479E+03   8.38768616E-01   1.60265628E-01   3.41791576E-05   5.30135817E-04   2.78056622E-04   6.07197125E-05   1.39872328E-06   4.78237270E-07  
  55               4.15136411E-01   1.57153584E+03   8.38722752E-01   1.60260655E-01   5.65570246E-05   5.30266748E-04   2.87150282E-04   6.07187851E-05   7.42000321E-06   3.32882437E-07  
  56               4.61567115E-01   1.61743595E+03   8.38634409E-01   1.60251923E-01   8.74726759E-05   5.30339892E-04   3.14999330E-04   6.07163996E-05   2.55960607E-05   2.28821402E-07  
  57               5.02472983E-01   1.65409396E+03   8.38495294E-01   1.60240333E-01   1.21539980E-04   5.30366167E-04   3.77268479E-04   6.07128343E-05   6.62828924E-05   1.55579713E-07  
  58               5.38517921E-01   1.68523712E+03   8.38460913E-01   1.60237321E-01   1.58961638E-04   5.30382383E-04   3.77159199E-04   6.07117864E-05   6.62489957E-05   1.31691654E-07  
  59               5.71384525E-01   1.71141719E+03   8.38425560E-01   1.60234228E-01   1.97432028E-04   5.30389836E-04   3.77070425E-04   6.07104805E-05   6.62188388E-05   1.15704443E-07  
  60               6.09038188E-01   1.74073433E+03   8.38347692E-01   1.60224337E-01   2.49799385E-04   5.30374031E-04   3.76958947E-04   6.07065930E-05   6.61818619E-05   1.00481525E-07  
  61               6.41935822E-01   1.76451161E+03   8.38301301E-01   1.60220286E-01   3.00264760E-04   5.30371965E-04   3.76880778E-04   6.07047780E-05   6.61522713E-05   9.03642851E-08  
  62               6.69037830E-01   1.78397095E+03   8.38257490E-01   1.60216459E-01   3.47923581E-04   5.30367660E-04   3.76817069E-04   6.07031331E-05   6.61276975E-05   8.29212649E-08  
  63               7.00357768E-01   1.80499468E+03   8.38204005E-01   1.60211787E-01   4.06098970E-04   5.30359962E-04   3.76749427E-04   6.07010099E-05   6.60998910E-05   7.60435404E-08  
  64               7.36339003E-01   1.82878471E+03   8.38134397E-01   1.60205708E-01   4.81805707E-04   5.30347731E-04   3.76674176E-04   6.06983265E-05   6.60677956E-05   6.90602909E-08  
  65               7.77392486E-01   1.85421190E+03   8.38048672E-01   1.60198223E-01   5.75025877E-04   5.30330099E-04   3.76597474E-04   6.06949342E-05   6.60318031E-05   6.27446897E-08  
  66               8.23845297E-01   1.88209756E+03   8.37938985E-01   1.60188646E-01   6.94279469E-04   5.30305245E-04   3.76520722E-04   6.06906718E-05   6.59910639E-05   5.66772468E-08  
  67               8.75822714E-01   1.91124180E+03   8.37805344E-01   1.60176982E-01   8.39570502E-04   5.30272592E-04   3.76456044E-04   6.06854216E-05   6.59461901E-05   5.13648817E-08  
  68               9.34063610E-01   1.94261444E+03   8.37636368E-01   1.60162235E-01   1.02339061E-03   5.30229268E-04   3.76331458E-04   6.06788876E-05   6.58959467E-05   4.64174449E-08  
  69               9.99989643E-01   1.97561060E+03   8.37427848E-01   1.60144038E-01   1.25022756E-03   5.30173721E-04   3.76193095E-04   6.06707953E-05   6.58399243E-05   4.21023391E-08  
  70               1.07438617E+00   2.01102208E+03   8.37163351E-01   1.60120959E-01   1.53795772E-03   5.30101497E-04   3.76033902E-04   6.06606716E-05   6.57768204E-05   3.81356062E-08  
  71               1.15812140E+00   2.04777732E+03   8.36840076E-01   1.60092753E-01   1.88962796E-03   5.30011476E-04   3.75855886E-04   6.06482978E-05   6.57068774E-05   3.47616104E-08  
  72               1.25216239E+00   2.08665284E+03   8.36435817E-01   1.60057484E-01   2.32939455E-03   5.29897497E-04   3.75650132E-04   6.06330016E-05   6.56285737E-05   3.17304314E-08  
  73               1.35758520E+00   2.12656771E+03   8.35948249E-01   1.60014950E-01   2.85978666E-03   5.29758662E-04   3.75418490E-04   6.06145806E-05   6.55421944E-05   2.92062787E-08  
  74               1.47559618E+00   2.16827060E+03   8.35349108E-01   1.59962686E-01   3.51155133E-03   5.29587013E-04   3.75150010E-04   6.05921481E-05   6.54459987E-05   2.69819946E-08  
  75               1.60754166E+00   2.21071791E+03   8.34638020E-01   1.59900661E-01   4.28509078E-03   5.29382274E-04   3.74846708E-04   6.05655656E-05   6.53403414E-05   2.51689451E-08  
  76               1.75493458E+00   2.25460483E+03   8.33781575E-01   1.59825962E-01   5.21675160E-03   5.29134945E-04   3.74495852E-04   6.05337544E-05   6.52233158E-05   2.36049218E-08  
  77               1.91947294E+00   2.29891770E+03   8.32782796E-01   1.59738647E-01   6.30109079E-03   5.28845079E-04   3.74099837E-04   6.04966020E-05   6.50953161E-05   2.23732445E-08  
  78               2.10283804E+00   2.34420581E+03   8.31603295E-01   1.59636252E-01   7.57463080E-03   5.28504823E-04   3.80326640E-04   6.04534273E-05   6.49547886E-05   2.09781047E-08  
  79               2.30712381E+00   2.38966325E+03   8.30267691E-01   1.59519778E-01   9.02745425E-03   5.28117013E-04   3.79875370E-04   6.04039868E-05   6.48023977E-05   2.02308500E-08  
  80               2.53488004E+00   2.43585405E+03   8.28731391E-01   1.59385808E-01   1.06986031E-02   5.27670535E-04   3.79342873E-04   6.03471607E-05   6.46360361E-05   1.96552807E-08  
  81               2.78864674E+00   2.48209806E+03   8.27009238E-01   1.59235637E-01   1.25719255E-02   5.27169575E-04   3.78736027E-04   6.02832771E-05   6.44564556E-05   1.92875033E-08  
  82               3.07127229E+00   2.52876737E+03   8.25072597E-01   1.59066769E-01   1.46785666E-02   5.26605857E-04   3.78045504E-04   6.02112685E-05   6.42621499E-05   1.90713103E-08  
  83               3.38588318E+00   2.57542167E+03   8.22936514E-01   1.58880517E-01   1.70021519E-02   5.25983629E-04   3.77277072E-04   6.01314167E-05   6.40537327E-05   1.90265315E-08  
  84               3.73595301E+00   2.62224741E+03   8.20584670E-01   1.58675458E-01   1.95604292E-02   5.25298121E-04   3.76424616E-04   6.00429441E-05   6.38302788E-05   1.91245245E-08  
  85               4.12529221E+00   2.66895843E+03   8.18034190E-01   1.58453087E-01   2.23347654E-02   5.24554165E-04   3.75494009E-04   5.99460808E-05   6.35923866E-05   1.93785248E-08  
  86               4.55799230E+00   2.71580084E+03   8.15266328E-01   1.58211769E-01   2.53455465E-02   5.23746262E-04   3.74477633E-04   5.98397775E-05   6.33390579E-05   1.97627562E-08  
  87               5.03844704E+00   2.76235406E+03   8.12318732E-01   1.57954787E-01   2.85518139E-02   5.22885130E-04   3.73388972E-04   5.97247141E-05   6.30717763E-05   2.03052534E-08  
  88               5.57134849E+00   2.80895024E+03   8.09167106E-01   1.57680022E-01   3.19799911E-02   5.21963640E-04   3.72218273E-04   5.95993085E-05   6.27893650E-05   2.09786869E-08  
  89               6.16167853E+00   2.85522590E+03   8.05853741E-01   1.57391162E-01   3.55840683E-02   5.20993819E-04   3.70981257E-04   5.94639869E-05   6.24935021E-05   2.18109169E-08  
  90               6.81472292E+00   2.90155119E+03   8.02347752E-01   1.57085514E-01   3.93976368E-02   5.19966602E-04   3.69665770E-04   5.93162993E-05   6.21828436E-05   2.27749688E-08  
  91               7.53615484E+00   2.94746830E+03   7.98710422E-01   1.56768420E-01   4.33540256E-02   5.18899451E-04   3.68295603E-04   5.91566256E-05   6.18598368E-05   2.39108663E-08  
  92               8.33212204E+00   2.99342796E+03   7.94898629E-01   1.56436122E-01   4.75001354E-02   5.17779720E-04   3.66853985E-04   5.89809727E-05   6.15226930E-05   2.51885458E-08  
  93               9.20916903E+00   3.03896760E+03   7.90982847E-01   1.56094763E-01   5.17592977E-02   5.16627473E-04   3.65369131E-04   5.87889066E-05   6.11741871E-05   2.66542523E-08  
  94               1.01738709E+01   3.08451275E+03   7.86917187E-01   1.55740341E-01   5.61814227E-02   5.15429217E-04   3.63822995E-04   5.85745380E-05   6.08125950E-05   2.82787971E-08  
  95               1.12332710E+01   3.12957055E+03   7.82783999E-01   1.55380036E-01   6.06769233E-02   5.14208393E-04   3.62249240E-04   5.83362367E-05   6.04411825E-05   3.01158043E-08  
  96               1.23950953E+01   3.17466745E+03   7.78517770E-01   1.55008136E-01   6.53170503E-02   5.12945775E-04   3.60621278E-04   5.80644506E-05   6.00574829E-05   3.21289462E-08  
  97               1.36678349E+01   3.21932270E+03   7.74206200E-01   1.54632286E-01   7.00064002E-02   5.11666265E-04   3.58975335E-04   5.77552583E-05   5.96648318E-05   3.43803440E-08  
  98               1.50608789E+01   3.26408197E+03   7.69773994E-01   1.54245919E-01   7.48268587E-02   5.10347713E-04   3.57279526E-04   5.73941617E-05   5.92603868E-05   3.68327812E-08  
  99               1.65846506E+01   3.30844004E+03   7.65319515E-01   1.53857611E-01   7.96714226E-02   5.09017992E-04   3.55574698E-04   5.69742923E-05   5.88477266E-05   3.95624643E-08  
  100              1.82506869E+01   3.35300316E+03   7.60750399E-01   1.53459308E-01   8.46405388E-02   5.07649898E-04   3.53819900E-04   5.64734337E-05   5.84233749E-05   4.25258571E-08  
  101              2.00717591E+01   3.39724753E+03   7.56173844E-01   1.53060353E-01   8.96175915E-02   5.06273723E-04   3.52059730E-04   5.58806068E-05   5.79910953E-05   4.58141851E-08  
