# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(s)           Ar              
  1                1.00000000E-05   3.47438957E+01   8.38832062E-01   1.60608799E-01   5.31825346E-04   8.05095670E-18   2.64104757E-08   2.30035355E-05   0.00000000E+00   4.22443186E-06  
  2                1.34257650E-04   3.54661326E+01   8.38832062E-01   1.60608799E-01   5.31825346E-04   1.04525913E-17   2.64104757E-08   2.30035355E-05   0.00000000E+00   4.22443186E-06  
  3                2.77633100E-04   4.39437681E+01   8.38832062E-01   1.60608799E-01   5.31825346E-04   9.35761911E-18   2.64104757E-08   2.30035355E-05   0.00000000E+00   4.22443186E-06  
  4                4.43083940E-04   4.28703431E+01   8.38832062E-01   1.60608799E-01   5.31825346E-04   1.14169780E-17   2.64104757E-08   2.30035355E-05   0.00000000E+00   4.22443186E-06  
  5                6.33979096E-04   4.95457673E+01   8.38832062E-01   1.60608799E-01   5.31825346E-04   1.12348651E-17   2.64104757E-08   2.30035355E-05   0.00000000E+00   4.22443186E-06  
  6                8.54137417E-04   5.03216715E+01   8.38832062E-01   1.60608799E-01   5.31825346E-04   1.09308090E-17   2.64104757E-08   2.30035355E-05   0.00000000E+00   4.22443186E-06  
  7                1.10800201E-03   5.24910900E+01   8.38832062E-01   1.60608799E-01   5.31825346E-04   1.05682138E-17   2.64104757E-08   2.30035355E-05   0.00000000E+00   4.22443186E-06  
  8                1.40058919E-03   5.50056986E+01   8.38832062E-01   1.60608799E-01   5.31825346E-04   1.01909075E-17   2.64104757E-08   2.30035355E-05   0.00000000E+00   4.22443186E-06  
  9                1.73769019E-03   5.67875628E+01   8.38832062E-01   1.60608799E-01   5.31825346E-04   9.83346112E-18   2.64104757E-08   2.30035355E-05   0.00000000E+00   4.22443186E-06  
  10               2.12598094E-03   5.92051087E+01   8.38832062E-01   1.60608799E-01   5.31825346E-04   9.52250183E-18   2.64104757E-08   2.30035355E-05   0.00000000E+00   4.22443186E-06  
  11               2.57294840E-03   6.09080049E+01   8.38832062E-01   1.60608799E-01   5.31825346E-04   9.27544714E-18   2.64104757E-08   2.30035355E-05   0.00000000E+00   4.22443186E-06  
  12               3.08704934E-03   6.33356096E+01   8.38832062E-01   1.60608799E-01   5.31825346E-04   1.34348141E-17   2.64104757E-08   2.30035355E-05   0.00000000E+00   4.22443186E-06  
  13               3.67818468E-03   6.50888039E+01   8.38832062E-01   1.60608799E-01   5.31825346E-04   1.29171210E-17   2.64104757E-08   2.30035355E-05   0.00000000E+00   4.22443186E-06  
  14               4.35749723E-03   6.75426730E+01   8.38832062E-01   1.60608799E-01   5.31825346E-04   1.23134529E-17   2.64104757E-08   2.30035355E-05   0.00000000E+00   4.22443186E-06  
  15               5.13739756E-03   6.94554668E+01   8.38832062E-01   1.60608799E-01   5.31825346E-04   1.16489631E-17   2.64104757E-08   2.30035355E-05   0.00000000E+00   4.22443186E-06  
  16               6.03142129E-03   7.21323523E+01   8.38832062E-01   1.60608799E-01   5.31825346E-04   1.09522001E-17   2.64104757E-08   2.30035355E-05   0.00000000E+00   4.22443186E-06  
  17               7.05139923E-03   7.43256641E+01   8.38832062E-01   1.60608799E-01   5.31825346E-04   1.35074234E-17   2.64104757E-08   2.30035355E-05   0.00000000E+00   4.22443186E-06  
  18               8.20935933E-03   7.73732709E+01   8.38832062E-01   1.60608799E-01   5.31825346E-04   8.07407704E-18   2.64104757E-08   2.30035355E-05   0.00000000E+00   4.22443186E-06  
  19               9.51860208E-03   8.00589554E+01   8.38832062E-01   1.60608799E-01   5.31825346E-04   1.05434982E-17   2.64104757E-08   2.30035355E-05   0.00000000E+00   4.22443186E-06  
  20               1.09945592E-02   8.37857447E+01   8.38832062E-01   1.60608799E-01   5.31825346E-04   1.24497291E-17   2.64104757E-08   2.30035355E-05   0.00000000E+00   4.22443186E-06  
  21               1.26553289E-02   8.75739953E+01   8.38832062E-01   1.60608799E-01   5.31825346E-04   7.41463469E-18   2.64104757E-08   2.30035355E-05   0.00000000E+00   4.22443186E-06  
  22               1.45314032E-02   9.14801522E+01   8.38832062E-01   1.60608799E-01   5.31825346E-04   7.79376942E-18   2.64104757E-08   2.30035355E-05   0.00000000E+00   4.22443186E-06  
  23               1.66563124E-02   9.54901334E+01   8.38832062E-01   1.60608799E-01   5.31825346E-04   8.11845972E-18   2.64104757E-08   2.30035355E-05   0.00000000E+00   4.22443186E-06  
  24               1.90693434E-02   9.96573070E+01   8.38832000E-01   1.60608787E-01   5.31825307E-04   5.22621301E-18   2.64948378E-08   2.30035338E-05   3.99715706E-17   4.22443155E-06  
  25               2.18131290E-02   1.03958977E+02   8.38831747E-01   1.60608739E-01   5.31825146E-04   4.56455144E-17   1.00280204E-07   2.30035268E-05   3.89945140E-16   4.22443027E-06  
  26               2.49220838E-02   1.08426004E+02   8.38830862E-01   1.60608569E-01   5.31824585E-04   4.39206711E-16   4.03230459E-07   2.30035026E-05   3.15484211E-15   4.22442581E-06  
